,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,880,985,880,920,71200,-9.8
1,2000-01-05,951,951,920,930,179100,1.09
2,2000-01-06,930,930,865,880,36400,-5.38
3,2000-01-07,882,900,865,899,43700,2.16
4,2000-01-10,809,898,809,893,80600,-0.67
5,2000-01-11,893,893,850,880,61100,-1.46
6,2000-01-12,880,892,846,870,93200,-1.14
7,2000-01-13,855,870,836,860,36300,-1.15
8,2000-01-14,850,900,821,865,183700,0.58
9,2000-01-17,870,870,845,860,87200,-0.58
10,2000-01-18,833,860,820,830,69200,-3.49
11,2000-01-19,814,830,760,760,164900,-8.43
12,2000-01-20,761,769,646,740,150200,-2.63
13,2000-01-21,745,760,740,740,168900,0.0
14,2000-01-24,720,750,720,750,254700,1.35
15,2000-01-25,750,750,720,735,93000,-2.0
16,2000-01-26,735,735,714,714,99500,-2.86
17,2000-01-27,740,800,733,760,149600,6.44
18,2000-01-28,770,780,743,750,144600,-1.32
19,2000-01-31,749,760,726,740,168300,-1.33
20,2000-02-01,738,759,738,745,93000,0.68
21,2000-02-02,750,800,747,800,221900,7.38
22,2000-02-03,789,830,780,799,164800,-0.12
23,2000-02-07,785,818,780,786,115000,-1.63
24,2000-02-08,785,820,785,804,139200,2.29
25,2000-02-09,810,810,758,758,77600,-5.72
26,2000-02-10,731,750,720,720,64400,-5.01
27,2000-02-11,720,730,695,695,84100,-3.47
28,2000-02-14,695,700,660,680,76300,-2.16
29,2000-02-15,700,700,661,680,199700,0.0
30,2000-02-16,680,715,680,680,152400,0.0
31,2000-02-17,680,782,661,782,353200,15.0
32,2000-02-18,778,778,691,769,480800,-1.66
33,2000-02-21,731,740,702,740,113500,-3.77
34,2000-02-22,740,770,710,729,98400,-1.49
35,2000-02-23,721,838,720,770,457100,5.62
36,2000-02-24,733,750,700,720,140700,-6.49
37,2000-02-25,690,735,685,710,198400,-1.39
38,2000-02-28,712,816,700,816,436900,14.93
39,2000-02-29,827,833,760,809,439000,-0.86
40,2000-03-02,809,893,790,802,434700,-0.87
41,2000-03-03,811,846,780,780,388300,-2.74
42,2000-03-06,810,870,785,840,806400,7.69
43,2000-03-07,860,939,845,860,916800,2.38
44,2000-03-08,860,870,820,830,321700,-3.49
45,2000-03-09,820,855,792,812,327100,-2.17
46,2000-03-10,800,838,800,812,331400,0.0
47,2000-03-13,850,925,850,900,827100,10.84
48,2000-03-14,911,1035,900,1035,1378500,15.0
49,2000-03-15,1060,1165,1010,1060,2322000,2.42
50,2000-03-16,1060,1100,970,975,704400,-8.02
51,2000-03-17,990,1075,974,1000,1101300,2.56
52,2000-03-20,970,1000,850,910,402900,-9.0
53,2000-03-21,890,910,860,865,628600,-4.95
54,2000-03-22,900,974,866,948,365000,9.6
55,2000-03-23,921,1030,921,1010,691300,6.54
56,2000-03-24,1030,1070,980,980,664400,-2.97
57,2000-03-27,990,1080,980,1060,770100,8.16
58,2000-03-28,1070,1080,1000,1030,1311600,-2.83
59,2000-03-29,1080,1090,980,980,586000,-4.85
60,2000-03-30,990,990,881,955,393300,-2.55
61,2000-03-31,960,976,910,910,1143100,-4.71
62,2000-04-03,882,945,882,900,424300,-1.1
63,2000-04-04,897,940,850,850,177600,-5.56
64,2000-04-06,900,900,840,864,181700,1.65
65,2000-04-07,860,870,820,835,131300,-3.36
66,2000-04-10,845,890,830,859,339300,2.87
67,2000-04-11,845,845,810,811,141200,-5.59
68,2000-04-12,810,850,810,821,126800,1.23
69,2000-04-14,830,875,825,830,176300,1.1
70,2000-04-17,773,780,710,710,125100,-14.46
71,2000-04-18,740,790,740,750,110000,5.63
72,2000-04-19,770,810,763,810,141700,8.0
73,2000-04-20,845,880,800,810,194200,0.0
74,2000-04-21,815,820,785,795,70300,-1.85
75,2000-04-24,795,840,795,826,105000,3.9
76,2000-04-25,825,848,800,848,53700,2.66
77,2000-04-26,830,850,806,806,50400,-4.95
78,2000-04-27,804,810,790,795,102100,-1.36
79,2000-04-28,790,820,785,785,36200,-1.26
80,2000-05-02,785,786,720,779,40900,-0.76
81,2000-05-03,769,800,755,765,30100,-1.8
82,2000-05-04,765,790,765,790,57900,3.27
83,2000-05-08,771,810,770,795,26600,0.63
84,2000-05-09,795,800,771,785,57700,-1.26
85,2000-05-10,791,791,757,770,38700,-1.91
86,2000-05-12,770,770,741,742,33300,-3.64
87,2000-05-15,790,790,680,700,101900,-5.66
88,2000-05-16,700,760,700,735,74400,5.0
89,2000-05-17,750,750,706,720,87100,-2.04
90,2000-05-18,710,713,680,700,92300,-2.78
91,2000-05-19,701,705,681,701,47500,0.14
92,2000-05-22,701,701,640,655,100400,-6.56
93,2000-05-23,685,700,655,690,35300,5.34
94,2000-05-24,651,695,640,695,294100,0.72
95,2000-05-25,700,740,695,712,222900,2.45
96,2000-05-26,720,727,680,699,303000,-1.83
97,2000-05-29,699,730,685,718,301500,2.72
98,2000-05-30,720,750,718,734,298700,2.23
99,2000-05-31,750,790,745,745,136900,1.5
100,2000-06-01,760,776,739,745,462000,0.0
101,2000-06-02,767,773,747,771,161200,3.49
102,2000-06-05,801,820,771,820,456500,6.36
103,2000-06-07,850,920,803,845,400900,3.05
104,2000-06-08,845,880,730,750,86000,-11.24
105,2000-06-09,770,788,750,770,100800,2.67
106,2000-06-12,771,800,771,775,63700,0.65
107,2000-06-13,786,800,775,776,283900,0.13
108,2000-06-14,753,776,752,755,22600,-2.71
109,2000-06-15,787,788,755,755,219500,0.0
110,2000-06-16,703,750,703,733,38400,-2.91
111,2000-06-19,734,745,733,740,97200,0.95
112,2000-06-20,740,780,740,759,110400,2.57
113,2000-06-21,765,774,759,761,117100,0.26
114,2000-06-22,752,770,740,745,72300,-2.1
115,2000-06-23,740,755,720,745,157400,0.0
116,2000-06-26,745,768,733,733,206800,-1.61
117,2000-06-27,736,765,735,765,57900,4.37
118,2000-06-28,765,776,760,760,85400,-0.65
119,2000-06-29,760,764,747,764,152800,0.53
120,2000-06-30,765,818,765,785,71300,2.75
121,2000-07-03,790,839,785,835,155500,6.37
122,2000-07-04,850,860,810,810,282900,-2.99
123,2000-07-05,795,845,779,817,38500,0.86
124,2000-07-06,800,815,771,810,44400,-0.86
125,2000-07-07,811,840,810,839,128000,3.58
126,2000-07-10,837,850,820,830,100800,-1.07
127,2000-07-11,811,830,807,807,48200,-2.77
128,2000-07-12,840,840,807,807,183600,0.0
129,2000-07-13,839,840,786,803,268300,-0.5
130,2000-07-14,815,815,795,795,73500,-1.0
