,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,10792,12208,10754,12207,79690,14.75
1,2000-01-05,12208,12591,11749,12207,44330,0.0
2,2000-01-06,12361,12629,11749,12628,39380,3.45
3,2000-01-07,12284,13318,12246,12935,40990,2.43
4,2000-01-10,12705,12705,11940,12284,39790,-5.03
5,2000-01-11,11940,11940,11251,11710,33130,-4.67
6,2000-01-12,10792,12017,10333,12016,78280,2.61
7,2000-01-13,11634,11863,11251,11863,25660,-1.27
8,2000-01-14,11634,11787,11251,11748,57930,-0.97
9,2000-01-17,11328,11940,11136,11442,15910,-2.6
10,2000-01-18,11557,11634,10907,11595,28070,1.34
11,2000-01-19,11328,11366,9873,9873,9450,-14.85
12,2000-01-20,8458,9873,8419,8419,8980,-14.73
13,2000-01-21,7730,9682,7730,9682,19660,15.0
14,2000-01-24,9567,10333,8917,10332,11400,6.71
15,2000-01-25,10103,10103,9720,9950,49580,-3.7
16,2000-01-26,10103,10103,9223,9796,21860,-1.55
17,2000-01-27,9950,11251,9950,11251,63290,14.85
18,2000-01-28,11863,12629,11634,12093,75160,7.48
19,2000-01-31,12323,13892,12131,13776,80950,13.92
20,2000-02-01,13853,14925,13318,13930,69300,1.12
21,2000-02-02,13777,14542,13241,13891,74640,-0.28
22,2000-02-03,13203,13930,11825,11825,87860,-14.87
23,2000-02-07,11596,12170,10945,11404,57530,-3.56
24,2000-02-08,11481,11634,10562,10906,42260,-4.37
25,2000-02-09,10562,11404,10333,10524,59600,-3.5
26,2000-02-10,10409,10868,9797,10485,61480,-0.37
27,2000-02-11,10792,11863,10486,11174,79890,6.57
28,2000-02-14,11175,11328,10065,10064,34740,-9.93
29,2000-02-15,9797,10333,9185,9720,24080,-3.42
30,2000-02-16,9873,10486,9873,10332,33510,6.3
31,2000-02-17,10486,10945,10333,10868,27490,5.19
32,2000-02-18,10486,11251,10486,10906,31110,0.35
33,2000-02-21,10868,10983,10409,10983,34950,0.71
