,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1350,1695,1350,1695,18770,14.92
1,2000-01-05,1685,1700,1455,1600,8390,-5.6
2,2000-01-06,1590,1675,1465,1500,6510,-6.25
3,2000-01-07,1550,1600,1400,1450,9580,-3.33
4,2000-01-10,1600,1600,1450,1490,5910,2.76
5,2000-01-11,1400,1500,1360,1440,3470,-3.36
6,2000-01-12,1445,1490,1360,1360,5890,-5.56
7,2000-01-13,1300,1300,1200,1250,3690,-8.09
8,2000-01-14,1210,1290,1210,1275,2870,2.0
9,2000-01-17,1265,1290,1210,1260,3470,-1.18
10,2000-01-18,1200,1250,1190,1190,4470,-5.56
11,2000-01-19,1150,1210,1030,1080,7340,-9.24
12,2000-01-20,1000,1095,1000,1050,6450,-2.78
13,2000-01-21,1005,1190,1005,1060,3450,0.95
14,2000-01-24,1005,1135,1005,1035,4390,-2.36
15,2000-01-25,1010,1060,1010,1020,3120,-1.45
16,2000-01-26,1055,1170,1055,1145,6330,12.25
17,2000-01-27,1070,1315,1050,1315,41760,14.85
18,2000-01-28,1490,1510,1315,1510,55370,14.83
19,2000-01-31,1500,1690,1355,1500,64500,-0.66
20,2000-02-01,1550,1550,1350,1410,30150,-6.0
21,2000-02-02,1445,1445,1260,1410,18120,0.0
22,2000-02-03,1310,1550,1300,1410,27810,0.0
23,2000-02-07,1450,1540,1390,1445,31560,2.48
24,2000-02-08,1400,1480,1400,1400,8840,-3.11
25,2000-02-09,1330,1390,1190,1375,38330,-1.79
26,2000-02-10,1300,1320,1195,1200,24710,-12.73
27,2000-02-11,1200,1245,1200,1245,13230,3.75
28,2000-02-14,1200,1420,1200,1400,34260,12.45
29,2000-02-15,1230,1350,1230,1290,19200,-7.86
30,2000-02-16,1210,1330,1210,1290,13160,0.0
31,2000-02-17,1200,1465,1200,1320,40120,2.33
32,2000-02-18,1270,1320,1225,1300,8120,-1.52
33,2000-02-21,1250,1330,1155,1160,16150,-10.77
34,2000-02-22,1070,1150,1070,1090,5880,-6.03
35,2000-02-23,1100,1250,1100,1250,27110,14.68
36,2000-02-24,1250,1345,1100,1250,25170,0.0
37,2000-02-25,1230,1230,1110,1210,14570,-3.2
38,2000-02-28,1220,1250,1150,1220,31060,0.83
39,2000-02-29,1215,1250,1160,1200,7910,-1.64
40,2000-03-02,1100,1240,1100,1175,11900,-2.08
41,2000-03-03,1150,1200,1150,1200,9940,2.13
42,2000-03-06,1290,1290,1150,1220,34510,1.67
43,2000-03-07,1230,1300,1230,1250,21160,2.46
44,2000-03-08,1250,1355,1200,1260,17460,0.8
45,2000-03-09,1445,1445,1350,1445,51010,14.68
46,2000-03-10,1400,1585,1300,1500,32080,3.81
47,2000-03-13,1480,1725,1400,1675,26520,11.67
48,2000-03-14,1800,1800,1430,1560,25880,-6.87
49,2000-03-15,1570,1790,1570,1700,106830,8.97
50,2000-03-16,1600,1800,1580,1600,57380,-5.88
51,2000-03-17,1600,1700,1365,1570,14900,-1.88
52,2000-03-20,1680,1690,1460,1640,11960,4.46
53,2000-03-21,1650,1710,1410,1550,38570,-5.49
54,2000-03-22,1420,1750,1350,1625,33740,4.84
55,2000-03-23,1405,1550,1405,1415,10740,-12.92
56,2000-03-24,1500,1500,1400,1455,16100,2.83
57,2000-03-27,1455,1470,1330,1465,16690,0.69
58,2000-03-28,1315,1470,1315,1470,3700,0.34
59,2000-03-29,1355,1435,1320,1435,2810,-2.38
60,2000-03-30,1300,1485,1300,1455,14880,1.39
61,2000-03-31,1500,1500,1350,1350,5100,-7.22
62,2000-04-03,1450,1535,1300,1300,18430,-3.7
63,2000-04-04,1420,1420,1200,1225,1940,-5.77
64,2000-04-06,1205,1320,1205,1255,3510,2.45
65,2000-04-07,1255,1400,1225,1250,5230,-0.4
66,2000-04-10,1250,1435,1250,1435,28680,14.8
67,2000-04-11,1500,1500,1320,1330,9660,-7.32
68,2000-04-12,1350,1385,1230,1250,4960,-6.02
69,2000-04-14,1230,1330,1230,1290,3130,3.2
70,2000-04-17,1200,1250,1120,1130,19170,-12.4
71,2000-04-18,1150,1295,1150,1285,11060,13.72
72,2000-04-19,1210,1330,1210,1255,13170,-2.33
73,2000-04-20,1250,1370,1200,1280,18310,1.99
74,2000-04-21,1200,1290,1200,1290,10610,0.78
75,2000-04-24,1290,1295,1210,1210,6890,-6.2
76,2000-04-25,1210,1290,1180,1200,26960,-0.83
77,2000-04-26,1180,1280,1180,1230,7920,2.5
78,2000-04-27,1155,1270,1155,1250,20460,1.63
79,2000-04-28,1250,1300,1200,1250,9970,0.0
80,2000-05-02,1170,1295,1170,1210,3220,-3.2
81,2000-05-03,1380,1390,1210,1370,25110,13.22
82,2000-05-04,1390,1390,1390,1390,100,1.46
83,2000-05-08,1200,1380,1200,1210,3500,-12.95
84,2000-05-09,1390,1390,1260,1260,3120,4.13
