,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,20500,21200,20300,20500,15160,-4.65
1,2000-01-05,21000,22000,20600,21550,21790,5.12
2,2000-01-06,21400,22350,21000,22100,162940,2.55
3,2000-01-07,22000,22900,22000,22500,22890,1.81
4,2000-01-10,22500,23000,22200,22500,31580,0.0
5,2000-01-11,22200,22950,21150,21300,21080,-5.33
6,2000-01-12,21500,23200,20800,23200,56870,8.92
7,2000-01-13,23000,23850,20900,20900,32520,-9.91
8,2000-01-14,21600,23000,21500,22200,30020,6.22
9,2000-01-17,23300,23300,21700,22500,13950,1.35
10,2000-01-18,22500,23000,22000,22500,69060,0.0
11,2000-01-19,22500,23000,22000,22500,34350,0.0
12,2000-01-20,22500,23500,22100,23100,56500,2.67
13,2000-01-21,23000,23500,22500,22500,61510,-2.6
14,2000-01-24,23000,23400,22900,23100,30000,2.67
15,2000-01-25,23000,23550,23000,23000,20420,-0.43
16,2000-01-26,23050,23450,23000,23000,8150,0.0
17,2000-01-27,23000,23400,23000,23000,12730,0.0
18,2000-01-28,23050,23350,22800,23050,11700,0.22
19,2000-01-31,23000,23000,22300,23000,61540,-0.22
20,2000-02-01,23000,23300,21600,21900,259080,-4.78
21,2000-02-02,22700,22700,21700,22100,512700,0.91
22,2000-02-03,22600,22600,21700,21700,12460,-1.81
23,2000-02-07,21700,22050,21200,21200,24720,-2.3
24,2000-02-08,21500,21500,21000,21500,13390,1.42
25,2000-02-09,20900,21450,20800,21150,21600,-1.63
26,2000-02-10,20400,20550,19600,19600,49240,-7.33
27,2000-02-11,20000,20000,18500,19000,28870,-3.06
28,2000-02-14,18300,19050,17600,18200,19980,-4.21
29,2000-02-15,17400,18200,16600,16700,35580,-8.24
30,2000-02-16,16700,18700,15600,16400,37680,-1.8
31,2000-02-17,16400,16800,15200,15600,51950,-4.88
32,2000-02-18,16200,16400,14100,14300,175990,-8.33
33,2000-02-21,14400,14600,13000,13100,79640,-8.39
34,2000-02-22,12800,13200,12000,12300,123950,-6.11
