,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1861,1861,1861,1862,0,0.0
1,2000-01-05,1861,2037,1861,2038,270,9.45
2,2000-01-06,1861,1861,1861,1862,70,-8.64
3,2000-01-07,1848,1848,1848,1853,0,-0.48
4,2000-01-10,1848,1857,1848,1853,290,0.0
5,2000-01-11,1861,1886,1844,1887,200,1.83
6,2000-01-12,1962,1966,1710,1971,40,4.45
7,2000-01-13,2029,2029,1861,1870,280,-5.12
8,2000-01-14,1861,1861,1861,1862,50,-0.43
9,2000-01-17,1861,1861,1861,1862,0,0.0
10,2000-01-18,1861,1861,1861,1862,30,0.0
11,2000-01-19,1861,1861,1861,1862,1140,0.0
12,2000-01-20,1861,1861,1861,1862,1010,0.0
13,2000-01-21,1861,1861,1861,1862,2030,0.0
14,2000-01-24,1861,1861,1861,1862,330,0.0
15,2000-01-25,1861,1861,1861,1862,0,0.0
16,2000-01-26,1861,1945,1861,1950,1210,4.73
17,2000-01-27,1945,1945,1945,1950,0,0.0
18,2000-01-28,1945,1945,1945,1950,0,0.0
19,2000-01-31,1945,1945,1945,1950,0,0.0
20,2000-02-01,2012,2012,2012,2013,200,3.23
21,2000-02-02,1861,2012,1861,2013,150,0.0
22,2000-02-03,2012,2012,2012,2013,0,0.0
23,2000-02-07,2012,2012,2012,2013,0,0.0
24,2000-02-08,2012,2012,1861,2013,270,0.0
25,2000-02-09,2108,2108,2108,2109,60,4.77
26,2000-02-10,2062,2062,2062,2063,0,-2.18
27,2000-02-11,2012,2012,2012,2013,10,-2.42
28,2000-02-14,2012,2016,2012,2013,560,0.0
29,2000-02-15,1886,2012,1886,2013,230,0.0
30,2000-02-16,2012,2012,2012,2013,300,0.0
31,2000-02-17,2012,2012,2012,2013,100,0.0
32,2000-02-18,2012,2012,2012,2013,130,0.0
33,2000-02-21,2113,2138,2012,2013,80,0.0
34,2000-02-22,1811,2012,1811,2013,580,0.0
35,2000-02-23,2264,2264,2264,2264,550,12.47
36,2000-02-24,1987,2264,1987,2264,340,0.0
37,2000-02-25,2264,2264,2264,2264,80,0.0
38,2000-02-28,2268,2268,2268,2272,10,0.35
39,2000-02-29,2515,2515,2280,2281,30,0.4
40,2000-03-02,2314,2314,2268,2272,20,-0.39
41,2000-03-03,2603,2603,2603,2608,100,14.79
42,2000-03-06,2264,2599,2259,2285,340,-12.38
43,2000-03-07,2314,2314,2314,2314,20,1.27
44,2000-03-08,2314,2314,2314,2314,0,0.0
45,2000-03-09,2314,2586,2264,2587,130,11.8
46,2000-03-10,2419,2557,2389,2390,1060,-7.61
47,2000-03-13,2389,2389,2389,2390,10,0.0
48,2000-03-14,2264,2381,2264,2264,170,-5.27
49,2000-03-15,2373,2373,2373,2377,10,4.99
50,2000-03-16,2373,2373,2264,2264,150,-4.75
51,2000-03-17,2264,2264,2264,2264,20,0.0
52,2000-03-20,2264,2264,2264,2264,10,0.0
53,2000-03-21,2264,2599,2264,2604,1420,15.02
54,2000-03-22,2289,2565,2289,2411,150,-7.41
55,2000-03-23,2410,2410,2410,2411,10,0.0
56,2000-03-24,2318,2318,2264,2264,170,-6.1
57,2000-03-27,2264,2389,2264,2264,120,0.0
58,2000-03-28,2385,2385,2385,2386,10,5.39
59,2000-03-29,2385,2385,2385,2386,60,0.0
60,2000-03-30,2565,2565,2565,2570,200,7.71
61,2000-03-31,2540,2565,2515,2570,310,0.0
62,2000-04-03,2666,2666,2264,2264,240,-11.91
63,2000-04-04,2264,2264,2264,2264,60,0.0
64,2000-04-06,2264,2289,2264,2289,760,1.1
65,2000-04-07,2264,2289,2264,2264,660,-1.09
66,2000-04-10,2268,2268,2264,2264,1530,0.0
67,2000-04-11,2264,2264,2264,2264,1870,0.0
68,2000-04-12,2264,2264,2264,2264,2600,0.0
69,2000-04-14,2113,2264,2113,2264,1840,0.0
70,2000-04-17,2264,2264,2264,2264,0,0.0
71,2000-04-18,2540,2599,2264,2604,4250,15.02
72,2000-04-19,2989,2989,2989,2989,4180,14.78
73,2000-04-20,3438,3438,2540,2558,26220,-14.42
74,2000-04-21,2515,2666,2339,2449,11320,-4.26
75,2000-04-24,2373,2389,2268,2277,6950,-7.02
76,2000-04-25,2222,2339,2201,2247,3070,-1.32
77,2000-04-26,2243,2389,2217,2222,7070,-1.11
78,2000-04-27,2205,2205,2037,2130,3650,-4.14
79,2000-04-28,2087,2209,2016,2130,7310,0.0
80,2000-05-02,1932,2297,1895,2180,5530,2.35
81,2000-05-03,2289,2507,2163,2163,12200,-0.78
82,2000-05-04,2486,2486,2104,2138,29800,-1.16
83,2000-05-08,2155,2155,2020,2025,7090,-5.29
84,2000-05-09,2037,2071,1978,2013,5180,-0.59
