,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1249,1322,1185,1259,21160,0.8
1,2000-01-05,1285,1386,1258,1277,34310,1.43
2,2000-01-06,1258,1304,1185,1186,16820,-7.13
3,2000-01-07,1185,1194,1162,1177,10100,-0.76
4,2000-01-10,1185,1258,1185,1236,23800,5.01
5,2000-01-11,1235,1249,1231,1231,21060,-0.4
6,2000-01-12,1199,1213,1162,1177,14210,-4.39
7,2000-01-13,1203,1213,1167,1204,10160,2.29
8,2000-01-14,1203,1213,1176,1186,8890,-1.5
9,2000-01-17,1194,1213,1153,1167,14820,-1.6
10,2000-01-18,1167,1167,1108,1131,13250,-3.08
11,2000-01-19,1139,1139,1044,1044,19260,-7.69
12,2000-01-20,1044,1044,925,971,13520,-6.99
13,2000-01-21,966,1012,921,944,36090,-2.78
14,2000-01-24,962,975,934,962,14950,1.91
15,2000-01-25,957,966,934,953,9710,-0.94
16,2000-01-26,925,962,925,935,14120,-1.89
17,2000-01-27,957,1021,957,999,22130,6.84
18,2000-01-28,1012,1067,1012,1058,35750,5.91
19,2000-01-31,1057,1089,1039,1058,28930,0.0
20,2000-02-01,1094,1094,1035,1067,12600,0.85
21,2000-02-02,1057,1140,1039,1140,30360,6.84
22,2000-02-03,1140,1140,1094,1135,23650,-0.44
23,2000-02-07,1140,1140,1076,1094,28210,-3.61
24,2000-02-08,1067,1094,1039,1085,14200,-0.82
25,2000-02-09,1071,1080,1021,1035,11840,-4.61
26,2000-02-10,1012,1039,966,967,8080,-6.57
27,2000-02-11,912,975,912,967,18860,0.0
28,2000-02-14,957,966,916,958,24830,-0.93
29,2000-02-15,957,957,912,912,15040,-4.8
30,2000-02-16,893,912,866,885,17810,-2.96
31,2000-02-17,902,902,866,894,18040,1.02
32,2000-02-18,866,893,851,857,15800,-4.14
33,2000-02-21,840,841,789,789,17680,-7.93
34,2000-02-22,776,793,775,784,13110,-0.63
35,2000-02-23,775,898,775,866,17020,10.46
36,2000-02-24,857,857,793,816,11910,-5.77
37,2000-02-25,848,856,788,848,9640,3.92
38,2000-02-28,847,953,807,903,31700,6.49
39,2000-02-29,866,934,866,930,30350,2.99
40,2000-03-02,1003,1003,904,905,32500,-2.69
41,2000-03-03,884,939,884,885,13770,-2.21
