,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,33800,33800,31200,31800,2760,-1.55
1,2000-01-05,31400,31550,30200,31500,37490,-0.94
2,2000-01-06,30150,32000,30150,31300,3700,-0.63
3,2000-01-07,32000,32000,30300,30900,11150,-1.28
4,2000-01-10,31200,32000,30100,32000,8020,3.56
5,2000-01-11,32000,32100,31000,32000,34520,0.0
6,2000-01-12,32800,33800,32000,33200,11060,3.75
7,2000-01-13,33300,35450,33000,34500,14710,3.92
8,2000-01-14,34000,34500,33200,33800,5120,-2.03
9,2000-01-17,33500,33600,33050,33500,5860,-0.89
10,2000-01-18,34000,34000,33000,33500,4690,0.0
11,2000-01-19,33000,33100,32500,33000,9900,-1.49
12,2000-01-20,32500,32800,31550,32500,7910,-1.52
13,2000-01-21,34000,34000,31550,32000,8080,-1.54
14,2000-01-24,31500,32650,31500,32500,500,1.56
15,2000-01-25,31600,32000,31500,31500,1020,-3.08
16,2000-01-26,31500,32000,31500,32000,2250,1.59
17,2000-01-27,32100,34400,32100,32400,9850,1.25
18,2000-01-28,32500,33400,32500,32700,1710,0.93
19,2000-01-31,33200,33200,31300,31500,11040,-3.67
20,2000-02-01,32700,32700,31500,31700,5640,0.63
21,2000-02-02,31300,32200,31300,32200,5100,1.58
22,2000-02-03,32000,33800,31700,33800,11620,4.97
23,2000-02-07,33800,36500,33800,36000,21570,6.51
24,2000-02-08,36000,36000,34200,35000,6920,-2.78
25,2000-02-09,35000,35400,34400,35000,5580,0.0
26,2000-02-10,34500,35000,33400,33800,3390,-3.43
27,2000-02-11,32000,33000,31000,32350,7630,-4.29
28,2000-02-14,32800,32900,32000,32500,8600,0.46
29,2000-02-15,32600,32600,31500,32000,2480,-1.54
30,2000-02-16,32100,32100,30600,31000,7600,-3.13
31,2000-02-17,31500,32000,31000,31950,3520,3.06
32,2000-02-18,31950,32000,31300,31600,2050,-1.1
33,2000-02-21,30000,32000,30000,31000,6350,-1.9
34,2000-02-22,30950,31000,30050,30400,2000,-1.94
35,2000-02-23,30500,32000,30500,30950,6560,1.81
36,2000-02-24,31300,32450,30800,31000,2310,0.16
37,2000-02-25,31000,31950,30900,31000,4750,0.0
38,2000-02-28,31000,31900,31000,31500,5210,1.61
39,2000-02-29,31500,32000,31000,31300,1900,-0.63
40,2000-03-02,31100,31550,30800,31450,3250,0.48
41,2000-03-03,31600,31700,31100,31200,3350,-0.79
42,2000-03-06,31900,35000,30600,33000,30910,5.77
43,2000-03-07,35000,35500,33500,35100,9010,6.36
44,2000-03-08,35000,35000,33600,33700,4820,-3.99
45,2000-03-09,33700,36000,33700,35300,56980,4.75
46,2000-03-10,36000,36000,34600,35800,14920,1.42
47,2000-03-13,36600,39500,36000,37000,22350,3.35
48,2000-03-14,37200,38500,35700,36200,13660,-2.16
49,2000-03-15,36000,37600,35000,36250,11650,0.14
50,2000-03-16,36300,37400,35500,35500,7130,-2.07
51,2000-03-17,35450,36500,35100,35300,4920,-0.56
52,2000-03-20,36300,36300,35000,36000,4330,1.98
53,2000-03-21,35600,35800,35000,35500,4440,-1.39
54,2000-03-22,35500,36300,35200,36300,3480,2.25
55,2000-03-23,35600,36700,35600,35800,2050,-1.38
56,2000-03-24,36000,39400,35800,36600,10770,2.23
57,2000-03-27,37800,39200,37000,38700,12550,5.74
58,2000-03-28,39900,39900,38100,39000,9980,0.78
59,2000-03-29,39000,39000,36800,38400,5380,-1.54
60,2000-03-30,39000,39000,37100,37500,4290,-2.34
61,2000-03-31,37100,37500,36200,36300,5630,-3.2
62,2000-04-03,36300,37500,36300,36650,9240,0.96
63,2000-04-04,37000,37750,36500,36500,7160,-0.41
64,2000-04-06,36600,36600,35000,35000,7840,-4.11
65,2000-04-07,34500,35500,33900,34800,5700,-0.57
66,2000-04-10,34400,36300,34000,35450,5610,1.87
67,2000-04-11,34750,35600,34700,35000,3770,-1.27
68,2000-04-12,34800,35800,34800,35450,2960,1.29
69,2000-04-14,34500,35000,34200,34200,4130,-3.53
70,2000-04-17,30550,32000,29150,29400,7860,-14.04
71,2000-04-18,32000,32200,29700,30050,15290,2.21
72,2000-04-19,32000,34400,31800,32000,13160,6.49
73,2000-04-20,34900,34900,32000,33000,10070,3.13
74,2000-04-21,33050,33800,32500,33650,6430,1.97
75,2000-04-24,34900,35000,33700,33900,6240,0.74
76,2000-04-25,34000,34100,33000,34100,2550,0.59
77,2000-04-26,34900,34900,32300,33650,4420,-1.32
78,2000-04-27,32500,33000,30000,32000,7030,-4.9
79,2000-04-28,32000,33000,32000,32400,5530,1.25
80,2000-05-02,31700,33100,31700,32500,3930,0.31
81,2000-05-03,32000,33800,32000,33800,3200,4.0
82,2000-05-04,33100,34750,33100,34750,6030,2.81
83,2000-05-08,35500,35500,34300,34800,5360,0.14
84,2000-05-09,34600,35000,34300,34500,2980,-0.86
85,2000-05-10,33500,34300,33350,34000,3530,-1.45
86,2000-05-12,34000,34000,32600,33050,4970,-2.79
87,2000-05-15,32050,32500,31300,31700,5810,-4.08
88,2000-05-16,32500,32500,31600,31700,7210,0.0
89,2000-05-17,31700,31850,30600,30600,8060,-3.47
90,2000-05-18,29100,30000,28000,29500,11170,-3.59
91,2000-05-19,29750,29750,27300,29600,6170,0.34
92,2000-05-22,29500,29500,27500,28000,7850,-5.41
93,2000-05-23,25300,27300,25300,26300,11920,-6.07
94,2000-05-24,26000,28000,25000,26500,7910,0.76
95,2000-05-25,27000,29000,27000,29000,14960,9.43
96,2000-05-26,29000,31900,28000,29000,27790,0.0
97,2000-05-29,30000,31900,29700,31000,18760,6.9
98,2000-05-30,34000,35000,32000,33000,30430,6.45
99,2000-05-31,33400,34000,32600,33200,35730,0.61
