,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,620,640,620,640,5320,3.56
1,2000-01-05,641,710,641,680,9120,6.25
2,2000-01-06,700,700,631,631,2840,-7.21
3,2000-01-07,611,650,601,650,8100,3.01
4,2000-01-10,680,680,659,680,10050,4.62
5,2000-01-11,715,782,715,782,51880,15.0
6,2000-01-12,800,800,700,749,37130,-4.22
7,2000-01-13,861,861,780,780,98920,4.14
8,2000-01-14,750,750,700,730,33420,-6.41
9,2000-01-17,700,721,700,704,20310,-3.56
10,2000-01-18,700,700,668,672,17490,-4.55
11,2000-01-19,740,740,670,685,12610,1.93
12,2000-01-20,651,660,640,660,14040,-3.65
13,2000-01-21,658,670,561,670,17330,1.52
14,2000-01-24,630,680,630,680,10860,1.49
15,2000-01-25,650,660,630,641,8990,-5.74
16,2000-01-26,622,640,620,621,12780,-3.12
17,2000-01-27,622,677,622,640,9430,3.06
18,2000-01-28,636,653,631,653,11150,2.03
19,2000-01-31,668,689,663,680,8930,4.13
20,2000-02-01,680,718,680,710,10450,4.41
21,2000-02-02,680,720,680,720,8600,1.41
22,2000-02-03,725,790,725,730,19130,1.39
23,2000-02-07,735,780,735,743,20280,1.78
24,2000-02-08,755,810,755,810,35760,9.02
25,2000-02-09,810,810,740,741,14490,-8.52
26,2000-02-10,780,780,701,735,13820,-0.81
27,2000-02-11,715,760,715,750,20740,2.04
28,2000-02-14,735,745,730,730,15380,-2.67
29,2000-02-15,711,750,711,730,8840,0.0
30,2000-02-16,715,760,715,760,20050,4.11
31,2000-02-17,760,780,735,780,11230,2.63
32,2000-02-18,897,897,700,700,301770,-10.26
33,2000-02-21,650,680,595,624,60120,-10.86
34,2000-02-22,669,669,531,540,56950,-13.46
35,2000-02-23,540,600,520,550,24460,1.85
36,2000-02-24,570,600,522,540,33080,-1.82
37,2000-02-25,620,621,580,610,71840,12.96
38,2000-02-28,610,610,560,580,26490,-4.92
39,2000-02-29,590,610,561,580,30260,0.0
40,2000-03-02,600,600,550,580,45300,0.0
41,2000-03-03,560,586,560,570,32440,-1.72
42,2000-03-06,570,640,540,590,51810,3.51
43,2000-03-07,610,610,575,575,19480,-2.54
44,2000-03-08,585,598,562,580,17540,0.87
45,2000-03-09,589,589,570,580,26370,0.0
46,2000-03-10,580,580,560,580,26860,0.0
47,2000-03-13,600,665,585,640,108060,10.34
48,2000-03-14,664,664,590,592,42170,-7.5
49,2000-03-15,610,610,570,575,21770,-2.87
50,2000-03-16,595,595,570,588,28330,2.26
51,2000-03-17,587,610,571,590,23940,0.34
52,2000-03-20,600,600,560,578,25560,-2.03
53,2000-03-21,575,579,556,567,15580,-1.9
54,2000-03-22,558,570,548,559,16570,-1.41
55,2000-03-23,571,590,559,576,38120,3.04
56,2000-03-24,560,589,560,579,37710,0.52
57,2000-03-27,589,589,562,573,29630,-1.04
58,2000-03-28,579,580,560,572,25910,-0.17
59,2000-03-29,563,569,550,555,28650,-2.97
60,2000-03-30,555,555,520,522,28610,-5.95
61,2000-03-31,488,550,488,530,19920,1.53
62,2000-04-03,509,550,505,505,23540,-4.72
63,2000-04-04,520,520,485,500,19670,-0.99
64,2000-04-06,510,545,490,535,26370,7.0
65,2000-04-07,510,533,503,511,24120,-4.49
66,2000-04-10,505,570,501,547,41570,7.05
67,2000-04-11,520,520,500,501,9750,-8.41
68,2000-04-12,515,515,490,490,12940,-2.2
69,2000-04-14,458,495,456,472,10050,-3.67
70,2000-04-17,460,460,402,410,32680,-13.14
71,2000-04-18,431,455,430,450,27690,9.76
72,2000-04-19,450,480,430,470,29500,4.44
73,2000-04-20,470,479,460,470,9300,0.0
74,2000-04-21,471,488,471,475,10460,1.06
75,2000-04-24,485,525,485,500,36000,5.26
76,2000-04-25,500,525,500,508,17980,1.6
77,2000-04-26,515,515,481,500,8310,-1.57
78,2000-04-27,490,499,461,490,15280,-2.0
79,2000-04-28,500,505,470,484,18190,-1.22
