,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,90180,101734,90180,101606,38630,14.78
1,2000-01-05,100493,100493,88233,93994,46260,-7.49
2,2000-01-06,95360,97806,86510,92626,52170,-1.46
3,2000-01-07,95360,98096,91530,92626,36070,0.0
4,2000-01-10,92612,96699,89876,92226,25440,-0.43
5,2000-01-11,90022,95333,88510,95334,85160,3.37
6,2000-01-12,95360,95360,91530,92626,53790,-2.84
7,2000-01-13,92597,95333,87158,95334,41750,2.92
8,2000-01-14,92597,97779,90151,95334,85860,0.0
9,2000-01-17,95333,95880,91246,95334,60380,0.0
10,2000-01-18,95316,95316,89878,90715,46430,-4.85
11,2000-01-19,87570,87956,83064,83902,41020,-7.51
12,2000-01-20,83862,83862,77587,81707,25710,-2.62
13,2000-01-21,76278,93980,76278,80367,50080,-1.64
14,2000-01-24,80601,84398,79507,79540,34160,-1.03
15,2000-01-25,79693,80949,76571,78343,17920,-1.5
16,2000-01-26,78971,81674,76235,78457,70970,0.15
17,2000-01-27,80361,90178,77626,89889,177420,14.57
18,2000-01-28,87397,91194,81927,81992,73470,-8.79
19,2000-01-31,79305,85839,79305,83103,100340,1.36
20,2000-02-01,85783,86330,81664,82533,50120,-0.69
21,2000-02-02,83091,84990,82254,84444,58010,2.32
22,2000-02-03,84963,84963,81713,83902,109490,-0.64
23,2000-02-07,85678,85678,81848,81849,85990,-2.45
24,2000-02-08,82681,83099,80911,82134,57930,0.35
25,2000-02-09,80864,82762,78676,78998,66900,-3.82
26,2000-02-10,78937,78937,75655,75720,36360,-4.15
27,2000-02-11,73745,80308,73745,73810,56160,-2.52
28,2000-02-14,72139,74584,66669,67281,53160,-8.85
29,2000-02-15,65693,68397,65693,68108,51730,1.23
30,2000-02-16,68096,72022,66197,66198,51370,-2.8
31,2000-02-17,64004,68381,64004,66483,32180,0.43
32,2000-02-18,68396,68396,62377,62378,54270,-6.17
33,2000-02-21,57654,59584,55755,55820,60760,-10.51
34,2000-02-22,56346,59339,54544,57731,22180,3.42
35,2000-02-23,59934,66372,59419,66340,110230,14.91
