,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,699,709,666,710,1270,-7.43
1,2000-01-05,640,752,640,700,1580,-1.41
2,2000-01-06,699,719,666,700,3760,0.0
3,2000-01-07,699,713,666,700,2030,0.0
4,2000-01-10,729,752,699,740,4430,5.71
5,2000-01-11,733,733,699,700,3390,-5.41
6,2000-01-12,706,762,706,740,2170,5.71
7,2000-01-13,666,759,666,760,5780,2.7
8,2000-01-14,759,759,713,713,700,-6.18
9,2000-01-17,699,699,666,700,1020,-1.82
10,2000-01-18,693,709,666,706,650,0.86
11,2000-01-19,706,706,666,666,2000,-5.67
12,2000-01-20,713,713,652,666,6530,0.0
13,2000-01-21,646,706,646,700,15710,5.11
14,2000-01-24,693,719,686,720,5180,2.86
15,2000-01-25,713,729,713,720,3590,0.0
16,2000-01-26,733,762,733,760,1780,5.56
17,2000-01-27,759,819,759,760,2180,0.0
18,2000-01-28,792,792,759,767,1590,0.92
19,2000-01-31,765,799,699,700,410,-8.74
20,2000-02-01,792,792,719,733,1460,4.71
21,2000-02-02,786,843,719,843,1850,15.01
22,2000-02-03,752,966,752,966,4020,14.59
23,2000-02-07,832,899,826,826,4190,-14.49
24,2000-02-08,826,826,779,794,290,-3.87
25,2000-02-09,679,806,676,753,4390,-5.16
26,2000-02-10,752,752,733,753,510,0.0
27,2000-02-11,749,749,652,654,2480,-13.15
28,2000-02-14,652,689,633,638,1670,-2.45
29,2000-02-15,610,679,610,680,280,6.58
30,2000-02-16,666,699,608,680,1150,0.0
31,2000-02-17,666,666,632,634,1080,-6.76
32,2000-02-18,639,699,639,647,3970,2.05
33,2000-02-21,639,676,613,647,1830,0.0
34,2000-02-22,613,613,592,613,3910,-5.26
35,2000-02-23,593,646,593,634,1960,3.43
36,2000-02-24,632,645,631,646,200,1.89
37,2000-02-25,646,646,644,646,110,0.0
38,2000-02-28,605,662,605,660,31200,2.17
39,2000-02-29,665,665,632,634,1340,-3.94
40,2000-03-02,613,645,609,644,670,1.58
41,2000-03-03,642,645,621,640,580,-0.62
42,2000-03-06,632,659,625,660,1180,3.12
43,2000-03-07,605,664,605,665,820,0.76
44,2000-03-08,664,665,632,665,7390,0.0
45,2000-03-09,646,646,621,623,2000,-6.32
46,2000-03-10,623,651,623,652,1490,4.65
47,2000-03-13,636,679,633,665,2880,1.99
48,2000-03-14,640,699,640,666,2740,0.15
49,2000-03-15,641,693,641,644,3380,-3.3
50,2000-03-16,665,665,639,664,2760,3.11
51,2000-03-17,662,662,636,647,1160,-2.56
52,2000-03-20,647,663,640,643,1470,-0.62
53,2000-03-21,640,642,633,635,1120,-1.24
54,2000-03-22,633,661,633,640,15630,0.79
55,2000-03-23,633,640,633,641,4290,0.16
56,2000-03-24,639,639,633,640,1280,-0.16
57,2000-03-27,636,636,631,634,1200,-0.94
58,2000-03-28,632,632,613,620,12220,-2.21
