,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,5935,6707,5935,6616,360730,13.38
1,2000-01-05,6554,6616,6194,6391,378830,-3.4
2,2000-01-06,6571,6598,5979,6059,218730,-5.19
3,2000-01-07,6250,6348,5711,6015,278530,-0.73
4,2000-01-10,6015,6285,6015,6032,294700,0.28
5,2000-01-11,6033,6096,5836,5925,267920,-1.77
6,2000-01-12,5791,5980,5666,5691,247530,-3.95
7,2000-01-13,5603,5837,5585,5746,242600,0.97
8,2000-01-14,5666,5791,5468,5503,418020,-4.23
9,2000-01-17,5522,5612,5396,5467,225810,-0.65
10,2000-01-18,5467,5521,5297,5323,186630,-2.63
11,2000-01-19,5216,5224,4847,4847,238660,-8.94
12,2000-01-20,4758,4938,4624,4757,325120,-1.86
13,2000-01-21,4760,4983,4633,4875,689460,2.48
14,2000-01-24,4884,5028,4795,4829,798230,-0.94
15,2000-01-25,4750,4975,4714,4839,1060000,0.21
16,2000-01-26,4858,5270,4839,5098,762560,5.35
17,2000-01-27,5207,5862,5099,5861,1274460,14.97
18,2000-01-28,6016,6123,5621,5772,1253860,-1.52
19,2000-01-31,5575,6222,5575,6059,1524900,4.97
20,2000-02-01,6195,6267,5881,5943,903600,-1.91
21,2000-02-02,5926,6151,5836,5952,930510,0.15
22,2000-02-03,5970,6105,5745,5789,657540,-2.74
23,2000-02-07,5791,5916,5611,5655,606260,-2.31
24,2000-02-08,5565,5835,5440,5457,583810,-3.5
25,2000-02-09,5477,5630,5298,5341,617870,-2.13
26,2000-02-10,5253,5432,5081,5098,452280,-4.55
27,2000-02-11,5163,5316,4920,4937,500150,-3.16
28,2000-02-14,4848,5100,4803,4937,557140,0.0
29,2000-02-15,5117,5495,5028,5206,720180,5.45
30,2000-02-16,5387,5566,4938,5162,393430,-0.85
31,2000-02-17,5037,5234,5028,5134,301330,-0.54
32,2000-02-18,4929,5018,4866,4955,458480,-3.49
33,2000-02-21,4524,4660,4497,4524,1185000,-8.7
34,2000-02-22,4489,4641,4354,4524,1005710,0.0
35,2000-02-23,4624,5199,4616,5198,2584670,14.9
36,2000-02-24,4848,5145,4759,4937,1970680,-5.02
37,2000-02-25,4903,5118,4724,5072,1286470,2.73
38,2000-02-28,4883,4938,4821,4919,775350,-3.02
39,2000-02-29,5072,5188,4955,5026,942940,2.18
40,2000-03-02,4687,5181,4687,5162,1104610,2.71
41,2000-03-03,5163,5163,4939,4937,444690,-4.36
42,2000-03-06,5027,5377,4866,5188,833290,5.08
43,2000-03-07,5118,5298,5010,5108,596600,-1.54
44,2000-03-08,5028,5333,4983,5045,899690,-1.23
45,2000-03-09,4957,5046,4822,4875,932930,-3.37
46,2000-03-10,4875,5018,4677,4713,765410,-3.32
47,2000-03-13,4758,4794,4489,4524,731330,-4.01
48,2000-03-14,4400,4715,4400,4534,740980,0.22
49,2000-03-15,4489,4651,4444,4457,450660,-1.7
50,2000-03-16,4561,4606,4270,4363,535870,-2.11
51,2000-03-17,4517,4903,4462,4668,1322480,6.99
52,2000-03-20,4669,4750,4489,4506,464210,-3.47
53,2000-03-21,4533,4579,4363,4380,429720,-2.8
54,2000-03-22,4481,4625,4454,4498,616340,2.69
55,2000-03-23,4471,4605,4453,4452,475230,-1.02
56,2000-03-24,4497,4533,4385,4416,560590,-0.81
57,2000-03-27,4489,4812,4453,4793,1228510,8.54
58,2000-03-28,4740,4740,4534,4587,623690,-4.3
59,2000-03-29,4508,4580,4400,4435,665530,-3.31
60,2000-03-30,3873,4062,3773,3778,1170530,-14.81
61,2000-03-31,3798,3827,3543,3594,489240,-4.87
62,2000-04-03,3646,3665,3084,3168,486540,-11.85
63,2000-04-04,3173,3297,3136,3277,541830,3.44
64,2000-04-06,3277,3277,3069,3117,316340,-4.88
65,2000-04-07,2976,3212,2976,3088,475300,-0.93
66,2000-04-10,3028,3552,2929,3173,985530,2.75
67,2000-04-11,3211,3287,3069,3069,364030,-3.28
68,2000-04-12,3070,3260,2996,3126,372020,1.86
69,2000-04-14,3023,3269,3013,3211,427310,2.72
70,2000-04-17,2891,3003,2730,2748,330140,-14.42
71,2000-04-18,2971,2971,2788,2824,361040,2.77
72,2000-04-19,2892,2910,2788,2796,271330,-0.99
73,2000-04-20,2745,2859,2702,2758,339890,-1.36
74,2000-04-21,2834,2863,2759,2786,259500,1.02
75,2000-04-24,2739,2796,2711,2710,289210,-2.73
76,2000-04-25,2687,2687,2522,2540,397900,-6.27
77,2000-04-26,2617,2635,2329,2337,369500,-7.99
78,2000-04-27,2334,2457,2221,2361,659210,1.03
79,2000-04-28,2315,2693,2226,2461,2658740,4.24
80,2000-05-02,2465,2532,2371,2464,662970,0.12
81,2000-05-03,2395,2626,2380,2474,824350,0.41
82,2000-05-04,2484,2640,2437,2545,581800,2.87
83,2000-05-08,2522,2550,2475,2474,298500,-2.79
84,2000-05-09,2446,2489,2362,2380,315990,-3.8
85,2000-05-10,2380,2409,2286,2304,295100,-3.19
86,2000-05-12,2342,2342,2276,2304,271940,0.0
87,2000-05-15,2320,2320,2117,2125,202960,-7.77
88,2000-05-16,2031,2173,2031,2125,207080,0.0
89,2000-05-17,2155,2155,1843,1889,306680,-11.11
90,2000-05-18,1800,1980,1800,1889,449740,0.0
91,2000-05-19,1980,2003,1890,1912,365990,1.22
92,2000-05-22,1918,2030,1861,1874,612930,-1.99
93,2000-05-23,1794,2126,1794,1997,784250,6.56
94,2000-05-24,2013,2297,1956,2295,1022340,14.92
95,2000-05-25,2409,2635,2324,2634,796510,14.77
96,2000-05-26,2457,2806,2268,2314,1299550,-12.15
97,2000-05-29,2267,2660,2097,2659,1202480,14.91
98,2000-05-30,2929,3056,2673,2833,2454700,6.54
99,2000-05-31,2929,3232,2834,3126,2614100,10.34
100,2000-06-01,3117,3203,2787,2805,1447850,-10.27
101,2000-06-02,3069,3165,2900,3003,1612790,7.06
102,2000-06-05,3127,3452,3127,3452,1980460,14.95
103,2000-06-07,3452,3854,3419,3541,2805910,2.58
104,2000-06-08,3543,3704,3136,3301,1685250,-6.78
105,2000-06-09,3297,3467,3140,3239,1262930,-1.88
106,2000-06-12,3211,3330,3089,3211,908770,-0.86
107,2000-06-13,3189,3402,3033,3032,1218330,-5.57
108,2000-06-14,3042,3137,2839,2928,726420,-3.43
109,2000-06-15,2929,3008,2645,2644,746940,-9.7
110,2000-06-16,2569,2687,2513,2535,647940,-4.12
111,2000-06-19,2537,2585,2424,2451,508950,-3.31
112,2000-06-20,2475,2815,2475,2814,1321460,14.81
113,2000-06-21,2909,3183,2829,2833,2111440,0.68
114,2000-06-22,2966,2995,2749,2847,1012980,0.49
115,2000-06-23,2777,2900,2758,2833,561920,-0.49
116,2000-06-26,2844,2930,2816,2862,486140,1.02
117,2000-06-27,2881,3155,2867,3079,1242710,7.58
118,2000-06-28,3090,3260,3000,3022,1194950,-1.85
119,2000-06-29,3118,3118,2901,2928,561620,-3.11
120,2000-06-30,2947,3183,2929,3117,1051510,6.45
121,2000-07-03,3170,3212,3080,3131,1128930,0.45
122,2000-07-04,3198,3401,3132,3145,1719390,0.45
123,2000-07-05,3122,3419,3013,3353,1537480,6.61
124,2000-07-06,3364,3770,3293,3533,3126940,5.37
125,2000-07-07,3675,3969,3543,3896,4539170,10.27
126,2000-07-10,3948,4477,3897,4476,4357850,14.89
127,2000-07-11,4572,4978,4250,4250,7406240,-5.05
128,2000-07-12,4440,4506,3968,4156,3404480,-2.21
129,2000-07-13,4015,4228,3977,4127,2103800,-0.7
130,2000-07-14,4128,4194,3769,3778,1761800,-8.46
131,2000-07-18,3411,3685,3382,3495,1604500,-7.49
132,2000-07-19,3425,3949,3425,3873,3978110,10.82
133,2000-07-20,3723,3874,3543,3589,3365150,-7.33
134,2000-07-21,3779,4063,3666,3939,3521600,9.75
135,2000-07-24,3968,3981,3401,3503,3112800,-11.07
136,2000-07-25,3543,3756,3373,3632,3298400,3.68
137,2000-07-26,3656,3722,3509,3541,1582590,-2.51
138,2000-07-27,3543,3600,3364,3400,1216830,-3.98
139,2000-07-28,3353,3528,3315,3315,1616420,-2.5
140,2000-07-31,3336,3402,3265,3362,1019540,1.42
141,2000-08-01,3402,3543,3326,3457,1834190,2.83
142,2000-08-02,3458,3534,3402,3457,998670,0.0
143,2000-08-03,3523,3523,3405,3404,732140,-1.53
144,2000-08-04,3354,3402,3250,3287,749620,-3.44
145,2000-08-07,3232,3241,3024,3022,595090,-8.06
146,2000-08-08,2975,3132,2947,2975,720690,-1.56
147,2000-08-09,3061,3193,2999,3145,1041150,5.71
148,2000-08-10,3166,3260,3123,3258,797520,3.59
149,2000-08-11,3212,3420,3194,3287,933510,0.89
150,2000-08-14,3580,3656,3476,3541,1682870,7.73
151,2000-08-16,3542,3589,3429,3518,1037020,-0.65
152,2000-08-17,3490,3589,3438,3437,1019560,-2.3
153,2000-08-18,3448,3552,3405,3452,805590,0.44
154,2000-08-21,3429,3495,3335,3353,660090,-2.87
155,2000-08-22,3373,3439,3364,3400,726820,1.4
156,2000-08-23,3419,3448,3231,3244,691690,-4.59
157,2000-08-24,3244,3287,3136,3216,793350,-0.86
158,2000-08-25,3204,3232,3137,3164,478220,-1.62
159,2000-08-28,3137,3207,3137,3188,531400,0.76
160,2000-08-29,3226,3273,3203,3206,517510,0.56
161,2000-08-30,3217,3222,3166,3164,295370,-1.31
162,2000-08-31,3146,3184,3042,3060,385030,-3.29
163,2000-09-01,3070,3118,3042,3060,260130,0.0
164,2000-09-04,3024,3057,2948,2966,262970,-3.07
165,2000-09-05,2990,3018,2947,3013,296490,1.58
166,2000-09-06,2975,3069,2975,3013,327350,0.0
167,2000-09-07,2980,2999,2933,2942,326480,-2.36
168,2000-09-08,2966,3099,2919,3041,607520,3.37
169,2000-09-14,2996,3298,2996,3287,966400,8.09
170,2000-09-15,3240,3372,3023,3050,1007230,-7.21
171,2000-09-18,2892,2910,2599,2616,661320,-14.23
172,2000-09-19,2569,2687,2541,2606,659730,-0.38
173,2000-09-20,2692,2758,2664,2705,434470,3.8
174,2000-09-21,2679,2693,2485,2550,334580,-5.73
175,2000-09-22,2560,2579,2409,2413,342670,-5.37
176,2000-09-25,2546,2768,2475,2758,736770,14.3
177,2000-09-26,2759,2834,2636,2720,872860,-1.38
178,2000-09-27,2735,2759,2660,2730,504200,0.37
179,2000-09-28,2712,2773,2651,2692,391520,-1.39
