,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,10293,10293,10293,10293,187100,-15.25
1,2000-01-05,8852,11734,8852,10910,114200,5.99
2,2000-01-06,12248,12248,10293,11322,42300,3.78
3,2000-01-07,12763,12763,9675,11631,104000,2.73
4,2000-01-10,11220,11220,9881,9984,243000,-14.16
5,2000-01-11,9984,10087,9778,10087,156700,1.03
6,2000-01-12,9778,9778,9057,9057,121900,-10.21
7,2000-01-13,8749,8749,8131,8749,57600,-3.4
8,2000-01-14,8543,9263,7719,8749,44300,0.0
9,2000-01-17,9058,9572,8749,9572,25000,9.41
10,2000-01-18,9572,9572,9263,9263,19800,-3.23
11,2000-01-19,9264,9264,8234,8234,12200,-11.11
12,2000-01-20,8543,8543,7616,7616,23400,-7.51
13,2000-01-21,8131,8131,7513,7719,39200,1.35
14,2000-01-24,7719,7822,7411,7411,19100,-3.99
15,2000-01-25,7205,7822,7205,7822,18200,5.55
16,2000-01-26,7514,8954,7308,8954,134100,14.47
17,2000-01-27,8749,9263,7822,8954,148700,0.0
18,2000-01-28,8852,8852,7925,8749,27700,-2.29
19,2000-01-31,8234,9263,8234,9263,91600,5.87
20,2000-02-01,9263,10601,9263,9984,109700,7.78
21,2000-02-02,9366,10396,9263,10087,160100,1.03
22,2000-02-03,10087,10395,9675,10395,70900,3.05
23,2000-02-07,9778,11631,9778,11631,52900,11.89
24,2000-02-08,11322,11836,10807,11836,63000,1.76
25,2000-02-09,11322,12866,10807,12866,130000,8.7
26,2000-02-10,12866,12866,11013,12351,24900,-4.0
27,2000-02-11,11116,11116,10910,10910,15200,-11.67
28,2000-02-14,10396,12351,10087,12351,26000,13.21
29,2000-02-15,10601,12866,10601,11631,19700,-5.83
30,2000-02-16,10395,11322,10395,10395,86100,-10.63
31,2000-02-17,10395,11836,10395,11836,85900,13.86
32,2000-02-18,11837,12351,11837,12351,66500,4.35
33,2000-02-21,12866,12866,11837,12866,39500,4.17
34,2000-02-22,12866,13380,12145,13380,89500,4.0
35,2000-02-23,14924,14924,12866,14924,93100,11.54
36,2000-02-24,16468,16468,13380,14821,156600,-0.69
37,2000-02-25,14410,14410,13381,14101,54900,-4.86
38,2000-02-28,12042,14615,12042,12042,10300,-14.6
39,2000-02-29,10395,13277,10395,13277,119400,10.26
40,2000-03-02,11425,14204,11425,13277,22400,0.0
41,2000-03-03,13175,13175,11837,12866,32600,-3.1
42,2000-03-06,11837,13896,11837,12763,21500,-0.8
43,2000-03-07,12660,13380,12660,13174,68100,3.22
44,2000-03-08,13277,15027,12351,14513,125100,10.16
45,2000-03-09,14307,14410,12969,12969,65200,-10.64
46,2000-03-10,14410,14410,12454,14410,84400,11.11
47,2000-03-13,14410,15954,14410,15954,54500,10.71
48,2000-03-14,15954,17497,15439,17497,120900,9.67
49,2000-03-15,17498,17498,14924,17189,50700,-1.76
50,2000-03-16,17189,17189,14615,14615,63300,-14.97
51,2000-03-17,14101,14204,13895,13895,76100,-4.93
52,2000-03-20,13895,13895,12660,12660,18600,-8.89
53,2000-03-21,11837,13895,11837,12351,50100,-2.44
54,2000-03-22,12866,12866,10601,11939,46500,-3.34
55,2000-03-23,11013,13381,11013,11425,102400,-4.31
56,2000-03-24,10395,12248,10395,12248,96400,7.2
57,2000-03-27,11425,12763,11425,12351,28600,0.84
58,2000-03-28,12866,12866,12042,12866,33100,4.17
59,2000-03-29,13277,13277,12145,12145,28100,-5.6
60,2000-03-30,12351,12351,11322,12351,21500,1.7
61,2000-03-31,12351,12351,11836,12248,23300,-0.83
62,2000-04-03,11322,11939,10498,10601,193600,-13.45
63,2000-04-04,10807,10807,9675,10704,72200,0.97
64,2000-04-06,10705,11013,10705,11013,25300,2.89
65,2000-04-07,10807,10807,9881,10395,61300,-5.61
66,2000-04-10,10292,11013,10292,10807,21300,3.96
67,2000-04-11,10704,10807,9881,10498,22800,-2.86
68,2000-04-12,9984,11116,9984,11116,56700,5.89
69,2000-04-14,10910,12763,10807,12454,132800,12.04
70,2000-04-17,12145,12145,10704,11836,198400,-4.96
71,2000-04-18,11733,13586,11733,13586,507300,14.79
72,2000-04-19,13586,13586,12454,13277,166100,-2.27
73,2000-04-20,12350,13174,11322,11322,98100,-14.72
74,2000-04-21,11322,11425,10910,11116,203100,-1.82
75,2000-04-24,11013,11837,11013,11116,40200,0.0
76,2000-04-25,10087,11734,10087,11734,124800,5.56
77,2000-04-26,11322,11322,10087,10087,72500,-14.04
78,2000-04-27,10087,10395,10087,10293,18200,2.04
79,2000-04-28,9572,10293,9572,10293,13200,0.0
80,2000-05-02,10087,11219,10087,11219,54200,9.0
81,2000-05-03,10499,10910,10190,10910,81200,-2.75
82,2000-05-04,10087,10910,10087,10910,12100,0.0
83,2000-05-08,10807,10807,10292,10807,74800,-0.94
84,2000-05-09,11013,11013,10498,10704,64300,-0.95
85,2000-05-10,10293,10293,9572,10293,76300,-3.84
86,2000-05-12,10293,10704,10293,10293,6000,0.0
87,2000-05-15,9675,10293,9675,10293,6200,0.0
88,2000-05-16,10087,10087,8954,8954,36000,-13.01
89,2000-05-17,8851,9778,8851,9160,102500,2.3
90,2000-05-18,8954,9778,8954,9160,40300,0.0
91,2000-05-19,9161,9778,9161,9778,4200,6.75
92,2000-05-22,9778,9778,8440,8440,8500,-13.68
93,2000-05-23,9263,9263,7822,7822,2800,-7.32
94,2000-05-24,7205,8749,7205,8646,11900,10.53
95,2000-05-25,8646,9160,8646,9160,36300,5.94
96,2000-05-26,9160,9160,8440,9057,6200,-1.12
97,2000-05-29,8234,8749,8234,8234,35700,-9.09
98,2000-05-30,9470,9470,7205,9470,219000,15.01
99,2000-05-31,10293,10293,8543,8749,146400,-7.61
100,2000-06-01,9263,9263,8337,8852,89000,1.18
101,2000-06-02,8852,8852,8337,8543,33400,-3.49
102,2000-06-05,8543,8543,8440,8440,308700,-1.21
103,2000-06-07,8440,8749,8440,8543,124200,1.22
104,2000-06-08,8543,8543,8337,8440,83300,-1.21
105,2000-06-09,8234,8749,8131,8749,95500,3.66
106,2000-06-12,8646,8749,8337,8646,32600,-1.18
107,2000-06-13,8131,9469,7823,8234,106500,-4.77
108,2000-06-14,8234,8646,8234,8646,110300,5.0
109,2000-06-15,8234,8234,7822,7822,38200,-9.53
110,2000-06-16,7720,8131,7720,8131,23900,3.95
111,2000-06-19,7616,7616,7205,7411,81900,-8.85
112,2000-06-20,7205,7617,6896,6896,45500,-6.95
113,2000-06-21,6896,7616,6896,7616,74700,10.44
114,2000-06-22,7513,7513,6587,7513,75000,-1.35
115,2000-06-23,7719,7719,7102,7411,14300,-1.36
116,2000-06-26,6999,7308,6793,6896,107000,-6.95
117,2000-06-27,6896,6896,6793,6896,35300,0.0
118,2000-06-28,6381,7205,6381,7205,130600,4.48
119,2000-06-29,7102,7205,6690,7102,45100,-1.43
120,2000-06-30,7102,8029,6896,8029,63300,13.05
121,2000-07-03,7411,7719,7411,7513,99500,-6.43
122,2000-07-04,7410,7822,7205,7719,114400,2.74
123,2000-07-05,7618,7618,7102,7102,96700,-7.99
124,2000-07-06,7102,7411,7102,7308,78000,2.9
125,2000-07-07,7308,7411,7205,7411,115300,1.41
126,2000-07-10,7308,7617,7205,7205,28000,-2.78
127,2000-07-11,7205,7411,7205,7411,179700,2.86
128,2000-07-12,7411,8440,7308,7616,837000,2.77
129,2000-07-13,8131,8131,7205,7308,286200,-4.04
130,2000-07-14,7205,7719,7205,7719,71400,5.62
131,2000-07-18,7822,7822,7308,7308,180500,-5.32
132,2000-07-19,7411,8337,7308,8337,348900,14.08
133,2000-07-20,7719,7719,7102,7411,206200,-11.11
134,2000-07-21,6381,7513,6381,7513,182600,1.38
135,2000-07-24,7514,7514,6793,6793,110500,-9.58
136,2000-07-25,6690,6999,6587,6896,115400,1.52
137,2000-07-26,6999,7102,6896,6896,47200,0.0
138,2000-07-27,6896,7925,6896,7925,359800,14.92
139,2000-07-28,9160,9160,9160,9160,198700,15.58
140,2000-07-31,10498,10498,10498,10498,301100,14.61
141,2000-08-01,12042,12042,12042,12042,258700,14.71
142,2000-08-02,13792,13792,13792,13792,4500,14.53
143,2000-08-03,15851,15851,15851,15851,50300,14.93
144,2000-08-04,18012,18218,13484,15439,2151400,-2.6
145,2000-08-07,13277,14307,13174,13174,784600,-14.67
146,2000-08-08,11219,11425,11219,11219,684700,-14.84
147,2000-08-09,10499,12351,10499,12351,976100,10.09
148,2000-08-10,11322,11837,10910,11013,530600,-10.83
149,2000-08-11,11116,11836,11116,11836,474900,7.47
150,2000-08-14,12042,12350,11322,11322,250800,-4.34
151,2000-08-16,11836,11836,10704,11631,166600,2.73
152,2000-08-17,11322,11425,10293,10293,197000,-11.5
153,2000-08-18,10190,11219,9984,11219,425800,9.0
154,2000-08-21,12866,12866,12866,12866,240800,14.68
155,2000-08-22,14821,14821,14821,14821,117000,15.2
156,2000-08-23,16983,16983,16983,16983,460200,14.59
157,2000-08-24,19556,19556,19556,19556,316400,15.15
158,2000-08-25,22438,22438,22438,22438,140400,14.74
159,2000-08-28,25732,25732,25732,25732,17100,14.68
160,2000-08-29,29643,29643,21923,21923,1634000,-14.8
161,2000-08-30,20585,25114,20585,25114,450800,14.56
162,2000-08-31,28922,28922,22849,26658,1131400,6.15
163,2000-09-01,23673,27688,22747,22747,909100,-14.67
164,2000-09-04,20688,23673,20585,22541,1000400,-0.91
165,2000-09-05,23673,23673,21100,22644,460600,0.46
166,2000-09-06,23467,23467,21203,21203,504800,-6.36
167,2000-09-07,19556,20482,18527,18733,444300,-11.65
168,2000-09-08,17806,17806,15954,15954,524300,-14.83
169,2000-09-14,14924,18012,14101,17497,571900,9.67
170,2000-09-15,18527,19556,17498,19556,683500,11.77
171,2000-09-18,20997,20997,16674,16674,270700,-14.74
172,2000-09-19,15953,19041,14718,19041,349000,14.2
173,2000-09-20,18115,19453,17600,17600,452000,-7.57
174,2000-09-21,18012,18218,15954,17189,453700,-2.34
175,2000-09-22,16880,16880,15027,15336,180700,-10.78
176,2000-09-25,16983,16983,13895,13895,214300,-9.4
177,2000-09-26,13380,13380,12351,12969,583500,-6.66
178,2000-09-27,14204,14204,12969,13277,185700,2.37
179,2000-09-28,12454,13380,12248,13174,371500,-0.78
180,2000-09-29,13380,13895,13174,13277,236300,0.78
181,2000-10-02,13998,13998,12763,12969,197900,-2.32
182,2000-10-04,13072,13072,12145,12660,339600,-2.38
183,2000-10-05,12660,12660,11630,12145,260000,-4.07
184,2000-10-06,10396,13998,10396,13998,345700,15.26
185,2000-10-09,16056,16056,16056,16056,236500,14.7
186,2000-10-10,18424,18424,18424,18424,255700,14.75
187,2000-10-11,21100,21100,15748,18835,2732700,2.23
188,2000-10-12,18836,18836,16468,18527,861800,-1.64
189,2000-10-13,17498,21306,17498,21306,1174400,15.0
190,2000-10-16,24497,24497,23467,24085,1321700,13.04
191,2000-10-17,21100,22026,20482,20482,1382400,-14.96
192,2000-10-18,17497,17497,17497,17497,464600,-14.57
193,2000-10-19,15748,18321,15748,16674,872600,-4.7
194,2000-10-20,16777,16777,15439,15439,749400,-7.41
195,2000-10-23,14924,17806,14410,17806,609400,15.33
196,2000-10-24,17806,18527,15439,15439,677600,-13.29
197,2000-10-25,16468,16468,14410,14615,359100,-5.34
198,2000-10-26,14204,15645,13895,14615,301500,0.0
199,2000-10-27,14821,15850,14821,15130,211800,3.52
200,2000-10-30,16468,16468,14410,14410,200700,-4.76
201,2000-10-31,12249,13381,12249,12351,211900,-14.29
202,2000-11-01,12146,12969,11013,12351,307800,0.0
203,2000-11-02,11425,13895,11425,13895,699200,12.5
204,2000-11-03,14204,15130,13071,13380,241300,-3.71
205,2000-11-06,13380,15439,13380,14718,440500,10.0
206,2000-11-07,14615,15130,14204,14615,201700,-0.7
207,2000-11-08,13895,14101,13895,13998,129600,-4.22
208,2000-11-09,14924,14924,12557,12866,201300,-8.09
209,2000-11-10,12866,13895,12660,12660,147200,-1.6
210,2000-11-13,13381,14307,12660,13895,298300,9.76
211,2000-11-14,13895,15954,13895,15954,786500,14.82
212,2000-11-15,17497,17497,14410,14513,510900,-9.03
