,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,17909,23316,17909,22640,59280,8.07
1,2000-01-05,24329,26018,24329,26019,52560,14.92
2,2000-01-06,30073,30073,27033,27370,63720,5.19
3,2000-01-07,26357,27034,23992,24330,42900,-11.11
4,2000-01-10,27033,27033,22978,23315,22600,-4.17
5,2000-01-11,23653,25005,22978,25005,30280,7.25
6,2000-01-12,23654,23654,22979,22978,23960,-8.11
7,2000-01-13,21626,26018,21626,22302,6820,-2.94
8,2000-01-14,21963,23653,21963,23315,19460,4.54
9,2000-01-17,23316,23316,22640,22978,9020,-1.45
10,2000-01-18,25343,25343,22301,23315,11380,1.47
11,2000-01-19,22639,22639,21963,21964,47480,-5.79
12,2000-01-20,21964,21964,20275,20275,32560,-7.69
13,2000-01-21,23316,23316,22640,22640,12180,11.66
14,2000-01-24,19599,24667,19599,23992,60540,5.97
15,2000-01-25,21627,25006,21627,23992,49480,0.0
16,2000-01-26,21964,25006,21964,23992,9080,0.0
17,2000-01-27,23992,23992,22979,22978,22980,-4.23
18,2000-01-28,23315,26356,23315,26357,91700,14.71
19,2000-01-31,28046,30073,27033,30074,75380,14.1
20,2000-02-01,32101,32101,30749,31763,59260,5.62
21,2000-02-02,31425,31425,28721,28722,26260,-9.57
22,2000-02-03,31425,31425,27033,29060,68580,1.18
23,2000-02-07,28721,28721,27370,27370,39000,-5.82
24,2000-02-08,28722,28722,25682,25681,61200,-6.17
25,2000-02-09,22979,25344,22979,22978,95260,-10.53
26,2000-02-10,23654,23992,22979,22978,9400,0.0
27,2000-02-11,23316,23316,20612,21626,48600,-5.88
28,2000-02-14,24666,25005,24666,25005,149200,15.62
29,2000-02-15,26019,28385,26019,27033,134380,8.11
30,2000-02-16,26018,26018,23653,23653,23680,-12.5
31,2000-02-17,22301,23991,22301,23653,37220,0.0
32,2000-02-18,20950,23653,20950,20950,52880,-11.43
33,2000-02-21,21964,22641,20275,20275,12600,-3.22
34,2000-02-22,20275,21627,20275,21288,20680,5.0
35,2000-02-23,21626,23653,20611,23653,23140,11.11
36,2000-02-24,21288,21963,20950,20950,22440,-11.43
37,2000-02-25,20950,23653,20274,23653,15440,12.9
38,2000-02-28,25344,25344,20275,22978,23780,-2.85
39,2000-02-29,24330,24330,22640,22640,43520,-1.47
40,2000-03-02,20275,22302,20275,21288,48320,-5.97
41,2000-03-03,20275,21964,20275,21288,25120,0.0
42,2000-03-06,24330,24330,24330,24330,77960,14.29
43,2000-03-07,28047,28047,22640,24330,113980,0.0
44,2000-03-08,23654,26019,21627,22640,33160,-6.95
45,2000-03-09,25344,25682,21964,25681,121100,13.43
46,2000-03-10,28722,29399,28385,29398,194960,14.47
47,2000-03-13,33790,33790,33790,33790,115360,14.94
48,2000-03-14,38860,38860,38860,38860,162280,15.0
49,2000-03-15,44603,44603,44603,44604,71120,14.78
50,2000-03-16,51361,51361,38183,38183,480080,-14.4
51,2000-03-17,32438,37169,32438,32439,202440,-15.04
52,2000-03-20,28384,37169,27708,27708,109600,-14.58
53,2000-03-21,26019,26357,25344,25343,135780,-8.54
54,2000-03-22,25343,28721,25343,28722,130120,13.33
55,2000-03-23,27033,30411,25343,30074,84500,4.71
56,2000-03-24,30074,30074,28385,29736,24400,-1.12
57,2000-03-27,29060,33791,28385,29736,114780,0.0
