,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1310,1435,1310,1415,11830,-4.39
1,2000-01-05,1380,1380,1265,1290,21430,-8.83
2,2000-01-06,1325,1450,1290,1300,14820,0.78
3,2000-01-07,1320,1370,1260,1320,20390,1.54
4,2000-01-10,1330,1330,1280,1285,19120,-2.65
5,2000-01-11,1295,1350,1260,1300,16930,1.17
6,2000-01-12,1300,1330,1255,1270,16600,-2.31
7,2000-01-13,1250,1320,1210,1320,20420,3.94
8,2000-01-14,1320,1370,1270,1330,20990,0.76
9,2000-01-17,1370,1370,1280,1280,15840,-3.76
10,2000-01-18,1280,1300,1260,1280,15920,0.0
11,2000-01-19,1250,1300,1200,1220,11830,-4.69
12,2000-01-20,1130,1150,1100,1100,10260,-9.84
13,2000-01-21,1120,1170,1100,1100,8310,0.0
14,2000-01-24,1160,1160,1100,1120,9990,1.82
15,2000-01-25,1100,1150,1100,1125,9030,0.45
16,2000-01-26,1060,1175,1060,1130,9660,0.44
17,2000-01-27,1100,1220,1100,1170,23780,3.54
18,2000-01-28,1200,1270,1170,1210,16410,3.42
19,2000-01-31,1110,1170,1110,1165,34630,-3.72
20,2000-02-01,1170,1215,1150,1170,18050,0.43
21,2000-02-02,1225,1225,1170,1200,19970,2.56
22,2000-02-03,1200,1240,1160,1190,22900,-0.83
23,2000-02-07,1210,1300,1210,1260,59910,5.88
24,2000-02-08,1300,1300,1200,1200,18740,-4.76
25,2000-02-09,1220,1260,1130,1190,21790,-0.83
26,2000-02-10,1180,1180,1090,1115,34440,-6.3
27,2000-02-11,1065,1150,1030,1060,38330,-4.93
28,2000-02-14,1055,1055,995,997,23250,-5.94
29,2000-02-15,961,985,940,940,25540,-5.72
30,2000-02-16,940,955,902,920,23250,-2.13
31,2000-02-17,926,926,860,880,32720,-4.35
32,2000-02-18,891,923,860,910,56100,3.41
33,2000-02-21,890,890,841,860,22570,-5.49
34,2000-02-22,811,880,811,850,31970,-1.16
35,2000-02-23,850,965,846,910,39540,7.06
36,2000-02-24,929,929,850,860,27870,-5.49
37,2000-02-25,860,895,830,880,37980,2.33
38,2000-02-28,898,1010,898,1010,36130,14.77
39,2000-02-29,1160,1160,980,980,81610,-2.97
40,2000-03-02,1000,1125,1000,1125,68580,14.8
41,2000-03-03,1290,1290,1200,1290,113210,14.67
42,2000-03-06,1400,1480,1245,1430,221620,10.85
43,2000-03-07,1390,1390,1265,1340,81160,-6.29
44,2000-03-08,1330,1360,1265,1265,54290,-5.6
45,2000-03-09,1300,1310,1200,1265,62490,0.0
46,2000-03-10,1270,1350,1270,1325,51200,4.74
47,2000-03-13,1325,1500,1310,1415,107350,6.79
48,2000-03-14,1445,1460,1250,1300,35790,-8.13
49,2000-03-15,1300,1300,1210,1220,22560,-6.15
50,2000-03-16,1170,1290,1170,1200,33010,-1.64
51,2000-03-17,1200,1290,1200,1235,32820,2.92
52,2000-03-20,1285,1420,1235,1370,198690,10.93
53,2000-03-21,1350,1370,1250,1305,59170,-4.74
54,2000-03-22,1370,1490,1330,1480,139210,13.41
55,2000-03-23,1505,1585,1420,1475,179470,-0.34
56,2000-03-24,1500,1620,1450,1535,210870,4.07
57,2000-03-27,1550,1550,1420,1485,68130,-3.26
58,2000-03-28,1455,1475,1350,1400,77580,-5.72
59,2000-03-29,1400,1400,1270,1280,60380,-8.57
60,2000-03-30,1250,1330,1200,1250,55720,-2.34
61,2000-03-31,1280,1300,1210,1210,33930,-3.2
62,2000-04-03,1230,1255,1100,1100,36610,-9.09
63,2000-04-04,1120,1190,1080,1100,36450,0.0
64,2000-04-06,1220,1220,1080,1100,18570,0.0
65,2000-04-07,1100,1160,1100,1120,22110,1.82
66,2000-04-10,1150,1230,1150,1230,50410,9.82
67,2000-04-11,1155,1210,1120,1150,14720,-6.5
68,2000-04-12,1125,1150,1100,1105,28000,-3.91
69,2000-04-14,1065,1100,1030,1055,29760,-4.52
70,2000-04-17,935,980,900,920,36820,-12.8
71,2000-04-18,965,998,930,947,18310,2.93
72,2000-04-19,998,1085,970,1025,41740,8.24
73,2000-04-20,1035,1040,990,1040,18620,1.46
74,2000-04-21,1050,1070,1020,1070,14250,2.88
75,2000-04-24,1050,1080,1035,1040,19550,-2.8
76,2000-04-25,1040,1040,990,1000,17150,-3.85
77,2000-04-26,1030,1040,960,960,19410,-4.0
78,2000-04-27,960,989,930,950,9860,-1.04
79,2000-04-28,990,1000,970,985,20050,3.68
80,2000-05-02,961,1000,961,999,17890,1.42
81,2000-05-03,981,1010,980,996,19990,-0.3
82,2000-05-04,991,1080,972,1050,42880,5.42
83,2000-05-08,1060,1100,1050,1080,38190,2.86
84,2000-05-09,1080,1080,1030,1035,27090,-4.17
85,2000-05-10,1040,1060,1005,1025,31470,-0.97
86,2000-05-12,1005,1020,961,961,21240,-6.24
87,2000-05-15,950,950,880,900,28000,-6.35
88,2000-05-16,910,938,900,902,12480,0.22
89,2000-05-17,923,923,841,890,17470,-1.33
90,2000-05-18,850,879,780,810,22650,-8.99
91,2000-05-19,831,831,790,830,13060,2.47
92,2000-05-22,830,840,750,750,21670,-9.64
93,2000-05-23,780,780,721,780,17540,4.0
94,2000-05-24,780,895,730,889,39070,13.97
95,2000-05-25,880,940,866,909,27710,2.25
96,2000-05-26,850,889,781,849,24900,-6.6
97,2000-05-29,820,850,801,848,51040,-0.12
98,2000-05-30,880,880,840,865,55230,2.0
99,2000-05-31,888,895,875,880,25650,1.73
100,2000-06-01,900,900,845,845,17840,-3.98
101,2000-06-02,850,865,812,829,32000,-1.89
102,2000-06-05,841,884,839,869,51410,4.83
103,2000-06-07,871,915,867,910,72630,4.72
104,2000-06-08,985,985,890,925,93480,1.65
105,2000-06-09,925,925,880,885,34790,-4.32
106,2000-06-12,864,890,850,890,53750,0.56
107,2000-06-13,882,944,871,873,53170,-1.91
108,2000-06-14,876,897,852,860,33460,-1.49
109,2000-06-15,855,888,776,790,35850,-8.14
110,2000-06-16,781,829,780,800,19860,1.27
111,2000-06-19,795,795,771,784,25650,-2.0
112,2000-06-20,770,795,770,790,14320,0.77
113,2000-06-21,800,826,775,800,31140,1.27
114,2000-06-22,800,826,792,796,17390,-0.5
115,2000-06-23,809,809,775,776,21450,-2.51
116,2000-06-26,790,805,777,794,32040,2.32
117,2000-06-27,805,830,797,830,37490,4.53
118,2000-06-28,829,844,810,830,25350,0.0
119,2000-06-29,839,839,807,811,18180,-2.29
120,2000-06-30,804,829,801,819,14190,0.99
121,2000-07-03,819,884,818,866,54900,5.74
122,2000-07-04,891,894,836,860,68250,-0.69
123,2000-07-05,865,989,865,989,198440,15.0
124,2000-07-06,989,1070,940,990,316410,0.1
125,2000-07-07,1050,1135,1040,1090,492510,10.1
126,2000-07-10,1085,1135,1040,1120,225470,2.75
127,2000-07-11,1120,1145,1015,1020,118850,-8.93
128,2000-07-12,1000,1010,930,930,91140,-8.82
129,2000-07-13,901,944,897,900,66610,-3.23
130,2000-07-14,928,928,890,890,54190,-1.11
131,2000-07-18,870,896,850,850,45770,-4.49
132,2000-07-19,850,850,803,829,46110,-2.47
133,2000-07-20,829,830,800,815,25710,-1.69
134,2000-07-21,831,850,810,850,26360,4.29
135,2000-07-24,850,850,780,790,26270,-7.06
136,2000-07-25,783,819,770,805,23970,1.9
137,2000-07-26,800,805,780,802,24050,-0.37
138,2000-07-27,818,818,780,791,24390,-1.37
139,2000-07-28,790,790,771,780,27470,-1.39
140,2000-07-31,778,778,751,775,25000,-0.64
