,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,48069,53484,48069,53483,8790,5.19
1,2000-01-05,54804,61473,53484,61473,43610,14.94
2,2000-01-06,67020,70652,64115,70651,15860,14.93
3,2000-01-07,77915,81216,68010,76594,142550,8.41
4,2000-01-10,79235,83197,75934,79235,67670,3.45
5,2000-01-11,79235,87819,75274,84517,98890,6.67
6,2000-01-12,79896,87159,79896,81216,46700,-3.91
7,2000-01-13,81216,91121,76594,85177,61490,4.88
8,2000-01-14,81877,88479,81877,85177,42530,0.0
9,2000-01-17,86168,88479,79896,83197,48270,-2.32
10,2000-01-18,80226,82207,78575,80555,31590,-3.18
11,2000-01-19,78575,79235,69991,77914,24550,-3.28
12,2000-01-20,69991,77915,69991,77914,19740,0.0
13,2000-01-21,77915,82537,74613,78575,18630,0.85
14,2000-01-24,80556,89800,78245,84517,90230,7.56
15,2000-01-25,82537,88479,78575,83857,48670,-0.78
16,2000-01-26,87819,92441,83857,91450,118900,9.05
17,2000-01-27,97063,97063,87159,91780,80570,0.36
18,2000-01-28,88479,92441,87159,91120,45250,-0.72
19,2000-01-31,87819,91121,84518,88479,39320,-2.9
20,2000-02-01,87159,90460,85178,90460,26340,2.24
21,2000-02-02,87159,94422,87159,92441,45000,2.19
22,2000-02-03,92441,94422,90130,94422,42780,2.14
23,2000-02-07,93762,94092,91121,92441,29790,-2.1
24,2000-02-08,89140,90790,87159,90790,24970,-1.79
25,2000-02-09,89140,89140,84518,85177,33080,-6.18
26,2000-02-10,83197,97724,77915,97723,109350,14.73
27,2000-02-11,97063,97063,83527,84517,34280,-13.51
28,2000-02-14,85178,87489,73293,73292,31290,-13.28
29,2000-02-15,70982,74613,66029,68010,24440,-7.21
30,2000-02-16,71642,72632,68010,69330,16330,1.94
31,2000-02-17,69331,75604,69331,72632,11110,4.76
32,2000-02-18,68671,81877,68671,73952,15690,1.82
33,2000-02-21,80556,80556,68671,68670,17290,-7.14
34,2000-02-22,69331,73293,68010,70321,7870,2.4
35,2000-02-23,67350,78905,67350,71311,16670,1.41
36,2000-02-24,71642,72632,68671,69991,7820,-1.85
37,2000-02-25,66029,69991,66029,68010,12760,-2.83
38,2000-02-28,69001,74613,67350,72632,22370,6.8
39,2000-02-29,79235,79235,68010,71311,15210,-1.82
40,2000-03-02,69331,72963,67680,69661,12640,-2.31
41,2000-03-03,69661,76594,68010,71972,22600,3.32
42,2000-03-06,73623,79235,69661,74613,50160,3.67
43,2000-03-07,77254,84518,75604,76594,53560,2.66
44,2000-03-08,76594,81877,74283,79895,73380,4.31
45,2000-03-09,85838,91781,83197,91780,117280,14.88
46,2000-03-10,91781,94422,84518,85838,94580,-6.47
47,2000-03-13,86168,98714,84518,91120,129670,6.15
48,2000-03-14,92111,93762,79896,80555,57280,-11.59
49,2000-03-15,81546,85508,77915,82206,30160,2.05
50,2000-03-16,82207,86499,77254,77254,24570,-6.02
51,2000-03-17,79235,82537,72632,77584,38900,0.43
52,2000-03-20,77915,77915,73953,75603,13130,-2.55
53,2000-03-21,76264,77915,73623,73952,13120,-2.18
54,2000-03-22,74613,79235,72632,73292,21250,-0.89
55,2000-03-23,76924,78245,73953,77254,20880,5.41
56,2000-03-24,74613,82207,74613,79235,29430,2.56
57,2000-03-27,82537,84518,80556,83527,23730,5.42
58,2000-03-28,82867,82867,79235,79895,26940,-4.35
59,2000-03-29,81546,82537,75934,78244,24800,-2.07
60,2000-03-30,78245,78245,72307,72655,20790,-7.14
61,2000-03-31,75450,75450,71957,71957,25020,-0.96
62,2000-04-03,80341,80341,71259,71957,11880,0.0
63,2000-04-04,72656,72656,63993,66368,8330,-7.77
64,2000-04-06,66368,66368,59382,61478,7730,-7.37
65,2000-04-07,61478,65740,61478,63573,12330,3.41
66,2000-04-10,62875,66368,62875,66158,11930,4.07
67,2000-04-11,65670,65670,63574,64202,6610,-2.96
68,2000-04-12,62875,64622,61478,62176,10370,-3.16
69,2000-04-14,63574,63574,59382,61408,6780,-1.24
70,2000-04-17,55889,58684,53444,53933,9980,-12.17
71,2000-04-18,55889,57985,55889,56937,7440,5.57
72,2000-04-19,60430,65460,57636,65460,33950,14.97
73,2000-04-20,65251,68394,60430,61478,25580,-6.08
74,2000-04-21,64203,65600,61478,62665,8270,1.93
75,2000-04-24,62666,63923,59732,61478,5840,-1.89
76,2000-04-25,60849,62666,60640,61478,13460,0.0
77,2000-04-26,62526,65670,60430,61338,23090,-0.23
78,2000-04-27,60011,61478,57426,61478,10500,0.23
79,2000-04-28,58754,61478,58754,59382,4580,-3.41
80,2000-05-02,59382,60081,58195,59731,4140,0.59
