,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,5170,5890,5170,5720,1122680,-5.45
1,2000-01-05,5690,5690,5450,5500,1060370,-3.85
2,2000-01-06,5650,5730,5250,5350,862310,-2.73
3,2000-01-07,5350,5850,5220,5600,1391840,4.67
4,2000-01-10,5800,5850,5610,5670,918930,1.25
5,2000-01-11,5600,5670,5410,5410,751940,-4.59
6,2000-01-12,5490,5550,5250,5300,675540,-2.03
7,2000-01-13,5300,5370,5100,5150,985690,-2.83
8,2000-01-14,5110,5200,5010,5030,848810,-2.33
9,2000-01-17,5050,5200,5000,5010,964600,-0.4
10,2000-01-18,5050,5090,4870,4920,1022650,-1.8
11,2000-01-19,4820,4850,4500,4500,987590,-8.54
12,2000-01-20,4515,5170,4510,5170,1956630,14.89
13,2000-01-21,5250,5490,5080,5080,2474840,-1.74
14,2000-01-24,4900,5290,4800,5020,1012530,-1.18
15,2000-01-25,4950,4995,4800,4800,699830,-4.38
16,2000-01-26,4700,5170,4700,4900,863680,2.08
17,2000-01-27,4950,5190,4920,5170,983300,5.51
18,2000-01-28,5170,5280,5020,5040,1017980,-2.51
19,2000-01-31,5000,5140,4905,5050,600200,0.2
20,2000-02-01,5100,5130,4930,4950,719940,-1.98
21,2000-02-02,4930,5080,4870,5020,804360,1.41
22,2000-02-03,5010,5040,4930,4985,536230,-0.7
23,2000-02-07,4990,5000,4880,4880,978250,-2.11
24,2000-02-08,4850,4850,4710,4740,897660,-2.87
25,2000-02-09,4750,4840,4615,4620,881020,-2.53
26,2000-02-10,4590,4600,4440,4450,946060,-3.68
27,2000-02-11,4405,4530,4280,4295,791400,-3.48
28,2000-02-14,4060,4250,4020,4100,706460,-4.54
29,2000-02-15,4020,4250,4000,4070,767460,-0.73
30,2000-02-16,4130,4350,4130,4310,899720,5.9
31,2000-02-17,4310,4380,4100,4200,684390,-2.55
32,2000-02-18,4200,4200,4055,4060,604540,-3.33
33,2000-02-21,3810,4000,3800,3850,539340,-5.17
34,2000-02-22,3790,3995,3655,3950,785140,2.6
35,2000-02-23,3950,4540,3950,4460,1018520,12.91
36,2000-02-24,4120,4450,4110,4300,684770,-3.59
37,2000-02-25,4250,4945,4150,4945,1557850,15.0
38,2000-02-28,4845,5170,4665,4750,1083990,-3.94
39,2000-02-29,4750,4750,4100,4400,759270,-7.37
40,2000-03-02,4150,4400,4150,4255,634950,-3.3
41,2000-03-03,4270,4350,4060,4105,625270,-3.53
42,2000-03-06,4150,4350,4110,4285,489540,4.38
43,2000-03-07,4250,4440,4120,4280,457850,-0.12
44,2000-03-08,4300,4385,4210,4325,568370,1.05
45,2000-03-09,4350,4550,4330,4400,1266620,1.73
46,2000-03-10,4445,4495,4290,4320,582320,-1.82
47,2000-03-13,4350,4390,4250,4270,685000,-1.16
48,2000-03-14,4390,4545,4255,4300,947820,0.7
49,2000-03-15,4320,4400,4200,4205,784300,-2.21
50,2000-03-16,4290,4300,4100,4120,431330,-2.02
51,2000-03-17,4280,4470,4200,4360,1205200,5.83
52,2000-03-20,4400,4540,4310,4450,630050,2.06
53,2000-03-21,4450,4480,4350,4385,499790,-1.46
54,2000-03-22,4440,4450,4300,4350,670840,-0.8
55,2000-03-23,4350,4360,4200,4340,557790,-0.23
56,2000-03-24,4270,4285,4215,4230,311840,-2.53
57,2000-03-27,4110,4170,4050,4160,442950,-1.65
58,2000-03-28,4200,4275,4090,4140,424160,-0.48
59,2000-03-29,4090,4180,4050,4060,377820,-1.93
60,2000-03-30,4060,4100,3900,4100,498760,0.99
61,2000-03-31,4000,4700,3970,4700,612650,14.63
62,2000-04-03,4200,4350,4060,4060,480700,-13.62
63,2000-04-04,4010,4300,4005,4200,655430,3.45
64,2000-04-06,4190,4190,4025,4030,187670,-4.05
65,2000-04-07,3950,4090,3950,3995,342220,-0.87
66,2000-04-10,4045,4400,3995,4160,819230,4.13
67,2000-04-11,4200,4245,3990,4000,400650,-3.85
68,2000-04-12,4010,4100,4005,4005,287030,0.12
69,2000-04-14,3950,3990,3865,3910,319070,-2.37
70,2000-04-17,3330,3800,3330,3510,637070,-10.23
71,2000-04-18,3630,3900,3560,3660,487170,4.27
72,2000-04-19,3715,3790,3660,3700,526420,1.09
73,2000-04-20,3745,3745,3650,3690,235310,-0.27
74,2000-04-21,3690,3745,3650,3700,301700,0.27
75,2000-04-24,3660,3670,3600,3610,281300,-2.43
76,2000-04-25,3600,3610,3450,3470,316460,-3.88
77,2000-04-26,3500,3550,3050,3100,645650,-10.66
78,2000-04-27,3110,3230,2985,3130,511900,0.97
79,2000-04-28,3180,3290,3065,3140,424760,0.32
80,2000-05-02,3000,3145,3000,3140,363510,0.0
81,2000-05-03,3140,3220,3080,3200,306900,1.91
82,2000-05-04,3160,3440,3150,3315,603860,3.59
83,2000-05-08,3380,3475,3315,3350,472530,1.06
84,2000-05-09,3350,3520,3260,3395,566580,1.34
85,2000-05-10,3360,3400,3320,3340,254870,-1.62
86,2000-05-12,3410,3640,3320,3595,1001910,7.63
87,2000-05-15,3690,3740,3250,3265,420750,-9.18
88,2000-05-16,3110,3350,3100,3270,144940,0.15
89,2000-05-17,3175,3300,3050,3130,195770,-4.28
90,2000-05-18,3010,3125,2930,2950,185760,-5.75
91,2000-05-19,2930,2950,2655,2850,206030,-3.39
92,2000-05-22,2715,2835,2500,2570,405790,-9.82
93,2000-05-23,2490,2615,2365,2365,674990,-7.98
94,2000-05-24,2415,2680,2310,2570,479130,8.67
95,2000-05-25,2700,2880,2610,2870,501680,11.67
96,2000-05-26,2850,2975,2510,2610,500260,-9.06
97,2000-05-29,2500,2800,2350,2720,425350,4.21
98,2000-05-30,2800,3050,2770,3020,715670,11.03
99,2000-05-31,3300,3470,3050,3350,6854080,10.93
100,2000-06-01,3240,3240,3010,3120,533090,-6.87
101,2000-06-02,3245,3245,3020,3130,477140,0.32
102,2000-06-05,3170,3440,3170,3340,898190,6.71
103,2000-06-07,3410,3840,3340,3840,1101980,14.97
104,2000-06-08,4000,4040,3500,3500,1058680,-8.85
105,2000-06-09,3700,3850,3560,3655,1041260,4.43
106,2000-06-12,3650,3770,3505,3685,732800,0.82
107,2000-06-13,3610,3650,3440,3450,347860,-6.38
108,2000-06-14,3400,3550,3310,3500,281060,1.45
109,2000-06-15,3500,3550,3210,3250,423530,-7.14
110,2000-06-16,3200,3300,3150,3200,199480,-1.54
111,2000-06-19,3100,3190,3020,3020,169520,-5.63
112,2000-06-20,3060,3130,3005,3095,221610,2.48
113,2000-06-21,3120,3190,3085,3130,265270,1.13
114,2000-06-22,3150,3275,3050,3165,265990,1.12
115,2000-06-23,3105,3205,3070,3200,225820,1.11
116,2000-06-26,3220,3370,3200,3340,270650,4.37
117,2000-06-27,3300,3420,3300,3400,347270,1.8
118,2000-06-28,3400,3460,3310,3370,379690,-0.88
119,2000-06-29,3340,3365,3245,3300,316530,-2.08
120,2000-06-30,3250,3790,3225,3500,569110,6.06
121,2000-07-03,3375,3530,3360,3460,271750,-1.14
122,2000-07-04,3500,3520,3350,3365,211270,-2.75
123,2000-07-05,3310,3420,3310,3315,189610,-1.49
124,2000-07-06,3320,3450,3300,3430,373620,3.47
125,2000-07-07,3530,3645,3465,3545,585810,3.35
126,2000-07-10,3750,3850,3640,3645,684190,2.82
127,2000-07-11,3645,3730,3505,3510,492910,-3.7
128,2000-07-12,3600,3600,3400,3400,298720,-3.13
129,2000-07-13,3410,3495,3330,3380,230980,-0.59
130,2000-07-14,3400,3400,3335,3350,187990,-0.89
131,2000-07-18,3440,3440,3255,3275,151300,-2.24
132,2000-07-19,3200,3300,3185,3290,286590,0.46
133,2000-07-20,3250,3700,3250,3495,804300,6.23
134,2000-07-21,3550,3580,3380,3385,221000,-3.15
135,2000-07-24,3370,3430,3200,3320,245540,-1.92
136,2000-07-25,3120,3350,3120,3220,206510,-3.01
