,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,2710,3355,2710,3355,367570,14.9
1,2000-01-05,3550,3855,3350,3855,304950,14.9
2,2000-01-06,3980,4300,3300,4050,308590,5.06
3,2000-01-07,4000,4090,3700,3800,114790,-6.17
4,2000-01-10,3800,4185,3710,3785,147010,-0.39
5,2000-01-11,3710,3775,3450,3500,157990,-7.53
6,2000-01-12,3550,3700,3500,3510,125910,0.29
7,2000-01-13,3500,3900,3220,3800,213860,8.26
8,2000-01-14,3900,3980,3580,3900,158960,2.63
9,2000-01-17,4010,4100,3820,3920,117220,0.51
10,2000-01-18,3900,4250,3750,4170,233810,6.38
11,2000-01-19,4200,4795,4010,4795,265540,14.99
12,2000-01-20,5000,5200,4430,4600,544260,-4.07
13,2000-01-21,4660,4700,4450,4500,149450,-2.17
14,2000-01-24,4610,4800,4405,4530,151650,0.67
15,2000-01-25,4460,4530,3900,3900,155430,-13.91
16,2000-01-26,3510,3985,3510,3660,263290,-6.15
17,2000-01-27,3770,4050,3750,3940,262680,7.65
18,2000-01-28,3900,3950,3700,3750,236020,-4.82
19,2000-01-31,3550,4090,3550,3915,194200,4.4
20,2000-02-01,4170,4200,3940,4000,158740,2.17
21,2000-02-02,4020,4420,3900,4250,178060,6.25
22,2000-02-03,4250,4700,4200,4450,206020,4.71
23,2000-02-07,4300,4940,4300,4935,174440,10.9
24,2000-02-08,5060,5670,4930,5670,1211890,14.89
25,2000-02-09,6200,6370,5600,5600,1023120,-1.23
26,2000-02-10,5310,5400,4760,4760,570820,-15.0
27,2000-02-11,4600,5190,4430,4750,764590,-0.21
28,2000-02-14,4600,4960,4200,4400,310210,-7.37
29,2000-02-15,4280,4450,4000,4000,150210,-9.09
30,2000-02-16,4115,4370,4020,4120,177900,3.0
31,2000-02-17,4050,4200,4020,4020,151310,-2.43
32,2000-02-18,4325,4325,4070,4120,155270,2.49
33,2000-02-21,3990,4735,3800,4735,332420,14.93
34,2000-02-22,4980,4980,4320,4370,275640,-7.71
35,2000-02-23,4330,4790,4020,4500,207630,2.97
36,2000-02-24,4400,4695,4400,4500,104730,0.0
37,2000-02-25,4500,4950,4460,4800,224520,6.67
38,2000-02-28,4810,5300,4710,4830,274540,0.63
39,2000-02-29,5200,5550,5150,5550,177100,14.91
40,2000-03-02,5800,6380,5310,5590,642250,0.72
41,2000-03-03,5410,5500,4760,4760,372510,-14.85
42,2000-03-06,5000,5300,4700,5100,333470,7.14
43,2000-03-07,4750,5090,4750,4830,204540,-5.29
44,2000-03-08,4850,5330,4850,5050,331940,4.55
45,2000-03-09,4950,5200,4900,4900,233860,-2.97
46,2000-03-10,5000,5080,4760,4760,250620,-2.86
47,2000-03-13,4900,5350,4810,5100,315660,7.14
