,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,32388,32388,29229,30177,32870,4.09
1,2000-01-05,29229,30019,28478,29229,38990,-3.14
2,2000-01-06,30019,31283,28439,29229,25380,0.0
3,2000-01-07,31203,32388,28756,31598,42620,8.1
4,2000-01-10,32388,33889,31600,31796,29400,0.63
5,2000-01-11,32389,33100,30454,30808,19050,-3.11
6,2000-01-12,30809,30809,29071,29229,39860,-5.13
7,2000-01-13,29622,30018,28279,28360,41300,-2.97
8,2000-01-14,28439,30177,28201,29229,57240,3.06
9,2000-01-17,30019,33416,29229,31598,101200,8.1
10,2000-01-18,30809,31519,29308,29544,34940,-6.5
11,2000-01-19,28438,29386,26858,26859,49630,-9.09
12,2000-01-20,25437,27648,25278,27254,39050,1.47
13,2000-01-21,26543,27255,25477,26543,46490,-2.61
14,2000-01-24,27648,27648,26068,26543,32190,0.0
15,2000-01-25,26147,27648,26147,27175,37710,2.38
16,2000-01-26,26464,27569,26464,26938,33800,-0.87
17,2000-01-27,27648,30413,26978,28676,91330,6.45
18,2000-01-28,31520,31520,28597,30097,95310,4.96
19,2000-01-31,29939,29939,28517,29426,29470,-2.23
20,2000-02-01,29822,30413,27845,28044,62150,-4.7
21,2000-02-02,28121,31124,27293,30414,179150,8.45
22,2000-02-03,30414,32311,29229,30019,230480,-1.3
23,2000-02-07,31600,31600,29309,30019,86250,0.0
24,2000-02-08,28912,29111,26858,27254,122840,-9.21
25,2000-02-09,28359,28755,27648,27649,71480,1.45
26,2000-02-10,26503,28045,26503,26700,35130,-3.43
27,2000-02-11,26858,27017,25753,26069,42580,-2.36
28,2000-02-14,25674,26780,23936,24608,38950,-5.6
29,2000-02-15,23817,26857,23817,24923,27590,1.28
30,2000-02-16,23856,25911,23856,25516,41990,2.38
31,2000-02-17,26463,27254,24565,25239,35740,-1.09
32,2000-02-18,25201,25515,24489,25279,37070,0.16
33,2000-02-21,24172,25121,21487,22514,75590,-10.94
34,2000-02-22,21723,23068,21329,21566,57400,-4.21
35,2000-02-23,21723,24765,21723,24015,71340,11.36
