,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,475,514,468,509,19791893,0.99
1,2000-01-05,494,505,483,495,11069923,-2.75
2,2000-01-06,502,502,451,463,7237322,-6.46
3,2000-01-07,453,472,442,452,12130427,-2.38
4,2000-01-10,457,479,451,474,19758945,4.87
5,2000-01-11,466,477,457,470,13812821,-0.84
6,2000-01-12,470,470,443,448,11351526,-4.68
7,2000-01-13,447,457,439,448,10055499,0.0
8,2000-01-14,453,455,419,429,19241819,-4.24
9,2000-01-17,439,441,414,425,12607636,-0.93
10,2000-01-18,438,438,401,412,23097194,-3.06
11,2000-01-19,373,397,362,373,25310912,-9.47
12,2000-01-20,365,367,335,347,20236671,-6.97
13,2000-01-21,345,372,335,362,34141412,4.32
14,2000-01-24,349,382,347,371,45357898,2.49
15,2000-01-25,365,376,350,355,16037258,-4.31
16,2000-01-26,356,359,341,353,17117060,-0.56
17,2000-01-27,354,386,347,373,39480372,5.67
18,2000-01-28,382,382,364,373,17758234,0.0
19,2000-01-31,361,388,358,379,31221400,1.61
20,2000-02-01,386,397,375,384,22561863,1.32
21,2000-02-02,379,438,375,440,63376570,14.58
22,2000-02-03,446,476,431,439,63124710,-0.23
23,2000-02-07,462,462,437,448,20609374,2.05
24,2000-02-08,448,448,425,433,10391778,-3.35
25,2000-02-09,440,444,401,409,12987840,-5.54
26,2000-02-10,391,399,376,381,15033296,-6.85
27,2000-02-11,371,386,357,360,18730584,-5.51
28,2000-02-14,352,367,329,332,28101243,-7.78
29,2000-02-15,339,345,328,334,11298218,0.6
30,2000-02-16,339,343,320,336,8894786,0.6
31,2000-02-17,320,341,320,341,9913764,1.49
32,2000-02-18,337,339,328,333,9168358,-2.35
33,2000-02-21,324,327,302,302,9277677,-9.31
34,2000-02-22,298,313,282,310,10952298,2.65
35,2000-02-23,315,348,308,328,25324318,5.81
36,2000-02-24,312,316,300,304,9517754,-7.32
37,2000-02-25,302,312,291,303,12840471,-0.33
38,2000-02-28,291,313,289,299,18237037,-1.32
39,2000-02-29,303,307,288,294,10897912,-1.67
40,2000-03-02,309,309,293,303,19226013,3.06
41,2000-03-03,304,304,285,293,9971916,-3.3
42,2000-03-06,298,336,294,337,35552102,15.02
43,2000-03-07,335,341,319,340,32710876,0.89
44,2000-03-08,339,369,332,347,30730526,2.06
45,2000-03-09,358,382,352,360,42946434,3.75
46,2000-03-10,367,367,342,351,16895203,-2.5
47,2000-03-13,354,364,343,347,19084004,-1.14
48,2000-03-14,347,359,328,358,17972591,3.17
49,2000-03-15,352,361,338,360,18282055,0.56
50,2000-03-16,359,363,338,341,9869550,-5.28
51,2000-03-17,356,359,338,341,11016068,0.0
52,2000-03-20,339,344,327,332,19023453,-2.64
53,2000-03-21,334,334,318,321,11334658,-3.31
54,2000-03-22,317,352,315,336,27981736,4.67
55,2000-03-23,335,339,311,336,22259352,0.0
56,2000-03-24,324,328,320,321,11042061,-4.46
57,2000-03-27,316,320,310,312,16112279,-2.8
58,2000-03-28,312,315,302,307,12047906,-1.6
59,2000-03-29,302,320,302,314,22611421,2.28
60,2000-03-30,312,325,310,319,20437363,1.59
61,2000-03-31,315,324,307,317,11247566,-0.63
62,2000-04-03,323,332,302,304,30786795,-4.1
63,2000-04-04,311,315,289,299,15037305,-1.64
64,2000-04-06,292,298,287,288,10567813,-3.68
65,2000-04-07,287,295,283,295,15810314,2.43
66,2000-04-10,320,339,313,339,41922096,14.92
67,2000-04-11,340,348,309,319,41553948,-5.9
68,2000-04-12,320,320,307,310,13643225,-2.82
69,2000-04-14,297,305,292,304,8145629,-1.94
70,2000-04-17,259,287,259,272,12844495,-10.53
71,2000-04-18,285,290,275,280,6930529,2.94
72,2000-04-19,283,287,280,281,6979025,0.36
73,2000-04-20,279,285,272,280,8080250,-0.36
74,2000-04-21,281,283,271,284,8710188,1.43
75,2000-04-24,283,286,273,282,5410231,-0.7
76,2000-04-25,272,275,271,276,3673723,-2.13
77,2000-04-26,276,281,234,242,25624142,-12.32
78,2000-04-27,241,242,220,227,18444425,-6.2
79,2000-04-28,229,249,229,235,18980303,3.52
80,2000-05-02,229,231,221,230,11899732,-2.13
81,2000-05-03,231,236,228,232,9048061,0.87
