,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,7594,7594,7000,7374,15300,-2.91
1,2000-01-05,7374,8140,7087,7710,42840,4.56
2,2000-01-06,7709,7757,6905,7269,21250,-5.72
3,2000-01-07,6905,7355,6713,6714,6840,-7.64
4,2000-01-10,6895,7077,6703,6723,8260,0.13
5,2000-01-11,6799,6972,6512,6541,19430,-2.71
6,2000-01-12,6512,6694,6043,6216,14560,-4.97
7,2000-01-13,6205,6416,6043,6321,14740,1.69
8,2000-01-14,6397,6512,5612,6263,18030,-0.92
9,2000-01-17,6320,6656,6263,6350,9650,1.39
10,2000-01-18,6349,6416,5842,6407,8460,0.9
11,2000-01-19,6416,6416,5956,6311,11300,-1.5
12,2000-01-20,6273,6273,5650,6225,4200,-1.36
13,2000-01-21,5861,6311,5861,6225,9750,0.0
14,2000-01-24,6225,6225,5985,6081,11180,-2.31
15,2000-01-25,5458,6081,5458,5967,9800,-1.87
16,2000-01-26,5985,6177,5746,6014,2040,0.79
17,2000-01-27,6464,6464,5937,6177,14500,2.71
18,2000-01-28,6225,6560,5985,6053,4800,-2.01
19,2000-01-31,5554,6052,5554,5670,9570,-6.33
20,2000-02-01,5928,6320,5794,6225,6010,9.79
21,2000-02-02,6129,6608,5937,6551,8160,5.24
22,2000-02-03,6512,6703,6244,6321,3980,-3.51
23,2000-02-07,6330,6608,6186,6187,3650,-2.12
24,2000-02-08,6014,6512,6014,6034,5740,-2.47
25,2000-02-09,6225,6416,5995,6369,12600,5.55
26,2000-02-10,6301,6407,5937,6407,10300,0.6
27,2000-02-11,6407,6407,5966,6129,20490,-4.34
28,2000-02-14,5889,6215,5746,5746,11140,-6.25
29,2000-02-15,5363,6043,5267,5555,7620,-3.32
30,2000-02-16,5229,5746,5229,5737,2000,3.28
31,2000-02-17,5363,5746,5363,5746,3030,0.16
32,2000-02-18,5411,5698,5267,5555,8470,-3.32
33,2000-02-21,5104,5267,4788,5191,13710,-6.55
34,2000-02-22,4980,5066,4788,5057,2220,-2.58
35,2000-02-23,5085,5554,5075,5497,5200,8.7
36,2000-02-24,5171,5497,4980,5076,6640,-7.66
37,2000-02-25,4893,5363,4788,5363,9740,5.65
38,2000-02-28,5315,6004,5315,5650,22490,5.35
39,2000-02-29,5267,6004,5267,5593,7470,-1.01
40,2000-03-02,5842,5842,5593,5660,13880,1.2
41,2000-03-03,5937,6225,5602,5698,10290,0.67
42,2000-03-06,6550,6550,6531,6551,19600,14.97
43,2000-03-07,7527,7527,7527,7528,81950,14.91
44,2000-03-08,8648,8648,8648,8648,31110,14.88
45,2000-03-09,9912,9912,9912,9912,6040,14.62
46,2000-03-10,11396,11396,11396,11397,5730,14.98
47,2000-03-13,13072,13072,13072,13073,5570,14.71
48,2000-03-14,14988,14988,14365,14988,218280,14.65
49,2000-03-15,14988,17190,13407,13887,433010,-7.35
50,2000-03-16,13886,15945,12929,15946,267860,14.83
51,2000-03-17,18292,18292,17238,18292,155280,14.71
52,2000-03-20,21021,21021,15562,15563,260100,-14.92
53,2000-03-21,13264,13695,13264,13264,100020,-14.77
54,2000-03-22,13216,14844,12162,13216,284780,-0.36
55,2000-03-23,12929,13791,11253,11301,182820,-14.49
56,2000-03-24,11684,12354,11013,11493,204410,1.7
57,2000-03-27,11492,11779,10103,10583,171080,-7.92
58,2000-03-28,10582,11444,10295,10726,164080,1.35
59,2000-03-29,10726,10870,9146,9146,92810,-14.73
60,2000-03-30,8676,8906,7996,8141,134830,-10.99
61,2000-03-31,8427,9356,8332,9357,271870,14.94
62,2000-04-03,9960,10534,9126,9328,360990,-0.31
63,2000-04-04,9577,9577,7929,7930,81340,-14.99
64,2000-04-06,7910,8523,7470,8035,113580,1.32
65,2000-04-07,7776,8810,7776,8093,168530,0.72
