,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1356,1620,1356,1410,28600,0.0
1,2000-01-05,1437,1489,1205,1207,197700,-14.4
2,2000-01-06,1263,1263,1144,1149,134800,-4.81
3,2000-01-07,1156,1249,1143,1250,89900,8.79
4,2000-01-10,1250,1345,1250,1330,69500,6.4
5,2000-01-11,1276,1373,1276,1303,105300,-2.03
6,2000-01-12,1280,1319,1260,1319,58600,1.23
7,2000-01-13,1330,1415,1325,1407,51500,6.67
8,2000-01-14,1409,1409,1340,1362,25400,-3.2
9,2000-01-17,1377,1462,1335,1463,38800,7.42
10,2000-01-18,1356,1430,1356,1431,15700,-2.19
11,2000-01-19,1457,1457,1341,1356,21900,-5.24
12,2000-01-20,1356,1436,1356,1425,31100,5.09
13,2000-01-21,1218,1436,1218,1425,7100,0.0
14,2000-01-24,1330,1505,1330,1500,70300,5.26
15,2000-01-25,1552,1552,1425,1519,7200,1.27
16,2000-01-26,1524,1649,1524,1596,237900,5.07
17,2000-01-27,1596,1702,1462,1702,77800,6.64
18,2000-01-28,1702,1702,1598,1697,4100,-0.29
19,2000-01-31,1626,1676,1602,1675,3500,-1.3
20,2000-02-01,1542,1694,1542,1654,14400,-1.25
21,2000-02-02,1729,1729,1574,1574,7300,-4.84
22,2000-02-03,1750,1750,1570,1596,4800,1.4
23,2000-02-07,1702,1702,1692,1699,2300,6.45
24,2000-02-08,1516,1526,1516,1527,6700,-10.12
25,2000-02-09,1675,1702,1596,1649,134600,7.99
26,2000-02-10,1649,1702,1569,1569,4300,-4.85
27,2000-02-11,1357,1532,1335,1356,30900,-13.58
28,2000-02-14,1357,1370,1335,1351,43700,-0.37
29,2000-02-15,1325,1553,1325,1356,25800,0.37
30,2000-02-16,1383,1462,1383,1463,7400,7.89
31,2000-02-17,1255,1569,1255,1543,9000,5.47
32,2000-02-18,1513,1771,1417,1418,56700,-8.1
33,2000-02-21,1598,1627,1345,1378,33000,-2.82
34,2000-02-22,1345,1399,1303,1394,33700,1.16
35,2000-02-23,1362,1521,1362,1415,24800,1.51
36,2000-02-24,1415,1428,1361,1428,36900,0.92
37,2000-02-25,1532,1532,1425,1433,6300,0.35
38,2000-02-28,1516,1516,1383,1383,8100,-3.49
39,2000-02-29,1436,1436,1356,1362,35500,-1.52
40,2000-03-02,1372,1486,1372,1479,7300,8.59
41,2000-03-03,1473,1485,1367,1367,40100,-7.57
42,2000-03-06,1463,1505,1377,1500,14000,9.73
43,2000-03-07,1441,1463,1405,1412,12400,-5.87
44,2000-03-08,1412,1425,1377,1396,15000,-1.13
45,2000-03-09,1394,1489,1394,1415,84700,1.36
46,2000-03-10,1468,1516,1415,1420,49900,0.35
47,2000-03-13,1425,1596,1425,1505,207400,5.99
48,2000-03-14,1537,1537,1425,1425,34200,-5.32
49,2000-03-15,1415,1502,1415,1489,47200,4.49
50,2000-03-16,1489,1516,1463,1489,55000,0.0
51,2000-03-17,1495,1586,1495,1532,134000,2.89
52,2000-03-20,1542,1590,1489,1489,147800,-2.81
53,2000-03-21,1463,1516,1436,1489,151300,0.0
54,2000-03-22,1489,1489,1446,1447,57900,-2.82
55,2000-03-23,1453,1463,1399,1415,28700,-2.21
56,2000-03-24,1391,1447,1373,1415,302500,0.0
57,2000-03-27,1415,1437,1383,1415,118400,0.0
58,2000-03-28,1428,1457,1399,1436,162400,1.48
59,2000-03-29,1441,1489,1373,1372,170500,-4.46
60,2000-03-30,1373,1396,1309,1308,85600,-4.66
61,2000-03-31,1176,1287,1176,1277,109000,-2.37
62,2000-04-03,1197,1240,1181,1191,58500,-6.73
63,2000-04-04,1210,1212,1144,1207,62900,1.34
64,2000-04-06,1154,1319,1148,1149,135600,-4.81
65,2000-04-07,1148,1202,1148,1202,111900,4.61
66,2000-04-10,1202,1250,1196,1245,155000,3.58
67,2000-04-11,1202,1224,1176,1223,75400,-1.77
68,2000-04-12,1196,1212,1160,1197,279500,-2.13
69,2000-04-14,1196,1196,1152,1197,72500,0.0
70,2000-04-17,1117,1117,1019,1019,180400,-14.87
71,2000-04-18,1053,1085,1010,1021,259900,0.2
72,2000-04-19,1069,1090,1037,1037,353800,1.57
73,2000-04-20,1059,1085,1009,1011,193200,-2.51
74,2000-04-21,1032,1116,1010,1117,761400,10.48
75,2000-04-24,1149,1218,1117,1183,725400,5.91
76,2000-04-25,1116,1186,1090,1117,252000,-5.58
77,2000-04-26,1170,1170,1037,1037,337900,-7.16
78,2000-04-27,1061,1088,1011,1072,263200,3.38
79,2000-04-28,1085,1232,1085,1231,821700,14.83
80,2000-05-02,1260,1414,1231,1250,1268700,1.54
81,2000-05-03,1324,1399,1265,1354,1025200,8.32
82,2000-05-04,1330,1383,1276,1287,914700,-4.95
83,2000-05-08,1287,1303,1226,1226,619500,-4.74
84,2000-05-09,1234,1351,1234,1287,726200,4.98
85,2000-05-10,1287,1287,1223,1250,284000,-2.87
86,2000-05-12,1257,1271,1170,1170,347400,-6.4
87,2000-05-15,1117,1170,1090,1144,277400,-2.22
88,2000-05-16,1170,1196,1064,1197,159300,4.63
89,2000-05-17,1197,1197,1101,1144,190200,-4.43
90,2000-05-18,1144,1144,1037,1053,133500,-7.95
91,2000-05-19,1112,1112,1040,1064,86000,1.04
92,2000-05-22,1019,1064,957,984,86700,-7.52
93,2000-05-23,957,989,899,968,70500,-1.63
94,2000-05-24,851,1011,851,1011,170000,4.44
95,2000-05-25,1021,1101,1021,1066,74100,5.44
96,2000-05-26,1043,1058,963,984,98300,-7.69
97,2000-05-29,912,1064,912,1064,97500,8.13
98,2000-05-30,1064,1116,1037,1077,67700,1.22
99,2000-05-31,1090,1144,1077,1144,217200,6.22
100,2000-06-01,1128,1128,1096,1112,35700,-2.8
101,2000-06-02,1117,1164,1074,1141,110500,2.61
102,2000-06-05,1170,1196,1140,1170,45200,2.54
103,2000-06-07,1128,1224,1128,1160,201000,-0.85
104,2000-06-08,1160,1218,1064,1069,332100,-7.84
105,2000-06-09,1069,1116,1064,1069,149900,0.0
106,2000-06-12,1116,1116,1042,1069,49800,0.0
107,2000-06-13,1069,1085,1011,1011,238600,-5.43
108,2000-06-14,1011,1080,1005,1080,341600,6.82
109,2000-06-15,1064,1064,1011,1011,53000,-6.39
110,2000-06-16,957,1053,957,1011,40400,0.0
111,2000-06-19,984,1035,984,1035,88400,2.37
112,2000-06-20,1016,1059,997,1048,25400,1.26
113,2000-06-21,1037,1064,1029,1058,18500,0.95
114,2000-06-22,1016,1045,1016,1043,25700,-1.42
115,2000-06-23,1043,1058,1016,1016,17200,-2.59
116,2000-06-26,1085,1085,1018,1021,8800,0.49
117,2000-06-27,1059,1059,1027,1048,45000,2.64
118,2000-06-28,1048,1051,1027,1032,44000,-1.53
119,2000-06-29,1032,1168,1021,1106,99900,7.17
120,2000-06-30,1139,1149,1072,1106,65200,0.0
121,2000-07-03,1069,1116,1053,1117,128500,0.99
122,2000-07-04,1106,1164,1064,1117,145200,0.0
123,2000-07-05,1117,1164,1069,1165,186600,4.3
124,2000-07-06,1164,1170,1101,1165,210600,0.0
125,2000-07-07,1170,1170,1144,1144,34300,-1.8
126,2000-07-10,1116,1303,1112,1218,550900,6.47
127,2000-07-11,1197,1197,1144,1144,148300,-6.08
128,2000-07-12,1196,1212,1138,1154,255600,0.87
129,2000-07-13,1122,1146,1116,1146,83900,-0.69
130,2000-07-14,1117,1160,1117,1141,86400,-0.44
131,2000-07-18,1112,1144,1072,1080,46000,-5.35
132,2000-07-19,1053,1080,1021,1021,57800,-5.46
133,2000-07-20,995,1011,984,995,30100,-2.55
134,2000-07-21,1021,1048,992,1027,26400,3.22
135,2000-07-24,994,1010,986,989,36000,-3.7
