,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,23700,28150,23700,27000,601560,10.2
1,2000-01-05,26000,27800,25000,27000,458820,0.0
2,2000-01-06,27800,27900,24050,25000,296720,-7.41
3,2000-01-07,25500,26500,25000,25350,261960,1.4
4,2000-01-10,26850,26850,25000,25150,255750,-0.79
5,2000-01-11,25150,26000,24750,26000,191330,3.38
6,2000-01-12,24700,26700,24700,25300,191240,-2.69
7,2000-01-13,25000,25800,25000,25600,234990,1.19
8,2000-01-14,25900,25950,24200,24400,115210,-4.69
9,2000-01-17,24000,25000,23700,24900,227390,2.05
10,2000-01-18,24300,24900,24250,24500,130750,-1.61
11,2000-01-19,24000,24000,22600,22850,128510,-6.73
12,2000-01-20,22050,23500,22000,22900,121020,0.22
13,2000-01-21,22900,23450,21550,22350,160040,-2.4
14,2000-01-24,22500,22700,21800,21850,123370,-2.24
15,2000-01-25,21500,22600,21200,21600,157860,-1.14
16,2000-01-26,21600,23500,21550,21950,354500,1.62
17,2000-01-27,22450,25100,22100,25100,614810,14.35
18,2000-01-28,25500,26000,24500,25700,523550,2.39
19,2000-01-31,25500,29550,24850,29550,1008540,14.98
20,2000-02-01,31500,31900,29200,29700,1254870,0.51
21,2000-02-02,29400,31500,29000,30500,657900,2.69
22,2000-02-03,30700,31750,29600,31000,493260,1.64
23,2000-02-07,30300,31900,29700,30500,518040,-1.61
24,2000-02-08,30000,31700,30000,30000,344720,-1.64
25,2000-02-09,30200,31450,29500,30650,438510,2.17
26,2000-02-10,30600,31000,28500,28500,242310,-7.01
27,2000-02-11,28800,29500,27300,27500,351830,-3.51
28,2000-02-14,26600,28300,26200,27500,277910,0.0
29,2000-02-15,28000,28850,26550,27000,304500,-1.82
30,2000-02-16,28000,28500,23250,26600,254290,-1.48
31,2000-02-17,26100,27300,25700,27200,199870,2.26
32,2000-02-18,25700,27000,25500,25500,257380,-6.25
33,2000-02-21,24500,24800,23700,24500,250880,-3.92
34,2000-02-22,24100,24900,23100,23100,453060,-5.71
35,2000-02-23,22700,26550,22700,26550,857760,14.94
36,2000-02-24,24000,26550,24000,25000,448790,-5.84
37,2000-02-25,24500,25800,23800,24600,244550,-1.6
38,2000-02-28,24000,24150,23300,23850,170170,-3.05
39,2000-02-29,26000,26000,22200,23100,275580,-3.14
40,2000-03-02,22600,23700,22300,23000,556690,-0.43
41,2000-03-03,23500,23500,22050,22050,345490,-4.13
42,2000-03-06,22500,25350,22300,25350,584780,14.97
43,2000-03-07,25350,29150,24600,29150,1209550,14.99
44,2000-03-08,27200,33500,27200,28250,1492910,-3.09
45,2000-03-09,28800,28800,25000,25250,1533800,-10.62
46,2000-03-10,25650,26700,24000,24450,860150,-3.17
47,2000-03-13,25450,25900,23400,23400,999490,-4.29
48,2000-03-14,22400,24300,22350,23200,866170,-0.85
49,2000-03-15,22800,24750,22800,23200,838060,0.0
50,2000-03-16,23950,24500,22500,23400,465390,0.86
51,2000-03-17,24400,26500,23700,24900,1205750,6.41
52,2000-03-20,25000,26400,24200,25900,930150,4.02
53,2000-03-21,25500,25700,24250,24600,462840,-5.02
54,2000-03-22,24900,25350,24600,24600,647560,0.0
55,2000-03-23,24200,25200,24000,24300,598750,-1.22
56,2000-03-24,24500,24850,24100,24700,401240,1.65
57,2000-03-27,24500,27000,24400,26500,838550,7.29
58,2000-03-28,26500,26500,25100,25800,659120,-2.64
59,2000-03-29,25150,25450,24500,24550,531050,-4.84
60,2000-03-30,18000,20100,17750,18150,453740,-12.74
61,2000-03-31,18200,18800,16500,16650,521490,-8.26
62,2000-04-03,16500,16600,14200,14550,538660,-12.61
63,2000-04-04,15200,15700,14400,15000,620580,3.09
64,2000-04-06,14300,14800,13600,13700,365470,-8.67
65,2000-04-07,13700,14300,13300,13850,435220,1.09
66,2000-04-10,13850,15300,13200,14200,787830,2.53
67,2000-04-11,14900,14900,13750,13850,377240,-2.46
68,2000-04-12,13800,14750,13700,14150,527920,2.17
69,2000-04-14,14000,14950,13900,14650,533460,3.53
70,2000-04-17,13100,13850,12500,12700,412810,-13.31
71,2000-04-18,14000,14200,12400,12800,490510,0.79
