,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1650,1840,1650,1840,810,8.24
1,2000-01-05,1830,2115,1830,2115,2270,14.95
2,2000-01-06,2390,2390,1850,1905,50,-9.93
3,2000-01-07,2100,2100,1710,1710,1130,-10.24
4,2000-01-10,1610,1800,1610,1800,990,5.26
5,2000-01-11,1760,1760,1530,1530,840,-15.0
6,2000-01-12,1630,1755,1630,1755,6350,14.71
7,2000-01-13,1800,2015,1800,2015,5040,14.81
8,2000-01-14,2015,2015,1715,1715,3230,-14.89
9,2000-01-17,1815,1900,1725,1900,2680,10.79
10,2000-01-18,1900,1900,1620,1620,2630,-14.74
11,2000-01-19,1620,1620,1500,1500,1920,-7.41
12,2000-01-20,1500,1680,1400,1680,1960,12.0
13,2000-01-21,1430,1800,1430,1700,1350,1.19
14,2000-01-24,1450,1520,1450,1520,1020,-10.59
15,2000-01-25,1550,1550,1550,1550,310,1.97
16,2000-01-26,1330,1410,1330,1410,3300,-9.03
17,2000-01-27,1400,1600,1300,1570,1020,11.35
18,2000-01-28,1410,1700,1410,1600,5430,1.91
19,2000-01-31,1430,1750,1430,1750,3650,9.38
20,2000-02-01,1800,2010,1800,2010,10730,14.86
21,2000-02-02,2050,2050,1800,2010,3020,0.0
22,2000-02-03,0,0,0,2000,0,-0.5
23,2000-02-07,2000,2090,2000,2090,1040,4.5
24,2000-02-08,1780,1970,1780,1780,8060,-14.83
25,2000-02-09,1840,1840,1515,1515,5260,-14.89
26,2000-02-10,1560,1620,1560,1620,2890,6.93
27,2000-02-11,1410,1740,1410,1740,2700,7.41
28,2000-02-14,1730,1730,1700,1700,1270,-2.3
29,2000-02-15,1710,1710,1510,1510,2520,-11.18
30,2000-02-16,1700,1700,1700,1700,640,12.58
31,2000-02-17,0,0,0,1700,0,0.0
32,2000-02-18,1700,1955,1700,1955,12990,15.0
33,2000-02-21,2000,2245,2000,2245,12210,14.83
34,2000-02-22,2245,2245,1920,1920,4550,-14.48
35,2000-02-23,1920,1920,1635,1750,4480,-8.85
36,2000-02-24,1740,2000,1700,2000,5990,14.29
37,2000-02-25,2200,2300,2200,2300,9330,15.0
38,2000-02-28,2200,2200,2195,2200,1670,-4.35
39,2000-02-29,2100,2200,2100,2200,1260,0.0
40,2000-03-02,2200,2400,2200,2300,480,4.55
41,2000-03-03,2300,2300,2295,2295,1130,-0.22
42,2000-03-06,2300,2400,2010,2400,2610,4.58
43,2000-03-07,2400,2400,2210,2210,3390,-7.92
44,2000-03-08,2200,2200,2090,2090,1010,-5.43
45,2000-03-09,2200,2400,2200,2400,50,14.83
46,2000-03-10,2400,2400,2400,2400,2020,0.0
47,2000-03-13,2400,2400,2200,2400,1890,0.0
48,2000-03-14,2400,2400,2110,2110,3010,-12.08
49,2000-03-15,2410,2425,2300,2425,5940,14.93
50,2000-03-16,2425,2600,2090,2600,5830,7.22
51,2000-03-17,2290,2600,2290,2600,3920,0.0
52,2000-03-20,2330,2800,2215,2800,3350,7.69
53,2000-03-21,2610,3000,2610,2680,12880,-4.29
54,2000-03-22,2650,2900,2650,2900,530,8.21
55,2000-03-23,2710,2850,2510,2750,4480,-5.17
56,2000-03-24,2450,2750,2390,2750,1790,0.0
57,2000-03-27,2540,2540,2540,2540,150,-7.64
58,2000-03-28,2260,2900,2260,2800,4600,10.24
59,2000-03-29,2770,2770,2760,2760,920,-1.43
60,2000-03-30,2350,2800,2350,2800,110,1.45
61,2000-03-31,2520,2695,2520,2520,110,-10.0
62,2000-04-03,2700,2700,2310,2650,600,5.16
63,2000-04-04,2350,2350,2350,2350,100,-11.32
64,2000-04-06,2530,2530,2500,2500,150,6.38
65,2000-04-07,2210,2210,2210,2210,10,-11.6
66,2000-04-10,2500,2540,2500,2540,3510,14.93
67,2000-04-11,2700,2700,2210,2540,3250,0.0
68,2000-04-12,2540,2540,2540,2540,50,0.0
69,2000-04-14,2310,2550,2310,2550,620,0.39
70,2000-04-17,2650,2650,2480,2480,1910,-2.75
71,2000-04-18,2850,2850,2220,2750,210,10.89
72,2000-04-19,2510,2520,2510,2520,490,-8.36
73,2000-04-20,2400,2400,2350,2350,600,-6.75
74,2000-04-21,2110,2300,2110,2110,1310,-10.21
75,2000-04-24,2010,2010,1900,1900,300,-9.95
