,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,15500,15500,13050,13500,1650,-5.59
1,2000-01-05,13700,14900,13500,14600,2180,8.15
2,2000-01-06,14150,14500,13000,13000,2540,-10.96
3,2000-01-07,13000,14000,13000,13800,2370,6.15
4,2000-01-10,14500,14500,13500,14000,1110,1.45
5,2000-01-11,14400,14400,13400,13400,1280,-4.29
6,2000-01-12,14100,14100,13050,14000,1040,4.48
7,2000-01-13,13100,13950,13000,13900,770,-0.71
8,2000-01-14,13900,13900,13200,13700,1010,-1.44
9,2000-01-17,13800,13900,13200,13200,1750,-3.65
10,2000-01-18,13650,13650,13200,13200,880,0.0
11,2000-01-19,13200,13200,12800,13000,2590,-1.52
12,2000-01-20,13150,13150,12100,12200,1130,-6.15
13,2000-01-21,12900,12950,11600,11600,1270,-4.92
14,2000-01-24,11700,12300,11700,12300,340,6.03
15,2000-01-25,12200,12250,11800,12000,540,-2.44
16,2000-01-26,12300,12300,11800,12100,160,0.83
17,2000-01-27,12000,12500,12000,12200,2270,0.83
18,2000-01-28,12300,12400,12000,12300,490,0.82
19,2000-01-31,12400,12900,12400,12500,2440,1.63
20,2000-02-01,12700,14350,12700,14350,31240,14.8
21,2000-02-02,14800,15800,13600,13600,27780,-5.23
22,2000-02-03,13850,14100,13200,13500,7460,-0.74
23,2000-02-07,13250,14000,13250,13650,4570,1.11
24,2000-02-08,13200,14000,13100,13100,8360,-4.03
25,2000-02-09,13100,13450,12800,13200,4340,0.76
26,2000-02-10,12700,13100,12500,12900,3650,-2.27
27,2000-02-11,13400,13400,12200,12500,9090,-3.1
28,2000-02-14,12200,12950,11700,11700,2010,-6.4
29,2000-02-15,12000,12000,11500,11850,2190,1.28
30,2000-02-16,11100,12300,11100,12300,4540,3.8
31,2000-02-17,12450,14100,12000,13700,17370,11.38
32,2000-02-18,12100,12900,11650,11850,23490,-13.5
33,2000-02-21,11500,12100,11100,11950,4690,0.84
34,2000-02-22,11950,12950,11000,11850,3180,-0.84
35,2000-02-23,11500,12500,11500,11950,2690,0.84
36,2000-02-24,12000,12200,11850,12000,2340,0.42
37,2000-02-25,12000,12300,11950,12000,1830,0.0
38,2000-02-28,12500,13500,12000,13000,7930,8.33
39,2000-02-29,13250,13250,12600,12600,6660,-3.08
40,2000-03-02,12600,13200,12300,12800,5860,1.59
41,2000-03-03,12300,13500,12300,13300,8500,3.91
42,2000-03-06,13300,14900,13300,13850,8450,4.14
43,2000-03-07,13800,14400,12900,13700,5590,-1.08
44,2000-03-08,12900,14450,12800,13650,7220,-0.36
45,2000-03-09,12850,13550,12850,13000,25500,-4.76
46,2000-03-10,13000,13400,12900,13000,10700,0.0
47,2000-03-13,13400,13800,13050,13500,25500,3.85
48,2000-03-14,13800,13800,13100,13300,25420,-1.48
49,2000-03-15,13350,13600,13100,13150,16810,-1.13
50,2000-03-16,13200,14900,13200,14300,26490,8.75
51,2000-03-17,14700,16400,14600,15800,52160,10.49
52,2000-03-20,16100,16100,14700,15400,30640,-2.53
53,2000-03-21,15400,15900,14000,14550,14820,-5.52
54,2000-03-22,14250,15100,13750,14700,8800,1.03
55,2000-03-23,13900,15200,13500,13500,13020,-8.16
56,2000-03-24,14150,14150,13100,13400,28730,-0.74
57,2000-03-27,13700,14000,13000,13750,17020,2.61
58,2000-03-28,13300,14150,13300,14000,7160,1.82
59,2000-03-29,13600,14150,13200,13200,5560,-5.71
60,2000-03-30,13250,14000,13100,13950,11060,5.68
61,2000-03-31,13450,14000,13450,13600,3870,-2.51
62,2000-04-03,14000,14000,13100,13450,5490,-1.1
63,2000-04-04,13100,13650,12800,13300,9870,-1.12
64,2000-04-06,12800,13300,12800,13300,6610,0.0
65,2000-04-07,12850,14000,12850,13400,5950,0.75
66,2000-04-10,14200,14200,13400,13800,5180,2.99
67,2000-04-11,14000,14000,13150,13800,6060,0.0
68,2000-04-12,13900,14300,13500,14200,4640,2.9
69,2000-04-14,14000,14400,13600,13700,3000,-3.52
70,2000-04-17,13300,13500,12300,13000,3830,-5.11
71,2000-04-18,13450,13750,13000,13500,11080,3.85
72,2000-04-19,13300,14000,13200,13700,7410,1.48
73,2000-04-20,0,0,0,13700,0,0.0
74,2000-04-21,0,0,0,13700,0,0.0
75,2000-04-24,1370,1460,1270,1380,58040,0.73
76,2000-04-25,1325,1325,1200,1300,21240,-5.8
77,2000-04-26,1350,1400,1310,1320,36430,1.54
78,2000-04-27,1255,1345,1250,1265,5760,-4.17
79,2000-04-28,1300,1300,1230,1250,30640,-1.19
80,2000-05-02,1270,1270,1160,1160,33690,-7.2
81,2000-05-03,1250,1250,1120,1160,26440,0.0
82,2000-05-04,1165,1250,1110,1220,29150,5.17
83,2000-05-08,1130,1240,1130,1220,31220,0.0
84,2000-05-09,1230,1265,1200,1200,10300,-1.64
85,2000-05-10,1230,1230,1150,1170,19030,-2.5
86,2000-05-12,1170,1345,1120,1345,205150,14.96
87,2000-05-15,1345,1480,1250,1300,169090,-3.35
88,2000-05-16,1200,1340,1200,1205,26210,-7.31
89,2000-05-17,1385,1385,1385,1385,77130,14.94
90,2000-05-18,1220,1580,1220,1580,406280,14.08
91,2000-05-19,1450,1630,1420,1550,192050,-1.9
92,2000-05-22,1555,1555,1350,1440,84210,-7.1
93,2000-05-23,1400,1435,1320,1430,58590,-0.69
94,2000-05-24,1400,1400,1235,1370,91060,-4.2
95,2000-05-25,1370,1440,1330,1350,108970,-1.46
96,2000-05-26,1350,1400,1230,1230,93180,-8.89
97,2000-05-29,1200,1290,1180,1210,71530,-1.63
98,2000-05-30,1200,1280,1190,1230,185170,1.65
99,2000-05-31,1230,1320,1220,1300,136660,5.69
100,2000-06-01,1280,1290,1200,1250,38240,-3.85
101,2000-06-02,1295,1295,1230,1240,76590,-0.8
102,2000-06-05,1230,1335,1230,1315,105250,6.05
103,2000-06-07,1290,1350,1250,1285,71590,-2.28
104,2000-06-08,1300,1300,1230,1230,69900,-4.28
105,2000-06-09,1230,1260,1220,1220,74770,-0.81
106,2000-06-12,1225,1250,1200,1215,87230,-0.41
107,2000-06-13,1230,1245,1200,1220,153580,0.41
108,2000-06-14,1260,1270,1185,1210,95780,-0.82
109,2000-06-15,1210,1225,1170,1175,79600,-2.89
110,2000-06-16,1170,1195,1145,1195,77350,1.7
111,2000-06-19,1195,1200,1145,1180,50050,-1.26
112,2000-06-20,1150,1195,1140,1170,100100,-0.85
113,2000-06-21,1165,1175,1140,1150,34670,-1.71
114,2000-06-22,1150,1165,1135,1150,159390,0.0
115,2000-06-23,1170,1195,1150,1150,180290,0.0
116,2000-06-26,1155,1220,1155,1190,174390,3.48
117,2000-06-27,1215,1300,1200,1240,268200,4.2
118,2000-06-28,1280,1390,1235,1300,247810,4.84
119,2000-06-29,1300,1350,1250,1255,59820,-3.46
120,2000-06-30,1270,1310,1230,1280,32260,1.99
121,2000-07-03,1280,1470,1255,1460,184720,14.06
122,2000-07-04,1400,1420,1350,1370,176190,-6.16
123,2000-07-05,1300,1370,1260,1280,93200,-6.57
124,2000-07-06,1230,1400,1215,1350,146600,5.47
125,2000-07-07,1310,1380,1275,1335,69420,-1.11
126,2000-07-10,1310,1340,1250,1285,114760,-3.75
127,2000-07-11,1310,1350,1285,1290,109600,0.39
128,2000-07-12,1300,1330,1275,1280,27320,-0.78
129,2000-07-13,1290,1310,1255,1300,58200,1.56
130,2000-07-14,1300,1300,1255,1280,43400,-1.54
131,2000-07-18,1260,1290,1240,1240,16810,-3.13
132,2000-07-19,1240,1245,1190,1190,30410,-4.03
133,2000-07-20,1200,1250,1155,1200,163050,0.84
134,2000-07-21,1250,1270,1210,1260,37790,5.0
135,2000-07-24,1280,1280,1190,1230,11200,-2.38
136,2000-07-25,1200,1230,1170,1200,33790,-2.44
137,2000-07-26,1195,1245,1195,1245,5440,3.75
138,2000-07-27,1220,1220,1180,1210,13080,-2.81
139,2000-07-28,1200,1220,1130,1195,61490,-1.24
140,2000-07-31,1150,1170,1145,1170,12460,-2.09
141,2000-08-01,1170,1205,1170,1185,21890,1.28
142,2000-08-02,1200,1210,1185,1190,36270,0.42
143,2000-08-03,1210,1210,1170,1170,41970,-1.68
144,2000-08-04,1200,1230,1180,1200,31150,2.56
145,2000-08-07,1200,1220,1170,1190,30380,-0.83
146,2000-08-08,1165,1200,1160,1190,35360,0.0
147,2000-08-09,1170,1200,1170,1190,57800,0.0
148,2000-08-10,1170,1190,1160,1190,41390,0.0
149,2000-08-11,1190,1300,1165,1240,140350,4.2
150,2000-08-14,1240,1260,1210,1240,107290,0.0
151,2000-08-16,1290,1390,1250,1320,321190,6.45
152,2000-08-17,1335,1380,1270,1350,289280,2.27
153,2000-08-18,1350,1550,1350,1495,674520,10.74
154,2000-08-21,1500,1525,1380,1400,678060,-6.35
155,2000-08-22,1500,1610,1475,1610,2146830,15.0
156,2000-08-23,1540,1725,1375,1500,4238320,-6.83
157,2000-08-24,1550,1555,1360,1370,715790,-8.67
158,2000-08-25,1370,1410,1310,1360,541470,-0.73
159,2000-08-28,1330,1385,1325,1360,416170,0.0
160,2000-08-29,1330,1360,1330,1345,232700,-1.1
161,2000-08-30,1400,1400,1325,1330,233010,-1.12
162,2000-08-31,1340,1355,1250,1290,249020,-3.01
163,2000-09-01,1300,1445,1260,1400,647340,8.53
164,2000-09-04,1500,1550,1420,1440,427460,2.86
165,2000-09-05,1440,1465,1355,1400,227750,-2.78
166,2000-09-06,1370,1410,1350,1375,136890,-1.79
167,2000-09-07,1350,1580,1350,1450,1388790,5.45
168,2000-09-08,1550,1665,1520,1665,1953200,14.83
169,2000-09-14,1660,1800,1525,1550,3192910,-6.91
170,2000-09-15,1600,1640,1420,1480,1018760,-4.52
171,2000-09-18,1550,1580,1350,1470,896600,-0.68
172,2000-09-19,1410,1545,1390,1400,733080,-4.76
173,2000-09-20,1400,1490,1400,1470,522750,5.0
174,2000-09-21,1470,1480,1370,1380,389810,-6.12
175,2000-09-22,1450,1470,1370,1430,715700,3.62
176,2000-09-25,1450,1500,1430,1430,518070,0.0
177,2000-09-26,1500,1640,1460,1605,2580450,12.24
178,2000-09-27,1500,1580,1500,1515,978700,-5.61
179,2000-09-28,1515,1560,1450,1520,547790,0.33
180,2000-09-29,1520,1555,1450,1455,492970,-4.28
181,2000-10-02,1460,1495,1385,1450,505750,-0.34
182,2000-10-04,1445,1495,1445,1460,381120,0.69
183,2000-10-05,1460,1510,1440,1465,475970,0.34
184,2000-10-06,1460,1470,1420,1430,278930,-2.39
185,2000-10-09,1410,1430,1390,1400,311150,-2.1
186,2000-10-10,1400,1440,1390,1415,181040,1.07
187,2000-10-11,1390,1420,1365,1380,180800,-2.47
188,2000-10-12,1360,1450,1360,1410,335910,2.17
189,2000-10-13,1410,1590,1410,1480,1034610,4.96
190,2000-10-16,1480,1695,1460,1580,1656960,6.76
191,2000-10-17,1580,1580,1440,1440,485430,-8.86
192,2000-10-18,1440,1480,1410,1435,418290,-0.35
193,2000-10-19,1400,1450,1400,1420,267020,-1.05
194,2000-10-20,1415,1460,1415,1440,434790,1.41
195,2000-10-23,1420,1430,1380,1400,312000,-2.78
196,2000-10-24,1380,1435,1380,1400,285020,0.0
197,2000-10-25,1400,1460,1400,1420,416780,1.43
198,2000-10-26,1450,1550,1420,1450,1478100,2.11
199,2000-10-27,1450,1470,1400,1400,475320,-3.45
200,2000-10-30,1410,1410,1320,1340,322220,-4.29
201,2000-10-31,1300,1390,1205,1390,325450,3.73
202,2000-11-01,1440,1470,1380,1390,1029020,0.0
203,2000-11-02,1380,1420,1350,1370,374330,-1.44
204,2000-11-03,1370,1410,1345,1365,293570,-0.36
205,2000-11-06,1350,1380,1340,1350,183040,-1.1
206,2000-11-07,1340,1365,1320,1335,148750,-1.11
207,2000-11-08,1335,1365,1325,1340,175230,0.37
208,2000-11-09,1360,1375,1340,1355,223980,1.12
209,2000-11-10,1360,1435,1345,1380,522300,1.85
210,2000-11-13,1350,1385,1330,1340,113770,-2.9
211,2000-11-14,1330,1370,1330,1340,56900,0.0
212,2000-11-15,1345,1365,1330,1330,194050,-0.75
213,2000-11-16,1330,1330,1270,1290,175120,-3.01
214,2000-11-17,1250,1300,1250,1280,112320,-0.78
215,2000-11-20,1240,1300,1230,1270,233830,-0.78
216,2000-11-21,1310,1400,1290,1310,689160,3.15
217,2000-11-22,1300,1305,1260,1295,231630,-1.15
218,2000-11-23,1350,1380,1260,1275,195310,-1.54
219,2000-11-24,1280,1290,1260,1265,113720,-0.78
220,2000-11-27,1305,1305,1260,1270,154780,0.4
221,2000-11-28,1270,1280,1235,1235,124960,-2.76
222,2000-11-29,1220,1230,1210,1230,93880,-0.4
223,2000-11-30,1230,1260,1220,1260,152960,2.44
224,2000-12-01,1290,1290,1230,1250,115400,-0.79
225,2000-12-04,1230,1330,1230,1240,183840,-0.8
226,2000-12-05,1240,1290,1240,1290,62990,4.03
227,2000-12-06,1290,1295,1240,1245,145360,-3.49
228,2000-12-07,1230,1260,1230,1260,63450,1.2
229,2000-12-08,1245,1265,1230,1250,59220,-0.79
230,2000-12-11,1270,1270,1250,1255,65430,0.4
231,2000-12-12,1240,1260,1220,1225,68100,-2.39
232,2000-12-13,1220,1240,1210,1230,110330,0.41
233,2000-12-14,1210,1235,1210,1230,96830,0.0
234,2000-12-15,1230,1230,1190,1195,141220,-2.85
235,2000-12-18,1150,1235,1150,1200,169950,0.42
236,2000-12-19,1195,1210,1165,1165,83980,-2.92
237,2000-12-20,1175,1175,1145,1150,160010,-1.29
238,2000-12-21,1150,1150,1050,1060,125120,-7.83
239,2000-12-22,1100,1170,1080,1090,188510,2.83
240,2000-12-26,945,1130,930,1130,207280,3.67
241,2001-01-02,980,1075,980,1055,90680,-6.64
242,2001-01-03,1055,1060,1025,1040,59930,-1.42
243,2001-01-04,1040,1105,1040,1090,180000,4.81
244,2001-01-05,1090,1105,1025,1050,163930,-3.67
245,2001-01-08,1080,1100,1050,1070,180960,1.9
246,2001-01-09,1090,1150,1080,1150,241910,7.48
247,2001-01-10,1130,1175,1080,1080,243800,-6.09
248,2001-01-11,1100,1100,1065,1095,124290,1.39
249,2001-01-12,1070,1140,1070,1080,190720,-1.37
250,2001-01-15,1110,1140,1100,1120,245110,3.7
251,2001-01-16,1150,1150,1095,1100,256960,-1.79
252,2001-01-17,1105,1145,1100,1120,401390,1.82
253,2001-01-18,1200,1200,1125,1145,710850,2.23
254,2001-01-19,1165,1165,1100,1115,355640,-2.62
255,2001-01-22,1115,1125,1100,1105,311350,-0.9
256,2001-01-26,1110,1115,1080,1085,119020,-1.81
257,2001-01-29,1080,1085,1065,1070,182970,-1.38
258,2001-01-30,1080,1170,1070,1110,652280,3.74
259,2001-01-31,1140,1140,1075,1090,202660,-1.8
260,2001-02-01,1080,1115,1080,1105,194540,1.38
261,2001-02-02,1115,1115,1075,1080,158970,-2.26
262,2001-02-05,1130,1165,1100,1125,452330,4.17
263,2001-02-06,1125,1130,1080,1100,143060,-2.22
264,2001-02-07,1110,1115,1085,1090,109840,-0.91
265,2001-02-08,1085,1100,1080,1085,131760,-0.46
266,2001-02-09,1085,1105,1075,1100,142350,1.38
267,2001-02-12,1100,1140,1085,1140,512760,3.64
268,2001-02-13,1150,1150,1115,1125,286330,-1.32
269,2001-02-14,1135,1135,1110,1135,189320,0.89
270,2001-02-15,1135,1140,1110,1115,263630,-1.76
271,2001-02-16,1130,1135,1100,1115,318320,0.0
272,2001-02-19,1115,1135,1105,1125,164220,0.9
273,2001-02-20,1130,1140,1115,1135,271290,0.89
274,2001-02-21,1140,1220,1130,1165,731320,2.64
275,2001-02-22,1280,1325,1220,1260,2199050,8.15
276,2001-02-23,1240,1250,1185,1210,587860,-3.97
277,2001-02-26,1245,1250,1210,1230,458640,1.65
278,2001-02-27,1230,1230,1170,1190,261950,-3.25
279,2001-02-28,1170,1180,1155,1170,180320,-1.68
280,2001-03-02,1150,1155,1100,1110,246560,-5.13
281,2001-03-05,1080,1105,1050,1085,240170,-2.25
282,2001-03-06,1085,1115,1085,1095,179930,0.92
283,2001-03-07,1120,1120,1090,1105,113080,0.91
284,2001-03-08,1120,1155,1105,1125,222190,1.81
285,2001-03-09,1160,1160,1120,1130,154220,0.44
286,2001-03-12,1125,1140,1095,1095,78140,-3.1
287,2001-03-13,1075,1090,1050,1080,156350,-1.37
288,2001-03-14,1090,1130,1090,1105,130320,2.31
289,2001-03-15,1090,1100,1050,1100,142970,-0.45
290,2001-03-16,1075,1105,1075,1100,75540,0.0
291,2001-03-19,1110,1120,1090,1100,161200,0.0
292,2001-03-20,1110,1140,1095,1110,169350,0.91
293,2001-03-21,1090,1115,1080,1110,88620,0.0
294,2001-03-22,1070,1110,1070,1095,132190,-1.35
295,2001-03-23,1075,1105,1075,1090,72530,-0.46
296,2001-03-26,1100,1130,1085,1115,156760,2.29
297,2001-03-27,1130,1130,1095,1110,112650,-0.45
298,2001-03-28,1120,1120,1085,1085,125510,-2.25
299,2001-03-29,1100,1100,1070,1075,163540,-0.92
300,2001-03-30,1075,1090,1060,1065,111670,-0.93
301,2001-04-02,1070,1070,1040,1065,97060,0.0
302,2001-04-03,1085,1085,1035,1050,91510,-1.41
303,2001-04-04,1035,1060,1020,1060,145920,0.95
304,2001-04-06,1080,1085,1060,1075,462850,1.42
305,2001-04-09,1075,1200,1075,1160,1438630,7.91
306,2001-04-10,1140,1210,1070,1070,1020320,-7.76
307,2001-04-11,1080,1100,1040,1065,520390,-0.47
308,2001-04-12,1070,1080,1055,1055,247340,-0.94
309,2001-04-13,1050,1065,1050,1050,149990,-0.47
310,2001-04-16,1060,1075,1050,1060,144050,0.95
311,2001-04-17,1065,1065,1050,1060,112840,0.0
312,2001-04-18,1060,1070,1060,1065,189420,0.47
313,2001-04-19,1075,1090,1070,1075,312820,0.94
314,2001-04-20,1080,1080,1060,1070,127610,-0.47
315,2001-04-23,1060,1070,1055,1055,147080,-1.4
316,2001-04-24,1060,1065,1050,1055,100160,0.0
317,2001-04-25,1050,1065,1050,1050,103710,-0.47
318,2001-04-26,1050,1065,1045,1050,132100,0.0
319,2001-04-27,1055,1060,1035,1035,89430,-1.43
320,2001-04-30,1045,1060,1040,1055,120460,1.93
321,2001-05-02,1060,1065,1040,1060,238280,0.47
322,2001-05-03,1060,1060,1045,1050,145390,-0.94
323,2001-05-04,1075,1075,1040,1045,173710,-0.48
324,2001-05-07,1045,1055,1045,1055,146480,0.96
325,2001-05-08,1045,1060,1045,1055,88460,0.0
326,2001-05-09,1055,1060,1045,1060,155440,0.47
327,2001-05-10,1050,1060,1045,1045,110420,-1.42
328,2001-05-11,1050,1055,1045,1050,87430,0.48
329,2001-05-14,1055,1080,1050,1070,210770,1.9
330,2001-05-15,1070,1070,1050,1055,73110,-1.4
331,2001-05-16,1055,1070,1055,1060,91070,0.47
332,2001-05-17,1070,1100,1065,1095,525280,3.3
333,2001-05-18,1085,1120,1070,1095,260970,0.0
334,2001-05-21,1125,1140,1100,1100,439650,0.46
335,2001-05-22,1140,1155,1115,1130,377580,2.73
336,2001-05-23,1150,1150,1115,1130,212670,0.0
