,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,2350,2735,2350,2735,89310,14.92
1,2000-01-05,2610,3145,2610,3145,124110,14.99
2,2000-01-06,3170,3490,2720,3175,154210,0.95
3,2000-01-07,3000,3370,3000,3055,88870,-3.78
4,2000-01-10,3190,3290,3055,3100,91230,1.47
5,2000-01-11,3100,3300,3100,3105,116780,0.16
6,2000-01-12,3100,3100,2760,2760,113010,-11.11
7,2000-01-13,2800,2950,2500,2500,191830,-9.42
8,2000-01-14,2875,2875,2760,2875,182290,15.0
9,2000-01-17,3010,3080,2900,3030,125890,5.39
10,2000-01-18,2955,3050,2750,2840,65800,-6.27
11,2000-01-19,2790,3000,2710,2900,110690,2.11
12,2000-01-20,2900,3000,2830,3000,150920,3.45
13,2000-01-21,2900,3200,2750,3100,151580,3.33
14,2000-01-24,3190,3200,3000,3045,122020,-1.77
15,2000-01-25,3090,3090,2860,2890,79190,-5.09
16,2000-01-26,2895,2990,2750,2750,53790,-4.84
17,2000-01-27,2710,2895,2710,2845,55960,3.45
18,2000-01-28,2900,2900,2420,2420,316480,-14.94
19,2000-01-31,2510,2770,2510,2700,197730,11.57
20,2000-02-01,2700,2730,2520,2520,117280,-6.67
21,2000-02-02,2590,2700,2555,2610,100890,3.57
22,2000-02-03,2650,2710,2570,2660,118940,1.92
23,2000-02-07,2675,2710,2500,2580,135860,-3.01
24,2000-02-08,2585,2600,2530,2535,73920,-1.74
25,2000-02-09,2530,2890,2500,2610,272690,2.96
26,2000-02-10,2610,2790,2540,2600,219850,-0.38
27,2000-02-11,2700,2990,2650,2990,336840,15.0
28,2000-02-14,3100,3435,3030,3435,584890,14.88
29,2000-02-15,3570,3580,3030,3390,286130,-1.31
30,2000-02-16,3200,3490,3010,3200,164690,-5.6
31,2000-02-17,3100,3300,2850,3010,127390,-5.94
32,2000-02-18,2860,3095,2860,3000,129490,-0.33
33,2000-02-21,2900,3050,2705,2850,91090,-5.0
34,2000-02-22,2800,2950,2750,2950,73110,3.51
35,2000-02-23,2875,3190,2875,2910,179870,-1.36
36,2000-02-24,3000,3000,2700,2710,123050,-6.87
37,2000-02-25,2605,2800,2605,2750,115730,1.48
38,2000-02-28,2650,2895,2650,2700,117630,-1.82
39,2000-02-29,2735,2860,2700,2710,119140,0.37
40,2000-03-02,2710,2800,2650,2685,125500,-0.92
41,2000-03-03,2685,2685,2560,2600,119960,-3.17
42,2000-03-06,2580,2880,2560,2740,156490,5.38
43,2000-03-07,2800,2920,2685,2750,135980,0.36
44,2000-03-08,2750,2800,2700,2715,94910,-1.27
45,2000-03-09,2930,2930,2330,2330,319370,-14.18
46,2000-03-10,2575,2675,2555,2675,251760,14.81
47,2000-03-13,2875,3070,2700,3000,470520,12.15
