,Date,Open,High,Low,Close,Volume,Change
0,2001-04-03,15600,17900,14500,17900,133510,14.74
1,2001-04-04,17900,20550,17500,20550,96870,14.8
2,2001-04-06,20600,21950,18000,19000,129470,-7.54
3,2001-04-09,16150,19000,16150,16150,126230,-15.0
4,2001-04-10,15900,16350,13750,13750,133900,-14.86
5,2001-04-11,13050,14250,11700,11700,333290,-14.91
6,2001-04-12,11000,13450,9950,13450,842050,14.96
7,2001-04-13,15050,15450,14000,15450,613720,14.87
8,2001-04-16,17450,17750,16500,17750,138500,14.89
9,2001-04-17,17100,19900,15100,15100,1417850,-14.93
10,2001-04-18,13700,15000,12850,12850,1204930,-14.9
11,2001-04-19,13700,14750,12850,14750,699260,14.79
12,2001-04-20,12550,16000,12550,12550,1397790,-14.92
13,2001-04-23,12550,13000,10950,11750,488180,-6.37
14,2001-04-24,11750,11800,10500,10500,242690,-10.64
15,2001-04-25,9800,11350,9800,10100,270810,-3.81
16,2001-04-26,10250,10650,9980,10000,183090,-0.99
17,2001-04-27,10300,11450,10100,10500,458200,5.0
18,2001-04-30,10500,11200,10100,10250,231860,-2.38
19,2001-05-02,10900,11250,10450,10750,340440,4.88
20,2001-05-03,10400,10750,9850,10000,161100,-6.98
21,2001-05-04,9610,10400,9610,10300,103740,3.0
22,2001-05-07,9990,10550,9920,10300,181180,0.0
23,2001-05-08,9900,10200,9900,10000,78650,-2.91
24,2001-05-09,9900,9970,8500,8500,162770,-15.0
25,2001-05-10,8060,9300,8060,8920,117550,4.94
26,2001-05-11,8860,9200,8300,8510,133550,-4.6
27,2001-05-14,8670,8670,8210,8350,70270,-1.88
28,2001-05-15,8490,8550,8100,8100,75550,-2.99
29,2001-05-16,8060,8380,8010,8010,89750,-1.11
30,2001-05-17,8020,8200,7920,8070,66690,0.75
31,2001-05-18,8000,9000,7860,8730,177690,8.18
32,2001-05-21,8550,9200,8550,8680,60900,-0.57
33,2001-05-22,8700,8800,8360,8650,76150,-0.35
34,2001-05-23,8680,9940,8500,9940,308820,14.91
35,2001-05-24,10100,11400,9960,10500,517000,5.63
36,2001-05-25,10100,10500,9110,9110,201950,-13.24
37,2001-05-28,9200,10200,9100,10150,227310,11.42
38,2001-05-29,10500,11600,10250,11000,669130,8.37
39,2001-05-30,10550,11700,9760,10100,634820,-8.18
40,2001-05-31,10250,11600,9930,11600,587650,14.85
41,2001-06-01,11900,12850,10300,10600,865070,-8.62
42,2001-06-04,10800,11400,10200,10600,320720,0.0
43,2001-06-05,10400,10750,9050,9050,320980,-14.62
44,2001-06-07,8160,8780,8160,8700,213040,-3.87
