,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,850,850,850,850,112,11.84
1,2000-01-05,950,950,950,950,634,11.76
2,2000-01-06,900,900,837,838,2011,-11.79
3,2000-01-07,737,737,737,738,1,-11.93
4,2000-01-10,650,800,650,800,1423,8.4
5,2000-01-11,775,775,710,775,241,-3.12
6,2000-01-12,785,785,685,750,303,-3.23
7,2000-01-13,665,725,660,725,2071,-3.33
8,2000-01-14,642,675,640,675,662,-6.9
9,2000-01-17,625,700,607,700,651,3.7
10,2000-01-18,700,700,700,700,0,0.0
11,2000-01-19,625,700,620,700,209,0.0
12,2000-01-20,745,745,740,740,102,5.71
13,2000-01-21,770,770,765,765,41,3.38
14,2000-01-24,775,775,675,700,157,-8.5
15,2000-01-25,630,745,625,730,104,4.29
16,2000-01-26,660,725,650,725,93,-0.68
17,2000-01-27,700,720,650,720,55,-0.69
18,2000-01-28,675,700,635,700,162,-2.78
19,2000-01-31,697,697,697,698,0,-0.29
20,2000-02-01,697,755,697,755,404,8.17
21,2000-02-02,815,845,805,845,482,11.92
22,2000-02-03,850,875,800,805,367,-4.73
23,2000-02-07,710,900,710,850,1466,5.59
24,2000-02-08,850,900,810,875,1799,2.94
25,2000-02-09,810,875,770,875,91,0.0
26,2000-02-10,810,810,780,780,128,-10.86
27,2000-02-11,700,825,687,800,1965,2.56
28,2000-02-14,755,787,755,788,11,-1.5
29,2000-02-15,700,762,695,763,101,-3.17
30,2000-02-16,750,805,672,798,77,4.59
31,2000-02-17,775,800,747,800,240,0.25
32,2000-02-18,795,805,795,800,341,0.0
33,2000-02-21,800,805,705,765,536,-4.37
34,2000-02-22,675,742,675,743,802,-2.88
35,2000-02-23,660,737,660,738,10,-0.67
36,2000-02-24,737,800,737,800,1452,8.4
37,2000-02-25,800,800,705,750,1472,-6.25
38,2000-02-28,795,840,795,840,4985,12.0
39,2000-02-29,940,940,940,940,1602,11.9
40,2000-03-02,1052,1052,1052,1053,1838,12.02
41,2000-03-03,1150,1177,940,1048,4082,-0.47
42,2000-03-06,1115,1115,922,990,1119,-5.53
43,2000-03-07,905,1045,875,990,3081,0.0
