,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,44093,46452,44093,46451,1495600,5.35
1,2000-01-05,45979,46215,43621,44093,1586100,-5.08
2,2000-01-06,44801,45508,39967,40320,1317600,-8.56
3,2000-01-07,38199,40086,36078,38080,1840700,-5.56
4,2000-01-10,38907,40557,37727,38670,1467300,1.55
5,2000-01-11,39143,44448,38670,44447,3239900,14.94
6,2000-01-12,44095,44449,40320,40792,2651200,-8.22
7,2000-01-13,39377,41264,38434,39967,1067600,-2.02
8,2000-01-14,40557,43387,40321,40556,2352000,1.47
9,2000-01-17,40085,42207,40085,41028,1562400,1.16
10,2000-01-18,41029,42207,39379,40085,1250900,-2.3
11,2000-01-19,40320,41027,36312,36548,1668600,-8.82
12,2000-01-20,36077,37256,33011,35841,1259200,-1.93
13,2000-01-21,35605,39378,33601,36076,2145600,0.66
14,2000-01-24,37491,38434,36077,36194,1411300,0.33
15,2000-01-25,35841,36077,34308,34779,1076000,-3.91
16,2000-01-26,34427,35369,33248,33718,1013200,-3.05
17,2000-01-27,33719,35842,33247,34897,1483700,3.5
18,2000-01-28,35132,38199,35132,37255,2689700,6.76
19,2000-01-31,36547,38434,36076,38198,1244900,2.53
20,2000-02-01,38317,39614,37255,37727,1468900,-1.23
21,2000-02-02,37492,42915,37492,41028,3227000,8.75
22,2000-02-03,41971,42207,39614,40556,1910300,-1.15
23,2000-02-07,41736,46569,41264,46569,3392300,14.83
24,2000-02-08,48809,50106,45036,47394,7231600,1.77
25,2000-02-09,47396,48339,45390,45979,2794000,-2.99
26,2000-02-10,44801,45272,41971,41971,2230300,-8.72
27,2000-02-11,43032,44566,41501,42678,2734000,1.68
28,2000-02-14,40321,43386,40321,42443,2352800,-0.55
29,2000-02-15,42443,43386,41501,42089,1381200,-0.83
30,2000-02-16,40556,47865,40556,47866,4336200,13.73
31,2000-02-17,49045,50697,46217,47748,7937800,-0.25
32,2000-02-18,47159,47748,44565,44565,4735300,-6.67
33,2000-02-21,42678,43150,38906,38906,4034700,-12.7
34,2000-02-22,37728,41029,37728,39142,3312600,0.61
35,2000-02-23,39378,44566,39260,42678,6348000,9.03
36,2000-02-24,41265,45509,41265,43504,3579900,1.94
37,2000-02-25,43506,44804,41737,43150,3246100,-0.81
38,2000-02-28,42444,44329,40321,40320,2991500,-6.56
39,2000-02-29,43151,43151,40085,40320,1652700,0.0
40,2000-03-02,40321,43152,40321,43150,3241900,7.02
41,2000-03-03,43151,43151,40792,41264,1217000,-4.37
42,2000-03-06,41973,47395,41382,45037,4818200,9.14
43,2000-03-07,44804,45982,42444,43150,2534600,-4.19
44,2000-03-08,42207,45979,41500,43857,6147400,1.64
45,2000-03-09,45154,50341,45037,50342,8847000,14.79
46,2000-03-10,52581,57888,50578,57887,15120800,14.99
47,2000-03-13,62486,66494,59538,62839,18724700,8.55
48,2000-03-14,60480,62486,53526,53525,5457700,-14.82
49,2000-03-15,53528,53528,48574,51874,6747400,-3.08
50,2000-03-16,53764,54235,44802,45862,4441100,-11.59
51,2000-03-17,46216,49281,43857,46215,5917100,0.77
52,2000-03-20,45273,47159,43740,43740,2925700,-5.36
53,2000-03-21,42443,44801,40674,41264,4279800,-5.66
54,2000-03-22,42443,45980,42090,44801,4758500,8.57
55,2000-03-23,43977,46452,41382,42443,3202800,-5.26
56,2000-03-24,42443,44330,41265,42443,3330200,0.0
57,2000-03-27,43386,44447,42443,43032,2062400,1.39
58,2000-03-28,43623,44094,41854,42443,2050100,-1.37
59,2000-03-29,41972,45744,41736,42443,4058700,0.0
60,2000-03-30,42443,43032,40556,41028,1937300,-3.33
61,2000-03-31,40086,41736,39141,40556,1381400,-1.15
62,2000-04-03,39849,40791,36312,36548,1427700,-9.88
63,2000-04-04,34898,37020,34426,36783,1687600,0.64
64,2000-04-06,35605,37491,35370,36783,1010200,0.0
65,2000-04-07,35841,38906,35841,37727,1035000,2.57
66,2000-04-10,38199,41146,37963,39967,2150400,5.94
67,2000-04-11,39141,39141,36311,36312,990500,-9.15
68,2000-04-12,37019,38670,36784,36902,1266100,1.62
69,2000-04-14,35604,35959,34897,35369,587200,-4.15
70,2000-04-17,30181,31596,30064,30064,1396700,-15.0
71,2000-04-18,32304,32777,29240,30417,1958700,1.17
72,2000-04-19,31833,34191,30889,31832,2807900,4.65
73,2000-04-20,31832,32777,31125,32304,1199300,1.48
74,2000-04-21,33482,34897,33010,33836,2147800,4.74
75,2000-04-24,34190,34308,31950,32421,812100,-4.18
76,2000-04-25,31832,32777,31596,32304,825600,-0.36
77,2000-04-26,33954,33954,29474,30064,1922500,-6.93
78,2000-04-27,29474,29945,27588,28177,1329000,-6.28
79,2000-04-28,28768,29239,27941,28531,1157600,1.26
80,2000-05-02,28531,30182,28531,29592,1343400,3.72
81,2000-05-03,29120,29710,28885,29003,838800,-1.99
82,2000-05-04,29709,31007,29709,30299,2197300,4.47
83,2000-05-08,30653,31715,29828,29946,1567900,-1.17
84,2000-05-09,30417,30417,28767,28884,819700,-3.55
85,2000-05-10,29003,29357,28060,28295,2611300,-2.04
86,2000-05-12,28414,29592,26527,27234,3802300,-3.75
87,2000-05-15,25820,26998,23225,23225,3252600,-14.72
88,2000-05-16,23343,24286,21928,23508,1971800,1.22
89,2000-05-17,23580,23815,19996,19995,2230700,-14.94
90,2000-05-18,17000,17637,17000,17000,1405900,-14.98
91,2000-05-19,16481,16741,14454,16128,5064700,-5.13
92,2000-05-22,15329,15800,13889,14431,3782300,-10.52
93,2000-05-23,13653,13913,12498,12497,3404500,-13.4
94,2000-05-24,12026,13865,11436,13322,6285900,6.6
95,2000-05-25,13913,15305,13677,15303,2348500,14.87
96,2000-05-26,16272,17215,13913,14619,5742900,-4.47
97,2000-05-29,14620,16035,13276,15798,2741600,8.06
98,2000-05-30,16953,16977,16151,16647,2585700,5.37
99,2000-05-31,17708,19122,17212,19099,3638500,14.73
100,2000-06-01,19335,20019,17685,18627,3092200,-2.47
101,2000-06-02,19808,20162,18629,18793,2168000,0.89
102,2000-06-05,20042,21338,19571,20773,3457900,10.54
103,2000-06-07,21293,23108,20774,21929,4776500,5.56
104,2000-06-08,22755,23463,20751,22401,4056400,2.15
105,2000-06-09,22872,23084,20749,20749,3219000,-7.37
106,2000-06-12,21222,21458,20279,21221,2712000,2.27
107,2000-06-13,20985,20985,18463,18675,1374600,-12.0
108,2000-06-14,18393,20043,17733,18156,1177000,-2.78
109,2000-06-15,18392,19524,17685,17684,2606300,-2.6
110,2000-06-16,17684,18368,16976,17213,1412100,-2.66
111,2000-06-19,16624,17214,16530,16529,880600,-3.97
112,2000-06-20,16671,17449,16081,16742,844600,1.29
113,2000-06-21,18629,18629,17213,17803,2146300,6.34
114,2000-06-22,17804,18511,17214,17331,1004700,-2.65
115,2000-06-23,17331,17686,16624,16765,1173500,-3.27
116,2000-06-26,16271,18818,16271,17732,1688700,5.77
117,2000-06-27,18628,19336,18462,19217,1923000,8.37
118,2000-06-28,19217,19759,18863,19335,2596800,0.61
119,2000-06-29,20398,20517,18205,18581,1923300,-3.9
120,2000-06-30,17450,18393,17450,18156,1088300,-2.29
121,2000-07-03,18510,19571,18156,19571,2267700,7.79
122,2000-07-04,19807,20253,18675,19099,2988100,-2.41
123,2000-07-05,19831,20042,17991,18863,1824700,-1.24
124,2000-07-06,18463,19807,18299,19005,2644300,0.75
125,2000-07-07,19124,19336,18535,18746,1995000,-1.36
126,2000-07-10,18886,21551,18886,20773,8564100,10.81
127,2000-07-11,21245,21787,19571,19571,6512500,-5.79
128,2000-07-12,19571,20633,18934,19500,1990000,-0.36
129,2000-07-13,19807,20397,19146,19571,2066200,0.36
130,2000-07-14,19571,20021,18746,18981,1320100,-3.01
131,2000-07-18,18982,19336,17992,18156,1441100,-4.35
132,2000-07-19,18156,18368,16859,17000,1414000,-6.37
133,2000-07-20,17000,17024,16247,16600,1012600,-2.35
134,2000-07-21,17095,17213,16624,16765,1127500,0.99
135,2000-07-24,15869,16505,15468,15562,598100,-7.18
136,2000-07-25,15800,15917,15139,15798,879100,1.52
137,2000-07-26,15846,16364,15680,15751,885100,-0.3
138,2000-07-27,15091,15727,15091,15374,556000,-2.39
139,2000-07-28,14620,15281,14148,14903,905100,-3.06
140,2000-07-31,14171,14760,14171,14761,539300,-0.95
141,2000-08-01,14313,15798,14313,15397,898500,4.31
142,2000-08-02,15422,15658,15093,15303,666800,-0.61
143,2000-08-03,15326,15680,15326,15562,873300,1.69
144,2000-08-04,15680,15703,15138,15326,570500,-1.52
145,2000-08-07,14997,15327,14738,14855,658500,-3.07
146,2000-08-08,14525,15068,14525,14879,728200,0.16
147,2000-08-09,15209,15420,15020,15350,712600,3.17
148,2000-08-10,15375,15564,15233,15303,425100,-0.31
149,2000-08-11,15209,15727,15091,15397,626700,0.61
150,2000-08-14,16010,17141,15821,16387,2084100,6.43
151,2000-08-16,16976,17095,16010,16151,1071100,-1.44
152,2000-08-17,16082,16082,15682,16058,1070600,-0.58
153,2000-08-18,15823,16247,15776,16034,594600,-0.15
154,2000-08-21,15918,16271,15894,16034,636600,0.0
155,2000-08-22,16035,16271,15987,16058,822900,0.15
156,2000-08-23,16154,16247,16082,16081,548800,0.14
157,2000-08-24,16247,16460,15941,16081,777300,0.0
158,2000-08-25,16034,16364,15562,15963,347100,-0.73
159,2000-08-28,16271,16294,15918,16058,688300,0.6
160,2000-08-29,16058,16270,16058,16199,546600,0.88
161,2000-08-30,16151,16434,16151,16435,521000,1.46
162,2000-08-31,16341,16436,16223,16364,672600,-0.43
163,2000-09-01,16979,18818,16979,17142,8383100,4.75
164,2000-09-04,17119,18015,17048,17496,2247000,2.07
165,2000-09-05,17497,17497,16978,17048,1533900,-2.56
166,2000-09-06,16953,17189,16812,16977,899200,-0.42
167,2000-09-07,16506,16860,16294,16576,798700,-2.36
168,2000-09-08,17802,17802,16576,17213,1040300,3.84
169,2000-09-14,17685,19784,16977,19783,9727600,14.93
170,2000-09-15,20608,21905,19924,20749,13710700,4.88
171,2000-09-18,20326,20349,17638,17637,3365100,-15.0
172,2000-09-19,16058,17637,15114,16977,3297900,-3.74
173,2000-09-20,17001,18345,17001,17472,3405900,2.92
174,2000-09-21,16506,17921,16506,16859,2865400,-3.51
175,2000-09-22,16766,18109,16553,16742,4716400,-0.69
176,2000-09-25,17000,18037,16906,18038,3194200,7.74
177,2000-09-26,18039,18299,17332,18015,2893400,-0.13
178,2000-09-27,20704,20704,20704,20703,1067500,14.92
179,2000-09-28,23697,23697,19335,19523,12875200,-5.7
180,2000-09-29,19666,20231,18934,19571,3457300,0.25
181,2000-10-02,19572,21222,18910,21221,6056500,8.43
182,2000-10-04,21221,22825,20609,21339,8227000,0.56
183,2000-10-05,21930,22023,20516,20632,4207400,-3.31
184,2000-10-06,20280,20634,19218,19382,3120900,-6.06
185,2000-10-09,19477,19973,18746,18746,3364100,-3.28
186,2000-10-10,18534,19030,18062,18510,2762900,-1.26
187,2000-10-11,18887,18887,18062,18510,2602500,0.0
188,2000-10-12,17944,19100,17944,18392,1716600,-0.64
189,2000-10-13,17496,18109,17307,17920,2037700,-2.57
190,2000-10-16,18815,19217,18415,18816,1855600,5.0
191,2000-10-17,18156,18982,17237,17496,1973800,-7.02
192,2000-10-18,17330,18155,16294,18038,2021300,3.1
193,2000-10-19,17710,18252,17521,17755,1206800,-1.57
194,2000-10-20,18298,18628,18039,18156,1687000,2.26
195,2000-10-23,18155,19807,18061,19099,6680200,5.19
196,2000-10-24,19571,19665,18533,18863,2754000,-1.24
197,2000-10-25,19099,19335,18817,18863,1780200,0.0
198,2000-10-26,17684,19429,17684,18863,2608300,0.0
199,2000-10-27,19124,19808,18016,18015,1575000,-4.5
200,2000-10-30,18156,18156,15349,15350,1230100,-14.79
201,2000-10-31,15351,15563,14219,14855,1218300,-3.22
202,2000-11-01,15020,16034,15020,15562,1085500,4.76
203,2000-11-02,15587,16436,15564,16058,1165600,3.19
204,2000-11-03,16389,16742,15987,16105,911200,0.29
205,2000-11-06,15916,16741,15798,16175,896500,0.43
206,2000-11-07,16175,16505,15916,16175,639400,0.0
207,2000-11-08,16034,16482,15562,16199,480300,0.15
208,2000-11-09,15918,16176,15847,16034,366100,-1.02
209,2000-11-10,15918,16271,15634,16034,679700,0.0
210,2000-11-13,15847,16271,15776,16010,610500,-0.15
211,2000-11-14,16270,16270,15939,16246,534400,1.47
212,2000-11-15,16270,17143,16247,16482,1392800,1.45
213,2000-11-16,16624,16741,16270,16694,506700,1.29
214,2000-11-17,16552,16577,16270,16482,764800,-1.27
215,2000-11-20,16387,16434,16034,16128,391300,-2.15
216,2000-11-21,15964,15964,15562,15751,610600,-2.34
217,2000-11-22,15585,16387,15585,16151,368700,2.54
218,2000-11-23,15799,16436,15799,16270,797500,0.74
219,2000-11-24,16387,17072,16340,16977,945500,4.35
220,2000-11-27,17402,18203,17213,17378,2585000,2.36
221,2000-11-28,17449,17921,17047,17613,1255300,1.35
222,2000-11-29,17449,17779,17283,17590,1596900,-0.13
223,2000-11-30,17921,18109,17213,17920,5523800,1.88
224,2000-12-01,15233,17119,15233,16317,1956400,-8.95
225,2000-12-04,16318,16318,16318,16317,0,0.0
226,2000-12-05,13889,13889,13889,13888,122000,-14.89
227,2000-12-06,12993,14620,12993,14383,3253000,3.56
228,2000-12-07,14408,14502,13913,14431,673000,0.33
229,2000-12-08,14149,14149,13653,14148,511700,-1.96
230,2000-12-11,13913,14384,13913,14383,663900,1.66
231,2000-12-12,14620,14620,14149,14148,331800,-1.63
232,2000-12-13,13912,15092,13912,15091,482100,6.67
233,2000-12-14,15563,15563,15092,15091,246700,0.0
234,2000-12-15,15091,16034,15091,15445,148500,2.35
235,2000-12-18,15446,16153,15446,15822,315100,2.44
236,2000-12-19,15445,15445,14383,15091,838500,-4.62
237,2000-12-20,14384,15114,14384,14855,435100,-1.56
238,2000-12-21,14384,14856,13913,14383,367400,-3.18
239,2000-12-22,14384,14384,13913,14383,269900,0.0
240,2000-12-26,14525,14667,14384,14572,518600,1.31
241,2001-01-02,14596,14596,14148,14336,93500,-1.62
242,2001-01-03,14149,14149,13653,13841,223500,-3.45
243,2001-01-04,14149,14266,13724,13794,395900,-0.34
244,2001-01-05,13440,13440,12946,12945,510600,-6.15
245,2001-01-08,14879,14879,14879,14879,245000,14.94
246,2001-01-09,14951,14951,13913,14195,709500,-4.6
247,2001-01-10,14643,14643,13439,13699,461600,-3.49
248,2001-01-11,13088,13700,13088,13582,223700,-0.85
249,2001-01-12,13937,14196,13937,14148,479000,4.17
250,2001-01-15,14148,14619,14077,14265,688600,0.83
251,2001-01-16,14620,14620,13960,14030,480300,-1.65
252,2001-01-17,14619,14619,14124,14265,575200,1.67
253,2001-01-18,14148,14265,13912,14265,522600,0.0
254,2001-01-19,14196,14502,14030,14148,330800,-0.82
255,2001-01-22,14147,14832,14053,14832,586900,4.83
256,2001-01-26,14807,14807,14195,14477,281800,-2.39
257,2001-01-29,14479,15210,14384,15020,558500,3.75
258,2001-01-30,15327,15917,15092,15091,636400,0.47
259,2001-01-31,15138,15681,15092,15680,346600,3.9
260,2001-02-01,15493,16979,15493,16954,671200,8.13
261,2001-02-02,19477,19477,17449,17519,4763500,3.33
262,2001-02-05,14902,17047,14902,16458,1329500,-6.06
263,2001-02-06,15445,16459,15445,15680,583500,-4.73
264,2001-02-07,15703,16505,15585,15586,827300,-0.6
265,2001-02-08,15089,15892,15089,15538,512600,-0.31
266,2001-02-09,15516,15751,15327,15421,466500,-0.75
267,2001-02-12,15421,15798,15090,15727,649800,1.98
268,2001-02-13,15799,16010,15657,15657,555100,-0.45
269,2001-02-14,15657,17449,15374,16694,1147900,6.62
270,2001-02-15,16977,16977,16035,16623,1126800,-0.43
271,2001-02-16,16624,17284,16577,16623,840800,0.0
272,2001-02-19,16483,17095,16317,16506,380900,-0.7
273,2001-02-20,16624,17685,16364,17684,1268300,7.14
274,2001-02-21,17637,17778,16883,16977,597800,-4.0
275,2001-02-22,17449,18321,17095,17826,2153000,5.0
276,2001-02-23,17567,17945,17403,17637,656000,-1.06
277,2001-02-26,17638,17921,16789,16906,628200,-4.14
278,2001-02-27,16907,17260,16624,16623,498800,-1.67
279,2001-02-28,16387,16930,16081,16411,359800,-1.28
280,2001-03-02,15916,16505,15562,15586,465600,-5.03
281,2001-03-05,15327,15516,14974,15280,310400,-1.96
282,2001-03-06,15798,15798,15209,15350,329000,0.46
283,2001-03-07,15586,17119,15586,16742,559900,9.07
284,2001-03-08,17213,17213,16270,16506,257200,-1.41
