,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1672,1997,1672,1952,43378,9.29
1,2000-01-05,1952,2179,1725,2179,47887,11.63
2,2000-01-06,2210,2407,2043,2346,40815,7.66
3,2000-01-07,2209,2497,2119,2361,39145,0.64
4,2000-01-10,2270,2421,2081,2255,37289,-4.49
5,2000-01-11,2073,2224,1997,2043,28615,-9.4
6,2000-01-12,2043,2058,1801,1801,20665,-11.85
7,2000-01-13,1793,1967,1604,1801,29057,0.0
8,2000-01-14,1816,1922,1801,1877,17677,4.22
9,2000-01-17,1998,2028,1779,1922,16580,2.4
10,2000-01-18,1922,1967,1816,1937,16142,0.78
11,2000-01-19,1929,1929,1747,1748,17031,-9.76
12,2000-01-20,1740,1778,1543,1695,11858,-3.03
13,2000-01-21,1694,1816,1604,1695,19079,0.0
14,2000-01-24,1779,1862,1695,1771,9218,4.48
15,2000-01-25,1770,1808,1634,1702,13949,-3.9
16,2000-01-26,1702,1801,1702,1779,2666,4.52
17,2000-01-27,1725,1967,1709,1786,10978,0.39
18,2000-01-28,1785,1816,1709,1786,5972,0.0
19,2000-01-31,1816,1952,1816,1922,8839,7.61
20,2000-02-01,1922,2074,1816,1854,9127,-3.54
21,2000-02-02,1891,2043,1785,1846,10055,-0.43
22,2000-02-03,1952,1967,1892,1945,9503,5.36
23,2000-02-07,1944,2103,1717,2043,21064,5.04
24,2000-02-08,2133,2133,1936,2005,7005,-1.86
25,2000-02-09,1952,2088,1952,1997,15764,-0.4
26,2000-02-10,2006,2036,1907,1915,12691,-4.11
27,2000-02-11,1922,2013,1907,1990,13343,3.92
28,2000-02-14,2043,2043,1831,1907,12902,-4.17
29,2000-02-15,1914,1952,1793,1831,5631,-3.99
30,2000-02-16,1831,1967,1770,1967,14917,7.43
31,2000-02-17,1967,2202,1967,2202,24710,11.95
32,2000-02-18,2459,2459,2459,2459,8090,11.67
33,2000-02-21,2754,2754,2527,2755,59079,12.04
34,2000-02-22,3080,3080,2429,2845,173741,3.27
35,2000-02-23,2701,2845,2505,2505,39717,-11.95
36,2000-02-24,2618,2799,2520,2800,61684,11.78
37,2000-02-25,2876,2982,2588,2717,88349,-2.96
38,2000-02-28,2588,2686,2497,2573,32465,-5.3
39,2000-02-29,2663,2860,2497,2755,31572,7.07
40,2000-03-02,2876,3080,2762,3080,98218,11.8
41,2000-03-03,3079,3314,2769,3012,67018,-2.21
42,2000-03-06,3012,3178,2883,3042,36941,1.0
43,2000-03-07,3102,3132,2830,2974,26077,-2.24
44,2000-03-08,2800,2936,2800,2898,17254,-2.56
45,2000-03-09,2951,3178,2845,2951,54842,1.83
46,2000-03-10,3011,3178,2875,2921,41484,-1.02
47,2000-03-13,3102,3269,2905,3269,67292,11.91
48,2000-03-14,3654,3654,3027,3655,155757,11.81
49,2000-03-15,3329,3738,3329,3435,55018,-6.02
50,2000-03-16,3345,3557,3042,3193,51797,-7.05
51,2000-03-17,3254,3269,2815,2876,50307,-9.93
52,2000-03-20,2588,2845,2535,2535,27504,-11.86
53,2000-03-21,2232,2422,2232,2278,46929,-10.14
54,2000-03-22,2406,2520,2353,2482,35558,8.96
55,2000-03-23,2573,2573,2270,2482,27911,0.0
56,2000-03-24,2376,2664,2376,2656,27167,7.01
57,2000-03-27,2875,2973,2663,2974,46504,11.97
58,2000-03-28,2997,3125,2876,3027,26549,1.78
59,2000-03-29,3057,3057,2664,2664,20277,-11.99
60,2000-03-30,2573,2981,2497,2981,60476,11.9
61,2000-03-31,2981,3300,2876,3088,102538,3.59
62,2000-04-03,3163,3314,2724,2838,57291,-8.1
63,2000-04-04,2716,2800,2497,2679,23218,-5.6
64,2000-04-06,2861,2861,2573,2649,14236,-1.12
65,2000-04-07,2723,2830,2648,2800,25493,5.7
66,2000-04-10,3133,3133,2875,2951,88699,5.39
67,2000-04-11,2808,2808,2603,2709,34096,-8.2
68,2000-04-12,2558,2724,2558,2664,14766,-1.66
69,2000-04-14,2421,2573,2376,2528,24142,-5.11
70,2000-04-17,2225,2271,2225,2225,25385,-11.99
71,2000-04-18,2224,2489,2224,2489,24112,11.87
72,2000-04-19,2565,2708,2421,2633,26488,5.79
73,2000-04-20,2573,2793,2528,2603,35886,-1.14
74,2000-04-21,2595,2774,2514,2620,27604,0.65
75,2000-04-24,2757,2757,2530,2636,13358,0.61
76,2000-04-25,2449,2611,2449,2563,8206,-2.77
77,2000-04-26,2789,2838,2595,2652,98595,3.47
78,2000-04-27,2595,2595,2465,2481,28129,-6.45
79,2000-04-28,2531,2644,2465,2531,16017,2.02
80,2000-05-02,2644,2692,2563,2628,20161,3.83
81,2000-05-03,2547,2595,2522,2547,8872,-3.08
82,2000-05-04,2514,2594,2514,2579,19516,1.26
83,2000-05-08,2668,2757,2530,2595,47902,0.62
84,2000-05-09,2643,2692,2481,2579,24221,-0.62
85,2000-05-10,2514,2757,2481,2741,50979,6.28
86,2000-05-12,2919,3066,2919,3066,104543,11.86
87,2000-05-15,3430,3430,3276,3430,153315,11.87
88,2000-05-16,3488,3601,3025,3025,207919,-11.81
89,2000-05-17,3333,3381,3016,3098,224585,2.41
90,2000-05-18,3081,3113,2773,2984,124924,-3.68
91,2000-05-19,2870,3341,2854,3341,329839,11.96
92,2000-05-22,3325,3649,2944,2944,453057,-11.88
93,2000-05-23,2943,3292,2595,2611,488359,-11.31
94,2000-05-24,2514,2546,2303,2303,125142,-11.8
95,2000-05-25,2271,2546,2271,2433,186911,5.64
96,2000-05-26,2140,2465,2140,2141,120890,-12.0
97,2000-05-29,1897,2124,1897,1930,79509,-9.86
98,2000-05-30,1954,2157,1954,2109,81938,9.27
99,2000-05-31,2255,2344,2173,2287,101245,8.44
100,2000-06-01,2270,2270,2068,2189,83804,-4.29
101,2000-06-02,2303,2448,2205,2449,236058,11.88
102,2000-06-05,2732,2732,2698,2732,58227,11.56
103,2000-06-07,2766,3016,2517,2823,229972,3.33
104,2000-06-08,2721,2812,2517,2585,120814,-8.43
105,2000-06-09,2494,2675,2369,2608,68779,0.89
106,2000-06-12,2642,2914,2642,2914,213022,11.73
107,2000-06-13,2948,3062,2585,2653,169875,-8.96
108,2000-06-14,2732,2812,2562,2676,62341,0.87
109,2000-06-15,2471,2608,2358,2370,58638,-11.43
110,2000-06-16,2313,2517,2188,2381,66978,0.46
111,2000-06-19,2403,2437,2279,2290,63110,-3.82
112,2000-06-20,2336,2426,2268,2313,36699,1.0
113,2000-06-21,2358,2426,2267,2324,56367,0.48
114,2000-06-22,2426,2494,2313,2370,68610,1.98
115,2000-06-23,2313,2370,2259,2313,44647,-2.41
116,2000-06-26,2313,2381,2268,2347,59637,1.47
117,2000-06-27,2369,2369,2263,2290,62029,-2.43
118,2000-06-28,2227,2291,2154,2200,55264,-3.93
119,2000-06-29,2199,2244,2077,2116,40116,-3.82
120,2000-06-30,2104,2104,1972,2061,42915,-2.6
121,2000-07-03,2041,2195,2007,2086,81917,1.21
122,2000-07-04,2041,2041,1954,1991,82098,-4.55
123,2000-07-05,2021,2041,1753,1765,73733,-11.35
124,2000-07-06,1723,1968,1655,1860,136467,5.38
125,2000-07-07,1882,1939,1816,1848,60492,-0.65
126,2000-07-10,1816,1830,1745,1773,68425,-4.06
127,2000-07-11,1837,1837,1601,1683,71938,-5.08
128,2000-07-12,1680,1803,1592,1723,57265,2.38
129,2000-07-13,1701,1930,1658,1826,197746,5.98
130,2000-07-14,1814,1884,1745,1803,57251,-1.26
131,2000-07-18,1837,1860,1701,1826,62690,1.28
132,2000-07-19,1769,1780,1621,1651,47063,-9.58
133,2000-07-20,1651,1662,1524,1572,37234,-4.78
134,2000-07-21,1542,1659,1519,1644,47138,4.58
135,2000-07-24,1542,1653,1542,1565,25039,-4.81
136,2000-07-25,1633,1651,1519,1542,16100,-1.47
137,2000-07-26,1542,1587,1474,1542,33641,0.0
138,2000-07-27,1544,1621,1508,1576,42025,2.2
139,2000-07-28,1583,1633,1544,1590,51459,0.89
140,2000-07-31,1565,1578,1524,1576,32721,-0.88
141,2000-08-01,1608,1765,1588,1765,45380,11.99
142,2000-08-02,1868,1950,1775,1810,163917,2.55
143,2000-08-03,1826,1887,1723,1830,119934,1.1
144,2000-08-04,1830,1832,1735,1765,42557,-3.55
145,2000-08-07,1764,1810,1701,1719,43390,-2.61
146,2000-08-08,1657,1782,1657,1678,41559,-2.39
147,2000-08-09,1677,1814,1646,1760,56231,4.89
148,2000-08-10,1814,1880,1718,1853,136110,5.28
149,2000-08-11,1861,1993,1780,1837,189804,-0.86
150,2000-08-14,1860,1873,1751,1812,78021,-1.36
151,2000-08-16,1769,1814,1714,1767,69176,-2.48
152,2000-08-17,1814,1859,1759,1789,69627,1.25
153,2000-08-18,1769,1769,1714,1744,48079,-2.52
154,2000-08-21,1700,1745,1691,1723,29316,-1.2
155,2000-08-22,1746,1814,1741,1762,28730,2.26
156,2000-08-23,1785,1785,1701,1730,20476,-1.82
157,2000-08-24,1723,1746,1664,1687,18046,-2.49
158,2000-08-25,1678,1701,1610,1669,33536,-1.07
159,2000-08-28,1634,1791,1632,1707,79162,2.28
160,2000-08-29,1723,1723,1655,1673,30191,-1.99
161,2000-08-30,1655,1691,1639,1676,25604,0.18
162,2000-08-31,1678,1694,1610,1658,33503,-1.07
163,2000-09-01,1657,1698,1644,1680,31385,1.33
164,2000-09-04,1655,1743,1655,1728,85004,2.86
165,2000-09-05,1757,1904,1702,1746,292734,1.04
166,2000-09-06,1757,1757,1668,1680,74724,-3.78
167,2000-09-07,1657,1755,1655,1689,102441,0.54
168,2000-09-08,1723,1723,1633,1671,64237,-1.07
169,2000-09-14,1678,1723,1644,1658,63879,-0.78
170,2000-09-15,1644,1676,1633,1649,31467,-0.54
171,2000-09-18,1592,1599,1451,1520,54288,-7.82
