,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,4010,4350,3900,4100,219100,-4.65
1,2000-01-05,4140,4140,3950,3960,219300,-3.41
2,2000-01-06,4000,4200,4000,4100,187800,3.54
3,2000-01-07,4010,4200,4010,4070,124400,-0.73
4,2000-01-10,3920,4200,3920,4050,132000,-0.49
5,2000-01-11,4170,4200,4100,4100,113700,1.23
6,2000-01-12,4050,4100,4000,4000,127800,-2.44
7,2000-01-13,4100,4190,3950,4000,100600,0.0
8,2000-01-14,3910,4300,3900,4120,295500,3.0
9,2000-01-17,4290,4550,4150,4300,188200,4.37
10,2000-01-18,4250,4300,4060,4100,184900,-4.65
11,2000-01-19,3900,4500,3900,4200,472600,2.44
12,2000-01-20,4340,4400,4000,4200,270000,0.0
13,2000-01-21,4400,4400,4020,4100,29700,-2.38
14,2000-01-24,4030,4300,4030,4200,209000,2.44
15,2000-01-25,4300,4490,4100,4260,430300,1.43
16,2000-01-26,4440,4440,4130,4150,109100,-2.58
17,2000-01-27,4170,4350,4170,4210,147800,1.45
18,2000-01-28,4210,4350,4150,4160,205800,-1.19
19,2000-01-31,4175,4195,4095,4185,61900,0.6
20,2000-02-01,4170,4170,4050,4090,112300,-2.27
21,2000-02-02,4150,4300,4100,4130,290700,0.98
22,2000-02-03,4205,4295,4145,4205,314300,1.82
23,2000-02-07,4290,4540,4100,4540,316300,7.97
24,2000-02-08,4600,4600,4210,4220,166000,-7.05
25,2000-02-09,4250,4280,4070,4110,199100,-2.61
26,2000-02-10,4160,4160,4010,4050,160700,-1.46
27,2000-02-11,4050,4050,3820,3900,185700,-3.7
28,2000-02-14,3850,3940,3710,3800,69600,-2.56
29,2000-02-15,3710,3800,3640,3650,60800,-3.95
30,2000-02-16,3670,4050,3670,3800,46000,4.11
31,2000-02-17,3700,4070,3700,3800,16500,0.0
32,2000-02-18,3695,3945,3645,3705,179400,-2.5
33,2000-02-21,3650,3800,3500,3600,72300,-2.83
34,2000-02-22,3410,3800,3410,3500,26500,-2.78
35,2000-02-23,3645,4025,3496,4025,242900,15.0
36,2000-02-24,4070,4070,3520,3520,90000,-12.55
37,2000-02-25,3526,4045,3526,4045,220600,14.91
38,2000-02-28,4000,4650,4000,4650,788400,14.96
39,2000-02-29,4800,4800,4210,4210,462500,-9.46
40,2000-03-02,4350,4550,4200,4390,312900,4.28
41,2000-03-03,4050,4380,4000,4170,206800,-5.01
42,2000-03-06,4100,4800,4100,4600,265200,10.31
43,2000-03-07,4600,4600,4350,4350,59900,-5.43
44,2000-03-08,4180,4550,4000,4490,149700,3.22
45,2000-03-09,4120,5000,4120,4600,615200,2.45
46,2000-03-10,4810,4810,4200,4260,301200,-7.39
47,2000-03-13,4396,4895,4296,4895,966900,14.91
48,2000-03-14,5290,5600,4270,4870,1550200,-0.51
49,2000-03-15,4890,4890,4430,4500,369800,-7.6
50,2000-03-16,4700,4900,4500,4790,513000,6.44
51,2000-03-17,4890,4900,4500,4520,235500,-5.64
52,2000-03-20,4600,4600,4300,4510,96300,-0.22
53,2000-03-21,4600,4600,4230,4300,290200,-4.66
54,2000-03-22,4300,4390,4150,4270,214300,-0.7
