,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,38588332,41482508,38588332,39553088,1,-10.87
1,2000-01-05,42926620,45338488,40997176,45337680,0,14.62
2,2000-01-06,45822980,52092932,45822980,52092956,1,14.9
3,2000-01-07,57397904,57397904,45821844,56914772,1,9.26
4,2000-01-10,53056540,53056540,50644680,53055752,1,-6.78
5,2000-01-11,53064680,56924452,50652816,56441276,0,6.38
6,2000-01-12,56443696,56443696,48242632,48241824,0,-14.53
7,2000-01-13,48239616,48239616,41004048,45826964,0,-5.01
8,2000-01-14,43894468,45823920,43412120,43412120,0,-5.27
9,2000-01-17,45823920,45823920,42929716,43412120,0,0.0
10,2000-01-18,43415912,47274856,41486408,45826964,0,5.56
11,2000-01-19,45827796,45827796,39556920,45826964,0,0.0
12,2000-01-20,41481620,44375828,41481620,43893504,0,-4.22
13,2000-01-21,45339484,45339484,43409984,44856300,0,2.19
14,2000-01-24,44859184,47753376,43412120,43412120,0,-3.22
15,2000-01-25,48238548,48238548,42450112,42449328,0,-2.22
16,2000-01-26,42452088,42452088,41004948,41486548,0,-2.27
17,2000-01-27,41003032,44861976,41003032,42449328,0,2.32
18,2000-01-28,42447364,44376816,42447364,43412120,0,2.27
19,2000-01-31,44857084,44857084,43409984,44856300,0,3.33
20,2000-02-01,43893484,43893484,42446356,43893504,0,-2.15
21,2000-02-02,43893484,44375828,42928744,43893504,0,0.0
22,2000-02-03,42928744,44375828,42928744,43893504,0,0.0
23,2000-02-07,43898272,47274856,42933544,45826964,0,4.4
24,2000-02-08,45822792,45822792,43410932,44374900,0,-3.17
25,2000-02-09,45820024,45820024,42926620,45337680,0,2.17
26,2000-02-10,42930720,45824892,42930720,42930724,0,-5.31
27,2000-02-11,43410880,43410880,40034276,40515868,0,-5.63
28,2000-02-14,41002968,41002968,38590300,38590308,0,-4.75
29,2000-02-15,36665684,37148028,35218560,36183336,0,-6.24
30,2000-02-16,33766600,38590300,31354784,38590308,2,6.65
31,2000-02-17,33767484,38591992,33285074,34249876,0,-11.25
32,2000-02-18,35217584,37147076,34735236,36664732,0,7.05
33,2000-02-21,35212664,35212664,34730272,35212668,0,-3.96
34,2000-02-22,34727260,34727260,32316220,32797810,1,-6.86
35,2000-02-23,32804542,34734016,32321364,33768492,1,2.96
36,2000-02-24,34240924,34240924,30865136,30864350,0,-8.6
37,2000-02-25,31834848,32317220,30870120,32316414,0,4.7
38,2000-02-28,32320360,34249848,32320360,34249876,0,5.98
39,2000-02-29,35215396,35215396,32802724,34249876,0,0.0
40,2000-03-02,34726268,34726268,33279194,33279208,0,-2.83
41,2000-03-03,33288150,36664712,32804936,36664732,1,10.17
42,2000-03-06,37144220,41968724,36661832,41967944,1,14.46
43,2000-03-07,36177572,46790524,36177572,46789760,1,11.49
44,2000-03-08,47267116,47267116,43891364,45337680,1,-3.1
45,2000-03-09,41962876,45821784,41962876,44856300,0,-1.06
46,2000-03-10,42452204,43416940,41005108,41005152,0,-8.59
47,2000-03-13,39556920,46310160,39556920,45826964,1,11.76
48,2000-03-14,47268324,52574332,45822052,52574356,2,14.72
49,2000-03-15,57879408,57879408,44857084,44856300,2,-14.68
50,2000-03-16,43412956,44860068,39071668,39071688,1,-12.9
51,2000-03-17,39072564,40520480,34248884,34731272,1,-11.11
52,2000-03-20,38105780,40035268,38105780,40034484,0,15.27
53,2000-03-21,39556920,45827796,39073704,45826964,1,14.47
54,2000-03-22,50645640,50645640,39551956,40515868,1,-11.59
