,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1868,1868,1868,1868,100,1.3
1,2000-01-05,1770,1770,1770,1770,0,-5.25
2,2000-01-06,1787,1816,1787,1787,120,0.96
3,2000-01-07,1614,1784,1585,1784,1190,-0.17
4,2000-01-10,1729,1903,1729,1902,620,6.61
5,2000-01-11,1776,1776,1776,1775,0,-6.68
6,2000-01-12,1565,1725,1565,1726,1610,-2.76
7,2000-01-13,1728,1728,1728,1729,210,0.17
8,2000-01-14,1522,1937,1522,1706,170,-1.33
9,2000-01-17,1694,1694,1694,1694,0,-0.7
10,2000-01-18,1643,1643,1643,1643,0,-3.01
11,2000-01-19,1723,1723,1716,1717,1310,4.5
12,2000-01-20,1728,1728,1728,1729,10,0.7
13,2000-01-21,1752,1752,1723,1723,1210,-0.35
14,2000-01-24,1519,1689,1519,1689,1100,-1.97
15,2000-01-25,1487,1614,1487,1608,1620,-4.8
16,2000-01-26,1665,1665,1665,1665,10,3.54
17,2000-01-27,1554,1557,1554,1557,1010,-6.49
18,2000-01-28,1642,1728,1642,1729,100,11.05
19,2000-01-31,1665,1665,1665,1665,0,-3.7
20,2000-02-01,1553,1664,1553,1663,110,-0.12
21,2000-02-02,1662,1662,1463,1463,1080,-12.03
22,2000-02-03,1297,1556,1297,1429,4500,-2.32
23,2000-02-07,1441,1584,1366,1579,7960,10.5
24,2000-02-08,1441,1476,1392,1476,2150,-6.52
25,2000-02-09,1469,1556,1412,1441,2670,-2.37
26,2000-02-10,1326,1441,1274,1441,2080,0.0
27,2000-02-11,1441,1441,1277,1441,1860,0.0
28,2000-02-14,1384,1447,1298,1447,1810,0.42
29,2000-02-15,1273,1383,1273,1383,700,-4.42
30,2000-02-16,1354,1354,1348,1349,1310,-2.46
31,2000-02-17,1354,1417,1268,1418,2250,5.11
32,2000-02-18,1441,1441,1441,1441,50,1.62
33,2000-02-21,1526,1526,1285,1383,310,-4.02
34,2000-02-22,1383,1493,1326,1492,1220,7.88
35,2000-02-23,1413,1413,1314,1326,1640,-11.13
36,2000-02-24,1326,1484,1173,1484,4100,11.92
37,2000-02-25,1551,1557,1441,1557,9930,4.92
38,2000-02-28,1556,1741,1556,1741,65970,11.82
39,2000-02-29,1746,1948,1740,1930,78570,10.86
40,2000-03-02,2017,2161,1959,2161,134280,11.97
41,2000-03-03,2275,2362,1959,2276,81980,5.32
42,2000-03-06,2075,2271,2006,2092,26330,-8.08
43,2000-03-07,1874,2063,1842,1937,18530,-7.41
44,2000-03-08,1786,2010,1728,2011,17670,3.82
45,2000-03-09,2012,2248,1902,2184,30770,8.6
46,2000-03-10,2305,2444,2254,2444,79640,11.9
47,2000-03-13,2729,2735,2484,2734,162180,11.87
48,2000-03-14,3049,3060,3025,3060,198860,11.92
49,2000-03-15,3422,3422,3422,3423,75270,11.86
50,2000-03-16,3831,3831,3024,3457,406200,0.99
51,2000-03-17,3515,3520,3042,3043,81180,-11.98
52,2000-03-20,2679,2679,2679,2679,8790,-11.96
53,2000-03-21,2359,2996,2359,2997,429370,11.87
54,2000-03-22,3353,3353,3175,3354,200960,11.91
55,2000-03-23,3751,3751,3083,3181,297440,-5.16
56,2000-03-24,2881,3428,2806,3227,154300,1.45
57,2000-03-27,3227,3313,3002,3244,118680,0.53
58,2000-03-28,3061,3228,2859,3020,201070,-6.91
59,2000-03-29,2663,2882,2663,2663,121580,-11.82
60,2000-03-30,2536,2593,2345,2421,85900,-9.09
61,2000-03-31,2190,2710,2190,2709,159550,11.9
62,2000-04-03,2709,3020,2622,2997,250910,10.63
63,2000-04-04,2680,2840,2639,2639,60800,-11.95
64,2000-04-06,2366,2594,2326,2334,95890,-11.56
65,2000-04-07,2339,2613,2339,2613,127220,11.95
66,2000-04-10,2652,2923,2652,2922,173970,11.83
67,2000-04-11,2830,2830,2577,2646,80940,-9.45
68,2000-04-12,2593,2962,2420,2962,246430,11.94
69,2000-04-14,2962,3313,2824,3314,252210,11.88
70,2000-04-17,2915,2915,2915,2916,16680,-12.01
71,2000-04-18,2651,3054,2570,2570,311650,-11.87
72,2000-04-19,2651,2824,2334,2559,259260,-0.43
73,2000-04-20,2766,2864,2604,2864,295190,11.92
74,2000-04-21,3180,3180,2535,2697,344860,-5.83
75,2000-04-24,2697,2777,2552,2552,131350,-5.38
76,2000-04-25,2530,2623,2392,2479,82870,-2.86
77,2000-04-26,2477,2592,2333,2391,93480,-3.55
78,2000-04-27,2304,2466,2246,2305,74760,-3.6
79,2000-04-28,2363,2565,2306,2415,163410,4.77
80,2000-05-02,2449,2489,2322,2374,114300,-1.7
81,2000-05-03,2275,2477,2275,2339,110200,-1.47
82,2000-05-04,2363,2449,2334,2363,110250,1.03
83,2000-05-08,2363,2582,2363,2432,122740,2.92
84,2000-05-09,2431,2478,2311,2409,53980,-0.95
85,2000-05-10,2449,2680,2409,2639,197250,9.55
86,2000-05-12,2628,2870,2508,2709,310860,2.65
87,2000-05-15,2824,2922,2391,2634,213350,-2.77
88,2000-05-16,2633,2651,2420,2421,85290,-8.09
89,2000-05-17,2448,2621,2397,2454,124540,1.36
90,2000-05-18,2363,2723,2363,2461,153680,0.29
91,2000-05-19,2477,2593,2333,2411,135630,-2.03
92,2000-05-22,2366,2508,2248,2352,145010,-2.45
93,2000-05-23,2345,2391,2071,2071,78230,-11.95
94,2000-05-24,1852,2046,1823,1824,31030,-11.93
95,2000-05-25,1614,2041,1614,2014,154470,10.42
96,2000-05-26,1816,2007,1776,1775,61400,-11.87
97,2000-05-29,1649,1874,1585,1775,39100,0.0
98,2000-05-30,1845,1903,1816,1902,35340,7.15
99,2000-05-31,1850,2081,1850,1988,42060,4.52
100,2000-06-01,1873,2224,1798,2225,140750,11.92
101,2000-06-02,2299,2420,2137,2296,93140,3.19
102,2000-06-05,2325,2449,2305,2357,63790,2.66
103,2000-06-07,2363,2363,2167,2248,61710,-4.62
104,2000-06-08,2299,2477,2178,2339,59780,4.05
105,2000-06-09,2362,2437,2246,2391,53700,2.22
106,2000-06-12,2420,2645,2247,2259,175460,-5.52
107,2000-06-13,2148,2529,2148,2313,189060,2.39
108,2000-06-14,2443,2489,2246,2305,59260,-0.35
109,2000-06-15,2247,2357,2074,2178,32010,-5.51
110,2000-06-16,2063,2212,1919,2040,49180,-6.34
111,2000-06-19,1960,2023,1954,2000,26770,-1.96
112,2000-06-20,1786,2046,1786,1959,15220,-2.05
113,2000-06-21,1959,2079,1959,2040,22300,4.13
114,2000-06-22,1964,2074,1964,2011,35720,-1.42
115,2000-06-23,2040,2040,1914,1988,25180,-1.14
116,2000-06-26,2005,2045,1941,2011,26390,1.16
117,2000-06-27,2018,2029,1949,1983,41390,-1.39
118,2000-06-28,2005,2219,2005,2103,150720,6.05
119,2000-06-29,2047,2047,1920,1954,78600,-7.09
120,2000-06-30,1901,1959,1901,1925,17180,-1.48
121,2000-07-03,1959,1959,1850,1896,20850,-1.51
122,2000-07-04,1800,1959,1800,1896,28990,0.0
123,2000-07-05,1953,1959,1798,1887,28740,-0.47
124,2000-07-06,1888,2113,1888,2113,99140,11.98
125,2000-07-07,2306,2306,1903,2133,119410,0.95
126,2000-07-10,2029,2076,1960,2000,49090,-6.24
127,2000-07-11,1964,1988,1866,1896,37720,-5.2
128,2000-07-12,1787,2047,1787,2000,32120,5.49
129,2000-07-13,1941,2016,1895,1942,20170,-2.9
130,2000-07-14,1893,1947,1893,1947,5680,0.26
131,2000-07-18,1954,2182,1891,1954,82220,0.36
132,2000-07-19,1989,1989,1827,1954,30380,0.0
133,2000-07-20,1874,2139,1834,2133,86270,9.16
134,2000-07-21,2132,2386,2132,2305,151550,8.06
135,2000-07-24,2277,2473,2248,2352,163170,2.04
136,2000-07-25,2373,2373,2075,2233,88630,-5.06
137,2000-07-26,2137,2304,2097,2207,163590,-1.16
138,2000-07-27,2143,2366,2107,2230,85700,1.04
139,2000-07-28,2146,2450,2139,2204,46110,-1.17
140,2000-07-31,2146,2230,2077,2087,22040,-5.31
141,2000-08-01,2185,2338,2173,2338,37450,12.03
142,2000-08-02,2398,2528,2204,2385,44450,2.01
143,2000-08-03,2399,2464,2305,2353,22390,-1.34
144,2000-08-04,2269,2379,2256,2314,20510,-1.66
145,2000-08-07,2149,2451,2149,2327,25290,0.56
146,2000-08-08,2347,2399,2250,2311,18680,-0.69
147,2000-08-09,2385,2585,2314,2482,130890,7.4
148,2000-08-10,2528,2572,2333,2463,38170,-0.77
149,2000-08-11,2430,2495,2204,2339,40250,-5.03
150,2000-08-14,2314,2379,2217,2295,26880,-1.88
151,2000-08-16,2275,2362,2204,2268,27050,-1.18
152,2000-08-17,2308,2396,2275,2334,44260,2.91
153,2000-08-18,2268,2333,2236,2268,25320,-2.83
154,2000-08-21,2463,2463,2243,2308,27610,1.76
155,2000-08-22,2242,2349,2177,2223,36770,-3.68
156,2000-08-23,2262,2262,2146,2149,25490,-3.33
157,2000-08-24,2149,2194,2075,2184,36080,1.63
158,2000-08-25,2106,2139,2055,2058,18170,-5.77
159,2000-08-28,2068,2152,2068,2149,15700,4.42
160,2000-08-29,2139,2139,2045,2094,11390,-2.56
161,2000-08-30,2050,2138,2050,2084,9780,-0.48
162,2000-08-31,2139,2333,2016,2197,853650,5.42
163,2000-09-01,2191,2198,1977,2140,183890,-2.59
164,2000-09-04,2140,2205,1991,2042,90460,-4.58
165,2000-09-05,1964,2009,1847,1912,81260,-6.37
166,2000-09-06,1847,1964,1840,1912,34470,0.0
167,2000-09-07,1827,1937,1685,1815,33420,-5.07
168,2000-09-08,1721,2033,1624,2032,36060,11.96
169,2000-09-14,1946,2030,1849,1945,44280,-4.28
170,2000-09-15,1773,1919,1773,1783,39720,-8.33
171,2000-09-18,1711,1848,1568,1569,56710,-12.0
172,2000-09-19,1381,1523,1381,1406,65530,-10.39
173,2000-09-20,1397,1574,1338,1575,55000,12.02
174,2000-09-21,1430,1563,1413,1485,19050,-5.71
175,2000-09-22,1380,1516,1309,1517,27000,2.15
176,2000-09-25,1361,1516,1361,1504,14240,-0.86
177,2000-09-26,1433,1517,1433,1465,11680,-2.59
178,2000-09-27,1432,1554,1432,1471,45730,0.41
179,2000-09-28,1490,1536,1441,1481,18440,0.68
180,2000-09-29,1459,1553,1433,1501,31880,1.35
181,2000-10-02,1490,1499,1435,1491,32130,-0.67
182,2000-10-04,1492,1621,1453,1582,47830,6.1
183,2000-10-05,1609,1739,1550,1608,49310,1.64
184,2000-10-06,1607,1659,1523,1575,33080,-2.05
185,2000-10-09,1510,1601,1491,1523,58410,-3.3
186,2000-10-10,1498,1543,1459,1485,20830,-2.5
187,2000-10-11,1464,1483,1309,1374,38720,-7.47
188,2000-10-12,1336,1374,1299,1358,19290,-1.16
189,2000-10-13,1306,1328,1231,1309,24660,-3.61
190,2000-10-16,1419,1458,1367,1420,33550,8.48
191,2000-10-17,1395,1395,1291,1291,26410,-9.08
192,2000-10-18,1290,1361,1232,1316,29500,1.94
193,2000-10-19,1355,1355,1242,1313,23540,-0.23
194,2000-10-20,1327,1362,1284,1326,41710,0.99
195,2000-10-23,1300,1329,1244,1296,20220,-2.26
196,2000-10-24,1394,1394,1290,1309,21730,1.0
197,2000-10-25,1310,1466,1310,1465,62390,11.92
198,2000-10-26,1639,1639,1555,1640,104360,11.95
199,2000-10-27,1803,1835,1449,1582,205140,-3.54
200,2000-10-30,1501,1770,1501,1770,272870,11.88
201,2000-10-31,1769,1769,1558,1559,207580,-11.92
202,2000-11-01,1560,1712,1459,1705,103420,9.36
203,2000-11-02,1630,1909,1621,1909,309350,11.96
204,2000-11-03,1902,2067,1814,1905,290800,-0.21
205,2000-11-06,1834,1918,1814,1834,205720,-3.73
206,2000-11-07,1816,1880,1706,1705,94650,-7.03
207,2000-11-08,1705,1802,1695,1750,91460,2.64
208,2000-11-09,1542,1879,1542,1783,209080,1.89
209,2000-11-10,1790,1816,1667,1679,46010,-5.83
210,2000-11-13,1685,1760,1621,1686,66380,0.42
211,2000-11-14,1685,1769,1646,1744,116290,3.44
212,2000-11-15,1748,1919,1748,1873,205480,7.4
213,2000-11-16,1893,2080,1879,1951,334450,4.16
214,2000-11-17,1880,1978,1867,1939,106600,-0.62
215,2000-11-20,1935,2009,1847,1896,77360,-2.22
216,2000-11-21,2009,2123,1945,2123,294710,11.97
217,2000-11-22,2230,2230,2046,2068,487910,-2.59
218,2000-11-23,2004,2010,1822,1822,161590,-11.9
219,2000-11-24,1816,1874,1618,1705,114650,-6.42
220,2000-11-27,1624,1816,1624,1802,157320,5.69
221,2000-11-28,1692,1773,1659,1666,60980,-7.55
222,2000-11-29,1626,1659,1503,1513,97240,-9.18
223,2000-11-30,1581,1587,1426,1491,70660,-1.45
224,2000-12-01,1436,1488,1394,1439,65050,-3.49
225,2000-12-04,1451,1523,1432,1471,45660,2.22
226,2000-12-05,1439,1477,1406,1451,44230,-1.36
227,2000-12-06,1468,1546,1465,1468,70370,1.17
228,2000-12-07,1426,1640,1426,1608,76150,9.54
229,2000-12-08,1621,1621,1537,1602,87840,-0.37
230,2000-12-11,1563,1731,1563,1673,54500,4.43
231,2000-12-12,1743,1814,1672,1737,161390,3.83
232,2000-12-13,1692,1743,1608,1666,66390,-4.09
233,2000-12-14,1653,1653,1568,1610,51030,-3.36
234,2000-12-15,1529,1587,1490,1517,53660,-5.78
235,2000-12-18,1569,1569,1459,1536,38170,1.25
236,2000-12-19,1485,1554,1453,1485,41440,-3.32
237,2000-12-20,1433,1478,1355,1393,32140,-6.2
238,2000-12-21,1300,1361,1229,1309,41980,-6.03
239,2000-12-22,1231,1381,1231,1309,57160,0.0
240,2000-12-26,1328,1406,1296,1354,40200,3.44
241,2001-01-02,1229,1455,1229,1400,13250,3.4
242,2001-01-03,1444,1444,1361,1406,27260,0.43
243,2001-01-04,1444,1503,1441,1455,50290,3.49
244,2001-01-05,1456,1456,1362,1386,29930,-4.74
245,2001-01-08,1449,1526,1324,1477,32780,6.57
246,2001-01-09,1489,1593,1427,1524,55850,3.18
247,2001-01-10,1466,1586,1406,1406,93310,-7.74
248,2001-01-11,1383,1484,1383,1414,23640,0.57
249,2001-01-12,1421,1476,1413,1424,64540,0.71
250,2001-01-15,1420,1497,1413,1434,33450,0.7
251,2001-01-16,1441,1544,1392,1455,73330,1.46
252,2001-01-17,1525,1580,1455,1497,92950,2.89
