,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,3400,4200,3400,4200,3770,7.69
1,2000-01-05,4700,4700,4000,4260,7330,1.43
2,2000-01-06,4890,4890,4300,4300,7900,0.94
3,2000-01-07,4310,4310,4000,4000,4920,-6.98
4,2000-01-10,3600,4295,3600,4000,2110,0.0
5,2000-01-11,3700,4180,3700,4180,4140,4.5
6,2000-01-12,4150,4400,3900,4100,4490,-1.91
7,2000-01-13,4100,4100,3800,3800,3440,-7.32
8,2000-01-14,3800,3800,3800,3800,1170,0.0
9,2000-01-17,3330,3920,3330,3920,1440,3.16
10,2000-01-18,3700,3900,3505,3900,2400,-0.51
11,2000-01-19,3900,3900,3600,3600,1390,-7.69
12,2000-01-20,3690,3690,3300,3590,3040,-0.28
13,2000-01-21,3250,3850,3250,3850,2350,7.24
14,2000-01-24,3430,3800,3430,3800,5850,-1.3
15,2000-01-25,3420,3700,3420,3450,3120,-9.21
16,2000-01-26,3220,3465,3220,3350,780,-2.9
17,2000-01-27,3460,3700,3400,3600,2930,7.46
18,2000-01-28,3320,3850,3300,3850,3640,6.94
19,2000-01-31,3590,3650,3500,3500,2610,-9.09
20,2000-02-01,3200,3850,3200,3700,5790,5.71
21,2000-02-02,3520,3520,3460,3500,4090,-5.41
22,2000-02-03,3360,3480,3360,3360,7810,-4.0
23,2000-02-07,3500,3500,3350,3400,5810,1.19
24,2000-02-08,3400,3400,3300,3350,7900,-1.47
25,2000-02-09,3345,3400,3280,3280,8630,-2.09
26,2000-02-10,3210,3210,3100,3210,2840,-2.13
27,2000-02-11,3130,3200,3100,3200,4960,-0.31
28,2000-02-14,3150,3150,2880,2880,7480,-10.0
29,2000-02-15,2800,3050,2800,2900,5630,0.69
30,2000-02-16,2900,3335,2500,3335,10080,15.0
31,2000-02-17,3360,3800,3360,3800,18430,13.94
32,2000-02-18,4000,4000,3300,3700,11860,-2.63
33,2000-02-21,3750,3970,3400,3400,10740,-8.11
34,2000-02-22,3400,3600,3300,3500,11550,2.94
35,2000-02-23,3300,3615,3300,3310,6450,-5.43
36,2000-02-24,3250,3250,3050,3050,5430,-7.85
37,2000-02-25,3100,3505,3000,3505,13930,14.92
38,2000-02-28,4000,4030,3210,4030,18400,14.98
39,2000-02-29,4200,4500,4190,4380,20020,8.68
40,2000-03-02,4280,5030,3960,4290,35630,-2.05
41,2000-03-03,4000,4000,3800,3800,16340,-11.42
42,2000-03-06,3800,3810,3600,3650,14920,-3.95
43,2000-03-07,3600,4195,3500,4195,12580,14.93
44,2000-03-08,4820,4820,4200,4600,24880,9.65
45,2000-03-09,4500,5000,4010,4300,26870,-6.52
46,2000-03-10,4020,4600,4020,4260,9160,-0.93
47,2000-03-13,4540,4700,4310,4310,18580,1.17
48,2000-03-14,4405,4600,4310,4400,7730,2.09
49,2000-03-15,4390,4400,4150,4240,7950,-3.64
50,2000-03-16,4030,4875,4030,4875,14210,14.98
51,2000-03-17,5600,5600,4900,4900,28100,0.51
52,2000-03-20,5200,5380,4700,4810,10630,-1.84
53,2000-03-21,4710,5000,4500,4500,13980,-6.44
54,2000-03-22,4800,5170,4600,5170,15850,14.89
55,2000-03-23,5930,5930,5100,5100,25750,-1.35
56,2000-03-24,5100,5590,5090,5340,17760,4.71
57,2000-03-27,5500,5500,5000,5010,8150,-6.18
58,2000-03-28,5070,5200,4750,4750,7080,-5.19
59,2000-03-29,4700,4730,4200,4500,12110,-5.26
60,2000-03-30,4100,4700,4100,4460,5760,-0.89
61,2000-03-31,4120,4700,4120,4600,4760,3.14
62,2000-04-03,4705,4705,4150,4150,2540,-9.78
63,2000-04-04,3800,4200,3800,3855,4760,-7.11
64,2000-04-06,3840,4430,3800,4430,8370,14.92
65,2000-04-07,4500,5090,4500,4840,9900,9.26
66,2000-04-10,4860,4860,4500,4840,7330,0.0
67,2000-04-11,5000,5000,4680,4990,9580,3.1
68,2000-04-12,5000,5000,4680,4800,3710,-3.81
69,2000-04-14,4900,5520,4900,5460,29070,13.75
70,2000-04-17,4650,4805,4650,4650,6100,-14.84
71,2000-04-18,4900,4900,4300,4800,5550,3.23
72,2000-04-19,4360,4900,4360,4600,9390,-4.17
73,2000-04-20,4800,4800,4520,4550,4240,-1.09
74,2000-04-21,4550,4750,4320,4510,4220,-0.88
75,2000-04-24,4590,4900,4260,4700,11430,4.21
76,2000-04-25,4400,4790,4220,4530,10800,-3.62
77,2000-04-26,4600,4600,4420,4600,6900,1.55
78,2000-04-27,4310,4600,4310,4500,1190,-2.17
79,2000-04-28,4300,4600,4220,4500,4300,0.0
80,2000-05-02,4490,4500,4400,4500,1060,0.0
81,2000-05-03,4400,4500,4300,4500,870,0.0
82,2000-05-04,4200,4490,4200,4480,4160,-0.44
83,2000-05-08,4300,4600,4300,4505,4150,0.56
84,2000-05-09,4320,4550,4320,4450,1180,-1.22
85,2000-05-10,4250,4460,4250,4460,2740,0.22
86,2000-05-12,4310,4310,4030,4060,3620,-8.97
87,2000-05-15,4090,4090,3700,3700,3260,-8.87
88,2000-05-16,3700,3990,3515,3900,2350,5.41
89,2000-05-17,3650,4090,3650,3700,2930,-5.13
90,2000-05-18,3700,3700,3145,3400,3750,-8.11
91,2000-05-19,3400,3550,2890,3455,760,1.62
92,2000-05-22,3400,3400,2950,2990,930,-13.46
93,2000-05-23,3000,3000,2545,2545,3600,-14.88
94,2000-05-24,2920,2920,2200,2700,2880,6.09
95,2000-05-25,2490,3105,2490,3000,3040,11.11
96,2000-05-26,3000,3000,2750,3000,1370,0.0
97,2000-05-29,2710,3450,2710,3330,3040,11.0
98,2000-05-30,3400,3500,3300,3490,2180,4.8
99,2000-05-31,3500,3700,3500,3500,1710,0.29
100,2000-06-01,3560,3600,3500,3595,810,2.71
101,2000-06-02,3700,3700,3310,3600,1470,0.14
102,2000-06-05,3300,4140,3300,4100,4570,13.89
103,2000-06-07,4240,4240,4100,4110,2480,0.24
104,2000-06-08,4300,4300,3495,3950,3480,-3.89
105,2000-06-09,3900,4200,3800,4000,5450,1.27
106,2000-06-12,4200,4200,3800,4000,2220,0.0
107,2000-06-13,3750,4100,3750,3800,1040,-5.0
108,2000-06-14,3900,3900,3600,3800,660,0.0
109,2000-06-15,3600,3600,3360,3500,650,-7.89
110,2000-06-16,3700,3700,3300,3550,510,1.43
111,2000-06-19,3220,4080,3220,3510,5020,-1.13
112,2000-06-20,3970,4035,3700,4035,8600,14.96
113,2000-06-21,3840,4400,3750,3750,2900,-7.06
114,2000-06-22,4000,4100,3750,3750,3890,0.0
115,2000-06-23,3500,4150,3500,3800,5100,1.33
