,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,6300,7650,6300,7410,155000,5.86
1,2000-01-05,7400,7400,6900,7060,127030,-4.72
2,2000-01-06,7210,7380,6610,6800,135400,-3.68
3,2000-01-07,6520,7200,6520,7010,171090,3.09
4,2000-01-10,7000,7200,6750,6850,160170,-2.28
5,2000-01-11,6960,7180,6800,6850,148540,0.0
6,2000-01-12,6500,6850,6500,6510,94570,-4.96
7,2000-01-13,6420,7250,6310,6900,349320,5.99
8,2000-01-14,6900,7800,6900,7300,597710,5.8
9,2000-01-17,7450,7680,6950,6970,262770,-4.52
10,2000-01-18,7110,7590,6850,7500,371930,7.6
11,2000-01-19,7700,8580,7330,7400,941420,-1.33
12,2000-01-20,7200,7600,6600,6700,336250,-9.46
13,2000-01-21,6850,7190,6610,6900,260740,2.99
14,2000-01-24,7000,7290,6900,6900,320590,0.0
15,2000-01-25,6850,6980,6600,6600,232170,-4.35
16,2000-01-26,6620,6930,6510,6700,228420,1.52
17,2000-01-27,6760,7090,6700,7020,242920,4.78
18,2000-01-28,7050,7500,6950,7120,399910,1.42
19,2000-01-31,7000,7480,6850,7130,292750,0.14
20,2000-02-01,7210,7490,7100,7250,302360,1.68
21,2000-02-02,7390,8050,7310,7720,591570,6.48
22,2000-02-03,7900,7980,7320,7330,300610,-5.05
23,2000-02-07,7510,8420,7300,8420,724700,14.87
24,2000-02-08,8870,9390,8130,8300,1104880,-1.43
25,2000-02-09,8480,8480,7820,7900,342320,-4.82
26,2000-02-10,7700,7770,7330,7470,332530,-5.44
27,2000-02-11,7250,8040,7250,7470,449750,0.0
28,2000-02-14,7300,7660,6810,6830,287560,-8.57
29,2000-02-15,6830,7180,6620,6680,210220,-2.2
30,2000-02-16,7150,7150,6600,6750,182410,1.05
31,2000-02-17,6750,6890,6600,6820,160400,1.04
32,2000-02-18,6710,7450,6710,7150,367030,4.84
33,2000-02-21,7100,7450,6860,7100,297040,-0.7
34,2000-02-22,7950,8160,7360,8160,595390,14.93
35,2000-02-23,9300,9350,7800,8000,1162520,-1.96
36,2000-02-24,7900,8960,7810,8650,784340,8.13
37,2000-02-25,8590,9940,8390,9940,1291160,14.91
38,2000-02-28,9940,10950,9500,9500,1736790,-4.43
39,2000-02-29,9620,9980,8640,8910,980670,-6.21
40,2000-03-02,9490,10200,9110,10200,1120750,14.48
41,2000-03-03,10200,10700,9400,9400,760970,-7.84
42,2000-03-06,9700,10800,9700,10800,1063600,14.89
43,2000-03-07,10800,11100,9600,9900,793400,-8.33
44,2000-03-08,9700,9890,9100,9500,649270,-4.04
45,2000-03-09,9600,10400,9600,9850,630670,3.68
46,2000-03-10,9900,10850,9610,10200,847030,3.55
47,2000-03-13,10400,11450,10250,10650,747740,4.41
48,2000-03-14,11000,11100,9810,10300,546770,-3.29
49,2000-03-15,10500,11800,10100,11750,1396790,14.08
50,2000-03-16,10800,11850,10000,10000,990970,-14.89
51,2000-03-17,10500,10650,9600,10200,436410,2.0
52,2000-03-20,9900,10300,9450,9650,331530,-5.39
53,2000-03-21,9510,9780,8800,9000,402140,-6.74
54,2000-03-22,8800,9470,8800,9300,387950,3.33
55,2000-03-23,9150,9300,8750,8800,267790,-5.38
56,2000-03-24,8810,9250,8600,8990,333180,2.16
57,2000-03-27,9100,9500,9000,9160,182640,1.89
58,2000-03-28,9480,9480,8850,8990,156420,-1.86
59,2000-03-29,8900,8950,8310,8310,233540,-7.56
60,2000-03-30,8300,8480,7700,7740,205260,-6.86
61,2000-03-31,7700,8180,7700,7800,135270,0.78
62,2000-04-03,7800,8200,7450,7460,167190,-4.36
63,2000-04-04,7400,7700,7000,7150,141830,-4.16
64,2000-04-06,6750,7250,6750,7000,140790,-2.1
65,2000-04-07,7100,7790,7050,7500,185970,7.14
66,2000-04-10,7630,7950,7560,7730,181690,3.07
67,2000-04-11,7500,7520,7160,7170,103800,-7.24
68,2000-04-12,7020,7300,7020,7100,90450,-0.98
69,2000-04-14,7050,7100,6800,6990,84360,-1.55
70,2000-04-17,6010,6290,5950,5950,145360,-14.88
71,2000-04-18,6250,6490,6010,6200,124910,4.2
72,2000-04-19,6420,6750,6320,6410,195230,3.39
73,2000-04-20,6300,6480,6220,6470,82410,0.94
74,2000-04-21,6700,6800,6500,6650,105620,2.78
75,2000-04-24,6800,6800,6400,6500,61690,-2.26
76,2000-04-25,6550,6620,6250,6500,39580,0.0
77,2000-04-26,6630,6700,6170,6200,77350,-4.62
78,2000-04-27,5800,6200,5800,5860,70230,-5.48
79,2000-04-28,5810,6100,5780,5950,125300,1.54
80,2000-05-02,6050,6250,5890,6150,92040,3.36
81,2000-05-03,6100,6240,6000,6000,47050,-2.44
82,2000-05-04,6000,6200,5900,6050,80470,0.83
83,2000-05-08,6300,6450,6060,6230,139950,2.98
84,2000-05-09,6300,6380,6160,6160,81520,-1.12
85,2000-05-10,6160,6200,6000,6030,102890,-2.11
86,2000-05-12,5950,5980,5800,5820,81540,-3.48
87,2000-05-15,5620,5700,5250,5260,77920,-9.62
88,2000-05-16,5350,5400,5000,5020,77640,-4.56
89,2000-05-17,5050,5120,4305,4310,95310,-14.14
90,2000-05-18,3800,4200,3800,3910,88960,-9.28
91,2000-05-19,3950,4190,3700,4150,57350,6.14
92,2000-05-22,4150,4200,3550,3690,70050,-11.08
93,2000-05-23,3510,3740,3510,3550,55710,-3.79
94,2000-05-24,3405,3800,3170,3750,110640,5.63
95,2000-05-25,3800,4310,3800,4310,126380,14.93
96,2000-05-26,4310,4310,3665,3665,78980,-14.97
97,2000-05-29,3410,3985,3315,3750,81760,2.32
98,2000-05-30,3850,4170,3850,4110,100520,9.6
99,2000-05-31,4500,4690,4310,4550,139560,10.71
100,2000-06-01,4400,4500,4210,4500,115750,-1.1
101,2000-06-02,4680,4900,4400,4600,85700,2.22
102,2000-06-05,4800,5100,4700,4720,165040,2.61
103,2000-06-07,5050,5420,4960,5420,103800,14.83
104,2000-06-08,5890,5890,5130,5280,241720,-2.58
105,2000-06-09,5300,5570,5170,5210,120010,-1.33
106,2000-06-12,5340,5800,5200,5550,115620,6.53
107,2000-06-13,5440,5530,5150,5240,48910,-5.59
108,2000-06-14,5200,5400,5050,5080,46640,-3.05
109,2000-06-15,5030,5030,4580,4590,49930,-9.65
110,2000-06-16,4500,5050,4500,4900,74380,6.75
111,2000-06-19,5000,5040,4820,4820,43200,-1.63
112,2000-06-20,5130,5130,4820,4920,33530,2.07
113,2000-06-21,5100,5650,4920,5100,263650,3.66
114,2000-06-22,5300,5750,5160,5750,189990,12.75
115,2000-06-23,5460,6200,5400,5880,180190,2.26
116,2000-06-26,6010,6350,5900,6100,112470,3.74
117,2000-06-27,6400,6400,5950,6050,92470,-0.82
118,2000-06-28,6100,6150,5900,5960,75660,-1.49
119,2000-06-29,6010,6400,6010,6170,74830,3.52
120,2000-06-30,6010,6290,6010,6200,22580,0.49
121,2000-07-03,6150,6500,6150,6400,66720,3.23
122,2000-07-04,6340,6520,6100,6100,84400,-4.69
123,2000-07-05,6050,6150,5700,5900,76350,-3.28
124,2000-07-06,5900,6350,5900,6210,81310,5.25
125,2000-07-07,6200,6280,6060,6100,37690,-1.77
126,2000-07-10,6110,6430,6110,6250,85020,2.46
127,2000-07-11,6040,6380,6040,6050,68280,-3.2
128,2000-07-12,6450,6500,6060,6150,52520,1.65
129,2000-07-13,6150,6800,6150,6500,147810,5.69
130,2000-07-14,6500,6650,6190,6300,61270,-3.08
131,2000-07-18,6340,6400,5930,5950,38840,-5.56
132,2000-07-19,5710,5930,5550,5550,47460,-6.72
133,2000-07-20,6100,6100,5450,5600,40100,0.9
134,2000-07-21,5800,5800,5500,5550,22710,-0.89
135,2000-07-24,5300,5590,5000,5050,33430,-9.01
136,2000-07-25,4830,5300,4830,5140,21300,1.78
137,2000-07-26,5100,5390,5050,5300,16430,3.11
138,2000-07-27,5070,5290,5070,5140,17420,-3.02
139,2000-07-28,5200,5200,5040,5060,31020,-1.56
140,2000-07-31,5110,5130,4950,5080,17390,0.4
141,2000-08-01,5200,5800,5150,5600,25180,10.24
142,2000-08-02,5970,5970,5450,5460,11230,-2.5
143,2000-08-03,5500,5800,5310,5600,31490,2.56
144,2000-08-04,5800,5850,5400,5560,14990,-0.71
145,2000-08-07,5310,5600,5200,5400,22600,-2.88
146,2000-08-08,5440,5600,5210,5600,25410,3.7
147,2000-08-09,5410,5780,5410,5650,17200,0.89
148,2000-08-10,5700,5700,5510,5700,8470,0.88
149,2000-08-11,5500,5700,5420,5500,47590,-3.51
150,2000-08-14,5500,5900,5500,5800,59960,5.45
151,2000-08-16,5620,5810,4930,5350,370840,-7.76
152,2000-08-17,5010,5200,4980,5100,300680,-4.67
153,2000-08-18,5200,5200,5000,5070,64730,-0.59
154,2000-08-21,4960,5050,4960,5000,66270,-1.38
155,2000-08-22,4970,5180,4970,5020,57440,0.4
156,2000-08-23,5020,5130,4810,4850,53400,-3.39
157,2000-08-24,4850,4920,4585,4650,43520,-4.12
158,2000-08-25,4565,4650,4470,4540,44260,-2.37
159,2000-08-28,4425,4750,4425,4740,47210,4.41
160,2000-08-29,4740,5210,4740,5100,125970,7.59
161,2000-08-30,5200,5200,4860,4860,34070,-4.71
162,2000-08-31,4960,5190,4670,5150,99690,5.97
163,2000-09-01,5080,5510,4960,5510,83300,6.99
164,2000-09-04,5510,5750,5500,5750,334560,4.36
165,2000-09-05,5680,5750,5400,5500,24770,-4.35
166,2000-09-06,5340,5500,5150,5150,29810,-6.36
167,2000-09-07,5150,5300,4920,5200,58740,0.97
168,2000-09-08,5010,5250,5000,5200,15960,0.0
169,2000-09-14,5190,5330,4910,5100,40670,-1.92
170,2000-09-15,4960,5150,4880,4900,27050,-3.92
171,2000-09-18,4650,4800,4165,4250,21250,-13.27
172,2000-09-19,4080,4460,4025,4140,9930,-2.59
173,2000-09-20,4360,4550,4320,4480,24510,8.21
174,2000-09-21,4500,4500,4110,4195,16490,-6.36
175,2000-09-22,4195,4330,4050,4070,8200,-2.98
176,2000-09-25,4120,4250,4055,4150,15860,1.97
177,2000-09-26,4200,4250,4120,4140,90910,-0.24
