,Date,Open,High,Low,Close,Volume,Change
0,2008-07-10,2943,2992,2500,2516,2113322,NaN
1,2008-07-11,2614,2718,2518,2577,673339,2.42
2,2008-07-14,2582,2669,2514,2521,366947,-2.17
3,2008-07-15,2541,2588,2270,2292,416872,-9.08
4,2008-07-16,2332,2417,2275,2325,294389,1.44
5,2008-07-17,2381,2413,2315,2330,171428,0.22
6,2008-07-18,2374,2396,2217,2237,173290,-3.99
7,2008-07-21,2246,2336,2246,2325,94200,3.93
8,2008-07-22,2315,2365,2223,2232,168220,-4.0
9,2008-07-23,2256,2299,2252,2279,111285,2.11
10,2008-07-24,2292,2332,2246,2314,125356,1.54
11,2008-07-25,2292,2360,2274,2357,77642,1.86
12,2008-07-28,2381,2614,2353,2478,241433,5.13
13,2008-07-29,2470,2556,2409,2510,104800,1.29
14,2008-07-30,2484,2559,2429,2510,85500,0.0
15,2008-07-31,2500,2505,2362,2476,80130,-1.35
16,2008-08-01,2399,2451,2321,2360,66185,-4.68
17,2008-08-04,2338,2374,2245,2325,69591,-1.48
18,2008-08-05,2323,2323,2274,2321,27418,-0.17
19,2008-08-06,2343,2353,2290,2330,50265,0.39
20,2008-08-07,2298,2334,2259,2288,40010,-1.8
21,2008-08-08,2282,2315,2228,2321,40211,1.44
22,2008-08-11,2315,2332,2276,2303,58673,-0.78
23,2008-08-12,2291,2327,2260,2292,52293,-0.48
24,2008-08-13,2288,2288,2236,2252,16543,-1.75
25,2008-08-14,2237,2351,2237,2288,34450,1.6
26,2008-08-18,2288,2344,2273,2323,31577,1.53
27,2008-08-19,2310,2332,2285,2327,21350,0.17
28,2008-08-20,2332,2336,2296,2323,21991,-0.17
29,2008-08-21,2323,2332,2266,2270,16605,-2.28
30,2008-08-22,2259,2259,2184,2265,41400,-0.22
31,2008-08-25,2276,2286,2208,2216,15120,-2.16
32,2008-08-26,2179,2228,2125,2145,33385,-3.2
33,2008-08-27,2151,2156,2015,2063,50330,-3.82
34,2008-08-28,2069,2124,2048,2107,37520,2.13
35,2008-08-29,2089,2157,2065,2156,34230,2.33
36,2008-09-01,2179,2179,1936,1966,45870,-8.81
37,2008-09-02,1970,1970,1749,1807,81330,-8.09
38,2008-09-03,1802,1942,1725,1889,14850,4.54
39,2008-09-04,1906,2108,1884,2023,35512,7.09
40,2008-09-05,2020,2069,1960,2043,21160,0.99
41,2008-09-08,2037,2124,2037,2063,45020,0.98
42,2008-09-09,2096,2096,1962,1967,58625,-4.65
43,2008-09-10,1962,1984,1918,1976,9470,0.46
44,2008-09-11,2009,2009,1960,2003,10290,1.37
45,2008-09-12,1992,2067,1992,2053,23425,2.5
46,2008-09-16,1824,1935,1824,1911,17430,-6.92
47,2008-09-17,1922,2069,1922,2039,40140,6.7
48,2008-09-18,1988,2031,1948,2014,13710,-1.23
49,2008-09-19,2096,2096,2037,2074,41301,2.98
50,2008-09-22,2124,2124,2048,2074,15180,0.0
51,2008-09-23,2041,2069,2037,2043,32990,-1.49
52,2008-09-24,2027,2065,2027,2065,15440,1.08
53,2008-09-25,2041,2069,1991,2068,15850,0.15
54,2008-09-26,2065,2115,2045,2120,10980,2.51
55,2008-09-29,2120,2146,2082,2112,19530,-0.38
56,2008-09-30,2065,2067,1939,2041,46250,-3.36
57,2008-10-01,2045,2078,2003,2030,21660,-0.54
58,2008-10-02,1988,2037,1988,2019,16590,-0.54
59,2008-10-06,1967,2041,1906,1966,22570,-2.63
60,2008-10-07,1879,1906,1824,1840,73862,-6.41
61,2008-10-08,1835,1835,1718,1789,60092,-2.77
62,2008-10-09,1721,1838,1721,1842,8570,2.96
63,2008-10-10,1830,1851,1681,1857,54091,0.81
64,2008-10-13,1906,1922,1857,1916,36180,3.18
65,2008-10-14,1955,2041,1955,2015,15910,5.17
66,2008-10-15,2059,2059,2000,2007,36340,-0.4
67,2008-10-16,1960,1960,1824,1938,17300,-3.44
68,2008-10-17,2000,2000,1649,1956,20150,0.93
69,2008-10-20,1878,1890,1769,1773,36332,-9.36
70,2008-10-21,1821,1851,1734,1753,36187,-1.13
71,2008-10-22,1749,1770,1689,1692,37430,-3.48
72,2008-10-23,1637,1678,1513,1632,45720,-3.55
73,2008-10-24,1580,1681,1470,1516,22160,-7.11
74,2008-10-27,1333,1513,1322,1349,32365,-11.02
75,2008-10-28,1197,1436,1197,1413,43500,4.74
76,2008-10-29,1415,1507,1376,1465,47063,3.68
77,2008-10-30,1450,1660,1450,1593,54780,8.74
78,2008-10-31,1552,1826,1534,1831,58805,14.94
79,2008-11-03,2069,2096,1905,2057,46787,12.34
80,2008-11-04,2081,2145,1905,2015,21110,-2.04
