,Date,Open,High,Low,Close,Volume,Change
0,2014-11-14,380000,382500,325000,327500,3822084,NaN
1,2014-11-17,317500,342500,312000,338500,1568450,3.36
2,2014-11-18,342000,375000,340000,366000,1423443,8.12
3,2014-11-19,367000,373500,352500,371000,864739,1.37
4,2014-11-20,369500,400000,367500,398000,1706709,7.28
5,2014-11-21,398500,413000,393000,400000,967753,0.5
6,2014-11-24,405000,408500,384000,404000,942445,1.0
7,2014-11-25,396000,428000,375500,428000,3022131,5.94
8,2014-11-26,413000,429500,410500,410500,909494,-4.09
9,2014-11-27,412000,419500,378000,378000,834742,-7.92
10,2014-11-28,368500,374000,345500,347000,1040525,-8.2
11,2014-12-01,357000,361000,343000,343500,531894,-1.01
12,2014-12-02,342000,356500,341500,353000,428955,2.77
13,2014-12-03,354000,361000,354000,357000,300156,1.13
14,2014-12-04,361500,368000,354500,355500,262418,-0.42
15,2014-12-05,351500,354500,345000,349500,252744,-1.69
16,2014-12-08,352000,352000,333500,334000,291875,-4.43
17,2014-12-09,331000,335000,317000,321000,435603,-3.89
18,2014-12-10,318000,326500,309000,325500,433680,1.4
19,2014-12-11,321000,331000,320000,320000,247997,-1.69
20,2014-12-12,318500,321500,309000,309000,291431,-3.44
21,2014-12-15,300000,307500,299000,299500,391426,-3.07
22,2014-12-16,296500,298500,286000,286500,486239,-4.34
23,2014-12-17,293500,306500,288000,290000,599116,1.22
24,2014-12-18,296000,297500,271500,280500,640148,-3.28
25,2014-12-19,285000,292500,279000,287500,698457,2.5
26,2014-12-22,286000,287500,275000,281500,394511,-2.09
27,2014-12-23,282000,292500,280500,283000,359697,0.53
28,2014-12-24,287500,287500,280500,283000,234835,0.0
29,2014-12-26,283500,286000,279000,283500,249542,0.18
30,2014-12-29,289000,297500,287000,295000,632051,4.06
31,2014-12-30,299000,302000,292000,293500,409522,-0.51
32,2015-01-02,298000,319000,295000,318000,684126,8.35
33,2015-01-05,322500,327500,308000,310000,553675,-2.52
34,2015-01-06,305500,307500,292500,294000,404667,-5.16
35,2015-01-07,292500,298000,290500,290500,176350,-1.19
36,2015-01-08,293500,300500,292000,294000,186261,1.2
37,2015-01-09,299500,302500,296500,300500,228505,2.21
38,2015-01-12,296000,299500,289000,289000,280549,-3.83
39,2015-01-13,286000,286500,260500,264000,975579,-8.65
40,2015-01-14,266500,271000,262500,264000,266692,0.0
41,2015-01-15,265500,269500,264500,267500,145924,1.33
42,2015-01-16,265000,266500,262500,264000,98113,-1.31
43,2015-01-19,264500,268500,255000,257500,183261,-2.46
44,2015-01-20,258000,260500,248000,249000,355279,-3.3
45,2015-01-21,249000,249000,227000,229500,820033,-7.83
46,2015-01-22,228000,235000,226500,227500,354100,-0.87
47,2015-01-23,232500,239500,230500,238500,391438,4.84
48,2015-01-26,237500,244000,234500,236500,229739,-0.84
49,2015-01-27,239000,242500,238500,242000,182275,2.33
50,2015-01-28,255500,275000,252000,271000,860609,11.98
51,2015-01-29,274000,276500,260500,268000,344243,-1.11
52,2015-01-30,273000,273500,256500,264500,309643,-1.31
53,2015-02-02,261000,263000,252500,254000,190321,-3.97
54,2015-02-03,254000,256500,247000,255500,229661,0.59
55,2015-02-04,258000,263000,255500,261500,182413,2.35
56,2015-02-05,258000,263000,254500,260000,147272,-0.57
