,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1616,1802,1616,1766,3595,-2.0
1,2000-01-05,1604,1754,1556,1706,4658,-3.4
2,2000-01-06,1670,1796,1568,1742,2143,2.11
3,2000-01-07,1592,1778,1538,1754,2634,0.69
4,2000-01-10,1544,1772,1544,1712,8079,-2.39
5,2000-01-11,1742,1742,1562,1682,5608,-1.75
6,2000-01-12,1562,1670,1484,1615,8890,-3.98
7,2000-01-13,1442,1610,1430,1585,5165,-1.86
8,2000-01-14,1652,1652,1400,1495,5046,-5.68
9,2000-01-17,1472,1538,1412,1537,12047,2.81
10,2000-01-18,1598,1676,1472,1651,17084,7.42
11,2000-01-19,1484,1670,1454,1453,3527,-11.99
12,2000-01-20,1286,1430,1280,1381,2812,-4.96
13,2000-01-21,1418,1544,1262,1411,6351,2.17
14,2000-01-24,1280,1526,1280,1495,1674,5.95
15,2000-01-25,1550,1550,1322,1321,9532,-11.64
16,2000-01-26,1382,1382,1219,1231,5105,-6.81
17,2000-01-27,1201,1376,1201,1375,2042,11.7
18,2000-01-28,1262,1538,1262,1489,367,8.29
19,2000-01-31,1388,1490,1316,1489,1290,0.0
20,2000-02-01,1490,1664,1316,1663,6528,11.69
21,2000-02-02,1736,1802,1508,1796,2518,8.0
22,2000-02-03,1586,1898,1586,1742,6376,-3.01
23,2000-02-07,1580,1856,1538,1856,13812,6.54
24,2000-02-08,1724,1766,1634,1682,3182,-9.38
25,2000-02-09,1502,1652,1484,1633,3903,-2.91
26,2000-02-10,1550,1550,1442,1441,1938,-11.76
27,2000-02-11,1322,1502,1322,1501,3513,4.16
28,2000-02-14,1322,1412,1322,1411,5677,-6.0
29,2000-02-15,1496,1496,1243,1411,3251,0.0
30,2000-02-16,1382,1580,1382,1579,19587,11.91
31,2000-02-17,1766,1766,1766,1766,20631,11.84
32,2000-02-18,1802,1976,1556,1976,18168,11.89
33,2000-02-21,1802,2211,1802,2210,24107,11.84
34,2000-02-22,2283,2475,2018,2048,15998,-7.33
35,2000-02-23,2103,2289,2042,2288,25972,11.72
36,2000-02-24,2559,2559,2553,2559,8638,11.84
37,2000-02-25,2793,2865,2793,2865,4864,11.96
38,2000-02-28,3208,3208,3208,3207,1815,11.94
39,2000-02-29,3592,3592,3586,3592,17793,12.0
40,2000-03-02,3730,3785,3196,3718,25711,3.51
41,2000-03-03,4163,4163,3274,3664,15400,-1.45
42,2000-03-06,3664,3959,3304,3544,64292,-3.28
43,2000-03-07,3544,3604,3364,3604,50497,1.69
44,2000-03-08,3899,3905,3304,3544,12472,-1.66
45,2000-03-09,3604,3965,3484,3964,42784,11.85
46,2000-03-10,4439,4439,4271,4439,48238,11.98
47,2000-03-13,4968,4968,4806,4967,11917,11.89
48,2000-03-14,5563,5563,5286,5562,133447,11.98
49,2000-03-15,6187,6217,4896,6217,135248,11.78
50,2000-03-16,6848,6848,5707,6001,63194,-3.47
51,2000-03-17,5497,5707,5286,5286,35757,-11.91
52,2000-03-20,4656,4656,4656,4655,1554,-11.94
53,2000-03-21,4097,4097,4097,4096,2058,-12.01
54,2000-03-22,3610,4565,3610,3964,76666,-3.22
55,2000-03-23,4055,4055,3490,3640,107424,-8.17
56,2000-03-24,3484,3899,3310,3610,117797,-0.82
57,2000-03-27,4037,4043,3851,4042,135831,11.97
58,2000-03-28,4523,4523,4517,4523,40386,11.9
59,2000-03-29,4499,5046,3983,5040,178639,11.43
60,2000-03-30,5400,5640,5400,5640,30997,11.9
61,2000-03-31,6310,6310,6310,6310,4049,11.88
62,2000-04-03,6310,6310,6310,6310,0,0.0
63,2000-04-04,6310,6310,6310,6310,0,0.0
64,2000-04-06,6310,6310,6310,6310,0,0.0
65,2000-04-07,7060,7060,6520,7060,39724,11.89
66,2000-04-10,7900,7900,7900,7900,2049,11.9
67,2000-04-11,8840,8840,7500,8840,139170,11.9
68,2000-04-12,8000,9900,7780,7780,340214,-11.99
69,2000-04-14,7330,8490,6850,8230,271616,5.78
70,2000-04-17,7350,8000,7250,7250,77629,-11.91
71,2000-04-18,7250,7550,6380,6380,98362,-12.0
72,2000-04-19,6000,6800,5620,5620,426876,-11.91
73,2000-04-20,6290,6290,6290,6290,195552,11.92
74,2000-04-21,7040,7040,5600,5690,747739,-9.54
75,2000-04-24,5700,5900,5010,5010,262527,-11.95
76,2000-04-25,4900,4900,4410,4410,243944,-11.98
77,2000-04-26,4510,4930,4300,4310,389884,-2.27
78,2000-04-27,4250,4500,3950,4150,200425,-3.71
79,2000-04-28,4150,4300,3700,3810,174802,-8.19
80,2000-05-02,3700,3900,3520,3690,172434,-3.15
81,2000-05-03,3750,4130,3700,4130,95215,11.92
82,2000-05-04,4620,4620,4320,4620,364166,11.86
83,2000-05-08,4900,5150,4220,4350,332200,-5.84
84,2000-05-09,4350,4400,3930,4050,106241,-6.9
85,2000-05-10,3710,4520,3710,4380,128592,8.15
86,2000-05-12,4350,4500,4180,4260,130740,-2.74
87,2000-05-15,4190,4770,4110,4400,247636,3.29
88,2000-05-16,4300,4580,4000,4220,122972,-4.09
89,2000-05-17,4350,4400,3720,3720,116792,-11.85
90,2000-05-18,3800,3830,3280,3380,148445,-9.14
91,2000-05-19,3110,3290,2980,2980,71470,-11.83
92,2000-05-22,2910,2910,2630,2630,54880,-11.74
93,2000-05-23,2320,2450,2320,2330,162363,-11.41
94,2000-05-24,2400,2400,2060,2240,88646,-3.86
95,2000-05-25,2350,2500,2250,2500,82538,11.61
96,2000-05-26,2310,2740,2240,2480,104921,-0.8
97,2000-05-29,2190,2770,2190,2500,73622,0.81
98,2000-05-30,2510,2790,2430,2670,172893,6.8
99,2000-05-31,2700,2990,2700,2950,178371,10.49
100,2000-06-01,2810,3100,2800,3000,86947,1.69
101,2000-06-02,2990,3200,2840,2890,85093,-3.67
102,2000-06-05,2990,3150,2830,3150,138280,9.0
103,2000-06-07,3140,3520,3020,3520,180650,11.75
104,2000-06-08,3400,3650,3100,3220,117555,-8.52
105,2000-06-09,3010,3190,2850,2870,60724,-10.87
106,2000-06-12,2950,3210,2950,3210,78897,11.85
107,2000-06-13,3210,3550,3000,3350,202925,4.36
108,2000-06-14,3500,3510,3150,3360,107204,0.3
109,2000-06-15,3180,3360,2960,2960,62494,-11.9
110,2000-06-16,2650,3000,2650,3000,89536,1.35
111,2000-06-19,2940,3100,2750,2940,94719,-2.0
112,2000-06-20,2880,3100,2880,2960,83198,0.68
113,2000-06-21,3000,3090,2900,3090,92002,4.39
114,2000-06-22,3110,3380,3020,3300,366929,6.8
115,2000-06-23,3350,3380,2970,2990,245244,-9.39
116,2000-06-26,2990,3140,2820,3000,127997,0.33
117,2000-06-27,3000,3040,2840,2880,161383,-4.0
118,2000-06-28,2880,2970,2830,2900,107055,0.69
119,2000-06-29,2900,3240,2840,3240,417110,11.72
120,2000-06-30,3240,3380,2930,3140,377577,-3.09
121,2000-07-03,3100,3250,3040,3200,215508,1.91
122,2000-07-04,3210,3580,3130,3580,776577,11.87
123,2000-07-05,3610,3840,3160,3400,507338,-5.03
124,2000-07-06,3400,3500,3200,3440,174193,1.18
125,2000-07-07,3420,3820,3380,3750,226401,9.01
126,2000-07-10,3660,4200,3660,4200,623725,12.0
127,2000-07-11,4300,4490,3700,3700,621239,-11.9
128,2000-07-12,3700,3700,3260,3370,195499,-8.92
129,2000-07-13,3360,3360,3020,3070,114597,-8.9
130,2000-07-14,2920,3260,2920,3070,144158,0.0
131,2000-07-18,2910,3170,2910,3110,107226,1.3
132,2000-07-19,3200,3200,2780,2850,124811,-8.36
133,2000-07-20,2810,2970,2600,2890,118345,1.4
134,2000-07-21,2900,3230,2830,3230,474748,11.76
135,2000-07-24,3270,3560,2850,2900,790908,-10.22
136,2000-07-25,3000,3200,2720,2880,302632,-0.69
137,2000-07-26,2900,3000,2760,2940,202493,2.08
138,2000-07-27,2900,3290,2860,3290,616756,11.9
139,2000-07-28,3400,3680,3120,3680,1034051,11.85
140,2000-07-31,3860,3990,3310,3500,594566,-4.89
141,2000-08-01,3600,3920,3550,3920,465670,12.0
142,2000-08-02,4100,4340,3800,3870,609977,-1.28
143,2000-08-03,3870,4150,3800,3920,397552,1.29
144,2000-08-04,3930,3970,3450,3490,227645,-10.97
145,2000-08-07,3230,3670,3230,3330,199974,-4.58
146,2000-08-08,3230,3690,3230,3500,272475,5.11
147,2000-08-09,3550,3880,3520,3650,412657,4.29
148,2000-08-10,3600,3700,3340,3490,144935,-4.38
149,2000-08-11,3480,3550,3230,3300,157313,-5.44
150,2000-08-14,3260,3610,3260,3450,191009,4.55
151,2000-08-16,3400,3590,3400,3490,131436,1.16
152,2000-08-17,3580,3680,3350,3420,190596,-2.01
153,2000-08-18,3370,3430,3200,3300,86051,-3.51
154,2000-08-21,3250,3400,3210,3300,74363,0.0
155,2000-08-22,3310,3440,3270,3340,111256,1.21
156,2000-08-23,3340,3400,3210,3250,79848,-2.69
157,2000-08-24,3150,3280,2900,2990,138734,-8.0
158,2000-08-25,2990,3010,2820,2860,82931,-4.35
159,2000-08-28,2960,3030,2860,2950,78745,3.15
160,2000-08-29,3020,3300,2950,3100,142811,5.08
161,2000-08-30,3050,3100,2960,2990,54729,-3.55
162,2000-08-31,2900,3040,2810,2930,52590,-2.01
163,2000-09-01,2900,2990,2870,2900,53095,-1.02
164,2000-09-04,2840,3240,2810,3240,243502,11.72
165,2000-09-05,3240,3340,2990,3030,157659,-6.48
166,2000-09-06,3100,3100,2910,3000,41674,-0.99
167,2000-09-07,2950,3050,2850,2920,52102,-2.67
168,2000-09-08,2800,3230,2800,3100,267820,6.16
169,2000-09-14,3050,3140,2860,2970,91690,-4.19
170,2000-09-15,2970,3030,2880,2940,89496,-1.01
171,2000-09-18,2820,2870,2590,2590,69240,-11.9
172,2000-09-19,2650,2650,2280,2320,85456,-10.42
173,2000-09-20,2200,2460,2200,2320,62367,0.0
174,2000-09-21,2350,2350,2080,2130,35418,-8.19
175,2000-09-22,2000,2140,1880,1880,95640,-11.74
176,2000-09-25,1700,2010,1700,1950,159404,3.72
177,2000-09-26,1950,2010,1900,1970,85658,1.03
178,2000-09-27,1870,2190,1870,2130,92476,8.12
179,2000-09-28,2160,2180,2040,2100,52992,-1.41
180,2000-09-29,2100,2320,2100,2260,73622,7.62
181,2000-10-02,2200,2510,2100,2460,137258,8.85
182,2000-10-04,2320,2680,2320,2590,113732,5.28
183,2000-10-05,2650,2900,2580,2900,208026,11.97
184,2000-10-06,2810,3240,2700,3240,445605,11.72
185,2000-10-09,3190,3290,3050,3200,329421,-1.23
186,2000-10-10,3060,3500,3030,3500,152894,9.38
187,2000-10-11,3300,3300,3080,3080,197881,-12.0
188,2000-10-12,2720,3090,2720,3090,144879,0.32
189,2000-10-13,2950,3400,2800,3090,195854,0.0
190,2000-10-16,3290,3390,3100,3390,526840,9.71
191,2000-10-17,3350,3390,3060,3390,249310,0.0
192,2000-10-18,3300,3300,3120,3300,195223,-2.65
193,2000-10-19,3200,3240,2910,2980,357531,-9.7
194,2000-10-20,2940,3050,2820,2960,278392,-0.67
195,2000-10-23,2950,2950,2610,2610,118524,-11.82
196,2000-10-24,2450,2790,2360,2650,122584,1.53
197,2000-10-25,2640,2680,2440,2610,168155,-1.51
198,2000-10-26,2530,2750,2490,2560,150118,-1.92
199,2000-10-27,2560,2640,2420,2430,53937,-5.08
200,2000-10-30,2430,2500,2180,2240,48667,-7.82
201,2000-10-31,2110,2240,1980,2210,76208,-1.34
202,2000-11-01,2300,2470,2180,2470,106210,11.76
203,2000-11-02,2450,2750,2450,2690,146517,8.91
204,2000-11-03,2650,2710,2500,2560,95759,-4.83
205,2000-11-06,2500,2580,2430,2550,105612,-0.39
206,2000-11-07,2530,2620,2500,2500,72641,-1.96
207,2000-11-08,2420,2520,2410,2430,66550,-2.8
208,2000-11-09,2470,2670,2430,2550,122238,4.94
209,2000-11-10,2560,2850,2560,2850,196696,11.76
210,2000-11-13,2980,3190,2710,3150,618278,10.53
211,2000-11-14,3100,3360,2950,3190,446077,1.27
212,2000-11-15,3110,3290,2950,3020,235560,-5.33
213,2000-11-16,2910,3000,2820,2900,123283,-3.97
214,2000-11-17,2800,3080,2800,2990,119735,3.1
215,2000-11-20,3010,3310,2950,3200,234964,7.02
216,2000-11-21,3180,3280,2910,3110,160094,-2.81
217,2000-11-22,3180,3480,3070,3480,391036,11.9
218,2000-11-23,3550,3820,3070,3070,610272,-11.78
219,2000-11-24,3010,3150,2760,2850,264331,-7.17
220,2000-11-27,2880,3090,2820,3090,220567,8.42
221,2000-11-28,3050,3070,2870,2900,97906,-6.15
222,2000-11-29,2700,2970,2650,2800,87679,-3.45
223,2000-11-30,2810,2990,2760,2840,105473,1.43
224,2000-12-01,2650,2900,2620,2820,77782,-0.7
225,2000-12-04,2830,3150,2810,3150,200270,11.7
226,2000-12-05,3290,3520,3160,3520,681017,11.75
227,2000-12-06,3620,3640,3260,3400,452529,-3.41
228,2000-12-07,3510,3800,3000,3000,1121065,-11.76
229,2000-12-08,3050,3250,2910,3230,424246,7.67
230,2000-12-11,3230,3610,3180,3610,512573,11.76
231,2000-12-12,3720,3870,3380,3610,761893,0.0
232,2000-12-13,3710,4040,3180,3180,2055007,-11.91
233,2000-12-14,3280,3310,3090,3120,508655,-1.89
234,2000-12-15,3200,3200,2870,3010,226198,-3.53
235,2000-12-18,3010,3210,2970,3040,215184,1.0
236,2000-12-19,3000,3040,2680,2680,335705,-11.84
237,2000-12-20,2600,2600,2360,2360,237189,-11.94
238,2000-12-21,2300,2300,2080,2090,158373,-11.44
239,2000-12-22,2190,2190,1990,2030,117526,-2.87
240,2000-12-26,1960,2060,1800,1850,83998,-8.87
241,2001-01-02,1780,2070,1780,2070,55458,11.89
242,2001-01-03,2060,2310,2010,2300,128422,11.11
243,2001-01-04,2450,2530,2400,2430,169366,5.65
244,2001-01-05,2430,2430,2230,2300,168934,-5.35
245,2001-01-08,2200,2420,2200,2380,124429,3.48
246,2001-01-09,2390,2560,2310,2480,172824,4.2
247,2001-01-10,2410,2640,2200,2200,231095,-11.29
248,2001-01-11,2200,2380,2120,2330,100676,5.91
249,2001-01-12,2330,2450,2330,2350,159411,0.86
250,2001-01-15,2360,2610,2330,2430,331581,3.4
251,2001-01-16,2430,2430,2300,2370,131928,-2.47
252,2001-01-17,2400,2580,2340,2380,178062,0.42
253,2001-01-18,2450,2560,2400,2460,194680,3.36
254,2001-01-19,2540,2570,2400,2410,156807,-2.03
255,2001-01-22,2410,2690,2400,2690,268249,11.62
256,2001-01-26,2800,3010,2750,3010,273941,11.9
257,2001-01-29,3370,3370,3300,3370,102259,11.96
258,2001-01-30,3770,3770,3700,3770,297233,11.87
259,2001-01-31,4220,4220,3770,4220,810743,11.94
260,2001-02-01,4110,4600,4110,4530,522783,7.35
261,2001-02-02,4500,4550,4230,4310,285489,-4.86
262,2001-02-05,4500,4640,4300,4600,290487,6.73
263,2001-02-06,4600,5150,4500,5150,401675,11.96
264,2001-02-07,5250,5400,4910,5270,470295,2.33
265,2001-02-08,5270,5900,4860,5400,392807,2.47
266,2001-02-09,5390,6040,5220,6040,271318,11.85
267,2001-02-12,6740,6760,6500,6760,121910,11.92
268,2001-02-13,7570,7570,7200,7570,73972,11.98
269,2001-02-14,7900,8470,7760,8470,606358,11.89
270,2001-02-15,8570,9480,8250,9480,349728,11.92
271,2001-02-16,9600,10600,9600,10600,394114,11.81
272,2001-02-19,10600,11350,9350,10100,1110864,-4.72
273,2001-02-20,10400,11300,10100,11300,536884,11.88
274,2001-02-21,11600,12650,10650,12650,850307,11.95
275,2001-02-22,12700,13700,11150,11150,1181500,-11.86
276,2001-02-23,9850,9850,9850,9850,13433,-11.66
277,2001-02-26,8670,9340,8670,8800,1429558,-10.66
278,2001-02-27,8800,9100,7750,7750,730688,-11.93
279,2001-02-28,6820,6820,6820,6820,75087,-12.0
280,2001-03-02,6430,6940,6010,6010,2110374,-11.88
281,2001-03-05,5900,6650,5610,6070,1799327,1.0
282,2001-03-06,6300,6550,5350,5350,1302471,-11.86
283,2001-03-07,5450,5850,5170,5650,2183914,5.61
284,2001-03-08,5780,6240,5620,5950,1610229,5.31
285,2001-03-09,5900,5910,5240,5290,759691,-11.09
286,2001-03-12,5310,5520,4690,4800,716409,-9.26
287,2001-03-13,4430,4970,4230,4970,661350,3.54
288,2001-03-14,5180,5560,5150,5560,323664,11.87
289,2001-03-15,5640,6180,5350,5660,2121307,1.8
290,2001-03-16,5830,6100,5040,5480,851474,-3.18
291,2001-03-19,5600,5610,5190,5200,437709,-5.11
292,2001-03-20,5210,5820,5170,5300,1169038,1.92
293,2001-03-21,5150,5930,5120,5930,1354206,11.89
294,2001-03-22,6370,6640,6340,6640,457825,11.97
295,2001-03-23,7290,7290,5850,5850,2223902,-11.9
296,2001-03-26,5850,5880,5170,5320,732301,-9.06
297,2001-03-27,5430,5750,5330,5390,563951,1.32
298,2001-03-28,5320,5500,4950,5000,543522,-7.24
299,2001-03-29,4820,5000,4510,4570,386735,-8.6
300,2001-03-30,4610,4800,4200,4410,383096,-3.5
301,2001-04-02,4410,4930,4410,4930,758384,11.79
302,2001-04-03,4910,4910,4380,4440,414859,-9.94
303,2001-04-04,4170,4400,4100,4400,237601,-0.9
304,2001-04-06,4460,4920,4440,4880,436274,10.91
305,2001-04-09,4870,4960,4330,4380,645601,-10.25
306,2001-04-10,4520,4720,4320,4360,501279,-0.46
307,2001-04-11,4510,4510,4330,4430,256383,1.61
308,2001-04-12,4320,4960,4320,4960,627149,11.96
309,2001-04-13,5300,5370,4820,4900,1144405,-1.21
310,2001-04-16,4800,4980,4450,4550,350919,-7.14
311,2001-04-17,4700,4850,4600,4610,378442,1.32
312,2001-04-18,4610,4810,4590,4720,418914,2.39
313,2001-04-19,4810,5050,4660,4660,448334,-1.27
314,2001-04-20,4840,4950,4640,4730,395740,1.5
315,2001-04-23,4840,4930,4700,4850,379716,2.54
316,2001-04-24,4990,5430,4960,5430,889375,11.96
317,2001-04-25,5540,5600,5010,5130,1033084,-5.52
318,2001-04-26,5130,5200,4810,4850,256519,-5.46
319,2001-04-27,5120,5250,4720,4850,442443,0.0
320,2001-04-30,4810,4970,4780,4910,282738,1.24
321,2001-05-02,4910,5300,4800,5010,522259,2.04
322,2001-05-03,4990,5100,4820,4850,237799,-3.19
323,2001-05-04,4750,4910,4720,4830,157566,-0.41
324,2001-05-07,4900,4990,4770,4970,287496,2.9
325,2001-05-08,5090,5250,4900,4920,444718,-1.01
326,2001-05-09,4950,5100,4790,4810,256450,-2.24
327,2001-05-10,4730,5250,4700,5210,381822,8.32
328,2001-05-11,5360,5560,5050,5420,962648,4.03
329,2001-05-14,5600,5850,5420,5520,984322,1.85
330,2001-05-15,5500,5500,5050,5050,318790,-8.51
331,2001-05-16,5050,5150,4880,4880,200205,-3.37
332,2001-05-17,4950,5070,4900,4970,219213,1.84
333,2001-05-18,4950,5070,4820,4900,129520,-1.41
334,2001-05-21,4850,4980,4820,4940,176246,0.82
335,2001-05-22,4950,5370,4900,5150,502444,4.25
336,2001-05-23,5110,5180,4970,5020,210225,-2.52
337,2001-05-24,5150,5620,5150,5620,206405,11.95
338,2001-05-25,6290,6290,5720,6000,1607657,6.76
339,2001-05-28,6090,6250,5600,6250,479474,4.17
340,2001-05-29,6700,7000,6010,6010,1192345,-3.84
341,2001-05-30,5900,6410,5760,6130,483231,2.0
342,2001-05-31,6000,6070,5600,5640,262053,-7.99
343,2001-06-01,5600,5750,5430,5550,260335,-1.6
344,2001-06-04,5550,6210,5550,6210,440737,11.89
345,2001-06-05,6370,6950,6230,6500,1754053,4.67
346,2001-06-07,7000,7280,6700,7280,1753568,12.0
347,2001-06-08,7280,7990,6550,6940,1569754,-4.67
348,2001-06-11,7350,7770,7300,7770,1179142,11.96
349,2001-06-12,8000,8640,7550,7870,1718438,1.29
