,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,6568,8267,6568,8267,537575,11.97
1,2000-01-05,7564,8108,7383,7474,384538,-9.59
2,2000-01-06,7859,7882,6862,7315,262545,-2.13
3,2000-01-07,6794,6998,6455,6523,244728,-10.83
4,2000-01-10,6975,7021,6296,6432,417352,-1.4
5,2000-01-11,6613,6975,6342,6704,728066,4.23
6,2000-01-12,6341,6341,5911,5911,438391,-11.83
7,2000-01-13,5436,5572,5209,5209,219038,-11.88
8,2000-01-14,5209,5435,4597,4666,500192,-10.42
9,2000-01-17,4801,5209,4394,5209,480668,11.64
10,2000-01-18,5616,5820,5435,5821,237176,11.75
11,2000-01-19,6500,6500,5164,5277,954780,-9.35
12,2000-01-20,5209,5752,4711,5436,671549,3.01
13,2000-01-21,5526,5798,5073,5345,561613,-1.67
14,2000-01-24,5435,5889,5435,5685,509041,6.36
15,2000-01-25,5435,6092,5254,5753,624291,1.2
16,2000-01-26,6024,6432,5843,6432,990318,11.8
17,2000-01-27,6432,6885,6115,6342,1024029,-1.4
18,2000-01-28,6342,6500,6070,6160,748877,-2.87
19,2000-01-31,6024,6500,5888,6092,679162,-1.1
20,2000-02-01,6342,6568,6183,6342,693396,4.1
21,2000-02-02,6568,6976,6364,6727,956839,6.07
22,2000-02-03,6749,7202,6568,6681,1051236,-0.68
23,2000-02-07,6930,7474,6930,7474,832411,11.87
24,2000-02-08,7655,7927,6613,7066,945362,-5.46
25,2000-02-09,7156,7677,7111,7519,492500,6.41
26,2000-02-10,7156,8403,6885,8018,965979,6.64
27,2000-02-11,8470,8969,8289,8720,1273872,8.76
28,2000-02-14,8470,9037,7677,7700,1468556,-11.7
29,2000-02-15,7565,7836,6794,6908,805303,-10.29
30,2000-02-16,6794,7655,6342,7202,712481,4.26
31,2000-02-17,6840,7768,6840,7338,1120593,1.89
32,2000-02-18,7565,7882,7247,7338,1176273,0.0
33,2000-02-21,7066,7972,6794,7610,883695,3.71
34,2000-02-22,7701,8063,7021,7225,741783,-5.06
35,2000-02-23,7021,7157,6364,6523,568593,-9.72
36,2000-02-24,6840,7225,6749,7112,600839,9.03
37,2000-02-25,6953,7293,6568,6681,545902,-6.06
38,2000-02-28,7044,7338,6523,6908,718527,3.4
39,2000-02-29,7021,7337,6658,7112,836084,2.95
40,2000-03-02,7964,7964,7964,7964,151083,11.98
41,2000-03-03,8896,8896,8257,8896,1777741,11.7
42,2000-03-06,9962,9962,8949,9163,2000342,3.0
43,2000-03-07,8257,8523,8070,8150,739628,-11.06
44,2000-03-08,7724,8417,7351,8204,727222,0.66
45,2000-03-09,8044,8789,8044,8417,747414,2.6
46,2000-03-10,8523,9135,8124,8577,1499002,1.9
47,2000-03-13,8523,9162,8416,8656,1204457,0.92
48,2000-03-14,8523,8683,7777,8150,543598,-5.85
49,2000-03-15,7778,8390,7725,7857,413787,-3.6
50,2000-03-16,7565,7777,7058,7245,447543,-7.79
51,2000-03-17,7351,7645,6392,6579,440575,-9.19
52,2000-03-20,6419,6525,5806,5966,395337,-9.32
53,2000-03-21,5487,6552,5434,6233,704551,4.48
54,2000-03-22,6605,6979,6472,6978,395159,11.95
55,2000-03-23,7751,7804,7405,7804,1049355,11.84
56,2000-03-24,7618,8497,7191,7618,1370535,-2.38
57,2000-03-27,7458,8150,7458,7884,854255,3.49
58,2000-03-28,7937,8204,7511,7671,919149,-2.7
59,2000-03-29,7351,7565,6925,7138,679631,-6.95
60,2000-03-30,6765,7112,6445,6978,404512,-2.24
61,2000-03-31,6552,7031,6499,6925,213394,-0.76
62,2000-04-03,7032,7298,6100,6233,311164,-9.99
63,2000-04-04,5700,5753,5487,5700,497861,-8.55
64,2000-04-06,5966,6233,5673,5753,430374,0.93
65,2000-04-07,5966,6419,5913,6419,515189,11.58
66,2000-04-10,6898,7164,6765,7165,594001,11.62
67,2000-04-11,6552,6579,6312,6313,306426,-11.89
68,2000-04-12,6126,6552,5913,6419,328075,1.68
69,2000-04-14,5860,6152,5753,5966,156622,-7.06
70,2000-04-17,5274,5274,5274,5274,32223,-11.6
71,2000-04-18,5886,5886,4954,5434,571783,3.03
72,2000-04-19,5966,5966,5380,5540,333569,1.95
73,2000-04-20,5220,5407,4954,5103,306820,-7.89
74,2000-04-21,5114,5647,4970,5593,608570,9.6
75,2000-04-24,5567,5647,5146,5215,293700,-6.76
76,2000-04-25,4960,5247,4911,5178,216733,-0.71
77,2000-04-26,5486,5566,4954,5050,293414,-2.47
78,2000-04-27,4847,5002,4560,4597,225915,-8.97
79,2000-04-28,4795,4800,4310,4469,231554,-2.78
80,2000-05-02,4507,4779,4485,4635,273614,3.71
81,2000-05-03,4368,4501,4272,4368,542339,-5.76
82,2000-05-04,4336,4570,4256,4448,709006,1.83
83,2000-05-08,4608,4981,4581,4954,831538,11.38
84,2000-05-09,4795,4896,4688,4810,483654,-2.91
85,2000-05-10,4901,5034,4821,4890,459077,1.66
86,2000-05-12,4890,4965,4533,4656,560849,-4.79
87,2000-05-15,4820,5209,4740,5210,1839067,11.9
88,2000-05-16,5433,5753,4964,5167,1733708,-0.83
89,2000-05-17,5434,5780,5284,5780,2075502,11.86
90,2000-05-18,5620,5646,5087,5087,674766,-11.99
91,2000-05-19,4480,4901,4480,4592,1128849,-9.73
92,2000-05-22,4581,4581,4043,4043,481071,-11.96
93,2000-05-23,3569,3889,3558,3558,619768,-12.0
94,2000-05-24,3302,3409,3132,3164,466260,-11.07
95,2000-05-25,3462,3542,3356,3542,385398,11.95
96,2000-05-26,3462,3723,3249,3324,672664,-6.15
97,2000-05-29,3036,3462,3036,3297,279155,-0.81
98,2000-05-30,3462,3665,3462,3660,451301,11.01
99,2000-05-31,4091,4097,3953,4097,378958,11.94
100,2000-06-01,4150,4411,3862,4049,825392,-1.17
101,2000-06-02,4528,4533,4448,4533,947172,11.95
102,2000-06-05,5077,5077,4917,5077,1162052,12.0
103,2000-06-07,5140,5487,4906,5215,1345597,2.72
104,2000-06-08,5194,5380,4607,4725,1282444,-9.4
105,2000-06-09,4501,4661,4341,4576,529766,-3.15
106,2000-06-12,4688,4927,4576,4880,644168,6.64
107,2000-06-13,4688,4719,4298,4299,377867,-11.91
108,2000-06-14,4522,4634,4101,4603,630614,7.07
109,2000-06-15,4528,4528,4054,4054,322159,-11.93
110,2000-06-16,3894,4256,3846,4102,403731,1.18
111,2000-06-19,3947,4315,3888,3942,470788,-3.9
112,2000-06-20,4208,4261,3888,4022,535891,2.03
113,2000-06-21,4235,4294,4064,4097,481514,1.86
114,2000-06-22,4160,4261,3968,4123,372861,0.63
115,2000-06-23,3990,4043,3941,4027,255996,-2.33
116,2000-06-26,4101,4235,4080,4203,372319,4.37
117,2000-06-27,4341,4368,4203,4230,366804,0.64
118,2000-06-28,4229,4320,4155,4240,366317,0.24
119,2000-06-29,4261,4688,4240,4395,1232585,3.66
120,2000-06-30,4368,4395,4166,4235,320221,-3.64
121,2000-07-03,4235,4304,4101,4187,275492,-1.13
122,2000-07-04,4107,4257,4080,4112,275727,-1.79
123,2000-07-05,4113,4230,3836,4075,442450,-0.9
124,2000-07-06,4048,4123,3840,3942,355716,-3.26
125,2000-07-07,4048,4128,3910,3985,470671,1.09
126,2000-07-10,3995,4091,3947,3995,438249,0.25
127,2000-07-11,3894,3969,3596,3676,379208,-7.98
128,2000-07-12,3622,3777,3489,3745,322743,1.88
129,2000-07-13,3654,3787,3622,3676,204990,-1.84
130,2000-07-14,3675,3782,3622,3665,218242,-0.3
131,2000-07-18,3756,3942,3756,3793,405399,3.49
132,2000-07-19,3793,3878,3521,3569,252508,-5.91
133,2000-07-20,3415,3691,3249,3521,297077,-1.34
134,2000-07-21,3622,3798,3548,3596,427900,2.13
135,2000-07-24,3516,3569,3207,3207,224922,-10.82
136,2000-07-25,3180,3197,2834,3090,269036,-3.65
137,2000-07-26,3303,3319,3116,3207,352703,3.79
138,2000-07-27,3169,3207,3041,3138,191238,-2.15
139,2000-07-28,3095,3185,3015,3052,175584,-2.74
140,2000-07-31,2946,3105,2908,3100,194844,1.57
141,2000-08-01,3164,3345,3036,3260,338369,5.16
142,2000-08-02,3116,3462,3116,3234,418868,-0.8
143,2000-08-03,3287,3516,3276,3409,439602,5.41
144,2000-08-04,3473,3511,3201,3250,212175,-4.66
145,2000-08-07,3249,3329,3095,3095,192517,-4.77
146,2000-08-08,3116,3249,2998,3026,169753,-2.23
147,2000-08-09,3041,3356,3036,3196,504817,5.62
148,2000-08-10,3196,3228,3121,3159,265317,-1.16
