,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,20900,20900,18671,20901,684153,11.97
1,2000-01-05,20531,22660,18774,21485,742212,2.79
2,2000-01-06,21971,22004,18948,19594,455915,-8.8
3,2000-01-07,18229,18742,17259,17807,353781,-9.12
4,2000-01-10,18256,19183,17394,18563,404165,4.25
5,2000-01-11,18908,19935,18386,19217,584355,3.52
6,2000-01-12,17259,17848,16920,16913,360457,-11.99
7,2000-01-13,15438,15471,14883,14885,281598,-11.99
8,2000-01-14,14440,15576,13131,13166,477390,-11.55
9,2000-01-17,12649,14165,11622,13097,2704012,-0.52
10,2000-01-18,13372,13546,12378,12720,1223605,-2.88
11,2000-01-19,14231,14231,13750,14231,2231279,11.88
12,2000-01-20,13753,13753,12552,12720,1534555,-10.62
13,2000-01-21,13065,13752,12244,12685,1217660,-0.28
14,2000-01-24,12034,14195,12034,14198,2094490,11.93
15,2000-01-25,13685,14953,12758,12891,1704566,-9.21
16,2000-01-26,13749,13749,12407,13304,964541,3.2
17,2000-01-27,12857,13065,12550,12685,671838,-4.65
18,2000-01-28,12378,13513,12311,13407,1001138,5.69
19,2000-01-31,13368,14436,12755,13751,1687526,2.57
20,2000-02-01,14339,15400,13991,15400,1726868,11.99
21,2000-02-02,16501,17222,16161,17222,1314106,11.83
22,2000-02-03,17915,18884,16199,17360,4045132,0.8
23,2000-02-07,18228,19429,17540,19423,1788981,11.88
24,2000-02-08,20627,20627,17538,17738,2148764,-8.68
25,2000-02-09,18293,18915,17779,18219,1847466,2.71
26,2000-02-10,16883,18432,16195,16329,1641942,-10.37
27,2000-02-11,16849,17811,16468,16810,2140573,2.95
28,2000-02-14,16853,17881,14956,16191,1529830,-3.68
29,2000-02-15,16499,17874,15231,17189,2002096,6.16
30,2000-02-16,17193,18055,16373,17360,1653653,0.99
31,2000-02-17,18435,19429,18087,19423,1255818,11.88
32,2000-02-18,21724,21724,21724,21726,219510,11.86
33,2000-02-21,24303,24303,24303,24304,453890,11.87
34,2000-02-22,27198,27198,27198,27192,247313,11.88
35,2000-02-23,30421,30421,27224,30423,6823786,11.88
36,2000-02-24,34074,34074,29227,31282,6929070,2.82
37,2000-02-25,29290,34899,27915,34892,6149929,11.54
38,2000-02-28,39024,39024,36440,39017,1558355,11.82
39,2000-02-29,43664,43664,43664,43658,513198,11.89
40,2000-03-02,48821,48821,48821,48815,35912,11.81
41,2000-03-03,54657,54657,49158,54658,2501214,11.97
42,2000-03-06,61191,61191,48121,49846,3159057,-8.8
43,2000-03-07,44000,55697,44000,55689,6578162,11.72
44,2000-03-08,55693,62220,52944,62221,1775825,11.73
45,2000-03-09,69610,69610,67722,69612,1681590,11.88
46,2000-03-10,75637,77873,64635,69956,6157471,0.49
47,2000-03-13,68757,71847,61882,62737,4244365,-10.32
48,2000-03-14,58783,61192,55345,55345,3045116,-11.78
49,2000-03-15,50197,61710,49849,58439,4859383,5.59
50,2000-03-16,55696,57758,51571,51565,1527201,-11.76
51,2000-03-17,50884,51397,45375,45377,3190362,-12.0
52,2000-03-20,41597,42972,40048,40048,1767550,-11.74
53,2000-03-21,35412,39189,35412,35580,5406910,-11.16
54,2000-03-22,37128,39712,36274,39704,1605455,11.59
55,2000-03-23,42289,44177,36101,38329,4181229,-3.46
56,2000-03-24,38846,41083,36270,39360,3515553,2.69
57,2000-03-27,39874,44000,38499,44002,3090538,11.79
58,2000-03-28,44521,49159,42624,45548,3738468,3.51
59,2000-03-29,43664,45380,40227,40220,2180830,-11.7
60,2000-03-30,36436,38333,35748,37298,1242537,-7.27
61,2000-03-31,37124,40222,35923,37126,1964328,-0.46
62,2000-04-03,37123,39434,32700,32702,1034891,-11.92
63,2000-04-04,28813,29244,28813,28807,321382,-11.91
64,2000-04-06,31259,32220,28907,32221,1100286,11.85
65,2000-04-07,36076,36076,36076,36068,354969,11.94
66,2000-04-10,40395,40395,40395,40397,27781,12.0
67,2000-04-11,43291,45213,39729,45205,3544362,11.9
68,2000-04-12,43810,50503,43810,50495,4380932,11.7
69,2000-04-14,50981,56505,48570,56507,3786291,11.91
70,2000-04-17,49774,49774,49774,49774,226331,-11.92
71,2000-04-18,54830,55310,44011,44966,5010862,-9.66
72,2000-04-19,48092,48573,39966,41358,3591002,-8.02
73,2000-04-20,39917,40397,36405,36886,2993110,-10.81
74,2000-04-21,37515,41317,36554,41311,2677192,12.0
75,2000-04-24,44252,46273,42760,43715,3917028,5.82
76,2000-04-25,41410,45693,40400,44196,3307290,1.1
77,2000-04-26,47131,47272,39005,40348,3689355,-8.71
78,2000-04-27,40583,45172,39671,45166,3501906,11.94
79,2000-04-28,46188,48118,43354,44939,3308056,-0.5
80,2000-05-02,45111,47604,43637,44939,4412929,0.0
81,2000-05-03,42503,43472,40639,41312,2678395,-8.07
82,2000-05-04,39727,42792,39163,41028,3720093,-0.69
83,2000-05-08,45224,45904,42789,42899,4613174,4.56
84,2000-05-09,40800,40800,39218,40122,2226991,-6.47
85,2000-05-10,38653,41825,37973,40179,2907675,0.14
86,2000-05-12,39667,40180,37007,37571,2167956,-6.49
87,2000-05-15,35701,36554,33099,33208,1962462,-11.61
88,2000-05-16,31732,37174,29239,37175,3612314,11.95
89,2000-05-17,41602,41602,38594,41595,4447818,11.89
90,2000-05-18,36673,42737,36615,36609,6605896,-11.99
91,2000-05-19,35136,36611,32304,33605,4116283,-8.21
92,2000-05-22,31510,32023,29579,29582,1607781,-11.97
93,2000-05-23,26067,28054,26067,26068,4771360,-11.88
94,2000-05-24,23297,24888,22958,22951,3911992,-11.96
95,2000-05-25,24370,25671,23914,25671,2076559,11.85
96,2000-05-26,26463,27714,22669,23234,5197112,-9.49
97,2000-05-29,22613,25446,21537,23858,3561855,2.69
98,2000-05-30,24992,26698,24147,26691,4568403,11.87
99,2000-05-31,28397,29871,28339,29865,3575323,11.89
100,2000-06-01,29360,29758,26701,26918,4398589,-9.87
101,2000-06-02,28900,29977,27202,27825,5364481,3.37
102,2000-06-05,30612,30612,29079,29751,3128922,6.92
103,2000-06-07,28899,33264,27880,31791,6096564,6.86
104,2000-06-08,32307,34229,30037,31281,4427859,-1.6
105,2000-06-09,29528,30547,28055,28562,1941766,-8.69
106,2000-06-12,28564,31968,28564,31961,2731019,11.9
107,2000-06-13,32248,34576,28562,29185,5300003,-8.69
108,2000-06-14,30713,31110,28335,28618,2188230,-1.94
109,2000-06-15,30095,31080,26532,28249,4188610,-1.29
110,2000-06-16,27327,29299,25662,27387,2854128,-3.05
111,2000-06-19,26156,27938,25850,25910,1779664,-5.39
112,2000-06-20,26591,27395,25232,25972,1624344,0.24
113,2000-06-21,26466,28255,25852,27387,2602258,5.45
114,2000-06-22,30651,30651,28687,29541,6097320,7.87
115,2000-06-23,27704,28259,26842,27449,1992648,-7.08
116,2000-06-26,27396,28746,26534,27695,2275446,0.9
117,2000-06-27,28376,28873,27083,27879,1718722,0.66
118,2000-06-28,26843,27638,26843,27018,1329523,-3.09
119,2000-06-29,27398,27456,25857,26156,1542759,-3.19
120,2000-06-30,25788,26466,25299,25972,1083141,-0.7
121,2000-07-03,25297,26465,25297,25787,1409384,-0.71
122,2000-07-04,25233,26162,24620,24987,2065191,-3.1
123,2000-07-05,24619,24867,22035,22648,2420374,-9.36
124,2000-07-06,22590,24619,21115,23387,3163221,3.26
125,2000-07-07,23330,24192,22965,23448,1561857,0.26
126,2000-07-10,22963,24256,22772,22956,1623099,-2.1
127,2000-07-11,22284,22714,20619,21232,2011977,-7.51
128,2000-07-12,21229,23201,20004,22771,3117981,7.25
129,2000-07-13,22163,22594,21235,22155,1977804,-2.71
130,2000-07-14,22338,22769,21112,21171,1612226,-4.44
131,2000-07-18,21170,22032,20127,20618,1434598,-2.61
132,2000-07-19,19697,20616,18280,18463,1384005,-10.45
133,2000-07-20,17237,20252,16681,19325,3130231,4.67
134,2000-07-21,19699,20312,18896,18956,2046181,-1.91
135,2000-07-24,18469,18841,16803,16986,1465516,-10.39
136,2000-07-25,16621,17243,15453,16433,1470104,-3.26
137,2000-07-26,16617,16989,15821,16494,1709518,0.37
138,2000-07-27,16311,18101,15881,17233,3121679,4.48
139,2000-07-28,16927,17674,16314,16433,1733630,-4.64
140,2000-07-31,16249,16986,15694,16740,1292029,1.87
141,2000-08-01,17053,18105,16622,17725,2171096,5.88
142,2000-08-02,17418,18212,17236,17602,1866216,-0.69
143,2000-08-03,18102,19702,17787,19694,3797984,11.89
144,2000-08-04,20923,21850,19076,19325,6210328,-1.87
145,2000-08-07,19395,20688,18840,19140,3585785,-0.96
