,Date,Open,High,Low,Close,Volume,Change
0,2002-04-16,16933,16933,16933,16934,1190,NaN
1,2002-04-17,18958,18958,18958,18951,2477,11.91
2,2002-04-18,21219,21219,21219,21214,766,11.94
3,2002-04-19,23726,23726,23726,23720,2709,11.81
4,2002-04-22,26532,26532,26532,26532,9785,11.85
5,2002-04-23,29711,29711,29711,29711,1913,11.98
6,2002-04-24,33255,33255,33255,33257,2638,11.93
7,2002-04-25,33255,33255,33255,33257,0,0.0
8,2002-04-26,33255,33255,33255,33257,0,0.0
9,2002-04-29,33255,33255,33255,33257,0,0.0
10,2002-04-30,37229,37229,36682,37231,114492,11.95
11,2002-05-02,41697,41697,33812,36681,291203,-1.48
12,2002-05-03,35524,39127,32279,38515,247645,5.0
13,2002-05-06,38514,38514,38514,38515,0,0.0
14,2002-05-07,38514,38514,38514,38515,0,0.0
15,2002-05-08,38514,38514,38514,38515,0,0.0
16,2002-05-09,33934,42183,33934,34236,128588,-11.11
17,2002-05-10,35948,35948,32403,34236,50256,0.0
18,2002-05-13,35272,35272,32093,32402,87149,-5.36
19,2002-05-14,30635,33940,28556,28550,75643,-11.89
20,2002-05-15,28677,29779,25190,25921,70366,-9.21
21,2002-05-16,24453,27510,24453,27510,45970,6.13
22,2002-05-17,27394,28124,25681,26104,35244,-5.11
23,2002-05-20,25428,29220,25370,29223,121578,11.95
24,2002-05-21,28734,31731,27574,28122,121749,-3.77
25,2002-05-22,28121,28675,25984,27022,44231,-3.91
26,2002-05-23,27208,27506,25063,25065,38759,-7.24
27,2002-05-24,22318,24828,22318,22620,36448,-9.75
28,2002-05-27,22321,22810,20425,20419,19488,-9.73
29,2002-05-28,19498,21030,19498,19624,27271,-3.89
30,2002-05-29,18956,19809,18956,19564,16077,-0.31
31,2002-05-30,19015,19751,17242,18769,32130,-4.06
32,2002-05-31,17491,18774,17491,17484,26876,-6.85
33,2002-06-03,17730,19568,17730,19564,42788,11.9
34,2002-06-04,18527,19264,18097,18463,25693,-5.63
35,2002-06-05,18526,20670,18526,20664,29944,11.92
36,2002-06-07,21399,23113,19568,19564,37647,-5.32
37,2002-06-10,19017,20789,18345,18463,17361,-5.63
38,2002-06-11,19571,20424,18834,19746,13143,6.95
39,2002-06-12,20174,20174,18957,19074,13805,-3.4
40,2002-06-14,18648,20114,18524,19502,22909,2.24
41,2002-06-17,20117,20424,19264,19257,17490,-1.26
42,2002-06-18,19260,20114,19260,19502,8984,1.27
43,2002-06-19,19194,19500,17728,17729,25258,-9.09
44,2002-06-20,16203,18953,16203,18218,12671,2.76
45,2002-06-21,17363,18340,17115,17424,7910,-4.36
46,2002-06-24,17063,17428,15903,16262,7610,-6.67
47,2002-06-25,15528,17367,14923,14917,11696,-8.27
48,2002-06-26,13937,14674,13142,13144,19223,-11.89
49,2002-06-27,12350,14371,12350,13389,17179,1.86
50,2002-06-28,13757,14984,13757,14978,19956,11.87
51,2002-07-02,14423,15284,13628,14367,5115,-4.08
52,2002-07-03,14919,15772,14422,15162,6488,5.53
53,2002-07-04,15595,16207,15289,15895,13719,4.83
54,2002-07-05,16570,16934,16082,16323,4053,2.69
55,2002-07-08,18283,18283,16875,17729,18266,8.61
56,2002-07-09,17120,19752,16813,19746,24230,11.38
57,2002-07-10,19381,20671,17491,17484,16443,-11.46
58,2002-07-11,17423,18218,16752,17117,10643,-2.1
59,2002-07-12,17185,18344,15900,18279,15562,6.79
60,2002-07-15,16203,18340,16203,17424,13217,-4.68
61,2002-07-16,16566,17603,15706,15957,18317,-8.42
62,2002-07-18,16391,16879,15413,15773,3386,-1.15
63,2002-07-19,15166,15530,14370,15283,6159,-3.11
64,2002-07-22,14372,15904,14065,14672,3368,-4.0
65,2002-07-23,15287,15527,14616,15528,8376,5.83
66,2002-07-24,15524,15524,14365,14367,8290,-7.48
67,2002-07-25,15596,15596,14370,14978,14119,4.25
68,2002-07-26,14429,15291,13883,14489,3869,-3.26
69,2002-07-29,14547,14977,14365,14367,3390,-0.84
70,2002-07-30,14430,15292,14430,14672,2362,2.12
71,2002-07-31,14063,14734,13451,14305,10606,-2.5
72,2002-08-01,14921,14921,13265,14061,1835,-1.71
73,2002-08-02,13630,14002,13630,13756,1480,-2.17
74,2002-08-05,13392,14311,13392,14122,1001,2.66
75,2002-08-06,13449,14368,13449,13938,2419,-1.3
76,2002-08-07,14552,14677,13144,14000,1372,0.44
77,2002-08-08,13755,14674,13755,14428,4601,3.06
78,2002-08-09,14553,14553,13451,14305,8113,-0.85
79,2002-08-12,14366,14366,13695,13756,996,-3.84
80,2002-08-13,13755,14061,13142,13450,9980,-2.22
81,2002-08-14,13447,14060,12901,12961,6208,-3.64
82,2002-08-16,13146,13635,13146,13389,3415,3.3
83,2002-08-19,13756,14675,13391,14611,8118,9.13
84,2002-08-20,14672,15219,13753,14551,24217,-0.41
85,2002-08-21,14308,14673,13572,14061,11249,-3.37
86,2002-08-22,13450,14551,13450,13817,11198,-1.74
87,2002-08-23,13213,14008,13213,13877,5315,0.43
88,2002-08-26,13884,14066,13519,13877,1076,0.0
89,2002-08-27,12961,13881,12961,13327,5452,-3.96
90,2002-08-28,13452,14065,13394,13694,1646,2.75
91,2002-08-29,13448,14674,13448,14244,8903,4.02
92,2002-08-30,14247,14620,13883,14489,9423,1.72
93,2002-09-02,14731,14731,13878,14061,6499,-2.95
94,2002-09-03,13448,14616,13448,14428,6653,2.61
95,2002-09-04,14005,14428,12838,14305,4800,-0.85
96,2002-09-05,14314,14679,14314,14672,4389,2.57
97,2002-09-06,15291,15291,14065,14489,3914,-1.25
98,2002-09-09,14372,14372,13519,13877,3192,-4.22
99,2002-09-10,14242,14242,13141,13756,1791,-0.87
100,2002-09-11,13209,15412,13209,15406,18828,11.99
101,2002-09-12,17238,17238,17238,17240,2457,11.9
102,2002-09-13,19264,19264,19264,19257,13188,11.7
103,2002-09-16,21526,21526,20789,21519,100296,11.75
104,2002-09-17,23239,23239,19016,21031,152898,-2.27
105,2002-09-18,21953,23543,21399,23537,104143,11.92
106,2002-09-19,25436,26114,21526,21519,142377,-8.57
107,2002-09-23,19753,20731,18958,18951,87294,-11.93
108,2002-09-24,17729,20479,16810,16812,100154,-11.29
109,2002-09-25,16325,17427,15472,16078,42396,-4.37
110,2002-09-26,16079,16567,14182,14367,56333,-10.64
111,2002-09-27,14688,14879,13099,13159,31794,-8.41
112,2002-09-30,12710,12710,11631,11633,36102,-11.6
113,2002-10-01,10486,11697,10362,11442,48687,-1.64
114,2002-10-02,11820,11886,10741,11442,37984,0.0
115,2002-10-04,11509,12713,11065,12714,54680,11.12
116,2002-10-07,11958,12657,11892,12587,16807,-1.0
117,2002-10-08,12401,14051,12146,12841,23241,2.02
118,2002-10-09,11577,12467,11322,11760,57769,-8.42
119,2002-10-10,12080,12080,10490,11061,17952,-5.94
120,2002-10-11,11441,11761,10485,10998,28597,-0.57
121,2002-10-14,11510,11576,10934,11315,16025,2.88
122,2002-10-15,11256,12656,11001,12650,107378,11.8
123,2002-10-16,14111,14111,13098,14112,61618,11.56
124,2002-10-17,14621,15131,13352,13667,53861,-3.15
125,2002-10-18,13356,14305,13356,13985,19641,2.33
126,2002-10-21,13098,15512,13098,13413,48479,-4.09
127,2002-10-22,13861,14628,12716,13286,52909,-0.95
128,2002-10-23,13161,13927,12716,13286,17796,0.0
129,2002-10-24,13227,13549,13038,13032,21558,-1.91
130,2002-10-25,13037,13037,12592,12587,5296,-3.41
131,2002-10-28,12465,13100,12465,12905,13388,2.53
132,2002-10-29,12715,13416,12715,12841,4631,-0.5
133,2002-10-30,12657,13103,12147,12587,6739,-1.98
134,2002-10-31,12267,14047,12077,14049,17589,11.62
135,2002-11-01,15701,15701,15701,15701,12556,11.76
136,2002-11-04,17553,17553,14693,15066,85039,-4.04
