,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,13900,14200,13000,14200,167600,-1.39
1,2000-01-05,13550,14100,13400,13700,85200,-3.52
2,2000-01-06,13500,13850,13400,13700,59800,0.0
3,2000-01-07,13700,13700,13100,13300,23200,-2.92
4,2000-01-10,13500,13500,12400,12800,90600,-3.76
5,2000-01-11,13000,13700,12500,13700,117500,7.03
6,2000-01-12,13100,14000,13100,13850,211200,1.09
7,2000-01-13,13800,13800,13500,13700,47300,-1.08
8,2000-01-14,13500,14000,13250,13950,126100,1.82
9,2000-01-17,14000,14000,13600,13950,28200,0.0
10,2000-01-18,14000,14100,13400,13750,80800,-1.43
11,2000-01-19,13600,13650,13000,13050,27200,-5.09
12,2000-01-20,12750,13050,12000,13050,30300,0.0
13,2000-01-21,12300,12900,12300,12600,15200,-3.45
14,2000-01-24,12300,13000,12050,12500,100700,-0.79
15,2000-01-25,12250,12500,12050,12500,54580,0.0
16,2000-01-26,12200,12600,12200,12200,47220,-2.4
17,2000-01-27,12400,12800,12300,12750,87100,4.51
18,2000-01-28,12550,13000,12450,12800,80200,0.39
19,2000-01-31,12950,14100,12500,14100,220200,10.16
20,2000-02-01,14000,14000,13600,14000,66800,-0.71
21,2000-02-02,13900,14300,13700,14300,81700,2.14
22,2000-02-03,14400,14900,14300,14750,135500,3.15
23,2000-02-07,15500,16500,14800,15500,198070,5.08
24,2000-02-08,15600,15950,14800,15000,267500,-3.23
25,2000-02-09,15200,17250,15100,16500,552700,10.0
26,2000-02-10,16500,16500,16500,16500,0,0.0
27,2000-02-11,16500,16500,16500,16500,0,0.0
28,2000-02-14,16000,17000,14050,15000,353570,-9.09
29,2000-02-15,14100,15200,13100,13900,144410,-7.33
30,2000-02-16,14200,14500,13450,14500,156790,4.32
31,2000-02-17,13900,14800,13900,14800,119290,2.07
32,2000-02-18,15000,17000,14350,16850,505390,13.85
33,2000-02-21,16300,17400,15650,16700,316200,-0.89
34,2000-02-22,16900,17250,15800,17000,166090,1.8
35,2000-02-23,17200,17800,16500,16550,220270,-2.65
36,2000-02-24,16250,17000,15900,16700,111810,0.91
37,2000-02-25,16100,16900,16100,16500,107670,-1.2
38,2000-02-28,16000,17500,15800,17500,268490,6.06
39,2000-02-29,17500,19000,16900,18000,356490,2.86
40,2000-03-02,18500,19450,18100,19000,179490,5.56
41,2000-03-03,19000,19900,18550,19800,240360,4.21
42,2000-03-06,19500,21500,19500,20800,398120,5.05
43,2000-03-07,20750,22000,19600,20200,123430,-2.88
44,2000-03-08,20000,20400,18900,20100,98290,-0.5
45,2000-03-09,20100,21600,20100,20400,144230,1.49
46,2000-03-10,21600,21700,20400,21400,251050,4.9
47,2000-03-13,21600,22000,20400,20600,277620,-3.74
48,2000-03-14,20600,20600,19300,19500,105100,-5.34
49,2000-03-15,19000,20200,18550,19300,262590,-1.03
50,2000-03-16,19300,20000,18800,18800,279680,-2.59
51,2000-03-17,19600,21000,18900,19950,773910,6.12
52,2000-03-20,19950,20400,19400,19550,150990,-2.01
53,2000-03-21,19200,19700,19050,19400,144580,-0.77
54,2000-03-22,19600,20500,19250,20200,286740,4.12
55,2000-03-23,20350,20850,19600,20200,242980,0.0
56,2000-03-24,20300,20700,20000,20200,193130,0.0
57,2000-03-27,20300,20400,19600,20200,112740,0.0
58,2000-03-28,20000,20100,19300,19800,95370,-1.98
59,2000-03-29,19200,19800,19000,19600,125220,-1.01
60,2000-03-30,19150,19300,18500,19150,116690,-2.3
61,2000-03-31,19000,19300,18450,19300,119050,0.78
62,2000-04-03,19400,19400,18300,19300,49600,0.0
63,2000-04-04,18800,19000,18350,19000,38000,-1.55
64,2000-04-06,19000,19000,18000,18000,94780,-5.26
65,2000-04-07,18000,18300,17550,17900,73800,-0.56
66,2000-04-10,17950,18800,17500,18100,446320,1.12
67,2000-04-11,18100,18100,17300,17500,55370,-3.31
68,2000-04-12,17100,17200,16150,17000,212620,-2.86
69,2000-04-14,16700,16700,15850,16000,58660,-5.88
70,2000-04-17,13600,14500,13600,13600,111190,-15.0
71,2000-04-18,14600,14700,12700,12700,749270,-6.62
72,2000-04-19,13100,13850,12700,12700,526790,0.0
73,2000-04-20,13150,14600,12850,14600,501950,14.96
74,2000-04-21,15900,16200,14600,14700,806110,0.68
75,2000-04-24,14800,15500,14300,14800,165820,0.68
76,2000-04-25,15050,15200,14500,15050,100980,1.69
77,2000-04-26,15100,17300,15100,16500,767130,9.63
78,2000-04-27,16850,17800,15900,16900,368940,2.42
79,2000-04-28,17400,18300,17150,18300,375160,8.28
80,2000-05-02,18300,18300,17350,18000,309480,-1.64
81,2000-05-03,18000,18650,16750,17200,590020,-4.44
82,2000-05-04,17200,17400,15300,16000,666880,-6.98
83,2000-05-08,16200,16250,15100,15150,481870,-5.31
84,2000-05-09,15300,15450,14400,15250,418070,0.66
85,2000-05-10,14650,15000,14250,14650,550570,-3.93
86,2000-05-12,14500,15300,14100,14200,529200,-3.07
87,2000-05-15,13800,13900,12250,12350,427190,-13.03
88,2000-05-16,12400,14200,12350,12850,793080,4.05
89,2000-05-17,13050,13450,10950,10950,456580,-14.79
90,2000-05-18,10350,10500,9650,10100,324290,-7.76
91,2000-05-19,9860,10500,9200,10250,168270,1.49
92,2000-05-22,9960,10850,9900,10000,225820,-2.44
93,2000-05-23,9500,10150,9500,10000,150320,0.0
94,2000-05-24,9700,9700,8500,9000,229690,-10.0
95,2000-05-25,9000,10350,9000,10350,304400,15.0
96,2000-05-26,10200,10200,9000,9000,186050,-13.04
97,2000-05-29,8190,9390,8100,9090,315590,1.0
98,2000-05-30,9160,10000,9160,9970,179980,9.68
99,2000-05-31,10200,11150,10200,10950,242620,9.83
100,2000-06-01,11300,12400,10600,12000,507550,9.59
101,2000-06-02,12500,12900,11700,12450,406680,3.75
102,2000-06-05,12500,14300,12500,13800,734010,10.84
103,2000-06-07,13500,14200,13100,13250,210660,-3.99
104,2000-06-08,13250,13800,11600,12500,247640,-5.66
105,2000-06-09,12500,13000,11800,12700,292970,1.6
106,2000-06-12,13000,13000,11800,12000,225560,-5.51
107,2000-06-13,11600,12250,11300,11350,155860,-5.42
108,2000-06-14,12000,12000,11200,11500,133420,1.32
109,2000-06-15,11300,11400,10900,11200,81890,-2.61
110,2000-06-16,10800,11500,10650,11100,107240,-0.89
111,2000-06-19,10850,11500,10800,11500,91480,3.6
112,2000-06-20,11600,12100,11500,11900,138150,3.48
113,2000-06-21,12100,12350,11550,11800,168040,-0.84
114,2000-06-22,12000,12150,11600,11600,322180,-1.69
115,2000-06-23,11300,11500,10750,11200,211420,-3.45
116,2000-06-26,11000,11750,10900,11500,525430,2.68
117,2000-06-27,11700,12400,11550,12300,552870,6.96
118,2000-06-28,12000,12950,11800,12450,597240,1.22
119,2000-06-29,12750,12750,11000,11800,186790,-5.22
120,2000-06-30,11300,11800,11100,11200,269940,-5.08
121,2000-07-03,11400,12000,11350,11650,338970,4.02
122,2000-07-04,11900,12500,11550,11650,343970,0.0
123,2000-07-05,11750,12200,11400,12200,255450,4.72
124,2000-07-06,12200,12300,11700,12100,185670,-0.82
125,2000-07-07,12300,12400,11700,12100,222430,0.0
126,2000-07-10,12100,13450,11900,13450,792520,11.16
