,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,5700,5900,5700,5900,18410,3.51
1,2000-01-05,5800,5900,5650,5650,53710,-4.24
2,2000-01-06,5600,5600,5470,5490,13580,-2.83
3,2000-01-07,5390,5450,5390,5450,1560,-0.73
4,2000-01-10,5650,5650,5650,5650,800,3.67
5,2000-01-11,5500,5790,5500,5790,8280,2.48
6,2000-01-12,5600,5700,5600,5600,4630,-3.28
7,2000-01-13,5310,5700,5310,5580,27210,-0.36
8,2000-01-14,5650,5650,5590,5600,14970,0.36
9,2000-01-17,5600,5750,5600,5750,14070,2.68
10,2000-01-18,5740,5820,5720,5820,14160,1.22
11,2000-01-19,5770,5790,5650,5750,49690,-1.2
12,2000-01-20,5650,5650,5450,5650,3500,-1.74
13,2000-01-21,5500,5500,5500,5500,2000,-2.65
14,2000-01-24,5500,5600,5420,5560,17030,1.09
15,2000-01-25,5500,5500,5450,5450,6150,-1.98
16,2000-01-26,5300,5400,5300,5360,7840,-1.65
17,2000-01-27,5500,5500,5500,5500,100,2.61
18,2000-01-28,5560,5660,5560,5660,4200,2.91
19,2000-01-31,5430,5660,5430,5660,5200,0.0
20,2000-02-01,5660,5660,5500,5500,22190,-2.83
21,2000-02-02,5500,5650,5500,5650,11670,2.73
22,2000-02-03,5650,5700,5650,5650,13820,0.0
23,2000-02-07,5650,5820,5650,5800,11030,2.65
24,2000-02-08,5780,5800,5610,5780,23930,-0.34
25,2000-02-09,5810,5840,5760,5840,16200,1.04
26,2000-02-10,5800,5870,5800,5840,61080,0.0
27,2000-02-11,5820,5910,5820,5900,36900,1.03
28,2000-02-14,5900,5900,5730,5810,9710,-1.53
29,2000-02-15,5800,5800,5700,5700,27320,-1.89
30,2000-02-16,5650,5680,5650,5680,11600,-0.35
31,2000-02-17,0,0,0,5680,0,0.0
32,2000-02-18,5700,5870,5700,5800,18910,2.11
33,2000-02-21,5750,5800,5670,5710,20120,-1.55
34,2000-02-22,5670,5750,5670,5670,10120,-0.7
35,2000-02-23,5670,5750,5670,5750,4190,1.41
36,2000-02-24,5800,5850,5760,5760,3880,0.17
37,2000-02-25,5710,5710,5710,5710,1100,-0.87
38,2000-02-28,5710,5710,5650,5650,5500,-1.05
39,2000-02-29,5650,5680,5640,5640,11030,-0.18
40,2000-03-02,5700,5800,5700,5800,26020,2.84
41,2000-03-03,5800,5980,5750,5920,55680,2.07
42,2000-03-06,5950,6300,5950,6130,25050,3.55
43,2000-03-07,6050,6090,6050,6050,8000,-1.31
44,2000-03-08,6050,6080,6050,6050,34270,0.0
45,2000-03-09,6050,6060,6030,6030,25700,-0.33
46,2000-03-10,6000,6100,6000,6050,40290,0.33
47,2000-03-13,6030,6040,6000,6000,30740,-0.83
48,2000-03-14,5990,6050,5990,6000,47610,0.0
49,2000-03-15,6000,6000,5910,5920,10940,-1.33
50,2000-03-16,5950,6000,5950,6000,130,1.35
51,2000-03-17,6000,6040,6000,6040,33030,0.67
52,2000-03-20,6050,6050,6010,6010,24620,-0.5
53,2000-03-21,6010,6010,5950,6000,16700,-0.17
54,2000-03-22,6020,6050,6010,6030,10450,0.5
55,2000-03-23,6050,6050,6050,6050,23700,0.33
56,2000-03-24,6060,6190,6060,6150,25610,1.65
57,2000-03-27,6150,6250,6150,6170,19500,0.33
58,2000-03-28,6210,6230,6200,6200,16110,0.49
59,2000-03-29,6220,6280,6220,6240,24600,0.65
60,2000-03-30,6250,6300,6250,6290,13400,0.8
61,2000-03-31,6350,6350,6170,6170,37000,-1.91
62,2000-04-03,6190,6190,6130,6130,31830,-0.65
63,2000-04-04,6130,6130,6000,6000,36230,-2.12
64,2000-04-06,6050,6050,5920,5950,18320,-0.83
65,2000-04-07,6000,6010,6000,6010,2510,1.01
66,2000-04-10,6050,6130,6050,6130,1510,2.0
67,2000-04-11,6080,6120,6070,6100,19650,-0.49
68,2000-04-12,6080,6080,6080,6080,1010,-0.33
69,2000-04-14,6050,6050,6000,6020,13800,-0.99
70,2000-04-17,5920,5920,5760,5760,67140,-4.32
71,2000-04-18,5810,5900,5810,5900,37100,2.43
72,2000-04-19,5920,5950,5920,5920,29830,0.34
73,2000-04-20,5910,5930,5910,5910,38750,-0.17
74,2000-04-21,5920,5930,5920,5930,27010,0.34
75,2000-04-24,5920,5940,5920,5940,16260,0.17
76,2000-04-25,5930,5940,5920,5930,56750,-0.17
77,2000-04-26,5930,5930,5930,5930,53080,0.0
78,2000-04-27,0,0,0,5930,0,0.0
79,2000-04-28,0,0,0,5930,0,0.0
