,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,8320,9660,8320,9200,230289,-2.65
1,2000-01-05,8700,9200,8300,9000,179436,-2.17
2,2000-01-06,9500,9690,8300,8900,157271,-1.11
3,2000-01-07,8400,8500,7840,7840,150561,-11.91
4,2000-01-10,8000,8350,7100,7250,141337,-7.53
5,2000-01-11,7510,8110,7300,7610,276856,4.97
6,2000-01-12,7400,7400,6700,6700,168912,-11.96
7,2000-01-13,6000,6200,5900,5900,48660,-11.94
8,2000-01-14,5800,6200,5300,6200,239005,5.08
9,2000-01-17,6460,6750,6000,6500,142429,4.84
10,2000-01-18,6500,6560,6050,6240,130911,-4.0
11,2000-01-19,6300,6390,5500,5510,186741,-11.7
12,2000-01-20,5510,6170,4900,6170,199220,11.98
13,2000-01-21,6000,6910,5700,6910,316202,11.99
14,2000-01-24,7010,7730,6910,7730,151881,11.87
15,2000-01-25,7800,8450,6850,7200,332197,-6.86
16,2000-01-26,7950,8060,6900,8060,351714,11.94
17,2000-01-27,9000,9000,8100,8650,354514,7.32
18,2000-01-28,8400,8680,7830,8210,302506,-5.09
19,2000-01-31,7900,8500,7500,7930,322859,-3.41
20,2000-02-01,8200,8350,7830,8050,313480,1.51
21,2000-02-02,8050,9000,8050,8700,447667,8.07
22,2000-02-03,8800,9400,8500,8870,426903,1.95
23,2000-02-07,9110,9930,9050,9930,561320,11.95
24,2000-02-08,10200,10200,8750,8900,377686,-10.37
25,2000-02-09,9010,9250,8800,8890,271018,-0.11
26,2000-02-10,8500,9950,8110,9950,802078,11.92
27,2000-02-11,11100,11100,10500,11100,500394,11.56
28,2000-02-14,11100,11900,9800,10100,629867,-9.01
29,2000-02-15,9800,10350,8900,8900,226192,-11.88
30,2000-02-16,8210,9450,7890,9290,278004,4.38
31,2000-02-17,8550,9790,8550,9300,338837,0.11
32,2000-02-18,9900,10250,9650,9860,478991,6.02
33,2000-02-21,9290,11000,9000,11000,583540,11.56
34,2000-02-22,12300,12300,11000,12300,925234,11.82
35,2000-02-23,12400,12400,10850,10850,489050,-11.79
36,2000-02-24,11200,11900,10800,11350,526555,4.61
37,2000-02-25,11200,11750,10100,10200,351272,-10.13
38,2000-02-28,10000,11300,10000,10700,414288,4.9
39,2000-02-29,10600,11500,10000,10950,379483,2.34
40,2000-03-02,12000,12250,11500,12250,383871,11.87
41,2000-03-03,12700,12900,11400,12350,645202,0.82
42,2000-03-06,13000,13200,11850,12450,445881,0.81
43,2000-03-07,12400,12400,11200,11500,216168,-7.63
44,2000-03-08,10500,12450,10500,12100,300574,5.22
45,2000-03-09,12100,13550,12100,13550,865841,11.98
46,2000-03-10,14950,14950,13100,13300,698673,-1.85
47,2000-03-13,13500,14450,13300,14150,747078,6.39
48,2000-03-14,13500,13700,12500,12800,407841,-9.54
49,2000-03-15,11000,11800,10600,11100,228037,-5.13
50,2000-03-16,10500,10900,9850,10000,249831,-9.91
51,2000-03-17,9010,10000,8810,8900,249522,-11.0
52,2000-03-20,8450,8600,7900,8100,178400,-8.99
53,2000-03-21,7400,8100,7150,7750,147325,-4.32
54,2000-03-22,8050,8680,8050,8680,94576,12.0
55,2000-03-23,9720,9720,9100,9720,314049,11.98
56,2000-03-24,9400,10000,9010,9500,190959,-2.26
57,2000-03-27,9600,10000,9360,9900,209264,4.21
58,2000-03-28,10200,10200,9500,9500,127042,-4.04
59,2000-03-29,9400,9400,8600,8700,85451,-8.42
60,2000-03-30,8120,9500,7900,8950,162400,2.87
61,2000-03-31,8300,9100,8300,8550,53951,-4.47
62,2000-04-03,8500,8800,7530,8000,88363,-6.43
63,2000-04-04,7400,8500,7330,7660,206255,-4.25
64,2000-04-06,8100,8150,7700,7800,94426,1.83
65,2000-04-07,8000,8730,7950,8730,127011,11.92
66,2000-04-10,9450,9770,9100,9770,213014,11.91
67,2000-04-11,8600,10350,8600,10000,220678,2.35
68,2000-04-12,9500,10000,9200,9900,164332,-1.0
69,2000-04-14,9300,9500,8720,8720,67267,-11.92
70,2000-04-17,7680,7680,7680,7680,11462,-11.93
71,2000-04-18,8010,8550,7510,7750,122304,0.91
72,2000-04-19,8010,8400,7600,7800,108217,0.65
