,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,4800,4950,4700,4950,56131,3.13
1,2000-01-05,4900,4900,4700,4770,64890,-3.64
2,2000-01-06,4800,4890,4700,4700,27200,-1.47
3,2000-01-07,4700,4800,4610,4780,28850,1.7
4,2000-01-10,4800,4860,4740,4800,28850,0.42
5,2000-01-11,4850,4900,4700,4800,67930,0.0
6,2000-01-12,4800,4800,4730,4780,30310,-0.42
7,2000-01-13,4800,4830,4750,4810,44420,0.63
8,2000-01-14,4760,4860,4750,4810,37495,0.0
9,2000-01-17,4810,4900,4800,4860,51660,1.04
10,2000-01-18,4950,4950,4880,4940,45532,1.65
11,2000-01-19,4900,4990,4900,4940,63035,0.0
12,2000-01-20,4950,4950,4800,4900,34489,-0.81
13,2000-01-21,4900,4950,4820,4840,29500,-1.22
14,2000-01-24,4890,4940,4750,4920,69998,1.65
15,2000-01-25,4850,4890,4800,4830,22229,-1.83
16,2000-01-26,4810,4830,4750,4790,26489,-0.83
17,2000-01-27,4750,4800,4710,4800,18879,0.21
18,2000-01-28,4830,4900,4750,4860,35121,1.25
19,2000-01-31,4860,4860,4760,4860,34017,0.0
20,2000-02-01,4860,4890,4800,4840,13450,-0.41
21,2000-02-02,4800,4880,4800,4850,24550,0.21
22,2000-02-03,4840,4850,4800,4840,15953,-0.21
23,2000-02-07,4800,4860,4760,4840,100537,0.0
24,2000-02-08,4800,4860,4750,4800,21010,-0.83
25,2000-02-09,4780,4830,4760,4820,52551,0.42
26,2000-02-10,4800,4820,4770,4800,49196,-0.41
27,2000-02-11,4790,4840,4780,4800,31360,0.0
28,2000-02-14,4790,4790,4740,4740,18592,-1.25
29,2000-02-15,4680,4700,4560,4590,27130,-3.16
30,2000-02-16,4570,4600,4450,4490,31518,-2.18
31,2000-02-17,4490,4590,4400,4590,58405,2.23
32,2000-02-18,4500,4700,4500,4690,17889,2.18
33,2000-02-21,4500,4600,4410,4420,21120,-5.76
34,2000-02-22,4400,4400,4300,4390,14800,-0.68
35,2000-02-23,4400,4420,4350,4400,28440,0.23
36,2000-02-24,4500,4500,4400,4410,28591,0.23
