,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,0,0,0,10050,0,0.0
1,2000-01-05,0,0,0,10050,0,0.0
2,2000-01-06,0,0,0,10050,0,0.0
3,2000-01-07,0,0,0,10050,0,0.0
4,2000-01-10,0,0,0,10050,0,0.0
5,2000-01-11,0,0,0,10050,0,0.0
6,2000-01-12,0,0,0,10050,0,0.0
7,2000-01-13,0,0,0,10050,0,0.0
8,2000-01-14,0,0,0,10050,0,0.0
9,2000-01-17,0,0,0,10050,0,0.0
10,2000-01-18,0,0,0,10050,0,0.0
11,2000-01-19,0,0,0,10050,0,0.0
12,2000-01-20,0,0,0,10050,0,0.0
13,2000-01-21,0,0,0,10050,0,0.0
14,2000-01-24,0,0,0,10050,0,0.0
15,2000-01-25,0,0,0,10050,0,0.0
16,2000-01-26,0,0,0,10050,0,0.0
17,2000-01-27,0,0,0,10050,0,0.0
18,2000-01-28,0,0,0,10050,0,0.0
19,2000-01-31,0,0,0,10050,0,0.0
20,2000-02-01,0,0,0,10050,0,0.0
21,2000-02-02,0,0,0,10050,0,0.0
22,2000-02-03,0,0,0,10050,0,0.0
23,2000-02-07,11000,11000,10000,10000,400,-0.5
24,2000-02-08,0,0,0,10000,0,0.0
25,2000-02-09,0,0,0,10000,0,0.0
26,2000-02-10,0,0,0,10000,0,0.0
27,2000-02-11,0,0,0,10000,0,0.0
28,2000-02-14,0,0,0,10000,0,0.0
29,2000-02-15,0,0,0,10000,0,0.0
30,2000-02-16,0,0,0,10000,0,0.0
31,2000-02-17,0,0,0,10000,0,0.0
32,2000-02-18,0,0,0,10000,0,0.0
33,2000-02-21,0,0,0,11200,0,12.0
34,2000-02-22,11000,12500,11000,12500,300,11.61
35,2000-02-23,14000,14000,14000,14000,5860,12.0
36,2000-02-24,15650,15650,12350,12350,9219,-11.79
37,2000-02-25,10900,10900,10900,10900,2242,-11.74
38,2000-02-28,9650,10500,9650,9900,6873,-9.17
39,2000-02-29,9660,10450,9660,10450,949,5.56
40,2000-03-02,9760,10200,9760,10000,1729,-4.31
41,2000-03-03,9900,10400,9900,10000,1834,0.0
42,2000-03-06,10400,10900,10100,10750,7499,7.5
43,2000-03-07,10900,10900,10000,10800,591,0.47
44,2000-03-08,9960,10100,9940,10100,855,-6.48
45,2000-03-09,9950,10500,9800,10300,4179,1.98
46,2000-03-10,10300,10300,9810,10100,2188,-1.94
47,2000-03-13,9860,10250,9860,10000,2176,-0.99
48,2000-03-14,10050,10250,10050,10050,176,0.5
49,2000-03-15,10050,10400,10050,10100,1801,0.5
50,2000-03-16,10500,10500,10100,10100,1680,0.0
51,2000-03-17,10000,10500,10000,10400,3017,2.97
52,2000-03-20,10500,10500,10150,10150,1570,-2.4
53,2000-03-21,10450,10450,10150,10150,1653,0.0
54,2000-03-22,10150,10450,10150,10450,737,2.96
55,2000-03-23,11700,11700,10500,11700,5041,11.96
56,2000-03-24,11700,11700,10300,10300,2633,-11.97
57,2000-03-27,10300,10500,10200,10500,701,1.94
58,2000-03-28,10250,11550,10250,11550,255,10.0
59,2000-03-29,10250,10300,10250,10300,1395,-10.82
60,2000-03-30,0,0,0,10300,0,0.0
61,2000-03-31,10300,10600,10300,10600,168,2.91
62,2000-04-03,10800,10800,10300,10300,550,-2.83
63,2000-04-04,11000,11000,10300,10300,280,0.0
64,2000-04-06,11000,11000,10300,10300,60,0.0
65,2000-04-07,10300,10300,10300,10300,50,0.0
66,2000-04-10,0,0,0,10350,0,0.49
67,2000-04-11,10350,10350,10350,10350,50,0.0
68,2000-04-12,10350,10350,10350,10350,200,0.0
69,2000-04-14,10350,10800,10250,10800,122,4.35
70,2000-04-17,10300,10800,10300,10800,130,0.0
71,2000-04-18,10300,10300,10300,10300,220,-4.63
72,2000-04-19,10300,10500,10300,10500,210,1.94
73,2000-04-20,10350,10350,10350,10350,32,-1.43
74,2000-04-21,10800,10800,10800,10800,8,4.35
75,2000-04-24,10800,10800,10350,10350,53,-4.17
76,2000-04-25,10800,11550,10600,11550,2732,11.59
77,2000-04-26,10400,11200,10350,10350,965,-10.39
78,2000-04-27,10350,11000,10350,10350,535,0.0
79,2000-04-28,10350,10350,10350,10350,118,0.0
80,2000-05-02,11000,11000,10350,10400,41,0.48
81,2000-05-03,10400,10500,10400,10450,2059,0.48
82,2000-05-04,10950,10950,10950,10950,2,4.78
83,2000-05-08,10400,10600,10400,10600,107,-3.2
84,2000-05-09,10500,10500,10450,10450,10,-1.42
85,2000-05-10,10400,10400,10400,10400,4,-0.48
86,2000-05-12,11000,11000,11000,11000,100,5.77
87,2000-05-15,0,0,0,10950,0,-0.45
88,2000-05-16,10450,10450,10000,10000,5000,-8.68
89,2000-05-17,0,0,0,10350,0,3.5
90,2000-05-18,10500,11500,10500,10500,1031,1.45
91,2000-05-19,10200,10350,10150,10250,1278,-2.38
92,2000-05-22,10450,10450,10350,10450,3440,1.95
93,2000-05-23,10050,10050,10050,10050,13,-3.83
94,2000-05-24,0,0,0,10300,0,2.49
95,2000-05-25,11000,11000,10400,10400,3,0.97
96,2000-05-26,10400,10700,10400,10400,2101,0.0
97,2000-05-29,0,0,0,10400,0,0.0
98,2000-05-30,0,0,0,10400,0,0.0
99,2000-05-31,10500,10500,10450,10450,142,0.48
100,2000-06-01,10400,10400,10400,10400,1,-0.48
101,2000-06-02,0,0,0,10450,0,0.48
102,2000-06-05,0,0,0,10500,0,0.48
103,2000-06-07,10500,10500,10500,10500,12,0.0
104,2000-06-08,10500,11750,10500,11750,700,11.9
105,2000-06-09,0,0,0,11000,0,-6.38
106,2000-06-12,0,0,0,11000,0,0.0
107,2000-06-13,11000,11850,10300,10400,2600,-5.45
108,2000-06-14,0,0,0,10500,0,0.96
109,2000-06-15,0,0,0,10500,0,0.0
110,2000-06-16,0,0,0,10500,0,0.0
111,2000-06-19,10500,10500,10500,10500,28,0.0
112,2000-06-20,0,0,0,10550,0,0.48
113,2000-06-21,0,0,0,10550,0,0.0
114,2000-06-22,0,0,0,10550,0,0.0
115,2000-06-23,0,0,0,10550,0,0.0
116,2000-06-26,0,0,0,10550,0,0.0
117,2000-06-27,10500,10500,10500,10500,778,-0.47
118,2000-06-28,0,0,0,10500,0,0.0
119,2000-06-29,0,0,0,10500,0,0.0
120,2000-06-30,0,0,0,10500,0,0.0
121,2000-07-03,11650,11650,11650,11650,1,10.95
122,2000-07-04,0,0,0,10900,0,-6.44
123,2000-07-05,10900,10900,10500,10600,1486,-2.75
124,2000-07-06,0,0,0,10600,0,0.0
125,2000-07-07,0,0,0,10700,0,0.94
126,2000-07-10,10600,10800,10600,10800,13,0.93
127,2000-07-11,10800,10900,10600,10700,1396,-0.93
128,2000-07-12,10700,10700,10700,10700,10,0.0
129,2000-07-13,10800,10800,10600,10600,40,-0.93
130,2000-07-14,10700,10800,10700,10700,86,0.94
131,2000-07-18,10700,10700,10700,10700,20,0.0
132,2000-07-19,0,0,0,10700,0,0.0
133,2000-07-20,10800,10800,10600,10600,200,-0.93
134,2000-07-21,0,0,0,10600,0,0.0
135,2000-07-24,0,0,0,10750,0,1.42
136,2000-07-25,0,0,0,10750,0,0.0
137,2000-07-26,10700,10700,10600,10600,567,-1.4
138,2000-07-27,0,0,0,10600,0,0.0
139,2000-07-28,0,0,0,10600,0,0.0
140,2000-07-31,0,0,0,10600,0,0.0
141,2000-08-01,0,0,0,10600,0,0.0
142,2000-08-02,0,0,0,10600,0,0.0
143,2000-08-03,0,0,0,10600,0,0.0
144,2000-08-04,0,0,0,10600,0,0.0
145,2000-08-07,0,0,0,10600,0,0.0
146,2000-08-08,0,0,0,10600,0,0.0
147,2000-08-09,0,0,0,10600,0,0.0
148,2000-08-10,0,0,0,10600,0,0.0
149,2000-08-11,0,0,0,10600,0,0.0
150,2000-08-14,0,0,0,10600,0,0.0
151,2000-08-16,0,0,0,10600,0,0.0
152,2000-08-17,0,0,0,10600,0,0.0
153,2000-08-18,0,0,0,10600,0,0.0
154,2000-08-21,0,0,0,10600,0,0.0
155,2000-08-22,0,0,0,10600,0,0.0
156,2000-08-23,0,0,0,10600,0,0.0
157,2000-08-24,0,0,0,10600,0,0.0
158,2000-08-25,0,0,0,10600,0,0.0
159,2000-08-28,0,0,0,10600,0,0.0
160,2000-08-29,0,0,0,10600,0,0.0
161,2000-08-30,10500,10500,10300,10300,280,1.48
162,2000-08-31,0,0,0,10200,0,-0.97
163,2000-09-01,0,0,0,10200,0,0.0
164,2000-09-04,9930,9930,9850,9850,599,-3.43
165,2000-09-05,9800,9800,9800,9800,200,-0.51
166,2000-09-06,0,0,0,9800,0,0.0
167,2000-09-07,9800,9800,9800,9800,40,0.0
168,2000-09-08,0,0,0,9810,0,0.1
169,2000-09-14,0,0,0,9830,0,0.2
170,2000-09-15,0,0,0,9830,0,0.0
171,2000-09-18,0,0,0,9830,0,0.0
172,2000-09-19,9950,9950,9950,9950,823,1.22
173,2000-09-20,0,0,0,9950,0,0.0
174,2000-09-21,0,0,0,9950,0,0.0
175,2000-09-22,0,0,0,9950,0,0.0
176,2000-09-25,0,0,0,9950,0,0.0
177,2000-09-26,0,0,0,9950,0,0.0
178,2000-09-27,0,0,0,9950,0,0.0
179,2000-09-28,9950,9950,9950,9950,300,0.0
180,2000-09-29,9950,9950,9950,9950,10,0.0
181,2000-10-02,0,0,0,9950,0,0.0
182,2000-10-04,0,0,0,9950,0,0.0
183,2000-10-05,0,0,0,9950,0,0.0
184,2000-10-06,10000,10000,9950,9950,750,0.0
185,2000-10-09,0,0,0,9950,0,0.0
186,2000-10-10,0,0,0,9950,0,0.0
187,2000-10-11,0,0,0,9950,0,0.0
188,2000-10-12,0,0,0,9950,0,0.0
189,2000-10-13,0,0,0,9950,0,0.0
190,2000-10-16,0,0,0,9950,0,0.0
191,2000-10-17,0,0,0,9950,0,0.0
192,2000-10-18,0,0,0,9950,0,0.0
193,2000-10-19,0,0,0,9950,0,0.0
194,2000-10-20,0,0,0,9950,0,0.0
195,2000-10-23,0,0,0,9950,0,0.0
196,2000-10-24,0,0,0,9950,0,0.0
197,2000-10-25,11100,11100,9880,9880,402,-0.7
198,2000-10-26,9900,9900,9900,9900,192,0.2
199,2000-10-27,10000,10000,10000,10000,100,1.01
200,2000-10-30,0,0,0,10000,0,0.0
201,2000-10-31,0,0,0,10000,0,0.0
202,2000-11-01,0,0,0,10000,0,0.0
