,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,0,0,0,5520,0,0.36
1,2000-01-05,5600,5660,5600,5650,7900,2.36
2,2000-01-06,0,0,0,5650,0,0.0
3,2000-01-07,5630,5630,5510,5630,3801,-0.35
4,2000-01-10,5630,5700,5630,5700,1000,1.24
5,2000-01-11,0,0,0,5700,0,0.0
6,2000-01-12,5500,5600,5500,5600,3800,-1.75
7,2000-01-13,5510,5510,5210,5500,13400,-1.79
8,2000-01-14,5590,5660,5590,5600,9300,1.82
9,2000-01-17,5600,5600,5600,5600,900,0.0
10,2000-01-18,5400,5550,5400,5550,3650,-0.89
11,2000-01-19,5450,5450,5410,5410,3600,-2.52
12,2000-01-20,5220,5220,5210,5210,3711,-3.7
13,2000-01-21,5420,5420,5420,5420,1000,4.03
14,2000-01-24,5420,5420,5420,5420,550,0.0
15,2000-01-25,5250,5250,5250,5250,1000,-3.14
16,2000-01-26,5250,5250,5250,5250,6000,0.0
17,2000-01-27,5320,5320,5210,5250,6000,0.0
18,2000-01-28,0,0,0,5350,0,1.9
19,2000-01-31,0,0,0,5350,0,0.0
20,2000-02-01,5400,5420,5400,5420,2600,1.31
21,2000-02-02,0,0,0,5420,0,0.0
22,2000-02-03,5500,5500,5490,5490,800,1.29
23,2000-02-07,5500,5650,5500,5650,5113,2.91
24,2000-02-08,5660,5660,5660,5660,1210,0.18
25,2000-02-09,5550,5660,5550,5570,14700,-1.59
26,2000-02-10,5720,6100,5720,5910,13146,6.1
27,2000-02-11,6060,6180,6060,6100,1793,3.21
28,2000-02-14,6000,6100,6000,6100,28390,0.0
29,2000-02-15,6100,6250,6100,6220,20402,1.97
30,2000-02-16,6150,6180,6130,6130,12704,-1.45
31,2000-02-17,6160,6200,6160,6200,1311,1.14
32,2000-02-18,6200,6210,6170,6200,11150,0.0
33,2000-02-21,6190,6250,6190,6200,14500,0.0
34,2000-02-22,6300,6300,6210,6290,2401,1.45
35,2000-02-23,6290,6290,6260,6270,1951,-0.32
36,2000-02-24,6290,6300,6250,6250,11267,-0.32
37,2000-02-25,6250,6300,6250,6260,9401,0.16
38,2000-02-28,6280,6280,6220,6220,3200,-0.64
39,2000-02-29,6220,6300,6220,6250,18701,0.48
40,2000-03-02,6280,6280,6220,6250,55120,0.0
41,2000-03-03,6300,6300,6240,6240,3522,-0.16
42,2000-03-06,6300,6300,6220,6220,16304,-0.32
43,2000-03-07,6250,6300,6230,6230,14781,0.16
44,2000-03-08,6200,6200,6200,6200,501,-0.48
45,2000-03-09,6000,6250,6000,6250,3168,0.81
46,2000-03-10,6250,6250,6250,6250,2000,0.0
47,2000-03-13,6230,6250,6230,6230,2619,-0.32
48,2000-03-14,6260,6260,6260,6260,1390,0.48
49,2000-03-15,6270,6270,6270,6270,1,0.16
50,2000-03-16,6280,6290,6270,6270,1612,0.0
51,2000-03-17,6290,6290,6290,6290,120,0.32
52,2000-03-20,6250,6260,6250,6260,7500,-0.48
53,2000-03-21,6280,6290,6250,6250,2800,-0.16
54,2000-03-22,6250,6270,6250,6260,45380,0.16
55,2000-03-23,6260,6260,6250,6250,7400,-0.16
56,2000-03-24,6250,6270,6250,6270,5040,0.32
57,2000-03-27,6300,6300,6250,6270,15838,0.0
58,2000-03-28,6110,6280,6110,6280,7476,0.16
59,2000-03-29,6400,6400,6180,6180,2,-1.59
60,2000-03-30,6250,6300,6250,6300,4664,1.94
61,2000-03-31,6280,6300,6280,6290,680,-0.16
62,2000-04-03,6290,6350,6290,6340,900,0.79
63,2000-04-04,6270,6270,6270,6270,4030,-1.1
64,2000-04-06,6280,6280,6280,6280,170,0.16
65,2000-04-07,6270,6390,6270,6390,27,1.75
66,2000-04-10,6350,6350,6280,6280,1400,-1.72
67,2000-04-11,6300,6350,6300,6300,11815,0.32
68,2000-04-12,6300,6350,6300,6350,999,0.79
69,2000-04-14,6310,6500,6310,6500,32,2.36
70,2000-04-17,6300,6350,6000,6340,14009,-2.46
71,2000-04-18,6380,6380,6380,6380,1000,0.63
72,2000-04-19,6390,6400,6390,6400,8831,0.31
73,2000-04-20,6410,6410,6410,6410,4000,0.16
74,2000-04-21,6420,6420,6410,6410,2000,0.0
75,2000-04-24,6410,6450,6410,6410,50430,0.0
76,2000-04-25,6410,6410,6410,6410,365,0.0
77,2000-04-26,6410,6550,6410,6550,61431,2.18
78,2000-04-27,6550,6550,6550,6550,200,0.0
79,2000-04-28,6410,6420,6410,6410,8291,-2.14
80,2000-05-02,6420,6420,6410,6420,11600,0.16
81,2000-05-03,6450,6450,6450,6450,75,0.47
82,2000-05-04,6470,6490,6470,6470,31001,0.31
83,2000-05-08,6470,6470,6470,6470,500,0.0
84,2000-05-09,6470,6470,6470,6470,24100,0.0
85,2000-05-10,6470,6470,6470,6470,201,0.0
86,2000-05-12,6480,6500,6480,6480,17008,0.15
87,2000-05-15,6490,6500,6490,6490,12200,0.15
88,2000-05-16,6500,6500,6500,6500,7000,0.15
89,2000-05-17,6520,6520,6510,6510,6663,0.15
90,2000-05-18,6500,6510,6500,6500,13391,-0.15
91,2000-05-19,6500,6510,6500,6500,13300,0.0
92,2000-05-22,6500,6500,6500,6500,400,0.0
93,2000-05-23,6510,6510,6500,6500,13225,0.0
