,Date,Open,High,Low,Close,Volume,Change
0,2001-01-03,1134,1134,1134,1134,297600,NaN
1,2001-01-04,1268,1268,1268,1268,69160,11.82
2,2001-01-05,1240,1252,1118,1118,3605640,-11.83
3,2001-01-08,1061,1252,1033,1252,2721480,11.99
4,2001-01-09,1321,1402,1280,1402,2234270,11.98
5,2001-01-10,1450,1544,1236,1236,3238090,-11.84
6,2001-01-11,1292,1365,1159,1313,1444260,6.23
7,2001-01-12,1369,1467,1313,1458,1774860,11.04
8,2001-01-15,1499,1604,1402,1458,1948360,0.0
9,2001-01-16,1450,1450,1296,1329,1245880,-8.85
10,2001-01-17,1337,1442,1264,1329,1233390,0.0
11,2001-01-18,1361,1487,1361,1487,1320750,11.89
12,2001-01-19,1539,1665,1418,1426,2104910,-4.1
13,2001-01-22,1475,1565,1394,1499,870690,5.12
14,2001-01-26,1531,1539,1345,1377,672980,-8.14
15,2001-01-29,1402,1539,1369,1539,926370,11.76
16,2001-01-30,1722,1722,1722,1722,97590,11.89
17,2001-01-31,1928,1928,1515,1892,3007920,9.87
18,2001-02-01,1783,2119,1742,2107,1283340,11.36
19,2001-02-02,2107,2244,1872,1945,2072460,-7.69
20,2001-02-05,1900,1900,1714,1714,786630,-11.88
21,2001-02-06,1791,1855,1702,1831,775060,6.83
22,2001-02-07,1710,1831,1645,1685,487710,-7.97
23,2001-02-08,1629,1795,1629,1702,486500,1.01
24,2001-02-09,1702,1799,1702,1799,432250,5.7
25,2001-02-12,1831,1961,1742,1880,620680,4.5
26,2001-02-13,1920,1920,1774,1847,450600,-1.76
27,2001-02-14,1799,2035,1799,1973,805700,6.82
28,2001-02-15,1945,2027,1872,1892,478740,-4.11
29,2001-02-16,1901,1905,1787,1815,387910,-4.07
30,2001-02-19,1839,1865,1783,1815,288500,0.0
31,2001-02-20,1880,1945,1815,1876,446140,3.36
32,2001-02-21,1831,2001,1807,1896,517820,1.07
33,2001-02-22,1904,2123,1823,2123,1198660,11.97
34,2001-02-23,2262,2375,1872,1888,2489510,-11.07
35,2001-02-26,1969,2058,1945,2001,1263860,5.99
36,2001-02-27,2018,2018,1831,1847,820270,-7.7
37,2001-02-28,1783,1847,1718,1750,312440,-5.25
38,2001-03-02,1685,1742,1544,1564,449620,-10.63
39,2001-03-05,1467,1580,1426,1564,295340,0.0
40,2001-03-06,1580,1661,1580,1584,368050,1.28
41,2001-03-07,1588,1697,1588,1621,332020,2.34
42,2001-03-08,1669,1807,1649,1734,1074750,6.97
43,2001-03-09,1702,1726,1645,1702,288570,-1.85
44,2001-03-12,1685,1823,1621,1645,415000,-3.35
45,2001-03-13,1580,1592,1491,1531,242110,-6.93
46,2001-03-14,1580,1637,1580,1600,192710,4.51
47,2001-03-15,1519,1576,1467,1576,210750,-1.5
48,2001-03-16,1515,1653,1515,1556,149640,-1.27
49,2001-03-19,1499,1588,1499,1539,123380,-1.09
50,2001-03-20,1560,1722,1556,1722,1106860,11.89
51,2001-03-21,1722,1791,1608,1669,1056580,-3.08
52,2001-03-22,1718,1754,1637,1693,542370,1.44
53,2001-03-23,1685,1726,1560,1564,207460,-7.62
54,2001-03-26,1544,1596,1544,1568,166470,0.26
55,2001-03-27,1548,1596,1539,1596,199820,1.79
56,2001-03-28,1604,1702,1564,1621,358600,1.57
57,2001-03-29,1584,1645,1548,1548,179290,-4.5
58,2001-03-30,1548,1584,1491,1539,104060,-0.58
59,2001-04-02,1507,1564,1507,1519,83360,-1.3
60,2001-04-03,1483,1515,1434,1471,134690,-3.16
61,2001-04-04,1442,1491,1434,1450,118370,-1.43
62,2001-04-06,1499,1621,1487,1621,772970,11.79
63,2001-04-09,1612,1677,1487,1523,1090830,-6.05
64,2001-04-10,1539,1588,1503,1515,257770,-0.53
65,2001-04-11,1535,1576,1515,1531,185250,1.06
66,2001-04-12,1531,1552,1503,1507,171890,-1.57
67,2001-04-13,1523,1523,1458,1511,153760,0.27
68,2001-04-16,1507,1572,1491,1556,293570,2.98
69,2001-04-17,1523,1572,1519,1539,103460,-1.09
70,2001-04-18,1580,1629,1576,1604,307550,4.22
71,2001-04-19,1637,1693,1588,1612,293270,0.5
72,2001-04-20,1616,1803,1616,1803,1636340,11.85
73,2001-04-23,1835,1892,1661,1799,727930,-0.22
74,2001-04-24,1766,1969,1730,1945,1158520,8.12
75,2001-04-25,1864,1997,1864,1965,560610,1.03
76,2001-04-26,1997,1997,1904,1945,361630,-1.02
77,2001-04-27,1888,2095,1888,1953,670910,0.41
