,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,92700,92700,92700,92700,324,11.96
1,2000-01-05,103500,103500,103500,103500,14231,11.65
2,2000-01-06,115500,115500,115500,115500,4623,11.59
3,2000-01-07,102000,109000,102000,102000,124039,-11.69
4,2000-01-10,104000,109000,90000,94100,68584,-7.75
5,2000-01-11,104500,104500,83100,96000,66533,2.02
6,2000-01-12,84500,88900,84500,84500,22261,-11.98
7,2000-01-13,74400,74400,74400,74400,2490,-11.95
8,2000-01-14,65500,67000,65500,65500,15642,-11.96
9,2000-01-17,57800,70000,57700,61000,33319,-6.87
10,2000-01-18,61000,65500,60000,61600,15226,0.98
11,2000-01-19,62900,67700,54600,54600,46925,-11.36
12,2000-01-20,50600,54900,48200,52500,13009,-3.85
13,2000-01-21,52500,57800,51000,54000,19657,2.86
14,2000-01-24,50100,56000,50100,52300,56141,-3.15
15,2000-01-25,52300,55000,50000,52000,34848,-0.57
16,2000-01-26,53000,54300,49000,51600,16088,-0.77
17,2000-01-27,51600,51600,45500,46000,17963,-10.85
18,2000-01-28,42100,49000,41100,48500,22354,5.43
19,2000-01-31,47000,54200,45200,52700,33234,8.66
20,2000-02-01,55800,59000,53000,58900,81492,11.76
21,2000-02-02,60000,65400,57000,62000,63596,5.26
22,2000-02-03,63000,66500,60000,60300,99516,-2.74
23,2000-02-07,65500,67500,64900,67500,39273,11.94
24,2000-02-08,75600,75600,67600,75600,116742,12.0
25,2000-02-09,75000,84600,74000,83500,123587,10.45
26,2000-02-10,78000,88000,75600,78500,94832,-5.99
27,2000-02-11,83000,85000,78000,80800,223314,2.93
28,2000-02-14,77000,82000,71200,71200,170480,-11.88
29,2000-02-15,68200,75500,65000,72000,74747,1.12
30,2000-02-16,71800,74900,66500,71000,29715,-1.39
31,2000-02-17,69500,79500,69100,79500,109629,11.97
32,2000-02-18,88000,89000,84100,87500,224806,10.06
33,2000-02-21,82500,91900,82500,87000,149886,-0.57
34,2000-02-22,91000,93000,76600,77500,89476,-10.92
35,2000-02-23,75000,77500,68200,71200,57175,-8.13
36,2000-02-24,75000,79700,75000,79700,43340,11.94
37,2000-02-25,88000,89200,86500,89200,85190,11.92
38,2000-02-28,98800,99900,93600,99900,61753,12.0
39,2000-02-29,111500,111500,111500,111500,8953,11.61
40,2000-03-02,124500,124500,124500,124500,2541,11.66
41,2000-03-03,139000,139000,111500,139000,380213,11.65
42,2000-03-06,152500,152500,122500,122500,151717,-11.87
43,2000-03-07,108000,117500,108000,115000,85406,-6.12
44,2000-03-08,110000,128500,108500,128500,111234,11.74
45,2000-03-09,143500,143500,138500,143500,21066,11.67
46,2000-03-10,160500,160500,145500,160500,304821,11.85
47,2000-03-13,160000,179500,155000,179500,223513,11.84
48,2000-03-14,179000,201000,175500,201000,126756,11.98
49,2000-03-15,218000,225000,203000,225000,94205,11.94
50,2000-03-16,230000,248000,198000,198000,258548,-12.0
51,2000-03-17,196000,198000,174500,174500,152442,-11.87
52,2000-03-20,154000,160000,154000,154000,23382,-11.75
53,2000-03-21,136000,150000,136000,149000,277308,-3.25
54,2000-03-22,155000,163000,137000,138000,286143,-7.38
55,2000-03-23,0,0,0,138000,0,0.0
56,2000-03-24,0,0,0,138000,0,0.0
57,2000-03-27,13800,15450,12500,15350,2886197,11.23
58,2000-03-28,14900,15700,13550,13550,1601908,-11.73
59,2000-03-29,13000,13300,11950,11950,1297623,-11.81
60,2000-03-30,10550,11400,10550,10550,1839700,-11.72
61,2000-03-31,10600,11450,10300,10900,1578325,3.32
62,2000-04-03,10600,11450,9600,9600,826675,-11.93
63,2000-04-04,8450,8450,8450,8450,133766,-11.98
64,2000-04-06,8450,8890,7500,7730,1304974,-8.52
65,2000-04-07,8300,8650,8150,8650,431136,11.9
66,2000-04-10,9680,9680,9500,9680,238945,11.91
67,2000-04-11,9300,10750,8700,9920,2596584,2.48
68,2000-04-12,10000,10250,9400,10000,1625142,0.81
69,2000-04-14,9100,9500,8800,8860,687676,-11.4
70,2000-04-17,7800,7800,7800,7800,25685,-11.96
71,2000-04-18,8300,8590,7000,7400,1029228,-5.13
72,2000-04-19,7900,8080,7050,7580,808129,2.43
73,2000-04-20,7200,7410,6690,7140,602211,-5.8
74,2000-04-21,7300,7990,7000,7990,1083309,11.9
75,2000-04-24,8200,8400,7700,7700,1199734,-3.63
76,2000-04-25,7800,8280,7400,8010,677953,4.03
77,2000-04-26,8570,8640,7770,7810,778219,-2.5
78,2000-04-27,7450,7970,7300,7750,426511,-0.77
79,2000-04-28,7920,8000,7450,7730,411782,-0.26
80,2000-05-02,7730,8490,7730,8270,802441,6.99
81,2000-05-03,7900,8100,7650,7940,557103,-3.99
82,2000-05-04,7780,8890,7600,8890,1589937,11.96
83,2000-05-08,9780,9950,9520,9950,661799,11.92
84,2000-05-09,9790,9800,9000,9400,1084898,-5.53
85,2000-05-10,9190,10300,9130,9890,1685834,5.21
86,2000-05-12,9690,10100,9270,9380,1441578,-5.16
87,2000-05-15,9510,9550,8260,8260,553591,-11.94
88,2000-05-16,7500,8250,7360,8010,726019,-3.03
89,2000-05-17,8100,8430,7050,7050,763618,-11.99
90,2000-05-18,6220,6420,6210,6210,461573,-11.91
91,2000-05-19,5500,6200,5470,5800,646687,-6.6
92,2000-05-22,5800,5940,5110,5110,294986,-11.9
93,2000-05-23,4750,4840,4500,4500,451926,-11.94
94,2000-05-24,4030,4300,3960,3960,665450,-12.0
95,2000-05-25,4340,4430,4100,4430,360719,11.87
96,2000-05-26,4310,4650,3900,4000,837057,-9.71
97,2000-05-29,3910,4300,3760,4150,355233,3.75
98,2000-05-30,4500,4640,4310,4640,453252,11.81
99,2000-05-31,5190,5190,5010,5190,225047,11.85
100,2000-06-01,5250,5690,4750,5060,1001509,-2.5
101,2000-06-02,5460,5500,4910,5190,711858,2.57
102,2000-06-05,5610,5770,5410,5690,609008,9.63
103,2000-06-07,5200,5960,5200,5780,1454597,1.58
104,2000-06-08,6180,6290,5200,5220,1003079,-9.69
