,Date,Open,High,Low,Close,Volume,Change
0,2000-04-27,11902,11902,11902,11902,90,NaN
1,2000-04-28,13331,13331,13331,13330,26,12.0
2,2000-05-02,14927,14927,14927,14927,15,11.98
3,2000-05-03,16691,16691,16691,16691,212,11.82
4,2000-05-04,18680,18680,18680,18679,526,11.91
5,2000-05-08,20920,20920,20920,20920,482,12.0
6,2000-05-09,23413,23413,23413,23412,2891,11.91
7,2000-05-10,26213,26213,26213,26213,21067,11.96
8,2000-05-12,29350,29350,29070,29349,584499,11.96
9,2000-05-15,29742,30526,25877,25877,1358486,-11.83
10,2000-05-16,25485,28958,22965,28957,2116015,11.9
11,2000-05-17,29518,32319,25485,25737,1995174,-11.12
12,2000-05-18,23021,25205,22657,23132,845213,-10.12
13,2000-05-19,23525,25149,21452,24308,894048,5.08
14,2000-05-22,23077,24253,21396,21396,434393,-11.98
15,2000-05-23,19772,20668,18848,18847,526191,-11.91
16,2000-05-24,17476,21004,16607,20220,1818694,7.28
17,2000-05-25,21452,22629,20836,22628,724492,11.91
18,2000-05-26,21844,23245,19940,19940,1085978,-11.88
19,2000-05-29,17560,18904,17560,17615,797777,-11.66
20,2000-05-30,17868,18652,17644,18287,706264,3.81
21,2000-05-31,20472,20472,19324,20472,601491,11.95
22,2000-06-01,20444,22909,19156,22908,995820,11.9
23,2000-06-02,24085,25513,21284,21844,1011313,-4.64
24,2000-06-05,24365,24449,23861,24448,230779,11.92
25,2000-06-07,27362,27362,24141,25205,1215482,3.1
26,2000-06-08,24925,25485,22208,23244,686037,-7.78
27,2000-06-09,22405,26017,21956,26017,502459,11.93
28,2000-06-12,26325,27165,24645,25513,421079,-1.94
29,2000-06-13,24645,26129,22797,22908,393389,-10.21
30,2000-06-14,23525,24309,22124,22908,382244,0.0
31,2000-06-15,22909,23077,20164,20164,235774,-11.98
32,2000-06-16,20164,21172,19324,20864,257281,3.47
33,2000-06-19,19660,21452,19324,20276,243270,-2.82
34,2000-06-20,20500,21228,19548,20220,240218,-0.28
35,2000-06-21,19828,21676,19828,20752,260648,2.63
36,2000-06-22,21004,21452,20444,21284,148351,2.56
37,2000-06-23,20892,20948,20276,20724,92676,-2.63
38,2000-06-26,19884,21620,19884,21620,129689,4.32
39,2000-06-27,21620,22965,21452,22348,213166,3.37
40,2000-06-28,22349,23357,21956,22320,193348,-0.13
41,2000-06-29,22601,22685,21676,22124,150160,-0.88
42,2000-06-30,22180,22180,20724,21256,72821,-3.92
43,2000-07-03,21396,22124,20864,20920,147300,-1.58
44,2000-07-04,20780,20948,19324,19715,145471,-5.76
45,2000-07-05,19324,19604,17364,17615,158247,-10.65
46,2000-07-06,16243,17364,15515,16803,101961,-4.61
47,2000-07-07,15403,17924,15403,17307,99274,3.0
48,2000-07-10,16803,18204,16803,17475,121547,0.97
49,2000-07-11,17364,17364,15403,15459,108180,-11.54
50,2000-07-12,15179,17083,15123,16523,108498,6.88
51,2000-07-13,16243,16467,15179,15403,62980,-6.78
52,2000-07-14,15403,15571,14619,15011,61306,-2.54
53,2000-07-18,14843,16691,14843,15683,200490,4.48
54,2000-07-19,15515,15627,13807,13806,89385,-11.97
55,2000-07-20,13807,13835,12210,13498,111812,-2.23
56,2000-07-21,13891,13891,12322,12826,60237,-4.98
57,2000-07-24,12547,12547,11314,11314,75078,-11.79
58,2000-07-25,10922,12098,10362,11818,104437,4.45
59,2000-07-26,11986,13135,11650,12770,173160,8.06
60,2000-07-27,12435,12827,11650,12154,218437,-4.82
61,2000-07-28,11650,12715,11314,11762,196800,-3.23
62,2000-07-31,11342,11874,10950,11762,115735,0.0
63,2000-08-01,11314,12743,11314,12322,164372,4.76
64,2000-08-02,11874,13107,11818,12378,180209,0.45
65,2000-08-03,12659,13695,12547,13050,230346,5.43
66,2000-08-04,13527,13527,12491,12574,134324,-3.65
67,2000-08-07,12603,13051,12210,12602,294897,0.22
68,2000-08-08,12939,12995,11874,11930,162582,-5.33
69,2000-08-09,11650,12715,11594,12378,239269,3.76
70,2000-08-10,12603,12883,12098,12546,182665,1.36
71,2000-08-11,12322,12855,12154,12322,88341,-1.79
72,2000-08-14,12435,12771,12042,12322,46896,0.0
73,2000-08-16,11958,12491,11958,12042,77520,-2.27
74,2000-08-17,12098,12771,12098,12490,127887,3.72
75,2000-08-18,13051,13975,12827,13974,406539,11.88
76,2000-08-21,14479,14619,12995,13554,507262,-3.01
77,2000-08-22,13723,14563,13303,14506,266888,7.02
78,2000-08-23,14675,14843,13779,14002,295962,-3.47
79,2000-08-24,13723,14199,12715,12714,144974,-9.2
80,2000-08-25,12463,13051,12182,12378,126196,-2.64
81,2000-08-28,12098,13331,12098,13050,209560,5.43
82,2000-08-29,12939,13219,12491,12742,116084,-2.36
83,2000-08-30,12995,13079,12603,12714,78790,-0.22
84,2000-08-31,12715,12743,11202,11874,148169,-6.61
85,2000-09-01,11314,12098,11314,11846,199183,-0.24
86,2000-09-04,11762,12238,11706,11986,113179,1.18
87,2000-09-05,11874,13051,11874,12686,201676,5.84
88,2000-09-06,12435,12883,12154,12266,123992,-3.31
89,2000-09-07,12042,12098,11202,11202,82858,-8.67
90,2000-09-08,11258,11426,10642,11370,61887,1.5
91,2000-09-14,10922,11426,10922,11314,52805,-0.49
92,2000-09-15,11258,11538,10446,10446,72725,-7.67
93,2000-09-18,9634,9746,9214,9213,47329,-11.8
94,2000-09-19,8150,8682,8122,8121,133662,-11.85
95,2000-09-20,8402,8626,7954,8093,100529,-0.34
