,Date,Open,High,Low,Close,Volume,Change
0,2000-08-31,3000,3000,3000,3000,298110,0.0
1,2000-09-01,3000,3000,2690,2810,797049,-6.33
2,2000-09-04,2720,2970,2720,2870,369683,2.14
3,2000-09-05,2970,3210,2890,3210,1215053,11.85
4,2000-09-06,3280,3300,2920,2950,1037402,-8.1
5,2000-09-07,2970,2970,2690,2800,454337,-5.08
6,2000-09-08,2710,2780,2510,2660,311535,-5.0
7,2000-09-14,2530,2780,2530,2760,138510,3.76
8,2000-09-15,2690,2790,2510,2590,250960,-6.16
9,2000-09-18,2400,2410,2280,2280,143059,-11.97
10,2000-09-19,2250,2250,2010,2090,436594,-8.33
11,2000-09-20,2090,2300,2090,2220,486793,6.22
12,2000-09-21,2220,2280,1960,2050,326291,-7.66
13,2000-09-22,2050,2050,1810,1810,344542,-11.71
14,2000-09-25,1810,1880,1600,1800,719729,-0.55
15,2000-09-26,1800,2010,1760,2010,690835,11.67
16,2000-09-27,2080,2250,2060,2250,310665,11.94
17,2000-09-28,2490,2520,2250,2520,734780,12.0
18,2000-09-29,2580,2820,2350,2820,774033,11.9
19,2000-10-02,2800,3150,2720,3150,354113,11.7
20,2000-10-04,3520,3520,3520,3520,79079,11.75
21,2000-10-05,3940,3940,3940,3940,31429,11.93
22,2000-10-06,4350,4410,3470,4250,2282513,7.87
23,2000-10-09,4350,4760,4150,4760,614821,12.0
24,2000-10-10,5290,5330,5000,5330,1040706,11.97
25,2000-10-11,5200,5660,4700,4700,1019403,-11.82
26,2000-10-12,4140,4200,4140,4140,174316,-11.91
27,2000-10-13,3650,3650,3650,3650,134893,-11.84
28,2000-10-16,3750,4080,3750,4080,910696,11.78
29,2000-10-17,4550,4560,4300,4560,761314,11.76
30,2000-10-18,4560,4790,4020,4180,1675622,-8.33
31,2000-10-19,4010,4300,3810,4020,502047,-3.83
32,2000-10-20,4150,4380,3820,3900,414418,-2.99
33,2000-10-23,3890,4360,3700,4100,1063550,5.13
34,2000-10-24,4160,4290,3840,4000,526186,-2.44
35,2000-10-25,3930,4380,3860,4130,699936,3.25
36,2000-10-26,4050,4610,4050,4280,1050850,3.63
37,2000-10-27,4500,4790,4350,4790,577522,11.92
38,2000-10-30,5170,5360,4220,4220,2554441,-11.9
39,2000-10-31,4220,4220,3720,3900,596244,-7.58
40,2000-11-01,4000,4180,3700,3960,347283,1.54
41,2000-11-02,3770,4030,3720,4010,346045,1.26
42,2000-11-03,4010,4370,4010,4230,423813,5.49
43,2000-11-06,4500,4550,4280,4360,273790,3.07
44,2000-11-07,4150,4400,4150,4230,181301,-2.98
45,2000-11-08,4130,4350,4030,4150,176409,-1.89
46,2000-11-09,4010,4610,4010,4580,492140,10.36
47,2000-11-10,4810,4900,4580,4720,366092,3.06
48,2000-11-13,4600,4600,4160,4230,215290,-10.38
49,2000-11-14,4100,4730,4100,4730,384920,11.82
50,2000-11-15,4870,5290,4600,4680,1217673,-1.06
51,2000-11-16,4720,4860,4400,4600,417355,-1.71
52,2000-11-17,4500,5150,4500,4950,1144188,7.61
53,2000-11-20,5090,5540,5000,5540,1695600,11.92
54,2000-11-21,5690,6150,4880,4880,3014837,-11.91
55,2000-11-22,4900,5040,4400,4570,1288019,-6.35
56,2000-11-23,4500,4720,4030,4140,914484,-9.41
57,2000-11-24,3950,4630,3950,4600,736780,11.11
58,2000-11-27,4600,4870,4600,4680,442791,1.74
59,2000-11-28,4480,4600,4120,4340,256005,-7.26
60,2000-11-29,4100,4250,4010,4180,249194,-3.69
61,2000-11-30,4010,4350,4010,4240,211200,1.44
62,2000-12-01,4100,4350,4070,4280,202755,0.94
63,2000-12-04,4400,4460,4060,4230,253092,-1.17
64,2000-12-05,4100,4290,4100,4280,135445,1.18
65,2000-12-06,4400,4750,4140,4600,801828,7.48
66,2000-12-07,4700,4950,4260,4370,672323,-5.0
67,2000-12-08,4310,4310,4110,4230,240478,-3.2
68,2000-12-11,4160,4350,4160,4240,172869,0.24
69,2000-12-12,4210,4300,4150,4230,152789,-0.24
70,2000-12-13,4120,4280,4120,4250,97467,0.47
71,2000-12-14,4250,4760,4250,4760,435766,12.0
72,2000-12-15,4970,5290,4210,4430,795883,-6.93
73,2000-12-18,4450,4700,4300,4540,260280,2.48
74,2000-12-19,4540,4540,4120,4280,171289,-5.73
