,Date,Open,High,Low,Close,Volume,Change
0,2000-07-20,2800,2800,2800,2800,2159,NaN
1,2000-07-21,3130,3130,3130,3130,1867,11.79
2,2000-07-24,3500,3500,3500,3500,10338,11.82
3,2000-07-25,3920,3920,3920,3920,22021,12.0
4,2000-07-26,4390,4390,4390,4390,6782,11.99
5,2000-07-27,4910,4910,4910,4910,8232,11.85
6,2000-07-28,5490,5490,5490,5490,13897,11.81
7,2000-07-31,6140,6140,4840,4840,1463596,-11.84
8,2000-08-01,4260,5250,4260,4530,4388784,-6.4
9,2000-08-02,4580,4960,4530,4700,1177471,3.75
10,2000-08-03,4700,5260,4700,5060,1501019,7.66
11,2000-08-04,5110,5260,4650,4710,740152,-6.92
12,2000-08-07,4760,4760,4150,4170,514604,-11.46
13,2000-08-08,4170,4570,4000,4390,849709,5.28
14,2000-08-09,4210,4500,3970,4100,571744,-6.61
15,2000-08-10,4110,4120,3810,3910,425794,-4.63
16,2000-08-11,3900,3900,3520,3560,378978,-8.95
17,2000-08-14,3570,3840,3520,3600,459214,1.12
18,2000-08-16,3500,3720,3320,3600,464149,0.0
19,2000-08-17,3650,3800,3330,3450,352216,-4.17
20,2000-08-18,3470,3470,3150,3230,230989,-6.38
21,2000-08-21,3180,3360,2980,3000,591871,-7.12
22,2000-08-22,3000,3100,2760,2850,552451,-5.0
23,2000-08-23,3000,3190,2900,3190,266109,11.93
24,2000-08-24,3300,3550,3100,3290,1518175,3.13
25,2000-08-25,3300,3500,3140,3200,439909,-2.74
26,2000-08-28,3180,3400,3100,3210,855869,0.31
27,2000-08-29,3220,3220,3000,3010,340642,-6.23
28,2000-08-30,2920,3140,2920,2970,303570,-1.33
29,2000-08-31,3000,3040,2720,2810,265980,-5.39
30,2000-09-01,2810,2850,2710,2810,223764,0.0
31,2000-09-04,2810,2890,2700,2770,280352,-1.42
32,2000-09-05,2730,2830,2690,2730,251273,-1.44
33,2000-09-06,2700,2900,2700,2750,513645,0.73
34,2000-09-07,2750,2750,2450,2500,312707,-9.09
35,2000-09-08,2520,2530,2260,2390,287725,-4.4
36,2000-09-14,2190,2380,2150,2220,156379,-7.11
37,2000-09-15,2230,2290,2100,2130,192964,-4.05
38,2000-09-18,2030,2050,1880,1880,120427,-11.74
39,2000-09-19,1700,1800,1660,1750,239616,-6.91
40,2000-09-20,1770,1870,1740,1820,173766,4.0
41,2000-09-21,1770,1850,1610,1670,122084,-8.24
42,2000-09-22,1700,1700,1470,1550,124941,-7.19
43,2000-09-25,1460,1710,1460,1600,174847,3.23
44,2000-09-26,1510,1790,1500,1790,309879,11.87
45,2000-09-27,1840,2000,1790,2000,220211,11.73
46,2000-09-28,2240,2240,2050,2130,477830,6.5
47,2000-09-29,2100,2200,1970,2100,704014,-1.41
48,2000-10-02,2110,2190,1980,2140,473131,1.9
49,2000-10-04,2120,2390,2010,2390,617502,11.68
50,2000-10-05,2460,2540,2320,2350,958175,-1.67
51,2000-10-06,2300,2380,2200,2290,387462,-2.55
52,2000-10-09,2320,2400,2200,2270,391285,-0.87
53,2000-10-10,2300,2540,2200,2540,1191452,11.89
54,2000-10-11,2490,2610,2240,2240,819172,-11.81
55,2000-10-12,2150,2270,2050,2100,346658,-6.25
56,2000-10-13,1920,1950,1850,1870,313289,-10.95
57,2000-10-16,1950,2090,1950,2090,371584,11.76
58,2000-10-17,2090,2090,1840,1920,267513,-8.13
59,2000-10-18,1820,1980,1690,1840,503541,-4.17
60,2000-10-19,1840,1990,1800,1890,380798,2.72
61,2000-10-20,1960,2050,1890,1940,399530,2.65
62,2000-10-23,1890,1940,1710,1720,252822,-11.34
63,2000-10-24,1720,1880,1700,1780,239482,3.49
64,2000-10-25,1750,1760,1670,1670,228556,-6.18
65,2000-10-26,1650,1870,1650,1840,840989,10.18
66,2000-10-27,1950,2040,1770,1850,879938,0.54
67,2000-10-30,1850,1850,1630,1670,319854,-9.73
68,2000-10-31,1570,1600,1470,1560,535159,-6.59
69,2000-11-01,1560,1630,1560,1600,282387,2.56
70,2000-11-02,1510,1740,1510,1730,410439,8.13
71,2000-11-03,1690,1830,1660,1710,577322,-1.16
72,2000-11-06,1710,1820,1650,1730,796780,1.17
73,2000-11-07,1720,1930,1680,1870,1352006,8.09
74,2000-11-08,1850,1950,1800,1890,428221,1.07
75,2000-11-09,1850,2020,1840,1950,702956,3.17
76,2000-11-10,1900,1970,1790,1830,355804,-6.15
77,2000-11-13,1800,1820,1670,1710,328279,-6.56
78,2000-11-14,1750,1910,1750,1910,736734,11.7
79,2000-11-15,2130,2130,2020,2020,1783923,5.76
80,2000-11-16,2090,2130,1880,1980,1446897,-1.98
81,2000-11-17,1970,2210,1900,2210,1600040,11.62
82,2000-11-20,2280,2470,2270,2470,1560036,11.76
83,2000-11-21,2630,2760,2180,2420,3533218,-2.02
84,2000-11-22,2440,2480,2150,2200,1219988,-9.09
85,2000-11-23,2050,2190,1940,1940,888695,-11.82
86,2000-11-24,1870,2020,1790,1890,1012248,-2.58
87,2000-11-27,1950,2110,1950,2110,894505,11.64
88,2000-11-28,2130,2360,2050,2190,2281844,3.79
