,Date,Open,High,Low,Close,Volume,Change
0,2000-03-17,5600,5600,5600,5600,200,12.0
1,2000-03-20,6270,6270,5000,5480,23778,-2.14
2,2000-03-21,4830,5200,4830,5200,6599,-5.11
3,2000-03-22,5000,5000,4580,5000,3057,-3.85
4,2000-03-23,4400,4700,4400,4700,1906,-6.0
5,2000-03-24,4700,4700,4140,4200,3845,-10.64
6,2000-03-27,4200,4450,4150,4420,4401,5.24
7,2000-03-28,4300,4950,4260,4740,3462,7.24
8,2000-03-29,4950,5300,4610,5040,7840,6.33
9,2000-03-30,5240,5250,4640,5100,2327,1.19
10,2000-03-31,4800,5060,4560,5060,4987,-0.78
11,2000-04-03,4460,4600,4460,4600,2702,-9.09
12,2000-04-04,4250,4750,4250,4700,163,2.17
13,2000-04-06,4590,4590,4300,4300,100,-8.51
14,2000-04-07,4200,4590,4150,4590,1396,6.74
15,2000-04-10,4510,4510,4510,4510,4,-1.74
16,2000-04-11,4510,4510,4120,4450,523,-1.33
17,2000-04-12,4130,4400,4130,4200,582,-5.62
18,2000-04-14,4110,4110,4110,4110,70,-2.14
19,2000-04-17,4000,4390,3700,4390,2675,6.81
20,2000-04-18,3930,4230,3930,4230,98,-3.64
21,2000-04-19,4100,4530,4100,4530,449,7.09
22,2000-04-20,4390,4390,4390,4390,4,-3.09
23,2000-04-21,4110,4580,3900,4580,1877,4.33
24,2000-04-24,4040,4420,4040,4420,700,-3.49
25,2000-04-25,4000,4370,4000,4370,201,-1.13
26,2000-04-26,3900,4330,3880,4330,401,-0.92
27,2000-04-27,3860,4270,3860,4270,36,-1.39
28,2000-04-28,0,0,0,4210,0,-1.41
29,2000-05-02,4220,4360,4220,4360,36,3.56
30,2000-05-03,4330,4390,3840,4390,5,0.69
31,2000-05-04,4330,4330,4330,4330,4,-1.37
32,2000-05-08,0,0,0,4290,0,-0.92
33,2000-05-09,0,0,0,4220,0,-1.63
34,2000-05-10,3900,4170,3900,4000,2313,-5.21
35,2000-05-12,3600,4190,3600,4190,3170,4.75
36,2000-05-15,0,0,0,4060,0,-3.1
37,2000-05-16,0,0,0,4060,0,0.0
38,2000-05-17,0,0,0,4060,0,0.0
39,2000-05-18,0,0,0,3950,0,-2.71
40,2000-05-19,0,0,0,3950,0,0.0
41,2000-05-22,0,0,0,3950,0,0.0
42,2000-05-23,0,0,0,3950,0,0.0
43,2000-05-24,0,0,0,3950,0,0.0
44,2000-05-25,3500,3950,3500,3950,650,0.0
45,2000-05-26,0,0,0,3890,0,-1.52
46,2000-05-29,4000,4000,4000,4000,1,2.83
47,2000-05-30,3990,3990,3800,3800,451,-5.0
48,2000-05-31,3800,3970,3350,3450,1555,-9.21
49,2000-06-01,3500,3730,3500,3730,190,8.12
50,2000-06-02,3900,3900,3700,3800,1202,1.88
51,2000-06-05,3750,3900,3750,3800,1051,0.0
52,2000-06-07,3800,4000,3750,4000,6993,5.26
53,2000-06-08,3900,4400,3900,3900,850,-2.5
54,2000-06-09,3900,3900,3900,3900,7,0.0
55,2000-06-12,4000,4100,4000,4100,2000,5.13
56,2000-06-13,4100,4490,3900,3900,300,-4.88
57,2000-06-14,3900,3900,3900,3900,200,0.0
58,2000-06-15,3800,3800,3800,3800,509,-2.56
59,2000-06-16,0,0,0,3800,0,0.0
60,2000-06-19,0,0,0,3800,0,0.0
61,2000-06-20,4250,4250,3800,3800,773,0.0
62,2000-06-21,3800,3800,3800,3800,106,0.0
63,2000-06-22,4100,4100,3850,4100,695,7.89
64,2000-06-23,4300,4500,4300,4500,140,9.76
65,2000-06-26,4000,4000,3960,3960,82,-12.0
66,2000-06-27,3800,4430,3800,4390,314,10.86
67,2000-06-28,4390,4390,4390,4390,1,0.0
68,2000-06-29,3910,3910,3910,3910,1,-10.93
69,2000-06-30,4000,4150,3820,4150,201,6.14
70,2000-07-03,0,0,0,4150,0,0.0
71,2000-07-04,4150,4150,4150,4150,50,0.0
72,2000-07-05,0,0,0,4150,0,0.0
73,2000-07-06,4000,4000,4000,4000,25,-3.61
74,2000-07-07,4480,4480,4390,4400,120,10.0
75,2000-07-10,4330,4920,4010,4910,812,11.59
76,2000-07-11,4350,4350,4350,4350,20,-11.41
77,2000-07-12,4000,4000,4000,4000,2746,-8.05
78,2000-07-13,3880,4400,3880,4400,2,10.0
79,2000-07-14,0,0,0,4350,0,-1.14
80,2000-07-18,3960,4690,3960,4690,454,7.82
81,2000-07-19,4500,4500,4140,4500,467,-4.05
82,2000-07-20,0,0,0,4300,0,-4.44
83,2000-07-21,4000,4000,4000,4000,175,-6.98
84,2000-07-24,3700,4200,3680,3680,852,-8.0
85,2000-07-25,3800,3800,3500,3500,150,-4.89
86,2000-07-26,3700,3700,3310,3700,77,5.71
87,2000-07-27,3530,3900,3350,3360,2597,-9.19
88,2000-07-28,3400,3700,3400,3700,151,10.12
89,2000-07-31,0,0,0,3600,0,-2.7
90,2000-08-01,0,0,0,3600,0,0.0
91,2000-08-02,3600,3600,3600,3600,1,0.0
92,2000-08-03,3600,3600,3600,3600,50,0.0
93,2000-08-04,3750,4030,3330,3390,1403,-5.83
94,2000-08-07,3400,3700,3400,3680,1104,8.55
95,2000-08-08,3650,3700,3350,3690,6692,0.27
96,2000-08-09,3700,3700,3700,3700,1,0.27
97,2000-08-10,3600,3700,3500,3700,284,0.0
98,2000-08-11,3430,3890,3400,3490,1723,-5.68
99,2000-08-14,3490,3900,3390,3410,4540,-2.29
100,2000-08-16,3420,3540,3410,3540,96,3.81
101,2000-08-17,3410,3700,3400,3420,778,-3.39
102,2000-08-18,3400,3410,3300,3300,1210,-3.51
103,2000-08-21,3400,3400,3400,3400,1500,3.03
104,2000-08-22,0,0,0,3450,0,1.47
105,2000-08-23,3400,3400,3400,3400,554,-1.45
