,Date,Open,High,Low,Close,Volume,Change
0,2000-04-21,0,0,0,5000,0,0.0
1,2000-04-24,5000,5600,4400,5600,2619,12.0
2,2000-04-25,5600,5600,4930,4930,1841,-11.96
3,2000-04-26,4930,4930,4930,4930,4,0.0
4,2000-04-27,4800,4930,4340,4930,695,0.0
5,2000-04-28,0,0,0,4340,0,-11.97
6,2000-05-02,3820,4340,3820,4340,59,0.0
7,2000-05-03,3820,4330,3820,4330,173,-0.23
8,2000-05-04,3820,4830,3820,4830,3551,11.55
9,2000-05-08,4260,4750,4260,4650,35,-3.73
10,2000-05-09,4100,5200,4100,4210,775,-9.46
11,2000-05-10,3730,4290,3730,3830,95,-9.03
12,2000-05-12,4280,4280,3500,3500,3346,-8.62
13,2000-05-15,3520,3880,3520,3880,6339,10.86
14,2000-05-16,3660,3660,3650,3650,3696,-5.93
15,2000-05-17,3710,3710,3710,3710,298,1.64
16,2000-05-18,3750,3750,3750,3750,1000,1.08
17,2000-05-19,3520,3610,3520,3610,6029,-3.73
18,2000-05-22,0,0,0,3610,0,0.0
19,2000-05-23,3180,4040,3180,3180,3,-11.91
20,2000-05-24,3560,3560,3560,3560,10,11.95
21,2000-05-25,0,0,0,3600,0,1.12
22,2000-05-26,3260,4030,3260,3300,1903,-8.33
23,2000-05-29,3110,3690,3100,3690,102,11.82
24,2000-05-30,4130,4130,3250,4090,72,10.84
25,2000-05-31,4190,4190,4160,4170,3,1.96
26,2000-06-01,4190,4190,3670,4180,212,0.24
27,2000-06-02,4240,4240,4240,4240,1,1.44
28,2000-06-05,4380,4380,4380,4380,1,3.3
29,2000-06-07,4390,4390,3860,3860,54,-11.87
30,2000-06-08,4100,4100,3820,3820,265,-1.04
31,2000-06-09,3610,3610,3610,3610,1,-5.5
32,2000-06-12,4040,4040,4040,4040,10,11.91
33,2000-06-13,3830,4520,3830,4520,241,11.88
34,2000-06-14,5060,5060,4100,5040,1209,11.5
35,2000-06-15,0,0,0,5000,0,-0.79
36,2000-06-16,5600,5600,5000,5000,42,0.0
37,2000-06-19,0,0,0,5000,0,0.0
38,2000-06-20,0,0,0,5000,0,0.0
39,2000-06-21,0,0,0,5000,0,0.0
40,2000-06-22,0,0,0,4900,0,-2.0
41,2000-06-23,0,0,0,4900,0,0.0
42,2000-06-26,0,0,0,4900,0,0.0
43,2000-06-27,4320,4900,4320,4900,587,0.0
44,2000-06-28,0,0,0,4500,0,-8.16
45,2000-06-29,3960,4890,3960,4890,386,8.67
46,2000-06-30,0,0,0,4890,0,0.0
47,2000-07-03,4310,4890,4310,4890,767,0.0
48,2000-07-04,4310,4850,4310,4850,11,-0.82
49,2000-07-05,0,0,0,4850,0,0.0
50,2000-07-06,0,0,0,4850,0,0.0
51,2000-07-07,0,0,0,4850,0,0.0
52,2000-07-10,4550,4850,4550,4850,210,0.0
53,2000-07-11,0,0,0,4850,0,0.0
54,2000-07-12,0,0,0,4850,0,0.0
55,2000-07-13,0,0,0,4840,0,-0.21
56,2000-07-14,0,0,0,4830,0,-0.21
57,2000-07-18,4820,4820,4280,4280,2,-11.39
