,Date,Open,High,Low,Close,Volume,Change
0,2000-05-15,0,0,0,5000,0,0.0
1,2000-05-16,0,0,0,5000,0,0.0
2,2000-05-17,0,0,0,5000,0,0.0
3,2000-05-18,0,0,0,5000,0,0.0
4,2000-05-19,0,0,0,5000,0,0.0
5,2000-05-22,0,0,0,5000,0,0.0
6,2000-05-23,0,0,0,5000,0,0.0
7,2000-05-24,0,0,0,5000,0,0.0
8,2000-05-25,0,0,0,5000,0,0.0
9,2000-05-26,0,0,0,5000,0,0.0
10,2000-05-29,0,0,0,5000,0,0.0
11,2000-05-30,0,0,0,5000,0,0.0
12,2000-05-31,0,0,0,5000,0,0.0
13,2000-06-01,0,0,0,5000,0,0.0
14,2000-06-02,0,0,0,5000,0,0.0
15,2000-06-05,0,0,0,5000,0,0.0
16,2000-06-07,0,0,0,5000,0,0.0
17,2000-06-08,0,0,0,5000,0,0.0
18,2000-06-09,0,0,0,5000,0,0.0
19,2000-06-12,0,0,0,5000,0,0.0
20,2000-06-13,0,0,0,5000,0,0.0
21,2000-06-14,0,0,0,5000,0,0.0
22,2000-06-15,0,0,0,5600,0,12.0
23,2000-06-16,6270,6270,6270,6270,200,11.96
24,2000-06-19,7000,7000,5520,5520,857,-11.96
25,2000-06-20,4860,6000,4860,4860,6076,-11.96
26,2000-06-21,4610,5190,4610,5190,114,6.79
27,2000-06-22,5000,5800,4600,5800,364,11.75
28,2000-06-23,5800,6000,5110,5410,1592,-6.72
29,2000-06-26,4770,5150,4770,5150,113,-4.81
30,2000-06-27,5130,5130,4740,5120,81,-0.58
31,2000-06-28,5150,5150,5150,5150,1,0.59
32,2000-06-29,5120,5740,4800,5490,265,6.6
33,2000-06-30,5900,5900,4910,5750,103,4.74
34,2000-07-03,5390,6190,5060,6190,71,7.65
35,2000-07-04,6250,6250,5450,6090,103,-1.62
36,2000-07-05,0,0,0,5790,0,-4.93
37,2000-07-06,0,0,0,5600,0,-3.28
38,2000-07-07,4930,5690,4930,5690,101,1.61
39,2000-07-10,5430,5430,5430,5430,141,-4.57
40,2000-07-11,5000,5000,4880,4880,9,-10.13
41,2000-07-12,4900,5460,4900,5460,8,11.89
42,2000-07-13,5800,5800,4830,4830,10,-11.54
43,2000-07-14,5400,5400,5400,5400,9,11.8
44,2000-07-18,4760,6040,4760,4870,222,-9.81
45,2000-07-19,4810,5400,4810,4860,204,-0.21
46,2000-07-20,4580,4580,4580,4580,1,-5.76
47,2000-07-21,5100,5100,4520,4520,6,-1.31
48,2000-07-24,5060,5060,4730,4730,2,4.65
49,2000-07-25,4510,4880,4500,4520,7187,-4.44
50,2000-07-26,4880,5060,4880,5060,137,11.95
51,2000-07-27,5500,5500,4620,5490,14,8.5
