,Date,Open,High,Low,Close,Volume,Change
0,2002-01-15,7070,7070,7070,7070,10,100.23
1,2002-01-16,7910,7910,7910,7910,1,11.88
2,2002-01-17,8850,8850,8850,8850,120,11.88
3,2002-01-18,9910,9910,9610,9910,1098491,11.98
4,2002-01-21,9910,10550,9650,9800,1175825,-1.11
5,2002-01-22,9780,9950,9130,9310,499263,-5.0
6,2002-01-23,9600,10400,9480,10400,951361,11.71
7,2002-01-24,11100,11600,9500,9700,1501139,-6.73
8,2002-01-25,9500,9930,9120,9600,577265,-1.03
9,2002-01-28,9900,10750,9700,10750,1079145,11.98
10,2002-01-29,10900,11150,9860,9880,793158,-8.09
11,2002-01-30,9600,9970,9510,9880,264237,0.0
12,2002-01-31,9880,10650,9750,9810,520925,-0.71
13,2002-02-01,9910,10150,9330,9330,280425,-4.89
14,2002-02-04,9130,9400,8310,8530,210478,-8.57
15,2002-02-05,8030,8440,8030,8300,145498,-2.7
16,2002-02-06,8400,8860,8220,8300,153164,0.0
17,2002-02-07,7800,8280,7590,7600,157165,-8.43
18,2002-02-08,7650,7690,7090,7400,134733,-2.63
19,2002-02-14,7250,8280,7250,8100,296127,9.46
20,2002-02-15,8200,8250,7940,8060,174154,-0.49
21,2002-02-18,8100,8380,7700,8290,336245,2.85
22,2002-02-19,8300,8430,8080,8080,136022,-2.53
23,2002-02-20,7700,8090,7620,7770,151717,-3.84
24,2002-02-21,7700,7870,7500,7550,173172,-2.83
25,2002-02-22,7600,7880,7600,7730,131949,2.38
26,2002-02-25,7780,7930,7610,7610,134520,-1.55
27,2002-02-26,7600,7730,7410,7410,132141,-2.63
28,2002-02-27,7500,7590,7310,7400,129349,-0.13
29,2002-02-28,7300,7660,7300,7490,146328,1.22
30,2002-03-04,7710,8380,7610,8380,449109,11.88
31,2002-03-05,8550,8870,8100,8120,290248,-3.1
32,2002-03-06,8180,9040,8180,8700,374844,7.14
33,2002-03-07,9740,9740,9470,9740,1113236,11.95
34,2002-03-08,9480,9620,8940,9170,467736,-5.85
35,2002-03-11,9170,9540,8930,9540,398985,4.03
36,2002-03-12,9540,9850,8810,9100,349321,-4.61
37,2002-03-13,8890,9060,8710,8870,214167,-2.53
38,2002-03-14,8800,8810,8450,8590,154033,-3.16
39,2002-03-15,8620,9050,8620,8700,186903,1.28
40,2002-03-18,8700,9740,8700,9740,558966,11.95
41,2002-03-19,9930,9930,9300,9500,320369,-2.46
42,2002-03-20,9600,9690,9130,9190,250626,-3.26
43,2002-03-21,9010,9580,8820,9030,304215,-1.74
44,2002-03-22,9030,9240,9000,9050,214755,0.22
45,2002-03-25,9000,9300,8800,8800,191236,-2.76
46,2002-03-26,8700,9040,8670,8880,117712,0.91
47,2002-03-27,8850,9220,8850,9200,164006,3.6
48,2002-03-28,9200,9580,9050,9200,326641,0.0
49,2002-03-29,9250,9680,9140,9570,384263,4.02
50,2002-04-01,9850,9860,8430,8430,470918,-11.91
51,2002-04-02,8500,8600,8200,8570,212337,1.66
52,2002-04-03,8300,8500,8220,8220,143372,-4.08
53,2002-04-04,7240,8220,7240,7850,109603,-4.5
54,2002-04-08,7950,8150,7850,7990,73146,1.78
55,2002-04-09,8090,8160,7600,7720,104139,-3.38
56,2002-04-10,7700,7700,7220,7400,86614,-4.15
57,2002-04-11,7450,7540,7220,7360,123776,-0.54
58,2002-04-12,7250,7290,7050,7150,115686,-2.85
59,2002-04-15,7150,7390,7150,7200,86189,0.7
60,2002-04-16,7210,7450,7210,7420,88419,3.06
61,2002-04-17,7500,7500,7130,7130,126537,-3.91
62,2002-04-18,7130,7590,7100,7300,222307,2.38
63,2002-04-19,7400,7930,7330,7500,329946,2.74
64,2002-04-22,7590,7650,6600,6750,230495,-10.0
65,2002-04-23,6550,6680,6050,6100,158203,-9.63
66,2002-04-24,6020,6200,5510,6100,266019,0.0
67,2002-04-25,6250,6500,5520,5730,286120,-6.07
68,2002-04-26,5560,5870,5560,5760,93831,0.52
69,2002-04-29,5520,5700,5130,5300,102037,-7.99
70,2002-04-30,5220,5390,5140,5200,57365,-1.89
71,2002-05-02,5320,5820,5210,5820,147712,11.92
72,2002-05-03,5990,5990,5650,5820,87889,0.0
73,2002-05-06,6510,6510,5960,6000,750280,3.09
74,2002-05-07,5850,6350,5720,6100,284812,1.67
75,2002-05-08,6200,6310,5990,5990,179427,-1.8
76,2002-05-09,6110,6380,5610,6140,410213,2.5
77,2002-05-10,6290,6330,5840,5840,285721,-4.89
78,2002-05-13,5570,5850,5570,5650,166495,-3.25
79,2002-05-14,5710,5810,5620,5630,188423,-0.35
80,2002-05-15,5700,5970,5660,5670,257130,0.71
81,2002-05-16,5750,6070,5750,5750,577591,1.41
82,2002-05-17,5800,5980,5640,5960,251014,3.65
83,2002-05-20,6050,6370,6010,6120,530632,2.68
84,2002-05-21,6090,6090,5750,5770,226098,-5.72
85,2002-05-22,5670,6100,5660,5860,228994,1.56
86,2002-05-23,5750,5950,5400,5580,176574,-4.78
87,2002-05-24,5490,5780,5400,5500,125605,-1.43
88,2002-05-27,5250,5540,5230,5230,122027,-4.91
89,2002-05-28,5150,5360,5090,5130,73053,-1.91
90,2002-05-29,5070,5140,4700,4800,143032,-6.43
91,2002-05-30,4650,4850,4410,4800,124054,0.0
92,2002-05-31,5370,5370,5370,5370,247345,11.88
93,2002-06-03,5400,5400,4730,4950,363108,-7.82
94,2002-06-04,4800,4930,4660,4920,91876,-0.61
95,2002-06-05,4920,5090,4800,4820,87194,-2.03
96,2002-06-07,4520,4790,4500,4510,124560,-6.43
97,2002-06-10,4530,4670,4510,4600,63050,2.0
98,2002-06-11,4530,4650,4420,4500,60777,-2.17
99,2002-06-12,4320,4600,4320,4600,78576,2.22
100,2002-06-14,4550,4660,4540,4600,48429,0.0
101,2002-06-17,5150,5150,4940,4950,484792,7.61
102,2002-06-18,4970,5110,4700,4850,230298,-2.02
103,2002-06-19,4730,4800,4360,4590,122279,-5.36
104,2002-06-20,4400,4600,4300,4590,75649,0.0
105,2002-06-21,4400,4490,4350,4480,65000,-2.4
106,2002-06-24,4310,4330,4020,4120,79390,-8.04
107,2002-06-25,4060,4300,3920,3920,72496,-4.85
108,2002-06-26,3920,3920,3450,3840,108767,-2.04
109,2002-06-27,3800,4130,3700,4000,128861,4.17
110,2002-06-28,4480,4480,4050,4200,117951,5.0
111,2002-07-02,3970,4070,3820,4000,101883,-4.76
112,2002-07-03,3950,4100,3760,4090,106013,2.25
113,2002-07-04,4100,4230,4070,4140,101917,1.22
114,2002-07-05,4140,4270,4080,4190,169265,1.21
115,2002-07-08,4200,4460,4100,4200,273798,0.24
116,2002-07-09,4130,4560,4090,4480,345236,6.67
117,2002-07-10,5000,5000,4720,4800,468028,7.14
118,2002-07-11,4680,4770,4330,4330,160164,-9.79
119,2002-07-12,4500,4500,4270,4340,131930,0.23
120,2002-07-15,4220,4380,4110,4140,114432,-4.61
121,2002-07-16,4010,4200,3930,3950,129031,-4.59
122,2002-07-18,3780,4000,3780,3870,122416,-2.03
123,2002-07-19,3850,3850,3680,3730,71778,-3.62
124,2002-07-22,3410,3590,3320,3340,95476,-10.46
125,2002-07-23,3220,3710,3220,3550,96274,6.29
126,2002-07-24,3500,3550,3310,3550,79795,0.0
127,2002-07-25,3630,3800,3510,3550,106414,0.0
128,2002-07-26,3850,3850,3600,3640,301799,2.54
129,2002-07-29,3700,3840,3530,3530,96991,-3.02
130,2002-07-30,3570,3930,3570,3620,458268,2.55
131,2002-07-31,3690,3750,3590,3600,109572,-0.55
132,2002-08-01,3650,3680,3530,3630,74327,0.83
133,2002-08-02,3400,3560,3400,3420,86768,-5.79
134,2002-08-05,3360,3480,3230,3450,65475,0.88
135,2002-08-06,3300,3410,3270,3410,61527,-1.16
136,2002-08-07,3410,3610,3410,3490,255709,2.35
137,2002-08-08,3460,3540,3440,3490,86686,0.0
138,2002-08-09,3570,3570,3470,3500,146702,0.29
139,2002-08-12,3460,3540,3450,3500,67913,0.0
140,2002-08-13,3430,3610,3430,3570,127750,2.0
141,2002-08-14,3440,3600,3440,3600,88511,0.84
142,2002-08-16,3670,3850,3550,3570,129748,-0.83
143,2002-08-19,3630,3630,3420,3490,106193,-2.24
144,2002-08-20,3500,3560,3450,3470,95829,-0.57
145,2002-08-21,3450,3540,3440,3540,59335,2.02
146,2002-08-22,3570,3630,3500,3570,95106,0.85
147,2002-08-23,3650,3850,3620,3720,368452,4.2
148,2002-08-26,4100,4150,3820,3890,939229,4.57
149,2002-08-27,3910,3950,3630,3670,244493,-5.66
150,2002-08-28,3570,3660,3500,3500,205086,-4.63
151,2002-08-29,3390,3530,3370,3450,164554,-1.43
152,2002-08-30,3430,3480,3420,3420,67804,-0.87
153,2002-09-02,3350,3440,3350,3390,87600,-0.88
154,2002-09-03,3370,3620,3370,3500,248383,3.24
155,2002-09-04,3480,3550,3400,3470,152213,-0.86
156,2002-09-05,3820,3880,3590,3590,690167,3.46
157,2002-09-06,3540,3540,3380,3410,129093,-5.01
158,2002-09-09,3390,3510,3240,3240,196365,-4.99
159,2002-09-10,3200,3310,3160,3250,99094,0.31
160,2002-09-11,3210,3410,3210,3290,175281,1.23
161,2002-09-12,3270,3330,3270,3320,54368,0.91
162,2002-09-13,3250,3290,3160,3160,52258,-4.82
163,2002-09-16,3140,3170,3040,3080,74288,-2.53
164,2002-09-17,3140,3180,3080,3180,83070,3.25
165,2002-09-18,3080,3100,3050,3090,59191,-2.83
166,2002-09-19,3070,3150,3070,3150,42737,1.94
167,2002-09-23,3130,3140,3040,3060,42469,-2.86
168,2002-09-24,3020,3090,3010,3060,31232,0.0
169,2002-09-25,3240,3240,2900,2940,201270,-3.92
170,2002-09-26,3010,3050,2810,3000,58210,2.04
171,2002-09-27,3000,3020,2910,2960,50206,-1.33
172,2002-09-30,2820,2890,2610,2610,123404,-11.82
173,2002-10-01,2450,2670,2450,2640,137842,1.15
174,2002-10-02,2700,2800,2640,2650,174506,0.38
175,2002-10-04,2550,2700,2550,2600,39238,-1.89
176,2002-10-07,2520,2720,2510,2510,41076,-3.46
177,2002-10-08,2470,2630,2470,2530,110788,0.8
178,2002-10-09,2560,2560,2300,2340,69907,-7.51
179,2002-10-10,2290,2330,2060,2100,170161,-10.26
180,2002-10-11,2150,2170,1950,2030,130910,-3.33
181,2002-10-14,2100,2140,2050,2130,110044,4.93
182,2002-10-15,2140,2300,2140,2210,169655,3.76
183,2002-10-16,2300,2300,2120,2160,106251,-2.26
184,2002-10-17,2240,2270,2110,2250,129645,4.17
185,2002-10-18,2320,2450,2270,2430,332221,8.0
186,2002-10-21,2430,2440,2250,2250,163748,-7.41
187,2002-10-22,2290,2400,2230,2230,95060,-0.89
188,2002-10-23,2190,2280,2190,2270,80122,1.79
189,2002-10-24,2380,2540,2370,2540,266679,11.89
190,2002-10-25,2540,2630,2340,2440,516893,-3.94
191,2002-10-28,2500,2530,2410,2530,224824,3.69
192,2002-10-29,2570,2670,2500,2510,295716,-0.79
193,2002-10-30,2480,2540,2250,2400,160652,-4.38
194,2002-10-31,2380,2440,2320,2330,93259,-2.92
195,2002-11-01,2340,2350,2240,2240,61994,-3.86
196,2002-11-04,2240,2380,2240,2300,82023,2.68
197,2002-11-05,2350,2350,2240,2310,97212,0.43
198,2002-11-06,2300,2330,2230,2290,91338,-0.87
199,2002-11-07,2250,2400,2150,2240,211710,-2.18
200,2002-11-08,2240,2290,2170,2170,120682,-3.13
201,2002-11-11,2150,2200,2110,2130,73888,-1.84
202,2002-11-12,2050,2170,2030,2080,141989,-2.35
203,2002-11-13,2230,2320,2160,2320,165265,11.54
204,2002-11-14,2420,2510,2250,2300,509012,-0.86
205,2002-11-15,2370,2570,2310,2570,882411,11.74
206,2002-11-18,2720,2720,2520,2620,675068,1.95
207,2002-11-19,2620,2910,2550,2650,713980,1.15
208,2002-11-20,2690,2830,2610,2830,500891,6.79
209,2002-11-21,2900,2900,2690,2740,308306,-3.18
210,2002-11-22,2760,2820,2500,2620,341625,-4.38
211,2002-11-25,2690,2800,2660,2700,259057,3.05
212,2002-11-26,2710,2820,2660,2820,172262,4.44
213,2002-11-27,2810,3040,2810,2940,524218,4.26
214,2002-11-28,3040,3080,2820,2880,448665,-2.04
215,2002-11-29,2850,2860,2740,2770,138203,-3.82
