,Date,Open,High,Low,Close,Volume,Change
0,2001-12-13,6900,6900,6900,6900,1,100.0
1,2001-12-14,7720,7720,7720,7720,39269,11.88
2,2001-12-17,8640,8640,8640,8640,57088,11.92
3,2001-12-18,9670,9670,7610,7610,1930102,-11.92
4,2001-12-19,7610,7790,6700,7400,1342746,-2.76
5,2001-12-20,7900,8000,7100,7220,1301234,-2.43
6,2001-12-21,6420,6920,6360,6360,716010,-11.91
7,2001-12-24,6060,6330,5600,5600,408924,-11.95
8,2001-12-26,5400,6000,5050,5740,727913,2.5
9,2001-12-27,5420,5850,5420,5590,559096,-2.61
10,2001-12-28,5600,6220,5600,5910,475128,5.72
11,2002-01-02,6100,6480,6020,6290,352057,6.43
12,2002-01-03,6310,6310,5960,6050,441241,-3.82
13,2002-01-04,6100,6350,6050,6270,404161,3.64
14,2002-01-07,6270,6350,6150,6150,263951,-1.91
15,2002-01-08,6050,6190,5800,5830,255339,-5.2
16,2002-01-09,6060,6290,6000,6000,525125,2.92
17,2002-01-10,6120,6720,6100,6720,990496,12.0
18,2002-01-11,6800,7030,6450,6540,607462,-2.68
19,2002-01-14,6540,6800,6540,6590,363746,0.76
20,2002-01-15,6590,6900,6350,6600,606116,0.15
21,2002-01-16,6750,7390,6700,7050,1608720,6.82
22,2002-01-17,7000,7420,6830,7400,940169,4.96
23,2002-01-18,7980,8030,7520,7600,1002335,2.7
24,2002-01-21,7340,7500,7180,7480,528317,-1.58
25,2002-01-22,7500,7730,6740,6950,590901,-7.09
26,2002-01-23,6730,7240,6730,7200,498475,3.6
27,2002-01-24,7200,7500,7030,7140,587204,-0.83
28,2002-01-25,7070,7210,6980,7100,314663,-0.56
29,2002-01-28,7110,7950,7110,7950,1033012,11.97
30,2002-01-29,8050,8540,7650,8170,1055116,2.77
31,2002-01-30,7810,8140,7730,7780,445774,-4.77
32,2002-01-31,7850,8380,7850,8220,758071,5.66
33,2002-02-01,8350,8470,7600,7800,539587,-5.11
34,2002-02-04,7980,8050,7770,7890,439536,1.15
35,2002-02-05,7560,7800,7560,7790,229365,-1.27
36,2002-02-06,7800,8290,7800,8000,559624,2.7
37,2002-02-07,8010,8080,7400,7480,369617,-6.5
38,2002-02-08,7510,7630,6930,7150,373604,-4.41
39,2002-02-14,7120,7510,7100,7320,325044,2.38
40,2002-02-15,7220,7490,7210,7330,214316,0.14
41,2002-02-18,7400,7740,7400,7600,301544,3.68
42,2002-02-19,7700,8510,7520,8150,1028582,7.24
43,2002-02-20,8100,8590,7900,8110,1266848,-0.49
44,2002-02-21,8200,8570,8130,8350,734709,2.96
45,2002-02-22,8110,8400,7820,8170,603880,-2.16
46,2002-02-25,8210,9150,8210,9150,1618171,12.0
47,2002-02-26,10200,10200,9920,10200,507921,11.48
48,2002-02-27,11000,11400,10750,11400,2082434,11.76
49,2002-02-28,12000,12750,11750,12750,2623476,11.84
50,2002-03-04,13600,14250,13000,13300,1796825,4.31
