,Date,Open,High,Low,Close,Volume,Change
0,2000-08-03,4216,4216,4216,4217,46027,NaN
1,2000-08-04,4715,4715,4715,4715,4632,11.81
2,2000-08-07,5280,5280,5280,5281,7106,12.0
3,2000-08-08,5913,5913,5913,5913,12069,11.97
4,2000-08-09,6622,6622,6622,6623,3788,12.01
5,2000-08-10,7408,7408,5836,6623,2167268,0.0
6,2000-08-11,6517,7168,5836,5875,680557,-11.29
7,2000-08-14,5942,5980,5175,5175,407321,-11.91
8,2000-08-16,5175,5740,4609,5127,719494,-0.93
9,2000-08-17,5127,5462,4945,5080,345201,-0.92
10,2000-08-18,5012,5367,4600,4869,233455,-4.15
11,2000-08-21,4801,4897,4303,4495,218343,-7.68
12,2000-08-22,4322,4696,4322,4504,283001,0.2
13,2000-08-23,4360,5041,4360,5041,197481,11.92
14,2000-08-24,5328,5644,5242,5645,743447,11.98
15,2000-08-25,5644,5942,4983,5444,586057,-3.56
16,2000-08-28,5606,6095,5510,6095,104223,11.96
17,2000-08-29,6143,6660,5673,6095,541201,0.0
18,2000-08-30,6057,6229,5750,5894,258489,-3.3
19,2000-08-31,5846,5846,5194,5195,181569,-11.86
20,2000-09-01,4696,5194,4696,4984,184319,-4.06
21,2000-09-04,4887,4983,4418,4687,408274,-5.96
22,2000-09-05,4504,4830,4427,4744,410300,1.22
23,2000-09-06,4887,4935,4475,4495,491805,-5.25
24,2000-09-07,4504,4552,3958,3958,340671,-11.95
25,2000-09-08,3737,3996,3498,3661,183570,-7.5
26,2000-09-14,3459,3546,3229,3230,210591,-11.77
27,2000-09-15,3066,3613,3066,3613,399038,11.86
28,2000-09-18,3546,3641,3181,3182,186589,-11.93
29,2000-09-19,2884,3009,2808,2808,207318,-11.75
30,2000-09-20,2808,2999,2654,2875,269274,2.39
31,2000-09-21,2779,2779,2530,2530,169659,-12.0
32,2000-09-22,2319,2386,2233,2233,138871,-11.74
33,2000-09-25,1974,2338,1974,2233,343123,0.0
34,2000-09-26,2089,2491,2089,2492,341947,11.6
35,2000-09-27,2472,2769,2395,2684,513341,7.7
36,2000-09-28,2741,2827,2491,2492,347675,-7.15
37,2000-09-29,2539,2788,2520,2789,512175,11.92
38,2000-10-02,2788,3018,2635,2914,460539,4.48
39,2000-10-04,2827,3047,2702,2933,377053,0.65
40,2000-10-05,3066,3181,2971,3019,524464,2.93
41,2000-10-06,3018,3172,2846,2904,260189,-3.81
42,2000-10-09,2913,3086,2827,2885,398212,-0.65
43,2000-10-10,2903,3229,2827,3230,703097,11.96
44,2000-10-11,3229,3411,2846,2971,873002,-8.02
45,2000-10-12,2884,3009,2760,2799,267104,-5.79
46,2000-10-13,2463,2578,2463,2463,267635,-12.0
47,2000-10-16,2501,2731,2501,2712,277415,10.11
48,2000-10-17,2587,2645,2395,2396,179007,-11.65
49,2000-10-18,2348,2443,2108,2300,275067,-4.01
50,2000-10-19,2328,2482,2300,2367,219898,2.91
51,2000-10-20,2472,2635,2405,2406,191469,1.65
52,2000-10-23,2156,2530,2156,2281,163541,-5.2
53,2000-10-24,2348,2357,2223,2300,126004,0.83
54,2000-10-25,2280,2348,2252,2300,92713,0.0
55,2000-10-26,2290,2319,2204,2281,169239,-0.83
56,2000-10-27,2348,2549,2309,2549,337168,11.75
57,2000-10-30,2683,2731,2252,2262,480454,-11.26
58,2000-10-31,2108,2261,1993,2156,208759,-4.69
59,2000-11-01,2233,2328,2156,2252,250560,4.45
60,2000-11-02,2242,2453,2165,2396,288180,6.39
61,2000-11-03,2491,2683,2443,2684,347925,12.02
62,2000-11-06,2875,2999,2875,3000,403016,11.77
63,2000-11-07,3162,3354,2999,3354,862580,11.8
64,2000-11-08,3354,3756,3277,3584,1339732,6.86
65,2000-11-09,3593,4006,3546,4006,550716,11.77
66,2000-11-10,4245,4485,4025,4485,920294,11.96
67,2000-11-13,4533,4993,4082,4591,970067,2.36
68,2000-11-14,4552,5137,4437,5137,778463,11.89
69,2000-11-15,5654,5750,5137,5559,944953,8.21
70,2000-11-16,5271,5597,4897,4897,554796,-11.91
71,2000-11-17,4312,4341,4312,4313,91298,-11.93
72,2000-11-20,4025,4830,3996,4830,1772158,11.99
73,2000-11-21,4312,4696,4255,4255,1310053,-11.9
74,2000-11-22,4082,4360,3804,3958,1053052,-6.98
75,2000-11-23,3852,3852,3488,3489,332387,-11.85
76,2000-11-24,3172,3593,3076,3115,1016870,-10.72
77,2000-11-27,3210,3488,3210,3489,367844,12.01
78,2000-11-28,3622,3900,3555,3719,1510696,6.59
79,2000-11-29,3450,3689,3277,3354,911593,-9.81
80,2000-11-30,3440,3536,2951,3201,447682,-4.56
81,2000-12-01,3086,3584,2999,3316,1063930,3.59
82,2000-12-04,3411,3488,3114,3163,382996,-4.61
83,2000-12-05,3086,3210,2990,3086,284539,-2.43
84,2000-12-06,3325,3325,2990,3009,355572,-2.5
85,2000-12-07,2875,3047,2741,2856,230247,-5.08
86,2000-12-08,2923,2951,2769,2846,270222,-0.35
87,2000-12-11,2923,2951,2779,2856,208519,0.35
88,2000-12-12,2875,3191,2808,3191,518745,11.73
89,2000-12-13,3344,3392,2923,2952,752715,-7.49
90,2000-12-14,2884,3009,2846,2885,208486,-2.27
91,2000-12-15,2990,2999,2836,2904,184955,0.66
92,2000-12-18,2779,2961,2779,2799,138372,-3.62
93,2000-12-19,2741,2808,2463,2482,171403,-11.33
94,2000-12-20,2204,2386,2185,2185,174213,-11.97
95,2000-12-21,1926,2089,1926,2013,203974,-7.87
96,2000-12-22,1916,2204,1859,1917,152450,-4.77
97,2000-12-26,1916,2146,1878,2147,153828,12.0
98,2001-01-02,2146,2395,2146,2338,132070,8.9
99,2001-01-03,2300,2616,2156,2616,255357,11.89
100,2001-01-04,2721,2923,2721,2808,301891,7.34
101,2001-01-05,2683,2856,2482,2616,213353,-6.84
102,2001-01-08,2635,2731,2472,2626,134217,0.38
103,2001-01-09,2558,2884,2491,2818,323476,7.31
104,2001-01-10,2875,3114,2482,2482,538974,-11.92
105,2001-01-11,2683,2779,2482,2779,256840,11.97
106,2001-01-12,2827,3057,2827,2827,534314,1.73
107,2001-01-15,2779,3057,2731,2923,523194,3.4
108,2001-01-16,2932,2951,2635,2684,257177,-8.18
109,2001-01-17,2683,2865,2501,2684,274747,0.0
110,2001-01-18,2731,2999,2731,3000,490075,11.77
111,2001-01-19,3181,3335,2788,3067,545028,2.23
112,2001-01-22,3258,3373,3086,3335,565811,8.74
113,2001-01-26,3354,3517,3028,3029,379528,-9.18
114,2001-01-29,3057,3383,3057,3383,642036,11.69
