,Date,Open,High,Low,Close,Volume,Change
0,2001-10-11,13184,13184,13184,13184,138222,NaN
1,2001-10-12,14766,14766,11866,12481,906104,-5.33
2,2001-10-15,12921,13712,12657,13052,440332,4.57
3,2001-10-16,12745,12921,11514,11558,241064,-11.45
4,2001-10-17,11646,12921,11338,12921,257568,11.79
5,2001-10-18,13800,14460,12525,12569,546347,-2.72
6,2001-10-19,12657,13096,11602,12042,209604,-4.19
7,2001-10-22,12393,12569,11954,12217,205559,1.45
8,2001-10-23,12393,13668,12217,13668,474557,11.88
9,2001-10-24,13799,15294,13756,14283,1005358,4.5
10,2001-10-25,14327,14854,14239,14503,208653,1.54
11,2001-10-26,14503,14854,13887,14063,155861,-3.03
12,2001-10-29,13712,15733,13536,14678,567862,4.37
13,2001-10-30,14063,15206,13536,14678,242315,0.0
14,2001-10-31,14942,16085,13799,14151,777935,-3.59
15,2001-11-01,14151,14283,13712,13843,218481,-2.18
16,2001-11-02,13887,14415,13096,13448,170434,-2.85
17,2001-11-05,13448,13624,13008,13404,119603,-0.33
18,2001-11-06,13272,14063,13272,13712,159293,2.3
19,2001-11-07,14283,15338,14063,14854,495648,8.33
20,2001-11-08,14591,15030,14151,14503,157242,-2.36
21,2001-11-09,14942,14942,13975,14239,154697,-1.82
22,2001-11-12,14195,14678,14107,14503,90921,1.85
23,2001-11-13,14371,15557,14195,15294,307859,5.45
24,2001-11-14,15557,17096,15206,17096,384876,11.78
25,2001-11-15,17535,18458,16656,17139,407741,0.25
26,2001-11-16,17052,17579,16524,17579,156158,2.57
27,2001-11-19,18018,18018,16964,17227,99470,-2.0
28,2001-11-20,17052,17491,15513,15733,132295,-8.67
29,2001-11-21,15733,16436,15469,16217,63101,3.08
30,2001-11-22,16173,16261,15689,15997,48728,-1.36
31,2001-11-23,15645,17008,15645,16173,91208,1.1
32,2001-11-26,16788,16788,15689,15733,107290,-2.72
33,2001-11-27,15821,16347,14986,15030,78668,-4.47
34,2001-11-28,15118,15382,13448,13668,134577,-9.06
35,2001-11-29,13360,14327,13272,14063,52847,2.89
36,2001-11-30,14239,14503,13975,14503,73578,3.13
37,2001-12-03,14942,15909,14722,15821,242767,9.09
38,2001-12-04,14942,15997,14942,14942,93395,-5.56
39,2001-12-05,15118,15338,14634,15030,79468,0.59
40,2001-12-06,15294,15645,14766,15162,64991,0.88
