,Date,Open,High,Low,Close,Volume,Change
0,2001-07-20,4463,4463,4463,4462,513562,NaN
1,2001-07-23,4463,4463,3930,3930,321833,-11.92
2,2001-07-24,3459,3471,3459,3458,716697,-12.01
3,2001-07-25,3346,3545,3254,3470,1023696,0.35
4,2001-07-26,3557,3836,3446,3470,627362,0.0
5,2001-07-27,3501,3638,3483,3532,293534,1.79
6,2001-07-30,3471,3626,3384,3569,159012,1.05
7,2001-07-31,3571,3967,3571,3905,355444,9.41
8,2001-08-01,3905,4370,3843,4214,402676,7.91
9,2001-08-02,4246,4339,4041,4252,266407,0.9
10,2001-08-03,4184,4339,4140,4221,146684,-0.73
11,2001-08-06,4227,4649,4196,4289,352447,1.61
12,2001-08-07,4277,4525,4215,4245,395121,-1.03
13,2001-08-08,4339,4401,4227,4276,115522,0.73
14,2001-08-09,4214,4425,4171,4170,128877,-2.48
15,2001-08-10,4159,4587,4159,4524,226614,8.49
16,2001-08-13,4556,4835,4469,4834,194921,6.85
17,2001-08-14,4927,4927,4499,4685,142370,-3.08
18,2001-08-16,4568,4649,4153,4555,222409,-2.77
19,2001-08-17,4593,4643,4401,4419,52338,-2.99
20,2001-08-20,4153,4401,4134,4289,79623,-2.94
21,2001-08-21,4401,4481,4233,4276,33836,-0.3
22,2001-08-22,4215,4370,4215,4276,34790,0.0
23,2001-08-23,4339,4494,4277,4400,51783,2.9
24,2001-08-24,4426,4476,4345,4444,49458,1.0
25,2001-08-27,4475,4816,4463,4679,320660,5.29
26,2001-08-28,4773,4804,4581,4803,126165,2.65
27,2001-08-29,4772,5237,4772,5113,176478,6.45
28,2001-08-30,5139,5176,4990,5076,82524,-0.72
29,2001-08-31,5114,5684,5083,5684,208581,11.98
30,2001-09-03,5863,5994,5547,5640,345281,-0.77
31,2001-09-04,5516,5702,5343,5609,181774,-0.55
32,2001-09-05,5609,5913,5578,5640,236633,0.55
33,2001-09-06,5516,5640,5336,5516,208530,-2.2
34,2001-09-07,5269,5517,5083,5256,130034,-4.71
35,2001-09-10,5269,5269,4631,4630,415488,-11.91
36,2001-09-11,4537,4580,4215,4214,288730,-8.98
37,2001-09-12,3713,3713,3713,3713,1406,-11.89
38,2001-09-13,3273,3688,3273,3347,357112,-9.86
39,2001-09-14,3409,3651,2975,3068,182219,-8.34
40,2001-09-17,3037,3037,2702,2702,124570,-11.93
41,2001-09-18,2764,2975,2764,2820,95755,4.37
42,2001-09-19,2820,3155,2789,3154,71327,11.84
43,2001-09-20,3278,3532,3161,3532,169140,11.98
44,2001-09-21,3526,3892,3390,3718,177785,5.27
45,2001-09-24,3799,3960,3656,3656,113527,-1.67
46,2001-09-25,3843,4091,3756,3786,129403,3.56
47,2001-09-26,3911,4028,3787,3960,68311,4.6
48,2001-09-27,3936,4047,3812,3935,62635,-0.63
49,2001-09-28,3967,4289,3892,4276,77069,8.67
50,2001-10-04,4401,4760,4308,4704,58856,10.01
51,2001-10-05,4649,4649,4426,4438,32066,-5.65
52,2001-10-08,4333,4463,4097,4252,62820,-4.19
53,2001-10-09,4326,4481,4308,4338,39775,2.02
54,2001-10-10,4351,4649,4351,4369,52499,0.71
55,2001-10-11,4407,4618,4407,4524,66491,3.55
56,2001-10-12,4804,4804,4432,4531,69944,0.15
57,2001-10-15,4505,4617,4493,4561,48664,0.66
58,2001-10-16,4574,4711,4525,4617,87022,1.23
59,2001-10-17,4661,5170,4661,5169,168904,11.96
60,2001-10-18,5169,5702,5169,5516,279156,6.71
61,2001-10-19,5517,6174,5517,6173,351350,11.91
62,2001-10-22,6322,6911,6074,6198,358969,0.4
63,2001-10-23,6192,6602,5858,5901,371560,-4.79
64,2001-10-24,5950,6012,5640,5764,203896,-2.32
65,2001-10-25,5833,6013,5765,5956,114354,3.33
66,2001-10-26,6136,6229,5702,5764,132812,-3.22
67,2001-10-29,5771,6038,5771,5975,109818,3.66
68,2001-10-30,5957,6664,5889,6663,356418,11.51
