,Date,Open,High,Low,Close,Volume,Change
0,2004-01-06,5000,5000,4400,4400,454529,-12.0
1,2004-01-07,3875,4050,3875,3875,108922,-11.93
2,2004-01-08,3455,3715,3410,3415,477209,-11.87
3,2004-01-09,3450,3485,3150,3300,125178,-3.37
4,2004-01-12,3400,3695,3400,3695,104545,11.97
5,2004-01-13,3920,3950,3600,3850,153613,4.19
6,2004-01-14,3800,3850,3550,3750,93755,-2.6
7,2004-01-15,3695,3895,3440,3710,116610,-1.07
8,2004-01-16,3550,3710,3540,3700,28940,-0.27
9,2004-01-19,3750,3750,3465,3520,46411,-4.86
10,2004-01-20,3460,3550,3400,3550,28212,0.85
11,2004-01-26,3360,3550,3355,3360,26123,-5.35
12,2004-01-27,3400,3400,3250,3340,19108,-0.6
13,2004-01-28,3270,3350,3130,3215,22812,-3.74
14,2004-01-29,3150,3250,2980,3230,73449,0.47
15,2004-01-30,3370,3380,3130,3300,34989,2.17
16,2004-02-02,3340,3550,3330,3340,81505,1.21
17,2004-02-03,3275,3450,3205,3295,62280,-1.35
18,2004-02-04,3400,3400,3270,3320,63906,0.76
19,2004-02-05,3315,3320,3180,3320,48735,0.0
20,2004-02-06,3320,3400,3240,3370,34739,1.51
21,2004-02-09,3300,3500,3300,3340,69440,-0.89
22,2004-02-10,3300,3340,3210,3210,35447,-3.89
23,2004-02-11,3220,3325,3210,3210,67335,0.0
24,2004-02-12,3180,3250,2980,3200,40713,-0.31
25,2004-02-13,3200,3225,3015,3205,68842,0.16
26,2004-02-16,3120,3530,3120,3500,187988,9.2
27,2004-02-17,3490,3920,3380,3770,491787,7.71
28,2004-02-18,3800,3840,3550,3775,176924,0.13
29,2004-02-19,3830,4035,3425,3525,610542,-6.62
30,2004-02-20,3450,3500,3300,3415,118656,-3.12
31,2004-02-23,3410,3510,3350,3370,60712,-1.32
32,2004-02-24,3405,3550,3365,3400,187348,0.89
33,2004-02-25,3380,3470,3335,3390,74327,-0.29
34,2004-02-26,3380,3435,3200,3220,103075,-5.01
35,2004-02-27,3220,3300,3110,3200,45911,-0.62
36,2004-03-02,3160,3270,3140,3150,65270,-1.56
