,Date,Open,High,Low,Close,Volume,Change
0,2003-07-25,12485,13954,12485,13953,639909,NaN
1,2003-07-28,15606,15606,15202,15606,761767,11.85
2,2003-07-29,15496,16047,14688,15496,729812,-0.7
3,2003-07-30,15790,17332,15790,17332,2019566,11.85
4,2003-07-31,17626,19131,17626,18984,2055562,9.53
5,2003-08-01,19058,20049,18801,19094,1340917,0.58
6,2003-08-04,19315,19645,18213,18433,646746,-3.46
7,2003-08-05,18948,19242,18213,18984,507499,2.99
8,2003-08-06,18397,18691,17736,17846,371877,-5.99
9,2003-08-07,17993,19976,17993,19975,1394726,11.93
10,2003-08-08,21298,22363,21004,22362,703856,11.95
11,2003-08-11,24236,25043,23575,25043,2260679,11.99
12,2003-08-12,25264,25484,23575,24859,1146388,-0.73
13,2003-08-13,25557,26990,24309,24823,1451842,-0.14
14,2003-08-14,24823,26145,24493,25484,804528,2.66
15,2003-08-18,26108,26843,25154,26438,1031541,3.74
16,2003-08-19,27173,27393,23868,23868,846329,-9.72
17,2003-08-20,24603,26549,23942,25630,1222200,7.38
18,2003-08-21,26145,26329,22583,23647,968325,-7.74
19,2003-08-22,22914,24272,22767,23794,730918,0.62
20,2003-08-25,23575,24272,22987,23060,553199,-3.08
21,2003-08-26,23428,24529,23281,23684,755198,2.71
22,2003-08-27,23795,24750,23171,24749,788849,4.5
23,2003-08-28,24750,25337,23611,23978,671317,-3.12
24,2003-08-29,24272,24603,23501,24455,362674,1.99
25,2003-09-01,24603,24933,23648,23721,450759,-3.0
26,2003-09-02,23758,24015,23024,23868,475783,0.62
27,2003-09-03,23942,24052,22693,22950,476625,-3.85
28,2003-09-04,23207,23464,22693,22766,494903,-0.8
29,2003-09-05,23207,24566,23060,24308,815890,6.77
30,2003-09-08,24089,24529,23538,23941,447276,-1.51
31,2003-09-09,24456,25043,23611,23721,495286,-0.92
32,2003-09-15,23942,24089,22987,23574,313755,-0.62
33,2003-09-16,23318,24419,23207,23427,381154,-0.62
34,2003-09-17,23538,23795,22767,22766,383981,-2.82
35,2003-09-18,22767,22877,20710,22105,691365,-2.9
36,2003-09-19,22583,22840,21298,21297,322474,-3.66
37,2003-09-22,21298,21298,19829,19902,306750,-6.55
38,2003-09-23,19462,20857,18801,20783,897945,4.43
39,2003-09-24,20417,20674,20123,20122,376729,-3.18
40,2003-09-25,18948,20857,18948,20857,1133785,3.65
41,2003-09-26,21224,22289,21078,21518,1232313,3.17
42,2003-09-29,21665,21996,20747,21738,381252,1.02
43,2003-09-30,21885,22326,21004,21885,687845,0.68
44,2003-10-01,20563,21996,20563,21885,342084,0.0
45,2003-10-02,22363,22583,21922,22399,494505,2.35
46,2003-10-06,22620,22840,22216,22472,372633,0.33
47,2003-10-07,22767,22767,21885,21995,232962,-2.12
48,2003-10-08,22179,23207,22179,22215,630600,1.0
49,2003-10-09,22436,23501,22069,23501,460721,5.79
50,2003-10-10,23795,25043,23391,23684,1045691,0.78
51,2003-10-13,23354,24015,23244,23537,264895,-0.62
52,2003-10-14,23868,24676,23648,24272,496405,3.12
53,2003-10-15,24456,24896,24015,24051,288988,-0.91
54,2003-10-16,23942,24162,23428,24015,279868,-0.15
55,2003-10-17,23942,24015,23134,23133,180157,-3.67
56,2003-10-20,22767,23942,22767,23868,216637,3.18
57,2003-10-21,23905,24382,23134,23133,172469,-3.08
58,2003-10-22,23464,24162,23024,23280,207821,0.64
59,2003-10-23,22950,23207,21739,21738,243175,-6.62
60,2003-10-24,21739,22179,21004,21518,187245,-1.01
61,2003-10-27,21665,22032,21481,21554,168444,0.17
62,2003-10-28,21665,22620,21665,22142,257267,2.73
63,2003-10-29,22546,22583,21481,21885,207460,-1.16
64,2003-10-30,22253,22253,21224,21261,261614,-2.85
65,2003-10-31,21151,21518,20674,20930,193843,-1.56
66,2003-11-03,21224,22546,21188,22546,358821,7.72
67,2003-11-04,22877,22987,22032,22032,231855,-2.28
68,2003-11-05,22767,23464,22326,22987,388329,4.33
69,2003-11-06,23354,23575,22877,23133,276205,0.64
70,2003-11-07,23575,24272,23281,23721,386586,2.54
71,2003-11-10,23721,24382,23721,24382,280407,2.79
72,2003-11-11,24236,24786,23171,23721,299536,-2.71
73,2003-11-12,24162,25925,24015,25777,592577,8.67
74,2003-11-13,26145,26439,25080,25630,541363,-0.57
75,2003-11-14,25704,26072,24750,24933,232204,-2.72
76,2003-11-17,24676,25080,24015,24235,255062,-2.8
77,2003-11-18,24089,24493,23721,24455,310790,0.91
78,2003-11-19,23721,23978,23134,23133,239949,-5.41
79,2003-11-20,23171,23501,22363,22362,196185,-3.33
80,2003-11-21,22069,22693,21996,22215,190832,-0.66
81,2003-11-24,22032,22840,21996,21995,231567,-0.99
82,2003-11-25,22546,23354,22546,23133,234962,5.17
83,2003-11-26,23354,23795,23207,23647,223185,2.22
84,2003-11-27,23648,24125,23134,24015,211549,1.56
85,2003-11-28,24236,24382,23905,24015,176651,0.0
86,2003-12-01,24015,24346,23868,24125,220336,0.46
87,2003-12-02,24382,24786,24162,24162,288703,0.15
88,2003-12-03,24162,24493,23428,23868,206730,-1.22
89,2003-12-04,23868,23868,22546,23023,407385,-3.54
90,2003-12-05,23134,23207,22620,22803,188226,-0.96
91,2003-12-08,22840,23207,22840,23097,194093,1.29
92,2003-12-09,23207,23428,22877,23207,142776,0.48
93,2003-12-10,22914,23060,22730,23023,144232,-0.79
94,2003-12-11,23024,23905,23024,23831,298430,3.51
95,2003-12-12,24125,24125,23611,24015,181541,0.77
96,2003-12-15,24382,24382,23832,24162,184845,0.61
97,2003-12-16,23538,23832,23097,23207,229132,-3.95
98,2003-12-17,23207,23501,21518,22693,488877,-2.21
99,2003-12-18,22399,22693,21628,22179,223404,-2.27
100,2003-12-19,22032,22363,21224,21297,274211,-3.98
101,2003-12-22,21004,21224,19976,20269,301912,-4.83
102,2003-12-23,20490,21004,19866,20747,334475,2.36
103,2003-12-24,20637,22032,20490,21665,323333,4.42
104,2003-12-26,21408,21959,21004,21958,137617,1.35
105,2003-12-29,21702,22546,21702,22546,121193,2.68
106,2003-12-30,22693,23281,22399,23280,183788,3.26
107,2004-01-02,23171,23244,22253,23133,127702,-0.63
108,2004-01-05,23134,23134,21665,21922,250964,-5.23
109,2004-01-06,22032,22106,21188,21775,233040,-0.67
110,2004-01-07,21481,22216,21408,21738,267576,-0.17
111,2004-01-08,21849,22363,21665,21665,208853,-0.34
112,2004-01-09,21849,22253,21665,21995,203200,1.52
113,2004-01-12,22289,22289,21592,21665,149655,-1.5
114,2004-01-13,21739,22363,21702,22032,161894,1.69
115,2004-01-14,22253,22767,22253,22693,278073,3.0
116,2004-01-15,22840,23428,22473,22472,308830,-0.97
117,2004-01-16,22546,23060,22289,22289,156566,-0.81
118,2004-01-19,22546,22914,22326,22619,98579,1.48
119,2004-01-20,22620,23281,22069,23280,92152,2.92
120,2004-01-26,23060,23611,22693,23023,138039,-1.1
121,2004-01-27,23391,23428,22363,22472,113225,-2.39
122,2004-01-28,22289,22767,21592,21665,206112,-3.59
123,2004-01-29,21665,22326,21592,22105,107679,2.03
124,2004-01-30,22142,22216,21665,21738,91974,-1.66
125,2004-02-02,21555,22363,21518,22362,72265,2.87
126,2004-02-03,22363,22510,21518,21665,96815,-3.12
127,2004-02-04,21812,21922,21261,21334,49092,-1.53
128,2004-02-05,21224,21628,20637,20710,120692,-2.92
129,2004-02-06,20710,21518,20710,21518,120664,3.9
130,2004-02-09,21739,22289,21739,22032,128740,2.39
131,2004-02-10,22069,22399,21812,22289,128493,1.17
132,2004-02-11,22216,22767,21959,22399,145391,0.49
133,2004-02-12,22693,22914,21959,21958,100255,-1.97
134,2004-02-13,22032,22216,21628,22105,114721,0.67
135,2004-02-16,22179,22399,21775,21958,115430,-0.67
136,2004-02-17,22546,22767,22289,22693,179143,3.35
137,2004-02-18,22693,23097,22473,23023,195841,1.45
138,2004-02-19,23207,23207,22106,22179,116297,-3.67
139,2004-02-20,21812,22693,21812,22693,71634,2.32
140,2004-02-23,22436,22914,22179,22619,58214,-0.33
141,2004-02-24,22436,22840,19976,19975,324313,-11.69
142,2004-02-25,18874,20013,17626,18837,597612,-5.7
143,2004-02-26,18874,19021,17663,18066,273706,-4.09
144,2004-02-27,17920,18874,17479,18874,158337,4.47
145,2004-03-02,18507,18691,17846,18323,327706,-2.92
146,2004-03-03,18066,18250,16781,17038,502849,-7.01
147,2004-03-04,17259,18030,17112,17699,576240,3.88
148,2004-03-05,17809,18581,17479,18360,315437,3.73
149,2004-03-08,18360,18654,17699,17809,191211,-3.0
150,2004-03-09,17663,18213,17663,17846,230641,0.21
151,2004-03-10,18038,18231,17692,18153,140933,1.72
152,2004-03-11,18077,18846,17846,18769,122191,3.39
153,2004-03-12,18385,18769,16538,18461,201180,-1.64
154,2004-03-15,18462,18923,18115,18846,69629,2.09
155,2004-03-16,18615,18846,18385,18384,75616,-2.45
156,2004-03-17,18462,19308,18462,18692,253312,1.68
157,2004-03-18,18923,19308,18769,19307,166965,3.29
158,2004-03-19,19462,19500,19000,19384,122531,0.4
159,2004-03-22,19154,19462,18769,19000,69455,-1.98
160,2004-03-23,18615,18846,18538,18615,54424,-2.03
161,2004-03-24,18462,18731,18346,18538,82599,-0.41
162,2004-03-25,18308,18692,17885,18000,81512,-2.9
163,2004-03-26,18269,18462,17769,18000,67632,0.0
164,2004-03-29,17923,18808,17923,18692,116943,3.84
165,2004-03-30,19038,19154,18731,18923,84322,1.24
166,2004-03-31,19231,19923,18615,19923,109308,5.28
167,2004-04-01,19385,19769,19269,19615,77173,-1.55
168,2004-04-02,19846,19846,18962,19461,135421,-0.79
169,2004-04-06,19462,19846,19154,19538,221866,0.4
170,2004-04-07,19808,21077,19769,20538,334920,5.12
171,2004-04-08,20846,21308,20538,20615,294174,0.37
172,2004-04-09,20654,20769,20154,20576,91070,-0.19
173,2004-04-12,20308,20731,20308,20384,105854,-0.93
174,2004-04-13,20385,20654,19654,20230,123451,-0.76
175,2004-04-14,19846,20154,19731,19923,80552,-1.52
176,2004-04-16,20154,21000,20000,20730,236474,4.05
177,2004-04-19,21000,21000,20346,20769,75008,0.19
178,2004-04-20,20769,21038,20462,20923,104082,0.74
179,2004-04-21,20923,21962,20769,21153,359075,1.1
180,2004-04-22,21308,22423,21269,21846,203503,3.28
181,2004-04-23,22308,23192,22077,23000,345069,5.28
182,2004-04-26,24400,25750,23800,24400,397124,6.09
183,2004-04-27,24400,24500,23150,23500,185758,-3.69
184,2004-04-28,23200,23350,21950,23300,195593,-0.85
185,2004-04-29,22100,23000,20550,22050,351581,-5.36
186,2004-04-30,21150,21900,21050,21550,99118,-2.27
187,2004-05-03,21150,21850,21150,21300,91589,-1.16
188,2004-05-04,21400,23400,21400,23000,295122,7.98
189,2004-05-06,23400,23600,21500,21600,274381,-6.09
190,2004-05-07,21150,21300,19800,21200,249250,-1.85
191,2004-05-10,20400,21150,18700,18700,399781,-11.79
192,2004-05-11,17800,19100,17600,18150,287845,-2.94
193,2004-05-12,18500,19200,18400,18950,382806,4.41
194,2004-05-13,18700,19250,18350,18500,202926,-2.37
195,2004-05-14,18850,19100,16450,16900,273925,-8.65
196,2004-05-17,16650,17250,14900,14900,375558,-11.83
197,2004-05-18,14500,15400,13900,15400,489501,3.36
198,2004-05-19,15600,17200,15600,16400,700205,6.49
199,2004-05-20,16050,16700,15300,16050,447624,-2.13
200,2004-05-21,16400,17000,16100,16350,388664,1.87
201,2004-05-24,16800,16850,16000,16500,440945,0.92
202,2004-05-25,16100,16400,15500,15600,377385,-5.45
203,2004-05-27,16050,16250,15300,15600,797856,0.0
204,2004-05-28,15800,16500,15550,16500,630468,5.77
205,2004-05-31,16950,17500,16600,17000,1332097,3.03
206,2004-06-01,17000,17150,16450,17000,604035,0.0
207,2004-06-02,17000,17750,16850,17350,713670,2.06
208,2004-06-03,17700,18150,16200,16300,1131237,-6.05
209,2004-06-04,16500,17500,16250,17450,674952,7.06
210,2004-06-07,17750,18150,17600,17800,507220,2.01
211,2004-06-08,17850,18000,17250,17300,468780,-2.81
212,2004-06-09,17550,17650,17200,17500,442531,1.16
213,2004-06-10,17100,17400,16650,17350,242620,-0.86
214,2004-06-11,17250,17500,16200,16200,287798,-6.63
215,2004-06-14,15500,16050,14300,14750,392235,-8.95
216,2004-06-15,14850,15500,14400,15500,454318,5.08
217,2004-06-16,15100,15300,14350,14450,989523,-6.77
218,2004-06-17,14100,14450,13650,14100,463988,-2.42
219,2004-06-18,14250,14600,13700,13700,519237,-2.84
220,2004-06-21,13700,14300,13700,13850,386233,1.09
221,2004-06-22,13850,13900,13050,13650,296148,-1.44
222,2004-06-23,13700,14050,13250,13250,243235,-2.93
223,2004-06-24,13600,13750,13300,13500,368266,1.89
224,2004-06-25,13500,14350,13400,14250,642619,5.56
225,2004-06-28,14400,14600,14150,14450,313424,1.4
226,2004-06-29,14300,15400,14100,15200,691678,5.19
227,2004-06-30,15300,17000,15250,16750,951666,10.2
228,2004-07-01,16900,17350,16200,16700,484183,-0.3
229,2004-07-02,16200,16400,15650,15700,347356,-5.99
230,2004-07-05,15800,16350,15500,16300,260144,3.82
231,2004-07-06,16250,16700,14850,15500,597540,-4.91
232,2004-07-07,14700,15250,14500,14950,251865,-3.55
233,2004-07-08,15000,15200,14050,14050,305220,-6.02
234,2004-07-09,14000,14650,14000,14550,180210,3.56
235,2004-07-12,14700,14900,14200,14200,160119,-2.41
236,2004-07-13,14250,14600,14000,14600,283285,2.82
237,2004-07-14,14450,14700,13950,14000,174156,-4.11
238,2004-07-15,14000,14150,12600,13850,281856,-1.07
239,2004-07-16,13450,13900,13000,13500,223565,-2.53
240,2004-07-19,13250,13350,13000,13300,289002,-1.48
241,2004-07-20,13100,13200,12500,12850,380754,-3.38
242,2004-07-21,13050,13250,12850,12900,260024,0.39
243,2004-07-22,12450,12500,11900,12000,463704,-6.98
244,2004-07-23,12200,12600,12000,12000,352437,0.0
245,2004-07-26,11550,11850,11350,11400,225337,-5.0
246,2004-07-27,11300,11450,10450,11100,795980,-2.63
247,2004-07-28,11300,12150,11200,11800,813797,6.31
248,2004-07-29,11900,12100,10700,11300,372610,-4.24
249,2004-07-30,11550,12150,11450,11550,425737,2.21
250,2004-08-02,11800,12150,11700,12000,401267,3.9
251,2004-08-03,12100,12250,11650,12200,266628,1.67
252,2004-08-04,12000,12000,11350,11650,254409,-4.51
253,2004-08-05,11900,12750,11850,12500,586114,7.3
254,2004-08-06,11950,12150,11750,12000,344974,-4.0
255,2004-08-09,11700,12250,11550,12100,329810,0.83
256,2004-08-10,12200,12850,12000,12750,523319,5.37
257,2004-08-11,12800,12900,12350,12800,349120,0.39
258,2004-08-12,12700,13150,12600,13050,399313,1.95
259,2004-08-13,12850,13200,12750,12950,257771,-0.77
260,2004-08-16,12800,13400,12400,12700,494285,-1.93
261,2004-08-17,13000,13100,12650,12650,285644,-0.39
262,2004-08-18,12750,12800,12550,12600,108702,-0.4
263,2004-08-19,12900,13450,12900,13250,518662,5.16
264,2004-08-20,13250,13400,13050,13150,190047,-0.75
265,2004-08-23,13500,13800,13150,13800,242081,4.94
266,2004-08-24,13900,13900,13550,13850,251654,0.36
267,2004-08-25,13850,14000,13600,13850,191029,0.0
268,2004-08-26,14150,14300,13650,13650,282605,-1.44
269,2004-08-27,13500,13700,12150,12400,650553,-9.16
270,2004-08-30,12000,12150,11650,11900,500708,-4.03
271,2004-08-31,12100,12350,12000,12100,368440,1.68
272,2004-09-01,12100,12450,12100,12150,361299,0.41
273,2004-09-02,12200,12400,11650,11700,606184,-3.7
274,2004-09-03,11800,11850,11200,11650,415924,-0.43
275,2004-09-06,12050,12400,11950,12000,495413,3.0
276,2004-09-07,11950,12250,11750,12050,322064,0.42
277,2004-09-08,12100,12300,12050,12050,347935,0.0
278,2004-09-09,12050,12650,11900,12450,313164,3.32
279,2004-09-10,12650,13900,12500,13900,1216992,11.65
280,2004-09-13,14250,14250,13400,13650,979435,-1.8
281,2004-09-14,13400,13450,12850,12950,780493,-5.13
282,2004-09-15,13100,13250,12500,12750,463865,-1.54
283,2004-09-16,12750,13200,12600,12950,398202,1.57
284,2004-09-17,13200,13400,12800,12950,401709,0.0
285,2004-09-20,13100,14500,13050,14000,1136880,8.11
286,2004-09-21,14200,14650,13900,14250,450924,1.79
287,2004-09-22,14500,14600,13100,13300,381148,-6.67
288,2004-09-23,13050,13200,12600,13000,378019,-2.26
289,2004-09-24,13000,13300,12900,13200,298386,1.54
290,2004-09-30,13200,13350,12800,13350,349542,1.14
291,2004-10-01,13200,13400,13000,13050,359161,-2.25
292,2004-10-04,13200,13550,13050,13500,506173,3.45
293,2004-10-05,13550,13550,12900,13000,433523,-3.7
294,2004-10-06,13050,13100,12400,12450,554457,-4.23
295,2004-10-07,12550,12700,11950,12000,488913,-3.61
296,2004-10-08,11750,12450,11750,12250,445816,2.08
297,2004-10-11,12000,12300,12000,12050,265833,-1.63
298,2004-10-12,12150,12400,12100,12150,459686,0.83
299,2004-10-13,12400,12500,10950,11150,977159,-8.23
300,2004-10-14,11150,11300,10700,10800,642360,-3.14
301,2004-10-15,11000,11550,10800,11200,879300,3.7
302,2004-10-18,11200,11550,11100,11400,465577,1.79
303,2004-10-19,11700,12500,11650,12100,890451,6.14
304,2004-10-20,12000,12100,11350,11550,338528,-4.55
305,2004-10-21,11700,11850,11300,11500,325134,-0.43
306,2004-10-22,11500,11700,11000,11300,312995,-1.74
307,2004-10-25,11000,11100,10850,10900,155104,-3.54
308,2004-10-26,10900,11150,10900,11000,172246,0.92
309,2004-10-27,11050,11250,10650,10850,351720,-1.36
310,2004-10-28,10900,11100,10100,10700,669015,-1.38
311,2004-10-29,10850,11050,10650,10800,262120,0.93
312,2004-11-01,10800,10950,10600,10600,155268,-1.85
313,2004-11-02,10800,11150,10800,11050,313184,4.25
314,2004-11-03,11150,11250,10750,11100,284355,0.45
315,2004-11-04,11400,11550,11050,11100,516703,0.0
316,2004-11-05,11450,11950,11350,11700,676078,5.41
317,2004-11-08,11750,11950,11300,11500,279625,-1.71
318,2004-11-09,11500,11550,10950,10950,286615,-4.78
319,2004-11-10,11000,11200,10900,11200,183374,2.28
320,2004-11-11,11050,11250,10950,11000,168915,-1.79
321,2004-11-12,11000,11700,11000,11550,337582,5.0
322,2004-11-15,11750,12400,11550,12300,690193,6.49
323,2004-11-16,12500,12500,11950,12400,354948,0.81
324,2004-11-17,12400,12700,12300,12450,305139,0.4
325,2004-11-18,12600,12600,11850,11950,255042,-4.02
326,2004-11-19,11900,12100,11550,11700,327109,-2.09
327,2004-11-22,11400,11800,11350,11450,234769,-2.14
328,2004-11-23,11650,11750,11400,11500,203943,0.44
329,2004-11-24,11400,11700,11400,11700,210135,1.74
330,2004-11-25,11750,11800,11500,11550,269873,-1.28
331,2004-11-26,11650,11700,10850,10900,798514,-5.63
332,2004-11-29,10850,11100,10700,10900,280844,0.0
333,2004-11-30,11000,11000,10700,10850,316416,-0.46
334,2004-12-01,10750,11450,10750,11350,483526,4.61
335,2004-12-02,11650,11650,11200,11250,349631,-0.88
336,2004-12-03,11300,11450,10900,11150,292499,-0.89
337,2004-12-06,11000,11100,10850,10900,177111,-2.24
338,2004-12-07,10750,10950,10500,10550,322577,-3.21
339,2004-12-08,10400,10650,10350,10600,203460,0.47
340,2004-12-09,10500,10900,10500,10750,251407,1.42
341,2004-12-10,10800,11300,10800,10900,421910,1.4
342,2004-12-13,10950,11100,10750,10750,242106,-1.38
343,2004-12-14,10900,11200,10800,11050,302773,2.79
344,2004-12-15,11000,11250,10900,10950,346370,-0.9
345,2004-12-16,11000,11000,10550,10850,353394,-0.91
346,2004-12-17,11000,11250,10900,11100,364694,2.3
347,2004-12-20,11150,11350,11050,11250,259100,1.35
348,2004-12-21,11300,11350,11050,11200,240682,-0.44
349,2004-12-22,11400,11500,11000,11000,333058,-1.79
350,2004-12-23,11000,11000,10700,10750,188520,-2.27
351,2004-12-24,10700,10900,10650,10800,138757,0.47
352,2004-12-27,10750,10900,10500,10500,194577,-2.78
353,2004-12-28,10500,10600,10250,10300,200626,-1.9
354,2004-12-29,10450,10600,10350,10600,166635,2.91
355,2004-12-30,10500,10800,10500,10800,185863,1.89
356,2005-01-03,10850,11000,10650,10950,256731,1.39
357,2005-01-04,10900,11000,10700,10800,189535,-1.37
358,2005-01-05,10800,12050,10800,12050,1414602,11.57
359,2005-01-06,12400,12900,11800,12400,1332037,2.9
360,2005-01-07,12650,12950,12200,12600,452583,1.61
361,2005-01-10,12800,13450,12650,13450,1510340,6.75
362,2005-01-11,13200,13600,12800,13450,794441,0.0
363,2005-01-12,13250,13400,12650,13250,491908,-1.49
364,2005-01-13,13200,13450,12950,13100,439269,-1.13
365,2005-01-14,12850,13800,12850,13000,762692,-0.76
366,2005-01-17,13500,14550,13400,14550,1572311,11.92
367,2005-01-18,14850,14850,13900,14500,672548,-0.34
368,2005-01-19,14850,15700,14350,15150,1257469,4.48
369,2005-01-20,14850,15000,14050,14600,614840,-3.63
370,2005-01-21,14400,15100,14200,14950,830303,2.4
371,2005-01-24,15200,15950,14500,15000,1548463,0.33
372,2005-01-25,15000,15000,13750,13850,923260,-7.67
373,2005-01-26,13900,14250,13650,13700,729730,-1.08
374,2005-01-27,13950,14100,13400,13450,540995,-1.82
375,2005-01-28,13550,14000,13500,13900,391733,3.35
376,2005-01-31,13750,14400,13750,14200,453877,2.16
377,2005-02-01,14350,14400,13900,14000,246504,-1.41
378,2005-02-02,14150,14500,13950,14400,336109,2.86
379,2005-02-03,14300,14550,14200,14300,277464,-0.69
380,2005-02-04,14450,15000,14450,14950,738310,4.55
381,2005-02-07,15300,15400,15000,15400,467786,3.01
382,2005-02-11,15200,15400,14900,15400,264463,0.0
383,2005-02-14,15500,15700,15050,15100,597534,-1.95
384,2005-02-15,15350,15600,14600,14700,899281,-2.65
385,2005-02-16,14800,14950,14200,14800,574045,0.68
386,2005-02-17,14700,14950,14400,14400,389704,-2.7
387,2005-02-18,14050,14300,13900,14200,471054,-1.39
388,2005-02-21,14250,14400,13750,13850,587440,-2.46
389,2005-02-22,13850,14100,13550,13650,478112,-1.44
390,2005-02-23,13250,13450,13200,13300,321418,-2.56
391,2005-02-24,13300,14300,13300,14200,609818,6.77
392,2005-02-25,14200,14550,13950,14050,326683,-1.06
393,2005-02-28,14200,14400,13500,13750,473541,-2.14
394,2005-03-02,13750,13950,13500,13550,454174,-1.45
395,2005-03-03,13550,13700,13050,13450,442341,-0.74
396,2005-03-04,13500,14100,13500,13850,543351,2.97
397,2005-03-07,14100,14500,13950,14500,827062,4.69
398,2005-03-08,14750,14750,13550,14000,570641,-3.45
399,2005-03-09,13750,14100,13500,13800,515793,-1.43
