,Date,Open,High,Low,Close,Volume,Change
0,2001-04-26,5600,5600,5600,5600,1202,100.0
1,2001-04-27,6270,6270,6270,6270,16292,11.96
2,2001-04-30,7020,7020,7020,7020,28761,11.96
3,2001-05-02,7860,7860,7500,7860,3056005,11.97
4,2001-05-03,7800,7800,7010,7250,1024645,-7.76
5,2001-05-04,7010,7670,6740,7100,777052,-2.07
6,2001-05-07,6800,7230,6700,6790,527592,-4.37
7,2001-05-08,6710,7020,6620,6650,431629,-2.06
8,2001-05-09,6700,6750,6490,6550,303123,-1.5
9,2001-05-10,6570,6810,6480,6700,365378,2.29
10,2001-05-11,6700,6750,6530,6600,415557,-1.49
11,2001-05-14,6650,6850,6600,6640,378262,0.61
12,2001-05-15,6650,6690,6000,6120,396666,-7.83
13,2001-05-16,6160,6210,5790,5820,384599,-4.9
14,2001-05-17,5860,5980,5740,5800,315740,-0.34
15,2001-05-18,5790,5900,5320,5610,404477,-3.28
16,2001-05-21,5800,6280,5760,6140,871301,9.45
17,2001-05-22,6170,6500,5830,6130,829277,-0.16
18,2001-05-23,6160,6230,5920,5970,204245,-2.61
19,2001-05-24,6000,6150,5800,5890,194667,-1.34
20,2001-05-25,5800,6460,5800,6320,702789,7.3
21,2001-05-28,6450,6450,6150,6260,295989,-0.95
22,2001-05-29,6300,6360,6070,6160,255879,-1.6
23,2001-05-30,6010,6150,5920,6000,165565,-2.6
24,2001-05-31,5870,5950,5660,5800,173665,-3.33
25,2001-06-01,5940,5940,5650,5660,124111,-2.41
26,2001-06-04,5630,5800,5630,5660,130052,0.0
27,2001-06-05,5420,5700,5420,5520,130374,-2.47
28,2001-06-07,5450,6000,5200,6000,311114,8.7
29,2001-06-08,6000,6140,5730,6140,389990,2.33
30,2001-06-11,6010,6100,5870,5900,112426,-3.91
31,2001-06-12,5710,5860,5670,5670,171851,-3.9
32,2001-06-13,5600,5970,5600,5700,115841,0.53
33,2001-06-14,5700,6100,5650,6000,262094,5.26
34,2001-06-15,6000,6050,5760,5860,226178,-2.33
35,2001-06-18,5940,5940,5730,5810,102617,-0.85
36,2001-06-19,5800,5850,5650,5660,83757,-2.58
37,2001-06-20,5560,5740,5300,5360,125815,-5.3
38,2001-06-21,5210,5540,5210,5360,85230,0.0
39,2001-06-22,5300,5440,5170,5200,84214,-2.99
40,2001-06-25,5200,5280,5050,5080,58880,-2.31
41,2001-06-26,5000,5130,4510,4510,102048,-11.22
42,2001-06-27,4510,4620,4250,4300,131958,-4.66
43,2001-06-28,4300,4760,4200,4510,273655,4.88
44,2001-06-29,4590,4590,4410,4520,72497,0.22
45,2001-07-02,4590,4600,4430,4490,90742,-0.66
46,2001-07-03,4500,4700,4480,4530,147669,0.89
47,2001-07-04,4640,4640,4400,4500,71145,-0.66
48,2001-07-05,4550,4550,4350,4380,83836,-2.67
49,2001-07-06,4480,4770,4400,4500,269389,2.74
50,2001-07-09,4420,4430,3960,4150,143675,-7.78
51,2001-07-10,4200,4280,3900,4250,118381,2.41
52,2001-07-11,4220,4320,3900,4000,167360,-5.88
53,2001-07-12,3960,4190,3960,4100,117039,2.5
54,2001-07-13,4200,4210,3960,3960,87588,-3.41
55,2001-07-16,4000,4100,3900,3960,105901,0.0
56,2001-07-18,3960,4060,3900,4000,74971,1.01
57,2001-07-19,4000,4200,3980,4090,90532,2.25
58,2001-07-20,4050,4090,3900,3950,50851,-3.42
59,2001-07-23,3900,3960,3480,3480,62690,-11.9
60,2001-07-24,3130,3500,3130,3480,66460,0.0
61,2001-07-25,3130,3570,3130,3450,62187,-0.86
62,2001-07-26,3520,3700,3450,3490,39444,1.16
63,2001-07-27,3500,3700,3500,3560,96834,2.01
64,2001-07-30,3510,3590,3510,3520,40061,-1.12
65,2001-07-31,3520,3730,3500,3610,87520,2.56
66,2001-08-01,3690,3740,3600,3660,71128,1.39
67,2001-08-02,3780,3780,3620,3710,64850,1.37
68,2001-08-03,3730,4100,3730,3920,276254,5.66
69,2001-08-06,3890,4190,3860,4150,182307,5.87
70,2001-08-07,4120,4120,3970,4040,71809,-2.65
71,2001-08-08,4040,4130,3950,3980,78551,-1.49
72,2001-08-09,3680,3880,3620,3650,98259,-8.29
73,2001-08-10,3730,3800,3650,3720,76429,1.92
74,2001-08-13,3760,3840,3720,3830,105460,2.96
75,2001-08-14,3850,4280,3850,4000,284853,4.44
76,2001-08-16,3950,4000,3690,3700,106721,-7.5
77,2001-08-17,3790,3800,3660,3730,63247,0.81
78,2001-08-20,3660,3660,3390,3420,58863,-8.31
79,2001-08-21,3450,3540,3400,3460,33882,1.17
80,2001-08-22,3430,3450,3310,3410,48176,-1.45
81,2001-08-23,3370,3570,3370,3510,71167,2.93
82,2001-08-24,3500,3890,3490,3890,149818,10.83
83,2001-08-27,3900,4020,3750,3890,226324,0.0
84,2001-08-28,3900,3950,3800,3950,130089,1.54
85,2001-08-29,3960,4040,3480,3510,387389,-11.14
86,2001-08-30,3350,3450,3200,3250,81576,-7.41
87,2001-08-31,3100,3300,2870,2870,83772,-11.69
88,2001-09-03,2790,2950,2790,2820,66466,-1.74
89,2001-09-04,2820,2940,2820,2900,52824,2.84
90,2001-09-05,2850,2890,2790,2800,48742,-3.45
91,2001-09-06,2800,3040,2800,3030,111561,8.21
92,2001-09-07,2900,3100,2900,3100,54571,2.31
93,2001-09-10,3010,3090,2960,3000,53544,-3.23
94,2001-09-11,3020,3220,3020,3080,126333,2.67
95,2001-09-12,2720,2720,2720,2720,1877,-11.69
96,2001-09-13,2520,2800,2510,2560,112540,-5.88
