,Date,Open,High,Low,Close,Volume,Change
0,2001-10-11,13732,13732,13732,13731,781992,NaN
1,2001-10-12,15358,15358,15358,15362,268129,11.88
2,2001-10-15,15360,16005,13556,13561,2214169,-11.72
3,2001-10-16,13598,13985,12441,13174,984622,-2.85
4,2001-10-17,13514,14677,12918,13731,1357469,4.23
5,2001-10-18,13086,13216,12143,12143,711574,-11.57
6,2001-10-19,11414,12619,11414,12187,379468,0.36
7,2001-10-22,12189,12916,12015,12446,648509,2.13
8,2001-10-23,12665,13566,12403,12616,742558,1.37
9,2001-10-24,12575,13260,12575,13004,353857,3.08
10,2001-10-25,13302,14161,12918,13389,1318442,2.96
11,2001-10-26,13382,14675,13382,13517,1804315,0.96
12,2001-10-29,13688,14377,13346,13775,696479,1.91
13,2001-10-30,13770,13945,12697,12788,393925,-7.17
14,2001-10-31,12015,13258,12015,12574,496027,-1.67
15,2001-11-01,14079,14079,14079,14077,284214,11.95
16,2001-11-02,15742,15742,15060,15749,1258435,11.88
17,2001-11-05,16095,16311,14635,15879,1093404,0.83
18,2001-11-06,16523,16523,15192,15579,367721,-1.89
19,2001-11-07,15364,15874,14247,14247,477638,-8.55
20,2001-11-08,13945,14461,13602,14117,285712,-0.91
21,2001-11-09,13945,14549,13865,14161,369430,0.31
22,2001-11-12,14031,14377,13688,13819,442203,-2.42
23,2001-11-13,12445,13945,12445,13945,393085,0.91
24,2001-11-14,14587,14930,14027,14205,669537,1.86
25,2001-11-15,14245,14415,13256,13517,305510,-4.84
26,2001-11-16,13512,13985,12870,13517,282732,0.0
27,2001-11-19,13556,13861,13216,13389,234306,-0.95
28,2001-11-20,13382,13600,12655,12916,294032,-3.53
29,2001-11-21,12705,13304,12705,13048,196172,1.02
30,2001-11-22,12874,13348,12874,13048,174650,0.0
31,2001-11-23,13172,14589,13172,13945,720020,6.87
32,2001-11-26,14029,14029,13170,13218,242328,-5.21
33,2001-11-27,13178,13818,12874,12874,251868,-2.6
34,2001-11-28,12956,13086,12011,12099,203327,-6.02
35,2001-11-29,12103,12573,11803,12446,135876,2.87
36,2001-11-30,12227,12617,12145,12402,270637,-0.35
37,2001-12-03,12357,12830,12357,12574,291467,1.39
38,2001-12-04,12573,12741,11841,12015,328844,-4.45
39,2001-12-05,12317,12447,12017,12231,256899,1.8
40,2001-12-06,12445,12445,11759,11801,219882,-3.52
41,2001-12-07,11715,11975,11500,11543,221578,-2.19
42,2001-12-10,11586,11931,11500,11801,208984,2.24
43,2001-12-11,11588,12615,11588,12314,328869,4.35
44,2001-12-12,12447,12447,11803,11971,152542,-2.79
45,2001-12-13,12105,12105,11588,11631,162673,-2.84
46,2001-12-14,11799,12229,11712,12099,299920,4.02
47,2001-12-17,12233,12313,11927,12015,186094,-0.69
48,2001-12-18,12233,12233,11797,12015,263288,0.0
49,2001-12-19,12101,12101,11286,11459,161957,-4.63
50,2001-12-20,11202,11887,11158,11201,92735,-2.25
51,2001-12-21,10942,11328,10812,11156,125350,-0.4
52,2001-12-24,11584,11584,10852,10942,55702,-1.92
53,2001-12-26,10726,10938,10081,10342,103318,-5.48
54,2001-12-27,10131,10517,10131,10474,66726,1.28
55,2001-12-28,10639,11068,10471,10644,132005,1.62
56,2002-01-02,10944,10944,10557,10688,129132,0.41
57,2002-01-03,10940,10940,10467,10728,88167,0.37
58,2002-01-04,10944,10944,10595,10644,100902,-0.78
59,2002-01-07,10597,10597,10001,10043,209854,-5.65
60,2002-01-08,10123,10297,9825,10258,190492,2.14
61,2002-01-09,10345,10433,10003,10085,206727,-1.69
62,2002-01-10,10728,11288,10343,11289,762279,11.94
63,2002-01-11,11238,11238,10507,10556,472664,-6.49
64,2002-01-14,10169,10559,10169,10474,189611,-0.78
65,2002-01-15,10379,10639,9951,9955,132528,-4.96
66,2002-01-16,9995,10984,9995,10728,454277,7.76
67,2002-01-17,9995,10509,9995,10386,187096,-3.19
68,2002-01-18,10389,10471,9400,9397,267117,-9.52
69,2002-01-21,9480,9829,9354,9525,196842,1.36
70,2002-01-22,9400,9831,9314,9441,284504,-0.88
71,2002-01-23,9312,9613,9312,9613,189916,1.82
72,2002-01-24,9651,10167,9564,9911,291570,3.1
73,2002-01-25,10389,10389,9657,9783,321273,-1.29
74,2002-01-28,9957,10902,9653,10814,561268,10.54
75,2002-01-29,11154,11584,10295,10942,562010,1.18
76,2002-01-30,11160,11588,10686,11156,472746,1.96
77,2002-01-31,12019,12189,11414,11587,672347,3.86
78,2002-02-01,11584,11885,10471,10644,365878,-8.14
79,2002-02-04,10423,10808,10167,10342,180973,-2.84
80,2002-02-05,9867,10341,9867,10216,183808,-1.22
81,2002-02-06,10299,10473,10045,10043,110873,-1.69
82,2002-02-07,9917,10173,9228,9441,145926,-5.99
83,2002-02-08,9228,9613,9228,9397,116861,-0.47
84,2002-02-14,9613,10043,9570,9783,147141,4.11
85,2002-02-15,9486,9785,9486,9613,149391,-1.74
86,2002-02-18,9617,9917,9572,9657,155632,0.46
87,2002-02-19,9699,9915,9442,9613,138702,-0.46
88,2002-02-20,9488,9657,9014,9012,180612,-6.25
89,2002-02-21,9012,9138,8540,8796,191801,-2.4
90,2002-02-22,8754,8798,8586,8626,125232,-1.93
91,2002-02-25,8626,8970,8626,8796,154773,1.97
92,2002-02-26,8840,9014,8672,8670,124171,-1.43
93,2002-02-27,8712,8798,8542,8582,175719,-1.01
94,2002-02-28,8624,9054,8624,8968,177091,4.5
95,2002-03-04,9056,9270,8840,9227,190989,2.89
96,2002-03-05,9436,9611,9094,9139,173329,-0.95
97,2002-03-06,9140,9444,9140,9353,134418,2.34
98,2002-03-07,9442,10473,9442,10430,780481,11.52
99,2002-03-08,10555,10555,9354,9569,375393,-8.26
100,2002-03-11,9783,10125,9697,9999,252391,4.49
101,2002-03-12,10083,10213,9524,9525,278544,-4.74
102,2002-03-13,9442,9917,9442,9657,265108,1.39
103,2002-03-14,9741,9867,9480,9697,105509,0.41
104,2002-03-15,9524,9829,9524,9741,164836,0.45
105,2002-03-18,10087,10303,9745,9827,279520,0.88
106,2002-03-19,9781,10253,9737,10258,233877,4.39
107,2002-03-20,10255,10465,10167,10342,337791,0.82
108,2002-03-21,10856,11328,10209,10258,1154086,-0.81
109,2002-03-22,10379,10465,9951,9955,351698,-2.95
110,2002-03-25,10173,10173,9787,9783,221481,-1.73
111,2002-03-26,9697,9913,9570,9871,247779,0.9
112,2002-03-27,9915,10259,9915,10172,300502,3.05
113,2002-03-28,10509,10509,9907,9911,302273,-2.57
114,2002-03-29,10047,10171,9617,9657,247957,-2.56
115,2002-04-01,9657,9961,9272,9827,413079,1.76
116,2002-04-02,9915,10946,9915,10858,1241161,10.49
117,2002-04-03,10553,10641,10083,10430,353425,-3.94
118,2002-04-04,10379,11668,10337,11327,1273296,8.6
119,2002-04-08,11326,12015,10814,11371,789073,0.39
120,2002-04-09,11584,11715,10079,10216,599541,-10.16
121,2002-04-10,10295,10513,9270,9309,390484,-8.88
122,2002-04-11,9398,9743,9312,9613,271279,3.27
123,2002-04-12,9140,9530,9140,9397,261137,-2.25
124,2002-04-15,9310,9659,9310,9485,249903,0.94
125,2002-04-16,9400,9787,9400,9657,227626,1.81
126,2002-04-17,9651,10211,9478,9911,523087,2.63
127,2002-04-18,9913,10299,9827,9871,282893,-0.4
128,2002-04-19,9867,10894,9651,10556,921320,6.94
129,2002-04-22,10728,10900,9659,9871,473831,-6.49
130,2002-04-23,9997,10595,9911,10216,413155,3.5
131,2002-04-24,10465,10639,9651,10216,416146,0.0
132,2002-04-25,10041,10171,9611,9741,325828,-4.65
133,2002-04-26,9739,10385,9739,9871,429178,1.33
134,2002-04-29,10001,10553,9697,10430,723363,5.66
135,2002-04-30,10726,11328,10165,10216,1320056,-2.05
136,2002-05-02,10509,10680,10081,10298,611635,0.8
137,2002-05-03,10383,11156,10253,10688,1656612,3.79
138,2002-05-06,10856,11414,10513,10512,1117348,-1.65
139,2002-05-07,10385,10770,9869,9871,1066377,-6.1
140,2002-05-08,9951,10377,9653,10298,1070106,4.33
141,2002-05-09,10511,10728,10125,10430,554010,1.28
142,2002-05-10,10215,10557,9997,10172,487213,-2.47
143,2002-05-13,10041,10339,9911,10258,326655,0.85
144,2002-05-14,10257,10858,10257,10858,1105958,5.85
145,2002-05-15,11110,11284,10211,10216,1313261,-5.91
146,2002-05-16,10341,10383,10079,10216,471821,0.0
147,2002-05-17,10209,10595,10079,10600,541663,3.76
148,2002-05-20,10728,10902,10385,10430,836330,-1.6
149,2002-05-21,10167,10429,9827,9871,559611,-5.36
150,2002-05-22,9875,10085,9444,9783,456140,-0.89
151,2002-05-23,9697,9999,9697,9871,297843,0.9
152,2002-05-24,9783,10553,9783,10298,599173,4.33
153,2002-05-27,10167,10379,9907,9911,222075,-3.76
154,2002-05-28,9997,10083,9568,9569,338978,-3.45
