,Date,Open,High,Low,Close,Volume,Change
0,2002-04-25,11120,11120,11120,11130,253852,NaN
1,2002-04-26,12420,12420,11730,12430,734206,11.68
2,2002-04-29,13040,13040,10970,10970,570409,-11.75
3,2002-04-30,10700,10930,9890,10200,202149,-7.02
4,2002-05-02,10630,10930,10360,10740,152720,5.29
5,2002-05-03,10660,12000,10040,10930,235062,1.77
6,2002-05-06,10930,11850,10550,11510,205755,5.31
7,2002-05-07,11460,12880,11040,12890,232356,11.99
8,2002-05-08,14420,14420,14190,14420,149340,11.87
9,2002-05-09,14800,14800,12690,13230,376706,-8.25
10,2002-05-10,13420,14810,13420,14810,208093,11.94
11,2002-05-13,15380,16560,14800,15340,668126,3.58
12,2002-05-14,15110,15340,13690,14200,246501,-7.43
13,2002-05-15,14190,14380,13000,13390,177290,-5.7
14,2002-05-16,13110,13340,12310,12660,223932,-5.45
15,2002-05-17,12500,13080,12470,12580,145475,-0.63
16,2002-05-20,12580,12960,12270,12430,171057,-1.19
17,2002-05-21,12350,12350,11120,11360,189905,-8.61
18,2002-05-22,11350,11970,10970,11360,146076,0.0
19,2002-05-23,10740,11500,10740,10890,183942,-4.14
20,2002-05-24,10740,11470,10740,10970,101020,0.73
21,2002-05-27,10810,11120,9810,9820,168038,-10.48
22,2002-05-28,9820,9930,8700,8790,212481,-10.49
23,2002-05-29,8670,8970,7740,7830,480157,-10.92
24,2002-05-30,7750,8740,7670,8750,532528,11.75
25,2002-05-31,8930,9780,8820,9170,697308,4.8
26,2002-06-03,9400,9900,8090,8250,344257,-10.03
27,2002-06-04,8090,8250,7790,8020,164144,-2.79
28,2002-06-05,8170,8520,7980,8060,216222,0.5
29,2002-06-07,7820,8210,7820,8170,166037,1.36
30,2002-06-10,8440,9130,8250,9130,618595,11.75
31,2002-06-11,9120,9120,8200,8360,437542,-8.43
32,2002-06-12,8510,8630,8170,8630,177304,3.23
33,2002-06-14,8630,9430,8630,8980,448386,4.06
34,2002-06-17,9050,9130,8510,8630,250830,-3.9
35,2002-06-18,8740,9350,8630,9210,550909,6.72
36,2002-06-19,9170,9510,8130,8130,431389,-11.73
37,2002-06-20,8060,8170,7320,7900,276624,-2.83
38,2002-06-21,7780,7930,7470,7830,218114,-0.89
39,2002-06-24,7630,7750,6900,7020,285395,-10.34
40,2002-06-25,7290,7360,6790,7060,127544,0.57
41,2002-06-26,6820,6900,6210,6250,310230,-11.47
42,2002-06-27,6330,6860,6330,6870,46685,9.92
43,2002-06-28,6980,7440,6980,7180,104285,4.51
